Time,success
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,43.69719981015662
2022-05-02,65.87467294958722
2022-05-03,66.59914588779274
2022-05-04,67.32197125885011
2022-05-05,62.50475320881379
2022-05-06,62.43967430646099
2022-05-07,41.846247549591574
2022-05-08,39.436402849212286
2022-05-09,64.60815041963309
2022-05-10,67.68892212590232
2022-05-11,69.1905901510549
2022-05-12,66.76179842847164
2022-05-13,60.4149037117638
2022-05-14,36.837911710367294
2022-05-15,37.5821554543509
2022-05-16,57.87819634097526
2022-05-17,60.94249237576278
2022-05-18,60.097747035740696
2022-05-19,60.81398213820537
2022-05-20,53.740143132569735
2022-05-21,36.566886914493
2022-05-22,34.97377891261687
2022-05-23,60.55696166309053
2022-05-24,64.37044414330617
2022-05-25,55.00538527195963
2022-05-26,54.17299668554883
2022-05-27,49.47687482090314
2022-05-28,30.890095420101026
2022-05-29,31.62857267906602
2022-05-30,33.906612007591555
2022-05-31,51.57532933027793
2022-06-01,56.90283658925743
2022-06-02,53.76934273424669
2022-06-03,47.573200411596595
2022-06-04,34.49186552177656
2022-06-05,32.15780891021318
2022-06-06,53.53868333350261
2022-06-07,55.00904758283991
2022-06-08,56.47611669788088
2022-06-09,54.128055765558045
2022-06-10,51.023394335640305
2022-06-11,34.99309311140479
2022-06-12,34.95519906699683
2022-06-13,50.09874198893186
2022-06-14,50.80262033778526
2022-06-15,51.504851119490475
2022-06-16,49.935632841262844
2022-06-17,43.079272699185914
2022-06-18,33.97288187010238
2022-06-19,31.67342416865061
2022-06-20,45.19832179791285
2022-06-21,48.911302682089996
2022-06-22,49.609414545924786
2022-06-23,48.053376804882525
2022-06-24,42.000572824123395
2022-06-25,34.462576489693404
2022-06-26,35.92140776899351
2022-06-27,49.337565966476404
2022-06-28,48.53648115588087
2022-06-29,48.48293522356527
2022-06-30,44.70405165346125
2022-07-01,40.933405919098085
2022-07-02,31.223638337199652
2022-07-03,30.446443250252607
2022-07-04,31.896212910237768
2022-07-05,42.97501936186094
