Time,harrison_ford
2022-01-01,42.0
2022-01-02,39.0
2022-01-03,20.0
2022-01-04,19.0
2022-01-05,20.0
2022-01-06,16.0
2022-01-07,22.0
2022-01-08,30.0
2022-01-09,28.0
2022-01-10,28.0
2022-01-11,20.0
2022-01-12,26.0
2022-01-13,18.0
2022-01-14,17.0
2022-01-15,24.0
2022-01-16,27.0
2022-01-17,30.0
2022-01-18,25.0
2022-01-19,16.0
2022-01-20,15.0
2022-01-21,20.0
2022-01-22,31.0
2022-01-23,25.0
2022-01-24,22.0
2022-01-25,18.0
2022-01-26,17.0
2022-01-27,20.0
2022-01-28,25.0
2022-01-29,30.0
2022-01-30,33.0
2022-01-31,20.0
2022-02-01,20.0
2022-02-02,17.0
2022-02-03,19.0
2022-02-04,21.0
2022-02-05,23.0
2022-02-06,28.0
2022-02-07,22.0
2022-02-08,20.0
2022-02-09,23.0
2022-02-10,21.0
2022-02-11,20.0
2022-02-12,20.0
2022-02-13,22.0
2022-02-14,20.0
2022-02-15,15.0
2022-02-16,17.0
2022-02-17,14.0
2022-02-18,26.0
2022-02-19,24.0
2022-02-20,28.0
2022-02-21,23.0
2022-02-22,18.0
2022-02-23,19.0
2022-02-24,14.0
2022-02-25,16.0
2022-02-26,22.0
2022-02-27,35.0
2022-02-28,25.0
2022-03-01,20.0
2022-03-02,14.0
2022-03-03,14.0
2022-03-04,20.0
2022-03-05,22.0
2022-03-06,22.0
2022-03-07,17.0
2022-03-08,14.0
2022-03-09,14.0
2022-03-10,16.0
2022-03-11,18.0
2022-03-12,25.0
2022-03-13,27.0
2022-03-14,18.0
2022-03-15,17.0
2022-03-16,14.0
2022-03-17,14.0
2022-03-18,21.0
2022-03-19,26.0
2022-03-20,32.0
2022-03-21,21.0
2022-03-22,20.0
2022-03-23,18.0
2022-03-24,21.0
2022-03-25,22.0
2022-03-26,34.0
2022-03-27,37.0
2022-03-28,23.0
2022-03-29,21.0
2022-03-30,21.0
2022-03-31,21.0
2022-04-01,22.0
2022-04-02,30.0
2022-04-03,32.0
2022-04-04,24.0
2022-04-05,28.0
2022-04-06,25.0
2022-04-07,26.0
2022-04-08,30.0
2022-04-09,33.0
2022-04-10,37.0
2022-04-11,26.0
2022-04-12,21.0
2022-04-13,21.0
2022-04-14,25.0
2022-04-15,27.0
2022-04-16,41.0
2022-04-17,43.0
2022-04-18,31.0
2022-04-19,25.0
2022-04-20,21.0
2022-04-21,22.0
2022-04-22,20.0
2022-04-23,27.0
2022-04-24,30.0
2022-04-25,23.0
2022-04-26,20.0
2022-04-27,19.0
2022-04-28,18.0
2022-04-29,17.0
2022-04-30,24.0
2022-05-01,31.0
2022-05-02,24.0
2022-05-03,19.0
2022-05-04,27.0
2022-05-05,24.0
2022-05-06,22.0
2022-05-07,29.0
2022-05-08,31.0
2022-05-09,21.0
2022-05-10,25.0
2022-05-11,22.0
2022-05-12,23.0
2022-05-13,21.0
2022-05-14,33.0
2022-05-15,43.0
2022-05-16,21.0
2022-05-17,25.0
2022-05-18,48.0
2022-05-19,31.0
2022-05-20,22.0
2022-05-21,27.0
2022-05-22,44.0
2022-05-23,24.0
2022-05-24,19.0
2022-05-25,19.0
2022-05-26,30.0
2022-05-27,51.0
2022-05-28,52.0
2022-05-29,41.0
2022-05-30,42.0
2022-05-31,30.0
2022-06-01,23.0
2022-06-02,19.0
2022-06-03,19.0
2022-06-04,27.0
2022-06-05,31.0
2022-06-06,22.0
2022-06-07,20.0
2022-06-08,22.0
2022-06-09,24.0
2022-06-10,25.0
2022-06-11,38.0
2022-06-12,51.0
2022-06-13,33.0
2022-06-14,33.0
2022-06-15,29.0
2022-06-16,27.0
2022-06-17,26.0
2022-06-18,31.0
2022-06-19,35.0
2022-06-20,32.0
2022-06-21,32.0
2022-06-22,32.0
2022-06-23,41.0
2022-06-24,52.0
2022-06-25,55.0
2022-06-26,59.0
2022-06-27,39.0
2022-06-28,36.0
2022-06-29,33.0
2022-06-30,32.0
2022-07-01,36.0
2022-07-02,50.0
2022-07-03,56.0
2022-07-04,85.0
2022-07-05,43.0
2022-07-06,37.0
2022-07-07,32.0
2022-07-08,28.0
2022-07-09,35.0
2022-07-10,38.0
2022-07-11,26.0
2022-07-12,29.0
2022-07-13,85.0
2022-07-14,95.0
2022-07-15,48.0
2022-07-16,60.0
2022-07-17,50.0
2022-07-18,34.0
2022-07-19,29.0
2022-07-20,25.0
2022-07-21,29.0
2022-07-22,26.0
2022-07-23,34.0
2022-07-24,37.0
2022-07-25,31.0
2022-07-26,28.0
2022-07-27,24.0
2022-07-28,22.0
2022-07-29,23.0
2022-07-30,34.0
2022-07-31,48.0
2022-08-01,35.0
2022-08-02,27.0
2022-08-03,28.0
2022-08-04,26.0
2022-08-05,33.0
2022-08-06,47.0
2022-08-07,51.0
2022-08-08,43.0
2022-08-09,35.0
2022-08-10,29.0
2022-08-11,30.0
2022-08-12,74.0
2022-08-13,83.0
2022-08-14,64.0
2022-08-15,42.0
2022-08-16,31.0
2022-08-17,33.0
2022-08-18,26.0
2022-08-19,24.0
2022-08-20,33.0
2022-08-21,35.0
2022-08-22,24.0
2022-08-23,22.0
2022-08-24,22.0
2022-08-25,28.0
2022-08-26,23.0
2022-08-27,26.0
2022-08-28,31.0
2022-08-29,26.0
2022-08-30,25.5
2022-08-31,20.5
2022-09-01,20.5
2022-09-02,20.0
2022-09-03,25.5
2022-09-04,35.5
2022-09-05,35.0
2022-09-06,29.5
2022-09-07,20.5
2022-09-08,19.0
2022-09-09,19.0
2022-09-10,40.5
2022-09-11,100.0
2022-09-12,60.5
2022-09-13,34.0
2022-09-14,24.5
2022-09-15,21.0
2022-09-16,24.5
2022-09-17,29.0
2022-09-18,26.0
2022-09-19,19.0
2022-09-20,24.0
2022-09-21,19.5
2022-09-22,20.0
2022-09-23,19.0
2022-09-24,24.0
2022-09-25,26.0
2022-09-26,19.0
2022-09-27,15.0
2022-09-28,20.0
2022-09-29,25.0
2022-09-30,25.0
2022-10-01,30.0
2022-10-02,30.0
2022-10-03,20.0
2022-10-04,15.0
2022-10-05,15.0
2022-10-06,20.0
2022-10-07,15.0
2022-10-08,20.0
2022-10-09,20.0
2022-10-10,15.0
2022-10-11,15.0
2022-10-12,15.0
2022-10-13,20.0
2022-10-14,70.0
2022-10-15,50.0
2022-10-16,30.0
2022-10-17,45.0
2022-10-18,45.0
2022-10-19,35.0
2022-10-20,25.0
2022-10-21,25.0
2022-10-22,30.0
2022-10-23,25.0
2022-10-24,20.0
2022-10-25,15.0
2022-10-26,15.0
2022-10-27,15.0
2022-10-28,20.0
2022-10-29,25.0
2022-10-30,25.0
2022-10-31,20.0
2022-11-01,15.0
2022-11-02,20.0
2022-11-03,20.0
2022-11-04,20.0
2022-11-05,20.0
2022-11-06,20.0
2022-11-07,20.0
2022-11-08,20.0
2022-11-09,20.0
2022-11-10,15.0
2022-11-11,15.0
2022-11-12,40.0
2022-11-13,55.0
2022-11-14,45.0
2022-11-15,30.0
2022-11-16,20.0
2022-11-17,20.0
2022-11-18,30.0
2022-11-19,65.0
2022-11-20,70.0
2022-11-21,50.0
2022-11-22,50.0
2022-11-23,40.0
2022-11-24,60.0
2022-11-25,50.0
2022-11-26,35.0
2022-11-27,40.0
2022-11-28,35.0
2022-11-29,30.0
2022-11-30,25.0
2022-12-01,40.0
2022-12-02,105.0
2022-12-03,80.0
2022-12-04,70.0
2022-12-05,45.0
2022-12-06,40.0
2022-12-07,35.0
2022-12-08,40.0
2022-12-09,35.0
2022-12-10,50.0
2022-12-11,60.0
2022-12-12,50.0
2022-12-13,35.0
2022-12-14,40.0
2022-12-15,40.0
2022-12-16,50.0
2022-12-17,60.0
2022-12-18,90.0
2022-12-19,215.0
2022-12-20,115.0
2022-12-21,80.0
2022-12-22,60.0
2022-12-23,70.0
2022-12-24,90.0
2022-12-25,90.0
2022-12-26,100.0
2022-12-27,75.0
2022-12-28,60.0
2022-12-29,55.0
2022-12-30,50.0
2022-12-31,70.0
2023-01-01,90.0
2023-01-02,175.0
2023-01-03,80.0
2023-01-04,60.0
2023-01-05,50.0
2023-01-06,50.0
2023-01-07,75.0
2023-01-08,85.0
2023-01-09,55.0
2023-01-10,40.0
2023-01-11,45.0
2023-01-12,40.0
2023-01-13,40.0
2023-01-14,55.0
2023-01-15,70.0
2023-01-16,55.0
2023-01-17,35.0
2023-01-18,35.0
2023-01-19,35.0
2023-01-20,40.0
2023-01-21,55.0
2023-01-22,200.0
2023-01-23,60.0
2023-01-24,50.0
2023-01-25,45.0
2023-01-26,45.0
2023-01-27,50.0
2023-01-28,120.0
2023-01-29,100.0
2023-01-30,60.0
2023-01-31,50.0
2023-02-01,45.0
2023-02-02,95.0
2023-02-03,175.0
2023-02-04,105.0
