Time,hugh grant
2022-01-01,85
2022-01-02,66
2022-01-03,40
2022-01-04,37
2022-01-05,40
2022-01-06,24
2022-01-07,32
2022-01-08,35
2022-01-09,46
2022-01-10,24
2022-01-11,27
2022-01-12,31
2022-01-13,26
2022-01-14,20
2022-01-15,32
2022-01-16,39
2022-01-17,30
2022-01-18,20
2022-01-19,20
2022-01-20,23
2022-01-21,24
2022-01-22,28
2022-01-23,36
2022-01-24,31
2022-01-25,15
2022-01-26,19
2022-01-27,28
2022-01-28,18
2022-01-29,32
2022-01-30,32
2022-01-31,21
2022-02-01,19
2022-02-02,18
2022-02-03,25
2022-02-04,19
2022-02-05,27
2022-02-06,67
2022-02-07,27
2022-02-08,16
2022-02-09,23
2022-02-10,12
2022-02-11,18
2022-02-12,36
2022-02-13,31
2022-02-14,20
2022-02-15,25
2022-02-16,22
2022-02-17,22
2022-02-18,21
2022-02-19,25
2022-02-20,35
2022-02-21,23
2022-02-22,21
2022-02-23,19
2022-02-24,18
2022-02-25,22
2022-02-26,23
2022-02-27,34
2022-02-28,19
2022-03-01,19
2022-03-02,15
2022-03-03,17
2022-03-04,16
2022-03-05,25
2022-03-06,29
2022-03-07,23
2022-03-08,21
2022-03-09,23
2022-03-10,19
2022-03-11,20
2022-03-12,31
2022-03-13,27
2022-03-14,41
2022-03-15,26
2022-03-16,19
2022-03-17,17
2022-03-18,29
2022-03-19,26
2022-03-20,55
2022-03-21,60
2022-03-22,34
2022-03-23,25
2022-03-24,31
2022-03-25,22
2022-03-26,29
2022-03-27,30
2022-03-28,15
2022-03-29,18
2022-03-30,20
2022-03-31,16
2022-04-01,20
2022-04-02,31
2022-04-03,35
2022-04-04,21
2022-04-05,16
2022-04-06,21
2022-04-07,17
2022-04-08,18
2022-04-09,24
2022-04-10,26
2022-04-11,19
2022-04-12,19
2022-04-13,17
2022-04-14,21
2022-04-15,22
2022-04-16,28
2022-04-17,36
2022-04-18,25
2022-04-19,26
2022-04-20,22
2022-04-21,24
2022-04-22,31
2022-04-23,48
2022-04-24,55
2022-04-25,33
2022-04-26,27
2022-04-27,21
2022-04-28,26
2022-04-29,25
2022-04-30,34
2022-05-01,43
2022-05-02,30
2022-05-03,29
2022-05-04,28
2022-05-05,34
2022-05-06,31
2022-05-07,48
2022-05-08,59
2022-05-09,37
2022-05-10,29
2022-05-11,31
2022-05-12,31
2022-05-13,31
2022-05-14,30
2022-05-15,38
2022-05-16,27
2022-05-17,24
2022-05-18,20
2022-05-19,21
2022-05-20,24
2022-05-21,35
2022-05-22,48
2022-05-23,27
2022-05-24,29
2022-05-25,24
2022-05-26,24
2022-05-27,24
2022-05-28,37
2022-05-29,31
2022-05-30,33
2022-05-31,23
2022-06-01,22
2022-06-02,21
2022-06-03,29
2022-06-04,38
2022-06-05,100
2022-06-06,29
2022-06-07,27
2022-06-08,20
2022-06-09,22
2022-06-10,24
2022-06-11,27
2022-06-12,39
2022-06-13,28
2022-06-14,25
2022-06-15,27
2022-06-16,24
2022-06-17,21
2022-06-18,33
2022-06-19,30
2022-06-20,30
2022-06-21,19
2022-06-22,24
2022-06-23,20
2022-06-24,27
2022-06-25,30
2022-06-26,33
2022-06-27,26
2022-06-28,18
2022-06-29,21
2022-06-30,23
2022-07-01,21
2022-07-02,25
2022-07-03,23
2022-07-04,27
2022-07-05,19
2022-07-06,22
2022-07-07,58
2022-07-08,76
2022-07-09,50
2022-07-10,44
2022-07-11,25
2022-07-12,19
2022-07-13,25
2022-07-14,27
2022-07-15,24
2022-07-16,36
2022-07-17,31
2022-07-18,24
2022-07-19,18
2022-07-20,23
2022-07-21,51
2022-07-22,46
2022-07-23,50
2022-07-24,39
2022-07-25,71
2022-07-26,37
2022-07-27,33
2022-07-28,25
2022-07-29,23
2022-07-30,18
2022-07-31,35
2022-08-01,23
2022-08-02,22
2022-08-03,37
2022-08-04,28
2022-08-05,23
2022-08-06,27
2022-08-07,39
2022-08-08,44
2022-08-09,26
2022-08-10,28
2022-08-11,19
2022-08-12,23
2022-08-13,34
2022-08-14,46
2022-08-15,25
2022-08-16,22
2022-08-17,23
2022-08-18,26
2022-08-19,28
2022-08-20,28
2022-08-21,25
2022-08-22,21
2022-08-23,24
2022-08-24,29
2022-08-25,29
2022-08-26,21
2022-08-27,29
2022-08-28,34
2022-08-29,53
2022-08-30,69
2022-08-31,33
2022-09-01,22
2022-09-02,18
2022-09-03,23
2022-09-04,34
2022-09-05,34
2022-09-06,22
2022-09-07,25
2022-09-08,22
2022-09-09,32
2022-09-10,31
2022-09-11,63
2022-09-12,28
2022-09-13,16
2022-09-14,17
2022-09-15,20
2022-09-16,20
2022-09-17,29
2022-09-18,24
2022-09-19,18
2022-09-20,19
2022-09-21,20
2022-09-22,20
2022-09-23,26
2022-09-24,29
2022-09-25,20
2022-09-26,20
2022-09-27,16
