Time,the pitt
2022-01-01,19
2022-01-02,21
2022-01-03,14
2022-01-04,18
2022-01-05,14
2022-01-06,13
2022-01-07,14
2022-01-08,22
2022-01-09,26
2022-01-10,17
2022-01-11,16
2022-01-12,19
2022-01-13,18
2022-01-14,12
2022-01-15,20
2022-01-16,18
2022-01-17,17
2022-01-18,15
2022-01-19,14
2022-01-20,16
2022-01-21,15
2022-01-22,16
2022-01-23,17
2022-01-24,21
2022-01-25,12
2022-01-26,15
2022-01-27,14
2022-01-28,18
2022-01-29,24
2022-01-30,19
2022-01-31,16
2022-02-01,15
2022-02-02,15
2022-02-03,15
2022-02-04,17
2022-02-05,14
2022-02-06,19
2022-02-07,17
2022-02-08,19
2022-02-09,17
2022-02-10,12
2022-02-11,17
2022-02-12,21
2022-02-13,20
2022-02-14,17
2022-02-15,15
2022-02-16,14
2022-02-17,17
2022-02-18,16
2022-02-19,17
2022-02-20,21
2022-02-21,15
2022-02-22,15
2022-02-23,15
2022-02-24,14
2022-02-25,13
2022-02-26,19
2022-02-27,20
2022-02-28,15
2022-03-01,16
2022-03-02,16
2022-03-03,15
2022-03-04,14
2022-03-05,17
2022-03-06,18
2022-03-07,15
2022-03-08,15
2022-03-09,12
2022-03-10,14
2022-03-11,13
2022-03-12,15
2022-03-13,19
2022-03-14,16
2022-03-15,15
2022-03-16,13
2022-03-17,19
2022-03-18,15
2022-03-19,17
2022-03-20,18
2022-03-21,17
2022-03-22,18
2022-03-23,16
2022-03-24,16
2022-03-25,20
2022-03-26,21
2022-03-27,26
2022-03-28,22
2022-03-29,19
2022-03-30,17
2022-03-31,16
2022-04-01,16
2022-04-02,19
2022-04-03,21
2022-04-04,15
2022-04-05,15
2022-04-06,14
2022-04-07,16
2022-04-08,15
2022-04-09,22
2022-04-10,21
2022-04-11,16
2022-04-12,14
2022-04-13,16
2022-04-14,14
2022-04-15,15
2022-04-16,17
2022-04-17,20
2022-04-18,17
2022-04-19,17
2022-04-20,15
2022-04-21,16
2022-04-22,15
2022-04-23,22
2022-04-24,17
2022-04-25,18
2022-04-26,15
2022-04-27,14
2022-04-28,14
2022-04-29,20
2022-04-30,22
2022-05-01,21
2022-05-02,19
2022-05-03,16
2022-05-04,12
2022-05-05,14
2022-05-06,15
2022-05-07,18
2022-05-08,20
2022-05-09,17
2022-05-10,15
2022-05-11,19
2022-05-12,17
2022-05-13,18
2022-05-14,24
2022-05-15,23
2022-05-16,16
2022-05-17,15
2022-05-18,18
2022-05-19,16
2022-05-20,17
2022-05-21,20
2022-05-22,21
2022-05-23,16
2022-05-24,14
2022-05-25,16
2022-05-26,14
2022-05-27,18
2022-05-28,23
2022-05-29,26
2022-05-30,26
2022-05-31,16
2022-06-01,15
2022-06-02,14
2022-06-03,14
2022-06-04,19
2022-06-05,23
2022-06-06,18
2022-06-07,19
2022-06-08,16
2022-06-09,18
2022-06-10,15
2022-06-11,19
2022-06-12,22
2022-06-13,18
2022-06-14,17
2022-06-15,18
2022-06-16,14
2022-06-17,18
2022-06-18,24
2022-06-19,24
2022-06-20,20
2022-06-21,15
2022-06-22,19
2022-06-23,23
2022-06-24,29
2022-06-25,21
2022-06-26,23
2022-06-27,16
2022-06-28,18
2022-06-29,16
2022-06-30,15
2022-07-01,16
2022-07-02,17
2022-07-03,18
2022-07-04,18
2022-07-05,18
2022-07-06,17
2022-07-07,18
2022-07-08,19
2022-07-09,22
2022-07-10,25
2022-07-11,20
2022-07-12,16
2022-07-13,18
2022-07-14,17
2022-07-15,15
2022-07-16,18
2022-07-17,22
2022-07-18,20
2022-07-19,17
2022-07-20,18
2022-07-21,21
2022-07-22,20
2022-07-23,23
2022-07-24,27
2022-07-25,19
2022-07-26,18
2022-07-27,21
2022-07-28,19
2022-07-29,20
2022-07-30,20
2022-07-31,23
2022-08-01,18
2022-08-02,22
2022-08-03,24
2022-08-04,26
2022-08-05,25
2022-08-06,31
2022-08-07,33
2022-08-08,23
2022-08-09,24
2022-08-10,22
2022-08-11,22
2022-08-12,20
2022-08-13,27
2022-08-14,31
2022-08-15,22
2022-08-16,20
2022-08-17,22
2022-08-18,23
2022-08-19,22
2022-08-20,26
2022-08-21,26
2022-08-22,22
2022-08-23,22
2022-08-24,21
2022-08-25,23
2022-08-26,20
2022-08-27,26
2022-08-28,27
2022-08-29,23
2022-08-30,22
2022-08-31,26
2022-09-01,66
2022-09-02,100
2022-09-03,29
2022-09-04,26
2022-09-05,24
2022-09-06,23
2022-09-07,22
2022-09-08,21
2022-09-09,22
2022-09-10,64
2022-09-11,40
2022-09-12,19
2022-09-13,31
2022-09-14,31
2022-09-15,30
2022-09-16,24
2022-09-17,42
2022-09-18,42
2022-09-19,24
2022-09-20,21
2022-09-21,22
2022-09-22,24
2022-09-23,22
2022-09-24,40
2022-09-25,28
2022-09-26,20
2022-09-27,21
