Time,fine
2022-01-01,79.0
2022-01-02,71.0
2022-01-03,75.0
2022-01-04,87.0
2022-01-05,82.0
2022-01-06,68.0
2022-01-07,79.0
2022-01-08,79.0
2022-01-09,80.0
2022-01-10,68.0
2022-01-11,77.0
2022-01-12,77.0
2022-01-13,100.0
2022-01-14,69.0
2022-01-15,78.0
2022-01-16,73.0
2022-01-17,68.0
2022-01-18,67.0
2022-01-19,76.0
2022-01-20,78.0
2022-01-21,74.0
2022-01-22,83.0
2022-01-23,84.0
2022-01-24,92.0
2022-01-25,76.0
2022-01-26,75.0
2022-01-27,80.0
2022-01-28,86.0
2022-01-29,84.0
2022-01-30,78.0
2022-01-31,79.0
2022-02-01,85.0
2022-02-02,74.0
2022-02-03,80.0
2022-02-04,81.0
2022-02-05,84.0
2022-02-06,84.0
2022-02-07,82.0
2022-02-08,91.0
2022-02-09,85.0
2022-02-10,71.0
2022-02-11,85.0
2022-02-12,90.0
2022-02-13,83.0
2022-02-14,84.0
2022-02-15,87.0
2022-02-16,92.0
2022-02-17,87.0
2022-02-18,89.0
2022-02-19,96.0
2022-02-20,86.0
2022-02-21,79.0
2022-02-22,88.0
2022-02-23,93.0
2022-02-24,80.0
2022-02-25,82.0
2022-02-26,82.0
2022-02-27,84.0
2022-02-28,84.0
2022-03-01,78.0
2022-03-02,81.0
2022-03-03,87.0
2022-03-04,84.0
2022-03-05,87.0
2022-03-06,77.0
2022-03-07,84.0
2022-03-08,80.0
2022-03-09,79.0
2022-03-10,85.0
2022-03-11,84.0
2022-03-12,86.0
2022-03-13,81.0
2022-03-14,84.0
2022-03-15,83.0
2022-03-16,83.0
2022-03-17,82.0
2022-03-18,83.0
2022-03-19,81.0
2022-03-20,78.0
2022-03-21,91.0
2022-03-22,79.0
2022-03-23,84.0
2022-03-24,85.0
2022-03-25,88.0
2022-03-26,89.0
2022-03-27,84.0
2022-03-28,81.0
2022-03-29,83.0
2022-03-30,91.0
2022-03-31,89.0
2022-04-01,87.0
2022-04-02,90.0
2022-04-03,87.0
2022-04-04,84.0
2022-04-05,82.0
2022-04-06,87.0
2022-04-07,85.0
2022-04-08,88.0
2022-04-09,88.0
2022-04-10,83.0
2022-04-11,80.0
2022-04-12,76.0
2022-04-13,84.0
2022-04-14,90.0
2022-04-15,88.0
2022-04-16,90.0
2022-04-17,81.0
2022-04-18,88.0
2022-04-19,90.0
2022-04-20,90.0
2022-04-21,91.0
2022-04-22,83.0
2022-04-23,91.0
2022-04-24,84.0
2022-04-25,83.0
2022-04-26,89.0
2022-04-27,86.0
2022-04-28,88.0
2022-04-29,87.0
2022-04-30,91.0
2022-05-01,83.0
2022-05-02,88.0
2022-05-03,87.0
2022-05-04,86.0
2022-05-05,79.0
2022-05-06,81.0
2022-05-07,94.0
2022-05-08,81.0
2022-05-09,83.0
2022-05-10,83.0
2022-05-11,83.0
2022-05-12,77.0
2022-05-13,82.0
2022-05-14,79.0
2022-05-15,76.0
2022-05-16,68.0
2022-05-17,82.0
2022-05-18,85.0
2022-05-19,90.0
2022-05-20,73.0
2022-05-21,80.0
2022-05-22,70.0
2022-05-23,80.0
2022-05-24,81.0
2022-05-25,80.0
2022-05-26,84.0
2022-05-27,79.0
2022-05-28,76.0
2022-05-29,78.0
2022-05-30,73.0
2022-05-31,75.0
2022-06-01,74.0
2022-06-02,74.0
2022-06-03,74.0
2022-06-04,82.0
2022-06-05,78.0
2022-06-06,73.0
2022-06-07,79.0
2022-06-08,73.0
2022-06-09,77.0
2022-06-10,81.0
2022-06-11,77.0
2022-06-12,77.0
2022-06-13,76.0
2022-06-14,71.0
2022-06-15,78.0
2022-06-16,82.0
2022-06-17,81.0
2022-06-18,80.0
2022-06-19,77.0
2022-06-20,78.0
2022-06-21,77.0
2022-06-22,77.0
2022-06-23,77.0
2022-06-24,75.0
2022-06-25,76.0
2022-06-26,77.0
2022-06-27,79.0
2022-06-28,81.0
2022-06-29,86.0
2022-06-30,79.0
2022-07-01,82.0
2022-07-02,77.0
2022-07-03,82.0
2022-07-04,77.0
2022-07-05,80.0
2022-07-06,80.0
2022-07-07,81.0
2022-07-08,78.0
2022-07-09,84.0
2022-07-10,81.0
2022-07-11,81.0
2022-07-12,82.0
2022-07-13,78.0
2022-07-14,86.0
2022-07-15,88.0
2022-07-16,76.0
2022-07-17,83.0
2022-07-18,83.0
2022-07-19,81.0
2022-07-20,76.0
2022-07-21,83.0
2022-07-22,85.0
2022-07-23,80.0
2022-07-24,78.0
2022-07-25,77.0
2022-07-26,81.0
2022-07-27,81.0
2022-07-28,81.0
2022-07-29,84.0
2022-07-30,78.0
2022-07-31,81.0
2022-08-01,79.0
2022-08-02,77.0
2022-08-03,81.0
2022-08-04,76.0
2022-08-05,83.0
2022-08-06,80.0
2022-08-07,77.0
2022-08-08,79.0
2022-08-09,79.0
2022-08-10,74.0
2022-08-11,78.0
2022-08-12,78.0
2022-08-13,73.0
2022-08-14,80.0
2022-08-15,79.0
2022-08-16,77.0
2022-08-17,87.0
2022-08-18,82.0
2022-08-19,83.0
2022-08-20,79.0
2022-08-21,79.0
2022-08-22,77.0
2022-08-23,83.0
2022-08-24,75.0
2022-08-25,80.0
2022-08-26,76.0
2022-08-27,85.0
2022-08-28,76.0
2022-08-29,79.05813953488372
2022-08-30,77.58139534883722
2022-08-31,83.01162790697674
2022-09-01,81.03488372093024
2022-09-02,84.0
2022-09-03,78.56976744186048
2022-09-04,73.62790697674419
2022-09-05,76.59302325581396
2022-09-06,78.06976744186048
2022-09-07,80.04651162790698
2022-09-08,75.1046511627907
2022-09-09,80.04651162790698
2022-09-10,74.61627906976744
2022-09-11,71.65116279069767
2022-09-12,76.59302325581396
2022-09-13,70.66279069767442
2022-09-14,82.02325581395348
2022-09-15,80.54651162790698
2022-09-16,79.55813953488372
2022-09-17,78.56976744186048
2022-09-18,72.63953488372093
2022-09-19,78.06976744186048
2022-09-20,82.52325581395348
2022-09-21,84.5
2022-09-22,83.01162790697674
2022-09-23,82.02325581395348
2022-09-24,78.06976744186048
2022-09-25,73.12790697674419
2022-09-26,76.09302325581396
2022-09-27,76.18604651162791
2022-09-28,79.11627906976744
2022-09-29,71.30232558139535
2022-09-30,80.09302325581396
2022-10-01,71.30232558139535
2022-10-02,69.34883720930233
2022-10-03,81.06976744186048
2022-10-04,80.09302325581396
2022-10-05,82.04651162790698
2022-10-06,86.93023255813954
2022-10-07,83.0232558139535
2022-10-08,84.97674418604652
2022-10-09,82.04651162790698
2022-10-10,85.95348837209303
2022-10-11,84.97674418604652
2022-10-12,86.93023255813954
2022-10-13,84.0
2022-10-14,79.11627906976744
2022-10-15,88.88372093023257
2022-10-16,81.06976744186048
2022-10-17,84.0
2022-10-18,84.97674418604652
2022-10-19,83.0232558139535
2022-10-20,83.0232558139535
2022-10-21,84.97674418604652
2022-10-22,80.09302325581396
2022-10-23,72.27906976744187
2022-10-24,82.04651162790698
2022-10-25,79.11627906976744
2022-10-26,80.09302325581396
2022-10-27,84.97674418604652
2022-10-28,88.88372093023257
2022-10-29,75.2093023255814
2022-10-30,72.27906976744187
2022-10-31,75.2093023255814
2022-11-01,78.13953488372094
2022-11-02,85.95348837209303
2022-11-03,83.0232558139535
2022-11-04,81.06976744186048
2022-11-05,78.13953488372094
2022-11-06,76.18604651162791
2022-11-07,80.09302325581396
2022-11-08,77.16279069767442
2022-11-09,71.30232558139535
2022-11-10,83.0232558139535
2022-11-11,76.18604651162791
2022-11-12,79.11627906976744
2022-11-13,76.18604651162791
2022-11-14,80.09302325581396
2022-11-15,86.93023255813954
2022-11-16,78.13953488372094
2022-11-17,76.18604651162791
2022-11-18,79.11627906976744
2022-11-19,78.13953488372094
2022-11-20,79.11627906976744
2022-11-21,76.18604651162791
2022-11-22,79.11627906976744
2022-11-23,80.09302325581396
2022-11-24,74.23255813953489
2022-11-25,70.32558139534885
2022-11-26,69.34883720930233
2022-11-27,78.13953488372094
2022-11-28,78.13953488372094
2022-11-29,81.06976744186048
2022-11-30,79.11627906976744
2022-12-01,82.04651162790698
2022-12-02,83.0232558139535
2022-12-03,81.06976744186048
2022-12-04,77.16279069767442
2022-12-05,82.04651162790698
2022-12-06,78.13953488372094
2022-12-07,80.09302325581396
2022-12-08,82.04651162790698
2022-12-09,84.0
2022-12-10,85.95348837209303
2022-12-11,76.18604651162791
2022-12-12,83.0232558139535
2022-12-13,80.09302325581396
2022-12-14,83.0232558139535
2022-12-15,79.11627906976744
2022-12-16,82.04651162790698
2022-12-17,82.04651162790698
2022-12-18,77.16279069767442
2022-12-19,82.04651162790698
2022-12-20,84.97674418604652
2022-12-21,78.13953488372094
2022-12-22,73.25581395348837
2022-12-23,83.0232558139535
2022-12-24,76.18604651162791
2022-12-25,76.18604651162791
2022-12-26,71.30232558139535
2022-12-27,79.11627906976744
2022-12-28,81.06976744186048
2022-12-29,77.16279069767442
2022-12-30,83.0232558139535
2022-12-31,82.04651162790698
2023-01-01,74.23255813953489
2023-01-02,75.2093023255814
2023-01-03,71.30232558139535
2023-01-04,84.97674418604652
2023-01-05,78.13953488372094
2023-01-06,81.06976744186048
2023-01-07,81.06976744186048
2023-01-08,79.11627906976744
2023-01-09,84.0
2023-01-10,88.88372093023257
2023-01-11,85.95348837209303
2023-01-12,86.93023255813954
2023-01-13,89.86046511627907
2023-01-14,85.95348837209303
2023-01-15,79.11627906976744
2023-01-16,84.0
2023-01-17,82.04651162790698
2023-01-18,82.04651162790698
2023-01-19,84.0
2023-01-20,84.97674418604652
2023-01-21,85.95348837209303
2023-01-22,77.16279069767442
2023-01-23,88.88372093023257
2023-01-24,89.86046511627907
2023-01-25,86.93023255813954
2023-01-26,90.83720930232559
2023-01-27,89.86046511627907
2023-01-28,86.93023255813954
2023-01-29,86.93023255813954
2023-01-30,85.95348837209303
2023-01-31,83.0232558139535
2023-02-01,84.0
2023-02-02,86.93023255813954
2023-02-03,97.67441860465117
2023-02-04,89.86046511627907
2023-02-05,92.79069767441861
2023-02-06,84.97674418604652
2023-02-07,90.83720930232559
2023-02-08,88.88372093023257
2023-02-09,91.81395348837209
2023-02-10,93.76744186046513
2023-02-11,93.76744186046513
2023-02-12,81.06976744186048
2023-02-13,82.04651162790698
2023-02-14,92.79069767441861
2023-02-15,85.95348837209303
2023-02-16,87.90697674418605
2023-02-17,90.83720930232559
2023-02-18,82.04651162790698
2023-02-19,83.0232558139535
2023-02-20,83.0232558139535
2023-02-21,85.95348837209303
2023-02-22,85.95348837209303
2023-02-23,84.97674418604652
2023-02-24,85.95348837209303
2023-02-25,87.90697674418605
2023-02-26,87.90697674418605
2023-02-27,84.0
2023-02-28,80.09302325581396
2023-03-01,78.13953488372094
2023-03-02,84.97674418604652
2023-03-03,84.0
2023-03-04,82.04651162790698
2023-03-05,79.11627906976744
2023-03-06,82.04651162790698
2023-03-07,79.11627906976744
2023-03-08,85.95348837209303
2023-03-09,84.97674418604652
2023-03-10,87.90697674418605
2023-03-11,84.0
2023-03-12,77.16279069767442
2023-03-13,79.11627906976744
2023-03-14,86.93023255813954
2023-03-15,86.93023255813954
2023-03-16,79.11627906976744
2023-03-17,84.0
2023-03-18,84.0
2023-03-19,82.04651162790698
2023-03-20,81.06976744186048
2023-03-21,81.06976744186048
2023-03-22,82.04651162790698
2023-03-23,90.83720930232559
2023-03-24,85.95348837209303
2023-03-25,78.13953488372094
2023-03-26,81.06976744186048
2023-03-27,93.76744186046513
2023-03-28,82.04651162790698
2023-03-29,84.0
2023-03-30,86.93023255813954
2023-03-31,80.09302325581396
2023-04-01,81.06976744186048
2023-04-02,78.13953488372094
2023-04-03,84.0
2023-04-04,79.11627906976744
2023-04-05,79.11627906976744
2023-04-06,80.09302325581396
2023-04-07,82.04651162790698
2023-04-08,78.13953488372094
2023-04-09,73.25581395348837
2023-04-10,82.04651162790698
2023-04-11,84.0
2023-04-12,82.04651162790698
2023-04-13,84.0
2023-04-14,89.86046511627907
2023-04-15,83.0232558139535
2023-04-16,82.04651162790698
2023-04-17,83.0232558139535
2023-04-18,84.97674418604652
2023-04-19,85.95348837209303
2023-04-20,85.95348837209303
2023-04-21,81.06976744186048
2023-04-22,80.09302325581396
2023-04-23,84.0
2023-04-24,88.88372093023257
2023-04-25,81.06976744186048
2023-04-26,84.94100964265458
2023-04-27,81.90357345433921
2023-04-28,86.96596710153149
2023-04-29,86.96596710153149
2023-04-30,79.8786159954623
2023-05-01,82.91605218377767
2023-05-02,85.95348837209303
2023-05-03,83.92853091321612
2023-05-04,95.06579693703915
2023-05-05,83.44015882019286
2023-05-06,77.36528644356213
2023-05-07,78.86613726602383
2023-05-08,88.99092456040842
2023-05-09,85.95348837209303
2023-05-10,84.45263754963132
2023-05-11,91.01588201928533
2023-05-12,92.02836074872377
2023-05-13,82.42768009075441
2023-05-14,78.37776517300058
2023-05-15,86.96596710153149
2023-05-16,85.95348837209303
2023-05-17,84.94100964265458
2023-05-18,85.95348837209303
2023-05-19,80.89109472490075
2023-05-20,76.35280771412366
2023-05-21,72.30289279636983
2023-05-22,84.94100964265458
2023-05-23,85.95348837209303
2023-05-24,83.92853091321612
2023-05-25,81.76063528077144
2023-05-26,80.71242200794103
2023-05-27,80.71242200794103
2023-05-28,82.80884855360183
2023-05-29,80.71242200794103
2023-05-30,77.56778218944982
2023-05-31,82.80884855360183
2023-06-01,83.85706182643224
2023-06-02,79.66420873511063
2023-06-03,81.76063528077144
2023-06-04,78.61599546228022
2023-06-05,77.56778218944982
2023-06-06,79.66420873511063
2023-06-07,79.66420873511063
2023-06-08,84.90527509926264
2023-06-09,82.80884855360183
2023-06-10,88.04991491775385
2023-06-11,79.66420873511063
2023-06-12,81.76063528077144
2023-06-13,79.66420873511063
2023-06-14,83.85706182643224
2023-06-15,81.76063528077144
2023-06-16,80.71242200794103
2023-06-17,83.85706182643224
2023-06-18,80.71242200794103
2023-06-19,84.90527509926264
2023-06-20,77.56778218944982
2023-06-21,83.85706182643224
2023-06-22,74.42314237095862
2023-06-23,84.90527509926264
2023-06-24,79.66420873511063
2023-06-25,77.56778218944982
2023-06-26,81.76063528077144
2023-06-27,81.76063528077144
2023-06-28,82.80884855360183
2023-06-29,82.80884855360183
2023-06-30,88.04991491775385
2023-07-01,83.85706182643224
2023-07-02,81.76063528077144
2023-07-03,83.85706182643224
2023-07-04,80.71242200794103
2023-07-05,83.85706182643224
2023-07-06,83.85706182643224
2023-07-07,82.80884855360183
2023-07-08,80.71242200794103
2023-07-09,81.76063528077144
2023-07-10,82.80884855360183
2023-07-11,90.14634146341466
2023-07-12,84.90527509926264
2023-07-13,87.00170164492344
2023-07-14,87.00170164492344
2023-07-15,88.04991491775385
2023-07-16,88.04991491775385
2023-07-17,79.66420873511063
2023-07-18,79.66420873511063
2023-07-19,82.80884855360183
2023-07-20,87.00170164492344
2023-07-21,79.66420873511063
2023-07-22,87.00170164492344
2023-07-23,87.00170164492344
2023-07-24,82.80884855360183
2023-07-25,89.09812819058425
2023-07-26,88.04991491775385
2023-07-27,85.95348837209305
2023-07-28,80.71242200794103
2023-07-29,87.00170164492344
2023-07-30,81.76063528077144
2023-07-31,81.76063528077144
2023-08-01,82.80884855360183
2023-08-02,78.61599546228022
2023-08-03,88.04991491775385
2023-08-04,84.90527509926264
2023-08-05,80.71242200794103
2023-08-06,81.76063528077144
2023-08-07,80.71242200794103
2023-08-08,83.85706182643224
2023-08-09,80.71242200794103
2023-08-10,84.90527509926264
2023-08-11,85.95348837209305
2023-08-12,84.90527509926264
2023-08-13,80.71242200794103
2023-08-14,79.66420873511063
2023-08-15,78.61599546228022
2023-08-16,79.66420873511063
2023-08-17,85.95348837209305
2023-08-18,87.00170164492344
2023-08-19,84.90527509926264
2023-08-20,81.76063528077144
2023-08-21,88.04991491775385
2023-08-22,85.95348837209305
2023-08-23,87.00170164492344
2023-08-24,83.85706182643224
2023-08-25,80.71242200794103
2023-08-26,81.76063528077144
2023-08-27,81.76063528077144
2023-08-28,82.80884855360183
2023-08-29,84.90527509926264
2023-08-30,80.71242200794103
2023-08-31,80.71242200794103
2023-09-01,84.90527509926264
2023-09-02,80.71242200794103
2023-09-03,89.09812819058425
2023-09-04,81.76063528077144
2023-09-05,82.80884855360183
2023-09-06,82.80884855360183
2023-09-07,87.00170164492344
2023-09-08,81.76063528077144
2023-09-09,80.71242200794103
2023-09-10,79.66420873511063
2023-09-11,82.80884855360183
2023-09-12,76.51956891661942
2023-09-13,89.09812819058425
2023-09-14,90.14634146341466
2023-09-15,88.04991491775385
2023-09-16,83.85706182643224
2023-09-17,79.66420873511063
2023-09-18,83.85706182643224
2023-09-19,84.90527509926264
2023-09-20,88.04991491775385
2023-09-21,93.29098128190587
2023-09-22,89.09812819058425
2023-09-23,84.90527509926264
2023-09-24,81.76063528077144
2023-09-25,84.90527509926264
2023-09-26,84.90527509926264
2023-09-27,87.00170164492344
2023-09-28,94.33919455473627
2023-09-29,89.09812819058425
2023-09-30,83.85706182643224
2023-10-01,81.76063528077144
2023-10-02,85.95348837209305
2023-10-03,87.00170164492344
2023-10-04,84.90527509926264
2023-10-05,87.00170164492344
2023-10-06,88.04991491775385
2023-10-07,85.95348837209305
2023-10-08,74.42314237095862
2023-10-09,78.61599546228022
2023-10-10,81.76063528077144
2023-10-11,92.24276800907546
2023-10-12,83.85706182643224
2023-10-13,89.09812819058425
2023-10-14,80.71242200794103
2023-10-15,76.51956891661942
2023-10-16,84.90527509926264
2023-10-17,87.00170164492344
2023-10-18,87.00170164492344
2023-10-19,85.95348837209305
2023-10-20,87.00170164492344
2023-10-21,81.76063528077144
2023-10-22,79.66420873511063
2023-10-23,85.95348837209305
2023-10-24,84.90527509926264
2023-10-25,87.00170164492344
2023-10-26,84.90527509926264
2023-10-27,84.90527509926264
2023-10-28,78.61599546228022
2023-10-29,74.42314237095862
2023-10-30,81.76063528077144
2023-10-31,87.00170164492344
2023-11-01,82.80884855360183
2023-11-02,82.80884855360183
2023-11-03,89.09812819058425
2023-11-04,82.80884855360183
2023-11-05,80.71242200794103
2023-11-06,88.04991491775385
2023-11-07,90.14634146341466
2023-11-08,89.09812819058425
2023-11-09,90.14634146341466
2023-11-10,82.80884855360183
2023-11-11,81.76063528077144
2023-11-12,80.71242200794103
2023-11-13,84.90527509926264
2023-11-14,83.85706182643224
2023-11-15,82.80884855360183
2023-11-16,92.24276800907546
2023-11-17,102.7249007373795
2023-11-18,104.8213272830403
2023-11-19,85.95348837209305
2023-11-20,91.19455473624507
2023-11-21,91.19455473624507
2023-11-22,84.90527509926264
2023-11-23,73.3749290981282
2023-11-24,79.66420873511063
2023-11-25,80.71242200794103
2023-11-26,78.61599546228022
2023-11-27,83.85706182643224
2023-11-28,87.00170164492344
2023-11-29,91.19455473624507
2023-11-30,85.95348837209305
2023-12-01,90.14634146341466
2023-12-02,80.71242200794103
2023-12-03,80.71242200794103
2023-12-04,87.00170164492344
2023-12-05,92.24276800907546
2023-12-06,89.09812819058425
2023-12-07,85.95348837209305
2023-12-08,94.33919455473627
2023-12-09,89.09812819058425
2023-12-10,84.90527509926264
2023-12-11,90.14634146341466
2023-12-12,87.00170164492344
2023-12-13,95.38740782756668
2023-12-14,89.09812819058425
2023-12-15,90.14634146341466
2023-12-16,85.95348837209305
2023-12-17,84.90527509926264
2023-12-18,82.80884855360183
2023-12-19,90.14634146341466
2023-12-20,92.24276800907546
2023-12-21,83.85706182643224
2023-12-22,85.50020695681503
2023-12-23,79.66420873511063
2023-12-24,84.97610032039984
2023-12-25,75.41469546687927
2023-12-26,99.84939675920961
2023-12-27,83.37545032269935
2023-12-28,90.81209854210425
2023-12-29,86.03847863745767
2023-12-30,87.1008569545155
2023-12-31,91.87447685916209
2024-01-01,77.53945210099494
2024-01-02,78.6018304180528
2024-01-03,88.16323527157336
2024-01-04,88.68734190798855
2024-01-05,86.03847863745767
