Time,sentient
2025-12-11,79
2025-12-12,66
2025-12-13,58
2025-12-14,66
2025-12-15,59
2025-12-16,81
2025-12-17,73
2025-12-18,65
2025-12-19,73
2025-12-20,76
2025-12-21,59
2025-12-22,62
2025-12-23,76
2025-12-24,68
2025-12-25,58
2025-12-26,83
2025-12-27,73
2025-12-28,58
2025-12-29,62
2025-12-30,58
2025-12-31,74
2026-01-01,79
2026-01-02,62
2026-01-03,68
2026-01-04,69
2026-01-05,70
2026-01-06,72
2026-01-07,78
2026-01-08,69
2026-01-09,76
2026-01-10,59
2026-01-11,63
2026-01-12,73
2026-01-13,82
2026-01-14,70
2026-01-15,71
2026-01-16,70
2026-01-17,71
2026-01-18,81
2026-01-19,69
2026-01-20,72
2026-01-21,78
2026-01-22,76
2026-01-23,74
2026-01-24,82
2026-01-25,85
2026-01-26,80
2026-01-27,71
2026-01-28,69
2026-01-29,69
2026-01-30,69
2026-01-31,84
2026-02-01,86
2026-02-02,68
2026-02-03,85
2026-02-04,72
2026-02-05,86
2026-02-06,79
2026-02-07,74
2026-02-08,65
2026-02-09,57
2026-02-10,69
2026-02-11,79
2026-02-12,74
2026-02-13,86
2026-02-14,82
2026-02-15,75
2026-02-16,80
2026-02-17,83
2026-02-18,71
2026-02-19,74
2026-02-20,66
2026-02-21,72
2026-02-22,68
2026-02-23,73
2026-02-24,69
2026-02-25,62
2026-02-26,72
2026-02-27,74
2026-02-28,62
2026-03-01,67
2026-03-02,70
2026-03-03,78
2026-03-04,82
2026-03-05,80
2026-03-06,88
2026-03-07,86
2026-03-08,78
2026-03-09,72
2026-03-10,74
2026-03-11,69
2026-03-12,89
2026-03-13,68
2026-03-14,96
2026-03-15,76
2026-03-16,75
2026-03-17,71
2026-03-18,71
2026-03-19,85
2026-03-20,71
2026-03-21,75
2026-03-22,72
2026-03-23,82
2026-03-24,81
2026-03-25,65
2026-03-26,76
2026-03-27,75
2026-03-28,83
2026-03-29,89
2026-03-30,75
2026-03-31,79
2026-04-01,62
2026-04-02,62
2026-04-03,74
2026-04-04,76
2026-04-05,100
2026-04-06,62
2026-04-07,70
2026-04-08,86
2026-04-09,69
2026-04-10,73
2026-04-11,82
2026-04-12,67
2026-04-13,79
2026-04-14,84
2026-04-15,81
2026-04-16,68
2026-04-17,79
2026-04-18,75
2026-04-19,79
2026-04-20,65
2026-04-21,92
2026-04-22,76
2026-04-23,78
2026-04-24,78
2026-04-25,74
2026-04-26,98
2026-04-27,75
2026-04-28,87
2026-04-29,100
2026-04-30,77
2026-05-01,72
2026-05-02,84
2026-05-03,87
2026-05-04,75
2026-05-05,69
2026-05-06,68
2026-05-07,87
2026-05-08,77
2026-05-09,74
2026-05-10,85
2026-05-11,76
2026-05-12,72
2026-05-13,82
2026-05-14,64
2026-05-15,82
2026-05-16,87
2026-05-17,73
2026-05-18,78
2026-05-19,80
2026-05-20,67
2026-05-21,87
2026-05-22,72
2026-05-23,90
2026-05-24,96
2026-05-25,88
2026-05-26,84
2026-05-27,63
2026-05-28,74
2026-05-29,80
2026-05-30,91
2026-05-31,90
