Time,victoria_secret
2022-01-01,85.0
2022-01-02,100.0
2022-01-03,83.0
2022-01-04,85.0
2022-01-05,81.0
2022-01-06,68.0
2022-01-07,78.0
2022-01-08,79.0
2022-01-09,81.0
2022-01-10,63.0
2022-01-11,64.0
2022-01-12,64.0
2022-01-13,70.0
2022-01-14,68.0
2022-01-15,76.0
2022-01-16,69.0
2022-01-17,65.0
2022-01-18,57.0
2022-01-19,62.0
2022-01-20,62.0
2022-01-21,62.0
2022-01-22,76.0
2022-01-23,73.0
2022-01-24,76.0
2022-01-25,50.0
2022-01-26,52.0
2022-01-27,56.0
2022-01-28,61.0
2022-01-29,68.0
2022-01-30,69.0
2022-01-31,62.0
2022-02-01,64.0
2022-02-02,61.0
2022-02-03,62.0
2022-02-04,67.0
2022-02-05,80.0
2022-02-06,75.0
2022-02-07,67.0
2022-02-08,65.0
2022-02-09,61.0
2022-02-10,59.0
2022-02-11,72.0
2022-02-12,76.0
2022-02-13,71.0
2022-02-14,62.0
2022-02-15,64.0
2022-02-16,59.0
2022-02-17,76.0
2022-02-18,80.0
2022-02-19,80.0
2022-02-20,76.0
2022-02-21,67.0
2022-02-22,63.0
2022-02-23,65.0
2022-02-24,61.0
2022-02-25,64.0
2022-02-26,65.0
2022-02-27,66.0
2022-02-28,63.0
2022-03-01,58.0
2022-03-02,60.0
2022-03-03,59.0
2022-03-04,65.0
2022-03-05,68.0
2022-03-06,68.0
2022-03-07,63.0
2022-03-08,63.0
2022-03-09,62.0
2022-03-10,59.0
2022-03-11,58.0
2022-03-12,61.0
2022-03-13,63.0
2022-03-14,55.0
2022-03-15,55.0
2022-03-16,54.0
2022-03-17,62.0
2022-03-18,63.0
2022-03-19,67.0
2022-03-20,65.0
2022-03-21,53.0
2022-03-22,48.0
2022-03-23,55.0
2022-03-24,52.0
2022-03-25,61.0
2022-03-26,69.0
2022-03-27,70.0
2022-03-28,52.0
2022-03-29,48.0
2022-03-30,57.0
2022-03-31,53.0
2022-04-01,56.0
2022-04-02,65.0
2022-04-03,64.0
2022-04-04,49.0
2022-04-05,46.0
2022-04-06,47.0
2022-04-07,46.0
2022-04-08,52.0
2022-04-09,57.0
2022-04-10,60.0
