Time,olivia dunne
2022-01-01,11
2022-01-02,0
2022-01-03,20
2022-01-04,14
2022-01-05,14
2022-01-06,0
2022-01-07,8
2022-01-08,20
2022-01-09,10
2022-01-10,0
2022-01-11,7
2022-01-12,8
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,8
2022-01-17,11
2022-01-18,8
2022-01-19,6
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,11
2022-01-24,0
2022-01-25,0
2022-01-26,9
2022-01-27,0
2022-01-28,0
2022-01-29,13
2022-01-30,15
2022-01-31,7
2022-02-01,8
2022-02-02,10
2022-02-03,9
2022-02-04,14
2022-02-05,9
2022-02-06,19
2022-02-07,9
2022-02-08,11
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,9
2022-02-13,20
2022-02-14,18
2022-02-15,11
2022-02-16,6
2022-02-17,6
2022-02-18,6
2022-02-19,31
2022-02-20,18
2022-02-21,43
2022-02-22,28
2022-02-23,9
2022-02-24,6
2022-02-25,9
2022-02-26,9
2022-02-27,0
2022-02-28,8
2022-03-01,6
2022-03-02,8
2022-03-03,9
2022-03-04,6
2022-03-05,8
2022-03-06,9
2022-03-07,9
2022-03-08,8
2022-03-09,6
2022-03-10,6
2022-03-11,0
2022-03-12,10
2022-03-13,7
2022-03-14,7
2022-03-15,12
2022-03-16,13
2022-03-17,5
2022-03-18,8
2022-03-19,9
2022-03-20,12
2022-03-21,12
2022-03-22,6
2022-03-23,0
2022-03-24,14
2022-03-25,11
2022-03-26,7
2022-03-27,9
2022-03-28,5
2022-03-29,10
2022-03-30,5
2022-03-31,14
2022-04-01,9
2022-04-02,8
2022-04-03,6
2022-04-04,12
2022-04-05,7
2022-04-06,7
2022-04-07,8
2022-04-08,9
2022-04-09,8
2022-04-10,8
2022-04-11,9
2022-04-12,8
2022-04-13,6
2022-04-14,0
2022-04-15,11
2022-04-16,9
2022-04-17,11
2022-04-18,7
2022-04-19,16
2022-04-20,22
2022-04-21,38
2022-04-22,33
2022-04-23,10
2022-04-24,9
2022-04-25,10
2022-04-26,9
2022-04-27,8
2022-04-28,6
2022-04-29,7
2022-04-30,5
2022-05-01,6
2022-05-02,8
2022-05-03,5
2022-05-04,6
2022-05-05,7
2022-05-06,8
2022-05-07,8
2022-05-08,0
2022-05-09,0
2022-05-10,6
2022-05-11,6
2022-05-12,13
2022-05-13,0
2022-05-14,6
2022-05-15,12
2022-05-16,0
2022-05-17,0
2022-05-18,6
2022-05-19,0
2022-05-20,7
2022-05-21,0
2022-05-22,8
2022-05-23,0
2022-05-24,7
2022-05-25,7
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,8
2022-05-30,9
2022-05-31,8
2022-06-01,15
2022-06-02,50
2022-06-03,33
2022-06-04,18
2022-06-05,20
2022-06-06,8
2022-06-07,8
2022-06-08,6
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,8
2022-06-14,0
2022-06-15,11
2022-06-16,7
2022-06-17,0
2022-06-18,0
2022-06-19,7
2022-06-20,8
2022-06-21,10
2022-06-22,6
2022-06-23,7
2022-06-24,0
2022-06-25,0
2022-06-26,7
2022-06-27,11
2022-06-28,0
2022-06-29,28
2022-06-30,20
2022-07-01,18
2022-07-02,7
2022-07-03,14
2022-07-04,29
2022-07-05,56
2022-07-06,34
2022-07-07,15
2022-07-08,15
2022-07-09,9
2022-07-10,7
2022-07-11,8
2022-07-12,15
2022-07-13,9
2022-07-14,6
2022-07-15,0
2022-07-16,13
2022-07-17,9
2022-07-18,22
2022-07-19,18
2022-07-20,14
2022-07-21,30
2022-07-22,39
2022-07-23,36
2022-07-24,20
2022-07-25,13
2022-07-26,39
2022-07-27,34
2022-07-28,50
2022-07-29,41
2022-07-30,19
2022-07-31,9
2022-08-01,12
2022-08-02,15
2022-08-03,8
2022-08-04,11
2022-08-05,14
2022-08-06,22
2022-08-07,31
2022-08-08,18
2022-08-09,34
2022-08-10,47
2022-08-11,17
2022-08-12,8
2022-08-13,13
2022-08-14,10
2022-08-15,6
2022-08-16,7
2022-08-17,10
2022-08-18,7
2022-08-19,8
2022-08-20,11
2022-08-21,14
2022-08-22,11
2022-08-23,15
2022-08-24,7
2022-08-25,9
2022-08-26,13
2022-08-27,10
2022-08-28,32
2022-08-29,35
2022-08-30,40
2022-08-31,43
2022-09-01,28
2022-09-02,23
2022-09-03,11
2022-09-04,31
2022-09-05,59
2022-09-06,63
2022-09-07,27
2022-09-08,16
2022-09-09,18
2022-09-10,17
2022-09-11,18
2022-09-12,19
2022-09-13,32
2022-09-14,42
2022-09-15,28
2022-09-16,32
2022-09-17,19
2022-09-18,12
2022-09-19,17
2022-09-20,19
2022-09-21,34
2022-09-22,47
2022-09-23,100
2022-09-24,88
2022-09-25,51
2022-09-26,23
2022-09-27,19
