Time,robert kennedy
2022-01-01,16
2022-01-02,21
2022-01-03,19
2022-01-04,21
2022-01-05,20
2022-01-06,18
2022-01-07,19
2022-01-08,22
2022-01-09,20
2022-01-10,14
2022-01-11,20
2022-01-12,21
2022-01-13,33
2022-01-14,51
2022-01-15,23
2022-01-16,20
2022-01-17,23
2022-01-18,23
2022-01-19,17
2022-01-20,16
2022-01-21,16
2022-01-22,18
2022-01-23,44
2022-01-24,88
2022-01-25,100
2022-01-26,74
2022-01-27,34
2022-01-28,31
2022-01-29,22
2022-01-30,21
2022-01-31,19
2022-02-01,17
2022-02-02,17
2022-02-03,14
2022-02-04,16
2022-02-05,13
2022-02-06,13
2022-02-07,12
2022-02-08,12
2022-02-09,13
2022-02-10,11
2022-02-11,11
2022-02-12,11
2022-02-13,11
2022-02-14,10
2022-02-15,12
2022-02-16,14
2022-02-17,15
2022-02-18,11
2022-02-19,12
2022-02-20,10
2022-02-21,12
2022-02-22,13
2022-02-23,11
2022-02-24,9
2022-02-25,8
2022-02-26,24
2022-02-27,28
2022-02-28,13
2022-03-01,11
2022-03-02,10
2022-03-03,11
2022-03-04,11
2022-03-05,9
2022-03-06,10
2022-03-07,11
2022-03-08,7
2022-03-09,10
2022-03-10,12
2022-03-11,11
2022-03-12,9
2022-03-13,10
2022-03-14,11
2022-03-15,10
2022-03-16,10
2022-03-17,9
2022-03-18,12
2022-03-19,10
2022-03-20,12
2022-03-21,13
2022-03-22,18
2022-03-23,17
2022-03-24,14
2022-03-25,15
2022-03-26,12
2022-03-27,10
2022-03-28,13
2022-03-29,14
2022-03-30,16
2022-03-31,16
2022-04-01,15
2022-04-02,11
2022-04-03,12
2022-04-04,16
2022-04-05,14
2022-04-06,15
2022-04-07,15
2022-04-08,15
2022-04-09,9
2022-04-10,13
2022-04-11,13
2022-04-12,12
2022-04-13,12
2022-04-14,16
2022-04-15,13
2022-04-16,10
2022-04-17,13
2022-04-18,16
2022-04-19,15
2022-04-20,17
2022-04-21,14
2022-04-22,15
2022-04-23,11
2022-04-24,11
2022-04-25,15
2022-04-26,19
2022-04-27,21
2022-04-28,30
2022-04-29,23
2022-04-30,24
2022-05-01,21
2022-05-02,28
2022-05-03,26
2022-05-04,23
2022-05-05,22
2022-05-06,17
2022-05-07,15
2022-05-08,12
2022-05-09,19
2022-05-10,20
2022-05-11,19
2022-05-12,16
2022-05-13,14
2022-05-14,11
2022-05-15,12
2022-05-16,15
2022-05-17,15
2022-05-18,14
2022-05-19,19
2022-05-20,15
2022-05-21,9
2022-05-22,13
2022-05-23,12
2022-05-24,12
2022-05-25,12
2022-05-26,9
2022-05-27,11
2022-05-28,8
2022-05-29,11
2022-05-30,9
2022-05-31,59
2022-06-01,11
2022-06-02,9
2022-06-03,12
2022-06-04,9
2022-06-05,21
2022-06-06,33
2022-06-07,13
2022-06-08,13
2022-06-09,10
2022-06-10,7
2022-06-11,8
2022-06-12,8
2022-06-13,9
2022-06-14,8
2022-06-15,8
2022-06-16,9
2022-06-17,6
2022-06-18,9
2022-06-19,9
2022-06-20,7
2022-06-21,9
2022-06-22,7
2022-06-23,6
2022-06-24,8
2022-06-25,10
2022-06-26,9
2022-06-27,11
2022-06-28,7
2022-06-29,12
2022-06-30,8
2022-07-01,9
2022-07-02,11
2022-07-03,11
2022-07-04,10
2022-07-05,10
2022-07-06,8
2022-07-07,9
2022-07-08,10
2022-07-09,10
2022-07-10,7
2022-07-11,10
2022-07-12,9
2022-07-13,9
2022-07-14,8
2022-07-15,8
2022-07-16,7
2022-07-17,10
2022-07-18,11
2022-07-19,10
2022-07-20,8
2022-07-21,10
2022-07-22,7
2022-07-23,7
2022-07-24,9
2022-07-25,9
2022-07-26,10
2022-07-27,9
2022-07-28,11
2022-07-29,9
2022-07-30,9
2022-07-31,11
2022-08-01,6
2022-08-02,10
2022-08-03,10
2022-08-04,9
2022-08-05,8
2022-08-06,9
2022-08-07,8
2022-08-08,8
2022-08-09,9
2022-08-10,9
2022-08-11,10
2022-08-12,8
2022-08-13,11
2022-08-14,12
2022-08-15,9
2022-08-16,9
2022-08-17,9
2022-08-18,11
2022-08-19,13
2022-08-20,11
2022-08-21,13
2022-08-22,13
2022-08-23,9
2022-08-24,9
2022-08-25,11
2022-08-26,13
2022-08-27,12
2022-08-28,16
2022-08-29,11
2022-08-30,9
2022-08-31,9
2022-09-01,9
2022-09-02,9
2022-09-03,15
2022-09-04,24
2022-09-05,22
2022-09-06,13
2022-09-07,14
2022-09-08,11
2022-09-09,8
2022-09-10,9
2022-09-11,11
2022-09-12,8
2022-09-13,9
2022-09-14,9
2022-09-15,10
2022-09-16,8
2022-09-17,9
2022-09-18,13
2022-09-19,8
2022-09-20,9
2022-09-21,9
2022-09-22,10
2022-09-23,6
2022-09-24,7
2022-09-25,9
2022-09-26,9
2022-09-27,9
