Time,la liga
2022-01-01,16
2022-01-02,50
2022-01-03,23
2022-01-04,13
2022-01-05,11
2022-01-06,7
2022-01-07,10
2022-01-08,52
2022-01-09,37
2022-01-10,14
2022-01-11,9
2022-01-12,13
2022-01-13,8
2022-01-14,7
2022-01-15,23
2022-01-16,23
2022-01-17,9
2022-01-18,9
2022-01-19,14
2022-01-20,14
2022-01-21,11
2022-01-22,39
2022-01-23,60
2022-01-24,17
2022-01-25,6
2022-01-26,5
2022-01-27,5
2022-01-28,5
2022-01-29,9
2022-01-30,7
2022-01-31,5
2022-02-01,5
2022-02-02,5
2022-02-03,7
2022-02-04,8
2022-02-05,30
2022-02-06,77
2022-02-07,22
2022-02-08,11
2022-02-09,9
2022-02-10,8
2022-02-11,14
2022-02-12,54
2022-02-13,62
2022-02-14,18
2022-02-15,8
2022-02-16,11
2022-02-17,11
2022-02-18,10
2022-02-19,52
2022-02-20,61
2022-02-21,21
2022-02-22,10
2022-02-23,8
2022-02-24,8
2022-02-25,12
2022-02-26,50
2022-02-27,63
2022-02-28,22
2022-03-01,10
2022-03-02,13
2022-03-03,13
2022-03-04,14
2022-03-05,52
2022-03-06,70
2022-03-07,19
2022-03-08,9
2022-03-09,8
2022-03-10,8
2022-03-11,12
2022-03-12,34
2022-03-13,65
2022-03-14,32
2022-03-15,14
2022-03-16,10
2022-03-17,10
2022-03-18,13
2022-03-19,38
2022-03-20,100
2022-03-21,32
2022-03-22,10
2022-03-23,7
2022-03-24,6
2022-03-25,5
2022-03-26,8
2022-03-27,8
2022-03-28,4
2022-03-29,4
2022-03-30,4
2022-03-31,5
2022-04-01,6
2022-04-02,47
2022-04-03,72
2022-04-04,21
2022-04-05,9
2022-04-06,9
2022-04-07,9
2022-04-08,13
2022-04-09,62
2022-04-10,63
2022-04-11,20
2022-04-12,11
2022-04-13,9
2022-04-14,10
2022-04-15,14
2022-04-16,36
2022-04-17,80
2022-04-18,41
2022-04-19,22
2022-04-20,35
2022-04-21,40
2022-04-22,18
2022-04-23,32
2022-04-24,58
2022-04-25,22
2022-04-26,9
2022-04-27,8
2022-04-28,8
2022-04-29,13
2022-04-30,55
2022-05-01,55
2022-05-02,20
2022-05-03,10
2022-05-04,8
2022-05-05,8
2022-05-06,10
2022-05-07,43
2022-05-08,58
2022-05-09,19
2022-05-10,20
2022-05-11,22
2022-05-12,26
2022-05-13,18
2022-05-14,26
2022-05-15,60
2022-05-16,19
2022-05-17,10
2022-05-18,9
2022-05-19,12
2022-05-20,20
2022-05-21,28
2022-05-22,48
2022-05-23,18
2022-05-24,7
2022-05-25,5
2022-05-26,6
2022-05-27,8
2022-05-28,8
2022-05-29,9
2022-05-30,12
2022-05-31,4
2022-06-01,3
2022-06-02,3
2022-06-03,3
2022-06-04,3
2022-06-05,4
2022-06-06,3
2022-06-07,3
2022-06-08,3
2022-06-09,3
2022-06-10,3
2022-06-11,4
2022-06-12,3
2022-06-13,3
2022-06-14,3
2022-06-15,3
2022-06-16,3
2022-06-17,3
2022-06-18,3
2022-06-19,4
2022-06-20,2
2022-06-21,2
2022-06-22,2
2022-06-23,4
2022-06-24,3
2022-06-25,3
2022-06-26,4
2022-06-27,3
2022-06-28,2
2022-06-29,2
2022-06-30,2
2022-07-01,3
2022-07-02,6
2022-07-03,7
2022-07-04,5
2022-07-05,3
2022-07-06,3
2022-07-07,3
2022-07-08,3
2022-07-09,6
2022-07-10,8
2022-07-11,3
2022-07-12,3
2022-07-13,3
2022-07-14,5
2022-07-15,3
2022-07-16,6
2022-07-17,7
2022-07-18,4
2022-07-19,4
2022-07-20,4
2022-07-21,4
2022-07-22,4
2022-07-23,6
2022-07-24,9
2022-07-25,4
2022-07-26,4
2022-07-27,5
2022-07-28,5
2022-07-29,4
2022-07-30,7
2022-07-31,10
2022-08-01,6
2022-08-02,4
2022-08-03,4
2022-08-04,5
2022-08-05,9
2022-08-06,15
2022-08-07,17
2022-08-08,9
2022-08-09,5
2022-08-10,7
2022-08-11,8
2022-08-12,18
2022-08-13,52
2022-08-14,58
2022-08-15,24
2022-08-16,11
2022-08-17,9
2022-08-18,10
2022-08-19,16
2022-08-20,48
2022-08-21,67
2022-08-22,22
2022-08-23,10
2022-08-24,12
2022-08-25,9
2022-08-26,16
2022-08-27,42
2022-08-28,86
2022-08-29,28
2022-08-30,12
2022-08-31,12
2022-09-01,11
2022-09-02,16
2022-09-03,74
2022-09-04,37
2022-09-05,18
2022-09-06,9
2022-09-07,10
2022-09-08,10
2022-09-09,12
2022-09-10,69
2022-09-11,56
2022-09-12,16
2022-09-13,8
2022-09-14,9
2022-09-15,10
2022-09-16,13
2022-09-17,59
2022-09-18,71
2022-09-19,21
2022-09-20,9
2022-09-21,6
2022-09-22,5
2022-09-23,5
2022-09-24,10
2022-09-25,7
2022-09-26,5
2022-09-27,4
