Time,fedex
2025-12-11,93
2025-12-12,89
2025-12-13,72
2025-12-14,48
2025-12-15,85
2025-12-16,95
2025-12-17,98
2025-12-18,97
2025-12-19,97
2025-12-20,74
2025-12-21,54
2025-12-22,96
2025-12-23,100
2025-12-24,85
2025-12-25,33
2025-12-26,64
2025-12-27,54
2025-12-28,42
2025-12-29,76
2025-12-30,80
2025-12-31,74
2026-01-01,33
2026-01-02,67
2026-01-03,58
2026-01-04,41
2026-01-05,76
2026-01-06,76
2026-01-07,75
2026-01-08,71
2026-01-09,70
2026-01-10,50
2026-01-11,34
2026-01-12,69
2026-01-13,71
2026-01-14,67
2026-01-15,66
2026-01-16,67
2026-01-17,48
2026-01-18,33
2026-01-19,70
2026-01-20,71
2026-01-21,69
2026-01-22,67
2026-01-23,65
2026-01-24,45
2026-01-25,26
2026-01-26,60
2026-01-27,75
2026-01-28,83
2026-01-29,92
2026-01-30,91
2026-01-31,63
2026-02-01,43
2026-02-02,80
2026-02-03,83
2026-02-04,84
2026-02-05,75
2026-02-06,73
2026-02-07,50
2026-02-08,32
2026-02-09,62
2026-02-10,73
2026-02-11,76
2026-02-12,72
2026-02-13,70
2026-02-14,46
2026-02-15,31
2026-02-16,64
2026-02-17,64
2026-02-18,69
2026-02-19,64
2026-02-20,62
2026-02-21,43
2026-02-22,29
2026-02-23,62
2026-02-24,72
2026-02-25,71
2026-02-26,73
2026-02-27,69
2026-02-28,52
2026-03-01,36
2026-03-02,70
2026-03-03,77
2026-03-04,75
2026-03-05,77
2026-03-06,70
2026-03-07,52
2026-03-08,34
2026-03-09,72
2026-03-10,76
2026-03-11,77
2026-03-12,77
2026-03-13,70
2026-03-14,50
2026-03-15,36
2026-03-16,72
2026-03-17,76
2026-03-18,77
2026-03-19,76
2026-03-20,70
2026-03-21,50
2026-03-22,35
2026-03-23,70
2026-03-24,75
2026-03-25,78
2026-03-26,75
2026-03-27,70
2026-03-28,47
2026-03-29,33
2026-03-30,70
2026-03-31,75
2026-04-01,70
2026-04-02,72
2026-04-03,71
2026-04-04,42
2026-04-05,27
2026-04-06,72
2026-04-07,74
2026-04-08,79
2026-04-09,76
2026-04-10,71
2026-04-11,51
2026-04-12,33
2026-04-13,72
2026-04-14,72
2026-04-15,76
2026-04-16,74
2026-04-17,74
2026-04-18,52
2026-04-19,36
2026-04-20,71
2026-04-21,82
2026-04-22,77
2026-04-23,77
2026-04-24,71
2026-04-25,49
2026-04-26,35
2026-04-27,73
2026-04-28,77
2026-04-29,76
2026-04-30,77
2026-05-01,70
2026-05-02,47
2026-05-03,38
2026-05-04,73
2026-05-05,76
2026-05-06,91
2026-05-07,78
2026-05-08,75
2026-05-09,55
2026-05-10,35
2026-05-11,72
2026-05-12,79
2026-05-13,76
2026-05-14,74
2026-05-15,73
2026-05-16,51
2026-05-17,38
2026-05-18,72
2026-05-19,77
2026-05-20,79
2026-05-21,83
2026-05-22,74
2026-05-23,53
2026-05-24,37
2026-05-25,42
2026-05-26,84
2026-05-27,87
2026-05-28,88
2026-05-29,81
2026-05-30,53
2026-05-31,40
