Time,amber_rose
2022-01-01,37.0
2022-01-02,18.0
2022-01-03,16.0
2022-01-04,21.0
2022-01-05,20.0
2022-01-06,15.0
2022-01-07,20.0
2022-01-08,25.0
2022-01-09,19.0
2022-01-10,14.0
2022-01-11,17.0
2022-01-12,13.0
2022-01-13,22.0
2022-01-14,13.0
2022-01-15,20.0
2022-01-16,30.0
2022-01-17,56.0
2022-01-18,37.0
2022-01-19,24.0
2022-01-20,15.0
2022-01-21,17.0
2022-01-22,21.0
2022-01-23,20.0
2022-01-24,15.0
2022-01-25,16.0
2022-01-26,19.0
2022-01-27,20.0
2022-01-28,15.0
2022-01-29,24.0
2022-01-30,20.0
2022-01-31,16.0
2022-02-01,15.0
2022-02-02,16.0
2022-02-03,17.0
2022-02-04,15.0
2022-02-05,20.0
2022-02-06,20.0
2022-02-07,15.0
2022-02-08,15.0
2022-02-09,18.0
2022-02-10,15.0
2022-02-11,21.0
2022-02-12,17.0
2022-02-13,19.0
2022-02-14,19.0
2022-02-15,28.0
2022-02-16,18.0
2022-02-17,21.0
2022-02-18,18.0
2022-02-19,24.0
2022-02-20,35.0
2022-02-21,22.0
2022-02-22,17.0
2022-02-23,22.0
2022-02-24,18.0
2022-02-25,16.0
2022-02-26,19.0
2022-02-27,21.0
2022-02-28,17.0
2022-03-01,12.0
2022-03-02,20.0
2022-03-03,26.0
2022-03-04,28.0
2022-03-05,24.0
2022-03-06,20.0
2022-03-07,23.0
2022-03-08,36.0
2022-03-09,57.0
2022-03-10,38.0
2022-03-11,28.0
2022-03-12,26.0
2022-03-13,24.0
2022-03-14,21.0
2022-03-15,19.0
2022-03-16,21.0
2022-03-17,21.0
2022-03-18,20.0
2022-03-19,22.0
2022-03-20,24.0
2022-03-21,19.0
2022-03-22,20.0
2022-03-23,18.0
2022-03-24,19.0
2022-03-25,14.0
2022-03-26,15.0
2022-03-27,18.0
2022-03-28,18.0
2022-03-29,20.0
2022-03-30,21.0
2022-03-31,17.0
2022-04-01,12.0
2022-04-02,19.0
2022-04-03,18.0
2022-04-04,17.0
2022-04-05,15.0
2022-04-06,17.0
2022-04-07,13.0
2022-04-08,17.0
2022-04-09,23.0
2022-04-10,18.0
2022-04-11,18.0
2022-04-12,18.0
2022-04-13,22.0
2022-04-14,21.0
2022-04-15,22.0
2022-04-16,25.0
2022-04-17,23.0
2022-04-18,22.0
2022-04-19,28.0
2022-04-20,41.0
2022-04-21,53.0
2022-04-22,49.0
2022-04-23,42.0
2022-04-24,37.0
2022-04-25,33.0
2022-04-26,37.0
2022-04-27,33.0
2022-04-28,32.0
2022-04-29,33.0
2022-04-30,32.0
2022-05-01,30.0
2022-05-02,27.0
2022-05-03,33.0
2022-05-04,44.0
2022-05-05,69.0
2022-05-06,50.0
2022-05-07,47.0
2022-05-08,44.0
2022-05-09,39.0
2022-05-10,31.0
2022-05-11,30.0
2022-05-12,24.0
2022-05-13,22.0
2022-05-14,25.0
2022-05-15,27.0
2022-05-16,25.0
2022-05-17,34.0
2022-05-18,33.0
2022-05-19,28.0
2022-05-20,29.0
2022-05-21,28.0
2022-05-22,29.0
2022-05-23,20.0
2022-05-24,27.0
2022-05-25,27.0
2022-05-26,24.0
2022-05-27,33.0
2022-05-28,26.0
2022-05-29,30.0
2022-05-30,29.0
2022-05-31,27.0
2022-06-01,34.0
2022-06-02,34.0
2022-06-03,25.0
2022-06-04,30.0
2022-06-05,31.0
2022-06-06,19.0
2022-06-07,17.0
2022-06-08,21.0
2022-06-09,19.0
2022-06-10,17.0
2022-06-11,18.0
2022-06-12,20.0
2022-06-13,14.0
2022-06-14,16.0
2022-06-15,16.0
2022-06-16,16.0
2022-06-17,16.0
2022-06-18,20.0
2022-06-19,18.0
2022-06-20,18.0
2022-06-21,18.0
2022-06-22,18.0
2022-06-23,21.0
2022-06-24,35.0
2022-06-25,34.0
2022-06-26,27.0
2022-06-27,20.0
2022-06-28,23.0
2022-06-29,30.0
2022-06-30,23.0
2022-07-01,21.0
2022-07-02,19.0
2022-07-03,18.0
2022-07-04,20.0
2022-07-05,16.0
2022-07-06,15.0
2022-07-07,17.0
2022-07-08,19.0
2022-07-09,19.0
2022-07-10,20.0
2022-07-11,15.0
2022-07-12,18.0
2022-07-13,17.0
2022-07-14,23.0
2022-07-15,19.0
2022-07-16,25.0
2022-07-17,39.0
2022-07-18,38.0
2022-07-19,37.0
2022-07-20,31.0
2022-07-21,22.0
2022-07-22,19.0
2022-07-23,19.0
2022-07-24,22.0
2022-07-25,16.0
2022-07-26,100.0
2022-07-27,35.0
2022-07-28,28.0
2022-07-29,28.0
2022-07-30,27.0
2022-07-31,23.0
2022-08-01,19.0
2022-08-02,21.0
2022-08-03,25.0
2022-08-04,21.0
2022-08-05,20.0
2022-08-06,21.0
2022-08-07,19.0
2022-08-08,19.0
2022-08-09,25.0
2022-08-10,19.0
2022-08-11,22.0
2022-08-12,17.0
2022-08-13,24.0
2022-08-14,27.0
2022-08-15,16.0
2022-08-16,19.0
2022-08-17,21.0
2022-08-18,17.0
2022-08-19,15.0
2022-08-20,18.0
2022-08-21,22.0
2022-08-22,18.0
2022-08-23,18.0
2022-08-24,12.0
2022-08-25,16.0
2022-08-26,13.0
2022-08-27,18.0
2022-08-28,20.0
2022-08-29,17.36832363828662
2022-08-30,16.18614489687996
2022-08-31,21.07377049180328
2022-09-01,17.02723426758329
2022-09-02,18.70941300898995
2022-09-03,17.36832363828662
2022-09-04,18.70941300898995
2022-09-05,16.18614489687996
2022-09-06,15.003966155473295
2022-09-07,10.957429931253305
2022-09-08,10.957429931253305
2022-09-09,12.9806980433633
2022-09-10,15.345055526176626
2022-09-11,12.9806980433633
2022-09-12,11.798519301956636
2022-09-13,12.9806980433633
2022-09-14,13.32178741406663
2022-09-15,12.639608672659968
2022-09-16,15.003966155473295
2022-09-17,18.20941300898995
2022-09-18,10.116340560549974
2022-09-19,13.82178741406663
2022-09-20,10.116340560549974
2022-09-21,12.9806980433633
2022-09-22,11.798519301956636
2022-09-23,15.003966155473295
2022-09-24,14.162876784769963
2022-09-25,38.9420941300899
2022-09-26,42.98863035430989
2022-09-27,66.9267583289265
2022-09-28,37.51983077736647
2022-09-29,28.65150713907985
2022-09-30,23.194077207826545
2022-10-01,18.418826017979903
2022-10-02,14.325753569539925
2022-10-03,15.00793231094659
2022-10-04,14.325753569539925
2022-10-05,17.054468535166578
2022-10-06,13.643574828133262
2022-10-07,15.00793231094659
2022-10-08,20.465362242199895
2022-10-09,18.418826017979903
2022-10-10,16.372289793759915
2022-10-11,21.82971972501322
2022-10-12,15.690111052353252
2022-10-13,17.73664727657324
2022-10-14,17.054468535166578
2022-10-15,20.465362242199895
