Time,arnold schwarzenegger
2022-01-01,17
2022-01-02,16
2022-01-03,12
2022-01-04,12
2022-01-05,10
2022-01-06,9
2022-01-07,11
2022-01-08,15
2022-01-09,14
2022-01-10,10
2022-01-11,10
2022-01-12,11
2022-01-13,13
2022-01-14,10
2022-01-15,14
2022-01-16,16
2022-01-17,12
2022-01-18,12
2022-01-19,15
2022-01-20,12
2022-01-21,13
2022-01-22,93
2022-01-23,49
2022-01-24,25
2022-01-25,16
2022-01-26,14
2022-01-27,24
2022-01-28,30
2022-01-29,22
2022-01-30,19
2022-01-31,13
2022-02-01,11
2022-02-02,11
2022-02-03,12
2022-02-04,10
2022-02-05,12
2022-02-06,14
2022-02-07,10
2022-02-08,11
2022-02-09,16
2022-02-10,12
2022-02-11,20
2022-02-12,15
2022-02-13,37
2022-02-14,29
2022-02-15,14
2022-02-16,11
2022-02-17,11
2022-02-18,12
2022-02-19,13
2022-02-20,14
2022-02-21,11
2022-02-22,14
2022-02-23,19
2022-02-24,14
2022-02-25,13
2022-02-26,15
2022-02-27,18
2022-02-28,11
2022-03-01,11
2022-03-02,10
2022-03-03,12
2022-03-04,11
2022-03-05,15
2022-03-06,16
2022-03-07,11
2022-03-08,11
2022-03-09,11
2022-03-10,11
2022-03-11,11
2022-03-12,12
2022-03-13,13
2022-03-14,11
2022-03-15,11
2022-03-16,10
2022-03-17,39
2022-03-18,100
2022-03-19,53
2022-03-20,27
2022-03-21,22
2022-03-22,17
2022-03-23,14
2022-03-24,13
2022-03-25,11
2022-03-26,15
2022-03-27,14
2022-03-28,10
2022-03-29,10
2022-03-30,11
2022-03-31,11
2022-04-01,11
2022-04-02,13
2022-04-03,14
2022-04-04,11
2022-04-05,9
2022-04-06,9
2022-04-07,11
2022-04-08,11
2022-04-09,12
2022-04-10,14
2022-04-11,11
2022-04-12,11
2022-04-13,10
2022-04-14,11
2022-04-15,11
2022-04-16,12
2022-04-17,13
2022-04-18,10
2022-04-19,10
2022-04-20,10
2022-04-21,10
2022-04-22,10
2022-04-23,12
2022-04-24,12
2022-04-25,10
2022-04-26,10
2022-04-27,10
2022-04-28,11
2022-04-29,10
2022-04-30,12
2022-05-01,11
2022-05-02,10
2022-05-03,9
2022-05-04,10
2022-05-05,10
2022-05-06,10
2022-05-07,13
2022-05-08,14
2022-05-09,11
2022-05-10,10
2022-05-11,11
2022-05-12,10
2022-05-13,11
2022-05-14,11
2022-05-15,11
2022-05-16,10
2022-05-17,11
2022-05-18,9
2022-05-19,10
2022-05-20,9
2022-05-21,13
2022-05-22,13
2022-05-23,14
2022-05-24,11
2022-05-25,9
2022-05-26,11
2022-05-27,12
2022-05-28,13
2022-05-29,13
2022-05-30,14
2022-05-31,11
2022-06-01,10
2022-06-02,10
2022-06-03,10
2022-06-04,12
2022-06-05,12
2022-06-06,10
2022-06-07,12
2022-06-08,12
2022-06-09,14
2022-06-10,12
2022-06-11,13
2022-06-12,12
2022-06-13,10
2022-06-14,13
2022-06-15,13
2022-06-16,17
2022-06-17,14
2022-06-18,15
2022-06-19,17
2022-06-20,12
2022-06-21,11
2022-06-22,11
2022-06-23,13
2022-06-24,12
2022-06-25,13
2022-06-26,15
2022-06-27,13
2022-06-28,12
2022-06-29,11
2022-06-30,11
2022-07-01,10
2022-07-02,13
2022-07-03,14
2022-07-04,15
2022-07-05,12
2022-07-06,13
2022-07-07,11
2022-07-08,11
2022-07-09,11
2022-07-10,13
2022-07-11,11
2022-07-12,11
2022-07-13,12
2022-07-14,11
2022-07-15,12
2022-07-16,13
2022-07-17,15
2022-07-18,12
2022-07-19,14
2022-07-20,14
2022-07-21,15
2022-07-22,11
2022-07-23,13
2022-07-24,14
2022-07-25,13
2022-07-26,13
2022-07-27,12
2022-07-28,12
2022-07-29,13
2022-07-30,18
2022-07-31,19
2022-08-01,13
2022-08-02,12
2022-08-03,11
2022-08-04,10
2022-08-05,12
2022-08-06,15
2022-08-07,18
2022-08-08,14
2022-08-09,13
2022-08-10,13
2022-08-11,13
2022-08-12,12
2022-08-13,17
2022-08-14,18
2022-08-15,13
2022-08-16,13
2022-08-17,13
2022-08-18,13
2022-08-19,12
2022-08-20,14
2022-08-21,16
2022-08-22,12
2022-08-23,12
2022-08-24,12
2022-08-25,15
2022-08-26,16
2022-08-27,19
2022-08-28,17
2022-08-29,15
2022-08-30,14
2022-08-31,12
2022-09-01,12
2022-09-02,11
2022-09-03,12
2022-09-04,17
2022-09-05,14
2022-09-06,10
2022-09-07,11
2022-09-08,13
2022-09-09,12
2022-09-10,14
2022-09-11,12
2022-09-12,11
2022-09-13,12
2022-09-14,11
2022-09-15,12
2022-09-16,11
2022-09-17,15
2022-09-18,13
2022-09-19,11
2022-09-20,21
2022-09-21,15
2022-09-22,14
2022-09-23,13
2022-09-24,13
2022-09-25,13
2022-09-26,11
2022-09-27,13
