Time,bank_of_america
2022-04-16,58.0
2022-04-17,39.0
2022-04-18,75.0
2022-04-19,63.0
2022-04-20,60.0
2022-04-21,58.0
2022-04-22,64.0
2022-04-23,54.0
2022-04-24,35.0
2022-04-25,62.0
2022-04-26,62.0
2022-04-27,58.0
2022-04-28,60.0
2022-04-29,65.0
2022-04-30,57.0
2022-05-01,42.0
2022-05-02,69.0
2022-05-03,65.0
2022-05-04,62.0
2022-05-05,59.0
2022-05-06,65.0
2022-05-07,55.0
2022-05-08,36.0
2022-05-09,63.0
2022-05-10,63.0
2022-05-11,58.0
2022-05-12,57.0
2022-05-13,69.0
2022-05-14,56.0
2022-05-15,38.0
2022-05-16,62.0
2022-05-17,61.0
2022-05-18,59.0
2022-05-19,59.0
2022-05-20,65.0
2022-05-21,55.0
2022-05-22,35.0
2022-05-23,64.0
2022-05-24,65.0
2022-05-25,61.0
2022-05-26,63.0
2022-05-27,70.0
2022-05-28,56.0
2022-05-29,35.0
2022-05-30,43.0
2022-05-31,70.0
2022-06-01,78.0
2022-06-02,69.0
2022-06-03,73.0
2022-06-04,62.0
2022-06-05,41.0
2022-06-06,68.0
2022-06-07,66.0
2022-06-08,63.0
2022-06-09,63.0
2022-06-10,72.0
2022-06-11,54.0
2022-06-12,37.0
2022-06-13,68.0
2022-06-14,67.0
2022-06-15,67.0
2022-06-16,72.0
2022-06-17,71.0
2022-06-18,58.0
2022-06-19,36.0
2022-06-20,69.0
2022-06-21,70.0
2022-06-22,74.0
2022-06-23,68.0
2022-06-24,70.0
2022-06-25,57.0
2022-06-26,37.0
2022-06-27,70.0
2022-06-28,70.0
2022-06-29,64.0
2022-06-30,75.0
2022-07-01,88.0
2022-07-02,65.0
2022-07-03,39.0
2022-07-04,41.0
2022-07-05,78.0
2022-07-06,75.0
2022-07-07,69.0
2022-07-08,76.0
2022-07-09,59.0
2022-07-10,38.0
2022-07-11,72.0
2022-07-12,68.0
2022-07-13,67.0
2022-07-14,67.0
2022-07-15,78.0
2022-07-16,60.0
2022-07-17,40.0
2022-07-18,72.0
2022-07-19,69.0
2022-07-20,65.0
2022-07-21,67.0
2022-07-22,70.0
2022-07-23,54.0
2022-07-24,39.0
2022-07-25,67.0
2022-07-26,66.0
2022-07-27,67.0
2022-07-28,67.0
2022-07-29,79.0
2022-07-30,59.0
2022-07-31,41.0
2022-08-01,81.0
2022-08-02,76.0
2022-08-03,68.0
2022-08-04,68.0
2022-08-05,74.0
2022-08-06,59.0
2022-08-07,42.0
2022-08-08,72.0
2022-08-09,68.0
2022-08-10,69.0
2022-08-11,64.0
2022-08-12,69.0
2022-08-13,66.0
2022-08-14,39.0
2022-08-15,71.0
2022-08-16,68.0
2022-08-17,63.0
2022-08-18,65.0
2022-08-19,70.0
2022-08-20,57.0
2022-08-21,38.0
2022-08-22,63.0
2022-08-23,70.0
2022-08-24,63.0
2022-08-25,60.0
2022-08-26,68.0
2022-08-27,58.0
2022-08-28,37.0
2022-08-29,63.70968154495459
2022-08-30,64.72112802148612
2022-08-31,69.77836040414375
2022-09-01,100.12175470008953
2022-09-02,93.04162936436884
2022-09-03,69.27836040414375
2022-09-04,42.98075201432408
2022-09-05,49.04943087351324
2022-09-06,75.3470392633329
2022-09-07,71.3012533572068
2022-09-08,63.70968154495459
2022-09-09,68.26691392761222
2022-09-10,57.14100268576544
2022-09-11,37.92351963166645
2022-09-12,63.70968154495459
2022-09-13,64.22112802148612
2022-09-14,68.76691392761222
2022-09-15,63.20968154495459
2022-09-16,69.77836040414375
2022-09-17,54.60666325617086
2022-09-18,39.9464125847295
2022-09-19,64.22112802148612
2022-09-20,63.20968154495459
2022-09-21,63.70968154495459
2022-09-22,57.14100268576544
2022-09-23,67.7554674510807
2022-09-24,53.095216779639344
2022-09-25,35.9006266786034
2022-09-26,59.66389563882849
2022-09-27,61.18678859189154
2022-09-28,58.304898324593935
2022-09-29,56.25911241846783
2022-09-30,72.62539966747666
2022-10-01,65.4651489960353
2022-10-02,39.89282516945901
2022-10-03,69.55672080828751
2022-10-04,67.5109349021614
2022-10-05,60.35068423072004
2022-10-06,60.35068423072004
2022-10-07,71.60250671441361
2022-10-08,56.25911241846783
2022-10-09,40.91571812252206
2022-10-10,61.37357718378309
2022-10-11,66.48804194909835
2022-10-12,62.39647013684614
2022-10-13,59.327791277656985
2022-10-14,68.53382785522444
2022-10-15,54.21332651234173
2022-10-16,34.778360404143754
2022-10-17,64.44225604297225
2022-10-18,64.44225604297225
2022-10-19,59.327791277656985
2022-10-20,60.35068423072004
2022-10-21,64.44225604297225
2022-10-22,51.144647653152575
2022-10-23,35.801253357206804
2022-10-24,61.37357718378309
2022-10-25,58.304898324593935
2022-10-26,56.25911241846783
2022-10-27,58.304898324593935
2022-10-28,64.44225604297225
2022-10-29,54.21332651234173
2022-10-30,33.7554674510807
2022-10-31,63.41936308990919
2022-11-01,66.48804194909835
2022-11-02,63.41936308990919
2022-11-03,62.39647013684614
2022-11-04,66.48804194909835
2022-11-05,55.23621946540478
2022-11-06,34.778360404143754
2022-11-07,57.282005371530886
2022-11-08,61.37357718378309
2022-11-09,53.19043355927868
2022-11-10,62.39647013684614
2022-11-11,62.39647013684614
2022-11-12,53.19043355927868
2022-11-13,33.7554674510807
2022-11-14,62.39647013684614
2022-11-15,60.35068423072004
2022-11-16,61.37357718378309
2022-11-17,56.25911241846783
2022-11-18,67.5109349021614
2022-11-19,50.121754700089525
2022-11-20,33.7554674510807
2022-11-21,56.25911241846783
2022-11-22,58.304898324593935
2022-11-23,62.39647013684614
2022-11-24,29.663895638828492
2022-11-25,54.21332651234173
2022-11-26,43.984396981711214
2022-11-27,35.801253357206804
2022-11-28,58.304898324593935
2022-11-29,56.25911241846783
2022-11-30,56.25911241846783
2022-12-01,65.4651489960353
2022-12-02,69.55672080828751
2022-12-03,56.25911241846783
2022-12-04,36.82414631026985
2022-12-05,61.37357718378309
2022-12-06,57.282005371530886
2022-12-07,57.282005371530886
2022-12-08,56.25911241846783
2022-12-09,59.327791277656985
2022-12-10,51.144647653152575
2022-12-11,34.778360404143754
2022-12-12,59.327791277656985
2022-12-13,55.23621946540478
2022-12-14,58.304898324593935
2022-12-15,56.25911241846783
2022-12-16,65.4651489960353
2022-12-17,53.19043355927868
2022-12-18,32.73257449801765
2022-12-19,60.35068423072004
2022-12-20,62.39647013684614
2022-12-21,62.39647013684614
2022-12-22,58.304898324593935
2022-12-23,63.41936308990919
2022-12-24,47.05307584090037
2022-12-25,23.526537920450185
2022-12-26,54.21332651234173
2022-12-27,65.4651489960353
2022-12-28,66.48804194909835
2022-12-29,65.4651489960353
2022-12-30,75.6940785266658
2022-12-31,56.25911241846783
2023-01-01,33.7554674510807
2023-01-02,63.41936308990919
2023-01-03,67.5109349021614
2023-01-04,65.4651489960353
2023-01-05,65.4651489960353
2023-01-06,67.5109349021614
2023-01-07,55.23621946540478
2023-01-08,36.82414631026985
2023-01-09,59.327791277656985
2023-01-10,60.35068423072004
2023-01-11,59.327791277656985
2023-01-12,57.282005371530886
2023-01-13,67.5109349021614
2023-01-14,56.25911241846783
2023-01-15,35.801253357206804
2023-01-16,52.167540606215624
2023-01-17,60.35068423072004
2023-01-18,102.28929530630515
2023-01-19,93.08325872873769
2023-01-20,72.62539966747666
2023-01-21,57.282005371530886
2023-01-22,37.8470392633329
2023-01-23,61.37357718378309
2023-01-24,59.327791277656985
2023-01-25,61.37357718378309
2023-01-26,58.304898324593935
2023-01-27,60.35068423072004
2023-01-28,55.23621946540478
2023-01-29,36.82414631026985
2023-01-30,58.304898324593935
2023-01-31,64.44225604297225
2023-02-01,65.4651489960353
2023-02-02,65.4651489960353
2023-02-03,71.60250671441361
2023-02-04,59.327791277656985
2023-02-05,39.89282516945901
2023-02-06,63.41936308990919
2023-02-07,61.37357718378309
2023-02-08,57.282005371530886
2023-02-09,57.282005371530886
2023-02-10,65.4651489960353
2023-02-11,55.23621946540478
2023-02-12,35.801253357206804
2023-02-13,55.23621946540478
2023-02-14,59.327791277656985
2023-02-15,60.35068423072004
2023-02-16,63.41936308990919
2023-02-17,66.48804194909835
2023-02-18,56.25911241846783
2023-02-19,34.778360404143754
2023-02-20,53.19043355927868
2023-02-21,62.39647013684614
2023-02-22,60.35068423072004
2023-02-23,58.304898324593935
2023-02-24,62.39647013684614
2023-02-25,56.25911241846783
2023-02-26,40.91571812252206
2023-02-27,61.37357718378309
2023-02-28,64.44225604297225
2023-03-01,69.55672080828751
2023-03-02,66.48804194909835
2023-03-03,67.5109349021614
2023-03-04,58.304898324593935
2023-03-05,39.89282516945901
2023-03-06,64.44225604297225
2023-03-07,60.35068423072004
2023-03-08,59.327791277656985
2023-03-09,59.327791277656985
2023-03-10,69.55672080828751
2023-03-11,61.37357718378309
2023-03-12,43.984396981711214
2023-03-13,74.67118557360276
2023-03-14,70.57961376135056
2023-03-15,70.57961376135056
2023-03-16,65.4651489960353
2023-03-17,68.53382785522444
2023-03-18,54.21332651234173
2023-03-19,38.86993221639596
2023-03-20,63.41936308990919
2023-03-21,62.39647013684614
2023-03-22,60.35068423072004
2023-03-23,58.304898324593935
2023-03-24,65.4651489960353
2023-03-25,53.19043355927868
2023-03-26,36.82414631026985
2023-03-27,60.35068423072004
2023-03-28,61.37357718378309
2023-03-29,57.282005371530886
2023-03-30,58.304898324593935
2023-03-31,68.53382785522444
2023-04-01,62.39647013684614
2023-04-02,39.89282516945901
2023-04-03,67.5109349021614
2023-04-04,64.44225604297225
2023-04-05,58.304898324593935
2023-04-06,61.37357718378309
2023-04-07,68.53382785522444
2023-04-08,52.167540606215624
2023-04-09,31.709681544954595
2023-04-10,66.48804194909835
2023-04-11,62.39647013684614
2023-04-12,61.37357718378309
2023-04-13,60.35068423072004
2023-04-14,67.5109349021614
2023-04-15,58.304898324593935
2023-04-16,42.961504028648164
2023-04-17,68.53382785522444
2023-04-18,67.5109349021614
2023-04-19,61.37357718378309
2023-04-20,57.282005371530886
2023-04-21,72.62539966747666
2023-04-22,49.098861747026476
2023-04-23,33.7554674510807
2023-04-24,57.282005371530886
2023-04-25,56.25911241846783
2023-04-26,57.56951243423004
2023-04-27,53.542321750811844
2023-04-28,63.41215798162813
2023-04-29,54.96149565933331
2023-04-30,38.85273292566052
2023-05-01,72.77054773591288
2023-05-02,70.55881191647458
2023-05-03,65.62389380106643
2023-05-04,62.108149594179764
2023-05-05,62.108149594179764
2023-05-06,51.330585931373534
2023-05-07,35.73326967423226
2023-05-08,60.6889756856583
2023-05-09,60.292694730199884
2023-05-10,56.26550404678167
2023-05-11,59.38496729820993
2023-05-12,63.41215798162813
2023-05-13,51.330585931373534
2023-05-14,30.798351558824123
2023-05-15,63.41215798162813
2023-05-16,63.41215798162813
2023-05-17,60.292694730199884
2023-05-18,57.56951243423004
2023-05-19,65.62389380106643
2023-05-20,54.96149565933331
2023-05-21,34.4292612867839
2023-05-22,60.6889756856583
2023-05-23,59.38496729820993
2023-05-24,58.08095891076157
2023-05-25,58.47723986621999
2023-05-26,64.99007669518075
2023-05-27,50.723962298677655
2023-05-28,30.11735261483986
2023-05-29,38.04297172400824
2023-05-30,63.40495287334707
2023-05-31,66.57520051701442
2023-06-01,72.1231338934323
2023-06-02,75.29338153709965
2023-06-03,57.8570194969292
2023-06-04,44.38346701134295
2023-06-05,66.57520051701442
2023-06-06,64.1975147842639
2023-06-07,61.819829051513395
2023-06-08,59.44214331876288
2023-06-09,68.1603243388481
2023-06-10,52.30908612051133
2023-06-11,34.87272408034089
2023-06-12,64.99007669518075
2023-06-13,58.649581407846036
2023-06-14,61.819829051513395
2023-06-15,61.819829051513395
2023-06-16,65.78263860609758
2023-06-17,52.30908612051133
2023-06-18,34.08016216942405
2023-06-19,58.649581407846036
2023-06-20,67.36776242793125
2023-06-21,64.99007669518075
2023-06-22,57.8570194969292
2023-06-23,64.99007669518075
2023-06-24,52.30908612051133
2023-06-25,36.457847902174564
2023-06-26,61.02726714059656
2023-06-27,62.61239096243023
2023-06-28,60.23470522967972
2023-06-29,64.1975147842639
2023-06-30,75.29338153709965
2023-07-01,65.78263860609758
2023-07-02,47.5537146550103
2023-07-03,79.25619109168383
2023-07-04,42.00578127859243
2023-07-05,68.1603243388481
2023-07-06,66.57520051701442
2023-07-07,70.53801007159862
2023-07-08,56.27189567509552
2023-07-09,34.08016216942405
2023-07-10,65.78263860609758
2023-07-11,78.463629180767
2023-07-12,72.1231338934323
2023-07-13,67.36776242793125
2023-07-14,73.70825771526597
2023-07-15,59.44214331876288
2023-07-16,38.04297172400824
2023-07-17,68.95288624976494
2023-07-18,61.819829051513395
2023-07-19,61.02726714059656
2023-07-20,57.06445758601236
2023-07-21,62.61239096243023
2023-07-22,49.93140038776082
2023-07-23,34.08016216942405
2023-07-24,62.61239096243023
2023-07-25,59.44214331876288
2023-07-26,55.47933376417868
2023-07-27,55.47933376417868
2023-07-28,63.40495287334707
2023-07-29,53.89420994234501
2023-07-30,34.08016216942405
2023-07-31,67.36776242793125
2023-08-01,72.1231338934323
2023-08-02,58.649581407846036
2023-08-03,66.57520051701442
2023-08-04,65.78263860609758
2023-08-05,53.10164803142817
2023-08-06,37.2504098130914
2023-08-07,61.819829051513395
2023-08-08,61.819829051513395
2023-08-09,60.23470522967972
2023-08-10,59.44214331876288
2023-08-11,64.1975147842639
2023-08-12,48.34627656592714
2023-08-13,33.28760025850721
2023-08-14,60.23470522967972
2023-08-15,61.819829051513395
2023-08-16,60.23470522967972
2023-08-17,57.8570194969292
2023-08-18,66.57520051701442
2023-08-19,52.30908612051133
2023-08-20,33.28760025850721
2023-08-21,59.44214331876288
2023-08-22,59.44214331876288
2023-08-23,57.8570194969292
2023-08-24,53.89420994234501
2023-08-25,57.8570194969292
2023-08-26,46.761152744093465
2023-08-27,32.49503834759037
2023-08-28,57.06445758601236
2023-08-29,55.47933376417868
2023-08-30,57.06445758601236
2023-08-31,58.649581407846036
2023-09-01,71.33057198251545
2023-09-02,55.47933376417868
2023-09-03,35.665285991257726
2023-09-04,40.420657456758754
2023-09-05,64.99007669518075
2023-09-06,57.06445758601236
2023-09-07,56.27189567509552
2023-09-08,59.44214331876288
2023-09-09,48.34627656592714
2023-09-10,30.909914525756697
2023-09-11,56.27189567509552
2023-09-12,54.686771853261845
2023-09-13,53.89420994234501
2023-09-14,54.686771853261845
2023-09-15,60.23470522967972
2023-09-16,49.93140038776082
2023-09-17,30.11735261483986
2023-09-18,54.686771853261845
2023-09-19,54.686771853261845
2023-09-20,54.686771853261845
2023-09-21,53.10164803142817
2023-09-22,57.8570194969292
2023-09-23,45.17602892225979
2023-09-24,31.702476436673535
2023-09-25,54.686771853261845
2023-09-26,51.51652420959449
2023-09-27,54.686771853261845
2023-09-28,51.51652420959449
2023-09-29,62.61239096243023
2023-09-30,52.30908612051133
2023-10-01,39.628095545841916
2023-10-02,61.02726714059656
2023-10-03,61.02726714059656
2023-10-04,58.649581407846036
2023-10-05,57.06445758601236
2023-10-06,62.61239096243023
2023-10-07,49.93140038776082
2023-10-08,34.08016216942405
2023-10-09,56.27189567509552
2023-10-10,54.686771853261845
2023-10-11,56.27189567509552
2023-10-12,57.06445758601236
2023-10-13,61.02726714059656
2023-10-14,50.723962298677655
2023-10-15,39.628095545841916
2023-10-16,57.06445758601236
2023-10-17,57.8570194969292
2023-10-18,54.686771853261845
2023-10-19,53.89420994234501
2023-10-20,56.27189567509552
2023-10-21,44.38346701134295
2023-10-22,29.324790703923018
2023-10-23,53.10164803142817
2023-10-24,49.93140038776082
2023-10-25,47.5537146550103
2023-10-26,49.93140038776082
2023-10-27,53.89420994234501
2023-10-28,43.59090510042611
2023-10-29,27.73966688208934
2023-10-30,51.51652420959449
2023-10-31,53.89420994234501
2023-11-01,59.44214331876288
2023-11-02,57.06445758601236
2023-11-03,61.819829051513395
2023-11-04,52.30908612051133
2023-11-05,34.08016216942405
2023-11-06,57.06445758601236
2023-11-07,57.06445758601236
2023-11-08,54.686771853261845
2023-11-09,53.89420994234501
2023-11-10,64.1975147842639
2023-11-11,47.5537146550103
2023-11-12,26.947104971172504
2023-11-13,53.10164803142817
2023-11-14,52.30908612051133
2023-11-15,53.10164803142817
2023-11-16,51.51652420959449
2023-11-17,53.89420994234501
2023-11-18,46.761152744093465
2023-11-19,30.11735261483986
2023-11-20,52.30908612051133
2023-11-21,53.10164803142817
2023-11-22,52.30908612051133
2023-11-23,27.73966688208934
2023-11-24,53.10164803142817
2023-11-25,42.00578127859243
2023-11-26,29.324790703923018
2023-11-27,52.30908612051133
2023-11-28,53.89420994234501
2023-11-29,50.723962298677655
2023-11-30,52.30908612051133
2023-12-01,65.78263860609758
2023-12-02,54.686771853261845
2023-12-03,36.457847902174564
2023-12-04,57.06445758601236
2023-12-05,53.89420994234501
2023-12-06,53.10164803142817
2023-12-07,52.30908612051133
2023-12-08,58.649581407846036
2023-12-09,47.5537146550103
2023-12-10,33.28760025850721
2023-12-11,54.686771853261845
2023-12-12,54.686771853261845
2023-12-13,53.89420994234501
2023-12-14,50.723962298677655
2023-12-15,61.819829051513395
2023-12-16,47.5537146550103
2023-12-17,31.702476436673535
2023-12-18,53.89420994234501
2023-12-19,53.10164803142817
2023-12-20,56.27189567509552
2023-12-21,57.8570194969292
2023-12-22,59.37014914833994
2023-12-23,50.728414112114436
2023-12-24,26.980354452778457
2023-12-25,23.022344509555797
2023-12-26,56.137854354897456
2023-12-27,59.37014914833994
2023-12-28,57.1930036989994
2023-12-29,66.23101969068333
2023-12-30,50.728414112114436
2023-12-31,29.48693409644076
2024-01-01,35.62208948900397
2024-01-02,63.328159091562604
2024-01-03,65.8347387352249
2024-01-04,60.09586429812012
2024-01-05,61.87672879200224
2024-01-06,50.728414112114436
2024-01-07,33.11550984534166
2024-01-08,51.454129261894614
2024-01-09,52.17984441167479
2024-01-10,53.234993755776735
2024-01-11,52.17984441167479
2024-01-12,58.64443399855976
2024-01-13,46.77040416889177
2024-01-14,30.93836439600112
2024-01-15,42.81239422566911
2024-01-16,50.728414112114436
2024-01-17,55.80842016057569
2024-01-18,53.96070890555691
2024-01-19,55.41213920511728
2024-01-20,47.166685124350195
2024-01-21,29.6490774889585
2024-01-22,48.097392370977126
2024-01-23,51.391734314194736
2024-01-24,51.391734314194736
2024-01-25,52.05060270283826
2024-01-26,53.3683394801253
2024-01-27,46.12078720504656
2024-01-28,33.60228782081963
2024-01-29,54.686076257412346
2024-01-30,54.027207868768826
2024-01-31,56.00381303469939
2024-02-01,61.93362853249109
2024-02-02,62.59249692113462
2024-02-03,52.05060270283826
2024-02-04,36.237761375393724
2024-02-05,52.70947109148178
2024-02-06,53.3683394801253
2024-02-07,51.391734314194736
2024-02-08,51.391734314194736
2024-02-09,55.34494464605587
2024-02-10,50.732865925551216
2024-02-11,28.990209100314978
2024-02-12,47.43852398233361
2024-02-13,53.3683394801253
2024-02-14,52.70947109148178
2024-02-15,53.3683394801253
2024-02-16,60.615891755204046
2024-02-17,50.07399753690769
2024-02-18,30.966814266245546
2024-02-19,47.43852398233361
2024-02-20,52.05060270283826
2024-02-21,54.027207868768826
2024-02-22,53.3683394801253
2024-02-23,56.00381303469939
2024-02-24,47.43852398233361
2024-02-25,32.943419432176114
2024-02-26,50.732865925551216
2024-02-27,50.732865925551216
2024-02-28,50.732865925551216
2024-02-29,53.3683394801253
2024-03-01,63.25136530977814
2024-03-02,52.05060270283826
2024-03-03,34.26115620946316
2024-03-04,57.321549811986436
2024-03-05,54.027207868768826
2024-03-06,50.732865925551216
2024-03-07,50.07399753690769
2024-03-08,54.686076257412346
2024-03-09,46.77965559369008
2024-03-10,30.307945877602023
2024-03-11,50.732865925551216
2024-03-12,52.05060270283826
2024-03-13,50.07399753690769
2024-03-14,50.07399753690769
2024-03-15,56.00381303469939
2024-03-16,48.097392370977126
2024-03-17,28.990209100314978
2024-03-18,50.732865925551216
2024-03-19,52.70947109148178
2024-03-20,51.391734314194736
2024-03-21,49.41512914826417
2024-03-22,52.05060270283826
2024-03-23,45.461918816403035
2024-03-24,28.33134071167146
2024-03-25,50.732865925551216
2024-03-26,48.756260759620645
2024-03-27,50.732865925551216
2024-03-28,50.732865925551216
2024-03-29,59.95702336656053
2024-03-30,46.12078720504656
2024-03-31,27.672472323027936
2024-04-01,61.93362853249109
2024-04-02,57.321549811986436
2024-04-03,52.70947109148178
2024-04-04,53.3683394801253
2024-04-05,54.686076257412346
2024-04-06,47.43852398233361
2024-04-07,29.6490774889585
2024-04-08,47.43852398233361
2024-04-09,52.05060270283826
2024-04-10,52.70947109148178
2024-04-11,49.41512914826417
2024-04-12,57.321549811986436
2024-04-13,46.77965559369008
2024-04-14,34.92002459810668
2024-04-15,57.321549811986436
2024-04-16,56.00381303469939
2024-04-17,48.097392370977126
2024-04-18,46.77965559369008
2024-04-19,53.3683394801253
2024-04-20,42.167576873185425
2024-04-21,32.28455104353259
2024-04-22,48.756260759620645
2024-04-23,47.43852398233361
2024-04-24,47.43852398233361
2024-04-25,43.48531365047247
2024-04-26,49.41512914826417
2024-04-27,46.77965559369008
2024-04-28,28.33134071167146
2024-04-29,49.41512914826417
2024-04-30,52.70947109148178
2024-05-01,54.686076257412346
2024-05-02,52.70947109148178
2024-05-03,56.00381303469939
2024-05-04,46.12078720504656
2024-05-05,28.990209100314978
2024-05-06,55.34494464605587
2024-05-07,50.732865925551216
2024-05-08,49.41512914826417
2024-05-09,48.097392370977126
2024-05-10,50.732865925551216
2024-05-11,42.167576873185425
2024-05-12,25.695867157097368
2024-05-13,54.027207868768826
2024-05-14,49.41512914826417
2024-05-15,51.391734314194736
2024-05-16,48.756260759620645
2024-05-17,51.391734314194736
2024-05-18,42.167576873185425
2024-05-19,25.036998768453845
2024-05-20,49.41512914826417
2024-05-21,48.756260759620645
2024-05-22,49.41512914826417
2024-05-23,48.097392370977126
2024-05-24,52.05060270283826
2024-05-25,42.826445261828944
2024-05-26,25.695867157097368
2024-05-27,28.990209100314978
2024-05-28,52.05060270283826
2024-05-29,53.3683394801253
2024-05-30,54.686076257412346
2024-05-31,61.27476014384757
2024-06-01,54.686076257412346
2024-06-02,35.578892986750205
2024-06-03,56.66268142334292
2024-06-04,53.3683394801253
2024-06-05,54.027207868768826
2024-06-06,52.05060270283826
2024-06-07,56.66268142334292
2024-06-08,44.14418203911599
2024-06-09,29.6490774889585
2024-06-10,56.00381303469939
2024-06-11,53.3683394801253
2024-06-12,50.732865925551216
2024-06-13,50.732865925551216
2024-06-14,56.00381303469939
2024-06-15,43.48531365047247
2024-06-16,28.33134071167146
2024-06-17,52.70947109148178
2024-06-18,53.3683394801253
2024-06-19,52.05060270283826
2024-06-20,48.756260759620645
2024-06-21,56.66268142334292
2024-06-22,40.84984009589838
2024-06-23,27.672472323027936
2024-06-24,52.70947109148178
2024-06-25,48.756260759620645
2024-06-26,47.43852398233361
2024-06-27,49.41512914826417
2024-06-28,56.66268142334292
2024-06-29,46.12078720504656
2024-06-30,30.966814266245546
2024-07-01,61.93362853249109
2024-07-02,57.980418200629956
2024-07-03,58.63928658927348
2024-07-04,37.55549815268077
2024-07-05,58.63928658927348
2024-07-06,43.48531365047247
2024-07-07,28.990209100314978
2024-07-08,56.00381303469939
2024-07-09,50.732865925551216
2024-07-10,54.027207868768826
2024-07-11,55.34494464605587
2024-07-12,55.34494464605587
2024-07-13,41.508708484541906
2024-07-14,26.35473554574089
2024-07-15,51.391734314194736
2024-07-16,53.3683394801253
2024-07-17,50.07399753690769
2024-07-18,49.41512914826417
2024-07-19,57.321549811986436
2024-07-20,42.167576873185425
2024-07-21,26.35473554574089
2024-07-22,51.391734314194736
2024-07-23,48.756260759620645
2024-07-24,51.391734314194736
2024-07-25,51.391734314194736
2024-07-26,52.70947109148178
2024-07-27,39.532103318611334
2024-07-28,27.013603934384413
2024-07-29,52.70947109148178
2024-07-30,51.391734314194736
2024-07-31,56.00381303469939
2024-08-01,57.980418200629956
2024-08-02,61.27476014384757
2024-08-03,45.461918816403035
2024-08-04,28.990209100314978
2024-08-05,55.34494464605587
2024-08-06,51.391734314194736
2024-08-07,50.07399753690769
2024-08-08,48.756260759620645
2024-08-09,53.3683394801253
2024-08-10,41.508708484541906
2024-08-11,28.990209100314978
2024-08-12,52.70947109148178
2024-08-13,51.391734314194736
2024-08-14,50.732865925551216
2024-08-15,55.34494464605587
2024-08-16,57.980418200629956
2024-08-17,42.826445261828944
2024-08-18,26.649136076859534
2024-08-19,48.87225456888139
2024-08-20,50.472910256573456
2024-08-21,51.41469755562199
2024-08-22,47.93046726983286
2024-08-23,51.41469755562199
2024-08-24,43.17501549067342
2024-08-25,27.920357570229832
2024-08-26,49.20168876320315
2024-08-27,47.6010330755111
2024-08-28,46.659245776462555
2024-08-29,47.93046726983286
2024-08-30,56.49958352910319
2024-08-31,46.32981158214079
2024-09-01,31.73402205034073
2024-09-02,38.090129517192224
2024-09-03,57.441370828151726
2024-09-04,53.95714054236259
2024-09-05,52.68591904899229
2024-09-06,53.627706348040824
2024-09-07,43.17501549067342
2024-09-08,26.978570271181294
2024-09-09,47.93046726983286
2024-09-10,48.87225456888139
2024-09-11,48.87225456888139
2024-09-12,47.6010330755111
2024-09-13,54.89892784141112
2024-09-14,45.38802428309226
2024-09-15,28.249791764551595
2024-09-16,48.87225456888139
2024-09-17,47.76354216868859
2024-09-18,47.76354216868859
2024-09-19,46.53883595923503
2024-09-20,53.88707321595635
2024-09-21,40.41530491196726
2024-09-22,26.943536607978174
