Time,riches
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,32.01401869158878
2022-05-02,25.43392618729735
2022-05-03,28.272172420370016
2022-05-04,30.17005531184436
2022-05-05,26.41023587004895
2022-05-06,27.365304533028166
2022-05-07,25.48907114247568
2022-05-08,23.611203827325323
2022-05-09,24.56627249030453
2022-05-10,26.46742323097463
2022-05-11,28.370207896242608
2022-05-12,27.436380253035793
2022-05-13,23.66226397100896
2022-05-14,26.513173119715177
2022-05-15,21.788072986203826
2022-05-16,24.640616059507916
2022-05-17,28.443734503147052
2022-05-18,25.610390043868012
2022-05-19,26.570360480640854
2022-05-20,23.73374817216606
2022-05-21,24.6937186089389
2022-05-22,28.50500667556742
2022-05-23,23.764384258376246
2022-05-24,26.627547841566532
2022-05-25,26.638985313751668
2022-05-26,27.60222359972026
2022-05-27,25.709650963189013
2022-05-28,23.81544440205989
2022-05-29,28.590787716955937
2022-05-30,26.696172674677346
2022-05-31,21.93839404920847
2022-06-01,23.856292517006803
2022-06-02,23.86650454574353
2022-06-03,24.831785237459467
2022-06-04,27.708837179731706
2022-06-05,23.897140631953715
2022-06-06,23.907352660690442
2022-06-07,22.960862101850083
2022-06-08,21.056443511984234
2022-06-09,23.93798874690063
2022-06-10,29.69576896179032
2022-06-11,25.87508582872401
2022-06-12,27.803604806408543
2022-06-13,23.97883686184754
2022-06-14,23.989048890584268
2022-06-15,24.959231356093838
2022-06-16,29.77174645559158
2022-06-17,22.0981101786509
2022-06-18,24.99109288575243
2022-06-19,28.848130841121495
2022-06-20,25.97434674804501
2022-06-21,22.13569044440206
2022-06-22,20.2194259012016
2022-06-23,70.31639487570729
2022-06-24,96.36467671180621
2022-06-25,70.37603312352978
2022-06-26,60.76121495327103
2022-06-27,41.48950505435819
2022-06-28,43.43763112721724
2022-06-29,36.696188568885496
2022-06-30,30.91512492847606
2022-07-01,32.86120859558776
2022-07-02,34.808926187297345
2022-07-03,37.72560080106808
2022-07-04,35.80606840867188
2022-07-05,30.980481912391124
