Time,profitable
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,59.880063124671224
2022-05-02,65.12849927138387
2022-05-03,58.93591661143282
2022-05-04,59.78330417447257
2022-05-05,56.23628347395107
2022-05-06,50.93662200066266
2022-05-07,53.54234203942218
2022-05-08,50.88160220545166
2022-05-09,58.74524456251194
2022-05-10,64.84770859237601
2022-05-11,63.060917601891916
2022-05-12,57.77453676882685
2022-05-13,51.6189501780694
2022-05-14,52.46538912395033
2022-05-15,54.184828296158884
2022-05-16,55.028895699142794
2022-05-17,53.25301380598502
2022-05-18,57.58671057138239
2022-05-19,48.83489011345352
2022-05-20,51.423060734775056
2022-05-21,47.03956156854014
2022-05-22,52.23772100583584
2022-05-23,52.20926249107153
2022-05-24,51.311123910035434
2022-05-25,46.937110915388615
2022-05-26,48.64896115032669
2022-05-27,49.49065701041357
2022-05-28,38.182444605983314
2022-05-29,49.43658583236138
2022-05-30,48.54271602853993
2022-05-31,52.847954279172995
2022-06-01,53.68490705346582
2022-06-02,46.73220960908557
2022-06-03,47.571533926275436
2022-06-04,50.13883497010313
2022-06-05,53.56727852577333
2022-06-06,46.62975895593406
2022-06-07,50.919345023446745
2022-06-08,51.75392625484255
2022-06-09,52.587558869079544
2022-06-10,48.25054194362633
2022-06-11,44.77941061580967
2022-06-12,49.05808758599604
2022-06-13,50.75143978633731
2022-06-14,52.44289475236096
2022-06-15,47.25849026386801
2022-06-16,48.949945229891654
2022-06-17,47.20631632013343
2022-06-18,46.322406996479494
2022-06-19,53.15557867884963
2022-06-20,51.41242407767082
2022-06-21,48.81476728476118
2022-06-22,53.06735728308026
2022-06-23,48.76069610670899
2022-06-24,41.038872014890856
2022-06-25,48.706624928656794
2022-06-26,50.38764510593354
2022-06-27,51.21321447432064
2022-06-28,46.06628036360069
2022-06-29,50.30369248737882
2022-06-30,42.60653244168975
2022-07-01,42.582817012719495
2022-07-02,44.26146564709921
2022-07-03,45.938217047161295
2022-07-04,53.56470511451898
