Time,texas
2022-01-01,19.0
2022-01-02,20.0
2022-01-03,22.0
2022-01-04,25.0
2022-01-05,23.0
2022-01-06,18.0
2022-01-07,21.0
2022-01-08,21.0
2022-01-09,19.0
2022-01-10,19.0
2022-01-11,20.0
2022-01-12,20.0
2022-01-13,23.0
2022-01-14,17.0
2022-01-15,22.0
2022-01-16,21.0
2022-01-17,18.0
2022-01-18,19.0
2022-01-19,20.0
2022-01-20,21.0
2022-01-21,20.0
2022-01-22,20.0
2022-01-23,18.0
2022-01-24,25.0
2022-01-25,19.0
2022-01-26,18.0
2022-01-27,18.0
2022-01-28,20.0
2022-01-29,22.0
2022-01-30,21.0
2022-01-31,21.0
2022-02-01,22.0
2022-02-02,24.0
2022-02-03,23.0
2022-02-04,23.0
2022-02-05,22.0
2022-02-06,20.0
2022-02-07,21.0
2022-02-08,23.0
2022-02-09,21.0
2022-02-10,18.0
2022-02-11,21.0
2022-02-12,21.0
2022-02-13,18.0
2022-02-14,20.0
2022-02-15,22.0
2022-02-16,22.0
2022-02-17,21.0
2022-02-18,23.0
2022-02-19,27.0
2022-02-20,25.0
2022-02-21,24.0
2022-02-22,25.0
2022-02-23,25.0
2022-02-24,23.0
2022-02-25,22.0
2022-02-26,24.0
2022-02-27,21.0
2022-02-28,23.0
2022-03-01,25.0
2022-03-02,27.0
2022-03-03,23.0
2022-03-04,21.0
2022-03-05,24.0
2022-03-06,20.0
2022-03-07,22.0
2022-03-08,22.0
2022-03-09,21.0
2022-03-10,22.0
2022-03-11,23.0
2022-03-12,23.0
2022-03-13,23.0
2022-03-14,23.0
2022-03-15,22.0
2022-03-16,23.0
2022-03-17,22.0
2022-03-18,27.0
2022-03-19,23.0
2022-03-20,24.0
2022-03-21,28.0
2022-03-22,27.0
2022-03-23,22.0
2022-03-24,23.0
2022-03-25,24.0
2022-03-26,21.0
2022-03-27,21.0
2022-03-28,20.0
2022-03-29,21.0
2022-03-30,22.0
2022-03-31,20.0
2022-04-01,21.0
2022-04-02,21.0
2022-04-03,20.0
2022-04-04,20.0
2022-04-05,21.0
2022-04-06,21.0
2022-04-07,21.0
2022-04-08,22.0
2022-04-09,21.0
2022-04-10,20.0
2022-04-11,21.0
2022-04-12,21.0
2022-04-13,21.0
2022-04-14,21.0
2022-04-15,21.0
2022-04-16,20.0
2022-04-17,20.0
2022-04-18,21.0
2022-04-19,20.0
2022-04-20,21.0
2022-04-21,21.0
2022-04-22,21.0
2022-04-23,20.0
2022-04-24,20.0
2022-04-25,21.0
2022-04-26,21.0
2022-04-27,20.0
2022-04-28,21.0
2022-04-29,20.0
2022-04-30,20.0
2022-05-01,19.0
2022-05-02,21.0
2022-05-03,22.0
2022-05-04,20.0
2022-05-05,21.0
2022-05-06,20.0
2022-05-07,22.0
2022-05-08,21.0
2022-05-09,21.0
2022-05-10,21.0
2022-05-11,20.0
2022-05-12,22.0
2022-05-13,22.0
2022-05-14,22.0
2022-05-15,20.0
2022-05-16,22.0
2022-05-17,21.0
2022-05-18,21.0
2022-05-19,21.0
2022-05-20,22.0
2022-05-21,21.0
2022-05-22,19.0
2022-05-23,21.0
2022-05-24,61.0
2022-05-25,100.0
2022-05-26,44.0
2022-05-27,34.0
2022-05-28,28.0
2022-05-29,25.0
2022-05-30,23.0
2022-05-31,24.0
2022-06-01,22.0
2022-06-02,23.0
2022-06-03,23.0
2022-06-04,23.0
2022-06-05,22.0
2022-06-06,23.0
2022-06-07,23.0
2022-06-08,22.0
2022-06-09,23.0
2022-06-10,24.0
2022-06-11,21.0
2022-06-12,21.0
2022-06-13,22.0
2022-06-14,23.0
2022-06-15,22.0
2022-06-16,21.0
2022-06-17,23.0
2022-06-18,22.0
2022-06-19,23.0
2022-06-20,23.0
2022-06-21,23.0
2022-06-22,22.0
2022-06-23,22.0
2022-06-24,24.0
2022-06-25,23.0
2022-06-26,22.0
2022-06-27,22.0
2022-06-28,23.0
2022-06-29,22.0
2022-06-30,22.0
2022-07-01,23.0
2022-07-02,21.0
2022-07-03,20.0
2022-07-04,20.0
2022-07-05,22.0
2022-07-06,22.0
2022-07-07,22.0
2022-07-08,21.0
2022-07-09,20.0
2022-07-10,20.0
2022-07-11,22.0
2022-07-12,22.0
2022-07-13,22.0
2022-07-14,22.0
2022-07-15,21.0
2022-07-16,21.0
2022-07-17,19.0
2022-07-18,22.0
2022-07-19,23.0
2022-07-20,22.0
2022-07-21,21.0
2022-07-22,21.0
2022-07-23,20.0
2022-07-24,19.0
2022-07-25,21.0
2022-07-26,22.0
2022-07-27,23.0
2022-07-28,21.0
2022-07-29,22.0
2022-07-30,25.0
2022-07-31,20.0
2022-08-01,21.0
2022-08-02,22.0
2022-08-03,21.0
2022-08-04,21.0
2022-08-05,22.0
2022-08-06,20.0
2022-08-07,19.0
2022-08-08,22.0
2022-08-09,21.0
2022-08-10,21.0
2022-08-11,21.0
2022-08-12,21.0
2022-08-13,21.0
2022-08-14,20.0
2022-08-15,21.0
2022-08-16,21.0
2022-08-17,19.0
2022-08-18,21.0
2022-08-19,20.0
2022-08-20,20.0
2022-08-21,19.0
2022-08-22,21.0
2022-08-23,22.0
2022-08-24,22.0
2022-08-25,21.0
2022-08-26,21.0
2022-08-27,21.0
2022-08-28,19.0
2022-08-29,21.0
2022-08-30,21.0
2022-08-31,21.214285714285715
2022-09-01,21.42857142857143
2022-09-02,21.92857142857143
2022-09-03,25.142857142857142
2022-09-04,24.928571428571427
2022-09-05,19.857142857142854
2022-09-06,21.0
2022-09-07,21.0
2022-09-08,19.142857142857142
