Time,sports
2025-12-11,65
2025-12-12,68
2025-12-13,90
2025-12-14,82
2025-12-15,66
2025-12-16,65
2025-12-17,66
2025-12-18,65
2025-12-19,68
2025-12-20,79
2025-12-21,74
2025-12-22,63
2025-12-23,61
2025-12-24,67
2025-12-25,56
2025-12-26,63
2025-12-27,65
2025-12-28,71
2025-12-29,60
2025-12-30,58
2025-12-31,61
2026-01-01,64
2026-01-02,65
2026-01-03,66
2026-01-04,72
2026-01-05,62
2026-01-06,60
2026-01-07,60
2026-01-08,63
2026-01-09,73
2026-01-10,83
2026-01-11,86
2026-01-12,69
2026-01-13,68
2026-01-14,65
2026-01-15,63
2026-01-16,62
2026-01-17,79
2026-01-18,82
2026-01-19,68
2026-01-20,66
2026-01-21,70
2026-01-22,59
2026-01-23,63
2026-01-24,67
2026-01-25,66
2026-01-26,64
2026-01-27,58
2026-01-28,59
2026-01-29,62
2026-01-30,62
2026-01-31,74
2026-02-01,75
2026-02-02,59
2026-02-03,63
2026-02-04,74
2026-02-05,76
2026-02-06,77
2026-02-07,87
2026-02-08,100
2026-02-09,83
2026-02-10,75
2026-02-11,67
2026-02-12,64
2026-02-13,79
2026-02-14,85
2026-02-15,77
2026-02-16,76
2026-02-17,75
2026-02-18,68
2026-02-19,69
2026-02-20,70
2026-02-21,80
2026-02-22,78
2026-02-23,67
2026-02-24,64
2026-02-25,63
2026-02-26,73
2026-02-27,76
2026-02-28,72
2026-03-01,66
2026-03-02,63
2026-03-03,65
2026-03-04,61
2026-03-05,63
2026-03-06,65
2026-03-07,81
2026-03-08,74
2026-03-09,62
2026-03-10,63
2026-03-11,64
2026-03-12,67
2026-03-13,63
2026-03-14,75
2026-03-15,70
2026-03-16,63
2026-03-17,65
2026-03-18,67
2026-03-19,81
2026-03-20,76
2026-03-21,80
2026-03-22,75
2026-03-23,68
2026-03-24,63
2026-03-25,70
2026-03-26,78
2026-03-27,81
2026-03-28,95
2026-03-29,93
2026-03-30,73
2026-03-31,74
2026-04-01,73
2026-04-02,71
2026-04-03,76
2026-04-04,85
2026-04-05,84
2026-04-06,74
2026-04-07,78
2026-04-08,77
2026-04-09,77
2026-04-10,79
2026-04-11,85
2026-04-12,87
2026-04-13,79
2026-04-14,79
2026-04-15,83
2026-04-16,83
2026-04-17,89
2026-04-18,97
2026-04-19,85
2026-04-20,74
2026-04-21,71
2026-04-22,74
2026-04-23,72
2026-04-24,74
2026-04-25,79
2026-04-26,82
2026-04-27,70
2026-04-28,69
2026-04-29,70
2026-04-30,74
2026-05-01,69
2026-05-02,80
2026-05-03,79
2026-05-04,69
2026-05-05,70
2026-05-06,77
2026-05-07,76
2026-05-08,76
2026-05-09,87
2026-05-10,79
2026-05-11,71
2026-05-12,74
2026-05-13,83
2026-05-14,85
2026-05-15,83
2026-05-16,92
2026-05-17,86
2026-05-18,75
2026-05-19,74
2026-05-20,78
2026-05-21,70
2026-05-22,73
2026-05-23,77
2026-05-24,76
2026-05-25,74
2026-05-26,65
2026-05-27,65
2026-05-28,69
2026-05-29,72
2026-05-30,78
2026-05-31,83
