Time,partner
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,39.18962722852512
2022-05-02,46.716900764007306
2022-05-03,49.72110801024236
2022-05-04,51.970927188744945
2022-05-05,49.70153530735668
2022-05-06,46.680127807070576
2022-05-07,44.41266354036044
2022-05-08,42.146088941963285
2022-05-09,45.90008763631371
2022-05-10,49.65260355014248
2022-05-11,48.890653301749644
2022-05-12,42.86489027717633
2022-05-13,42.1045710873573
2022-05-14,39.8411103280556
2022-05-15,40.58482237603223
2022-05-16,41.328237867904534
2022-05-17,45.82772794685756
2022-05-18,48.07206083743007
2022-05-19,46.5606156970262
2022-05-20,43.54810487986995
2022-05-21,42.78882363641607
2022-05-22,42.78037178744271
2022-05-23,46.52384274008947
2022-05-24,45.014176936311564
2022-05-25,44.25519224896202
2022-05-26,42.74656439154926
2022-05-27,45.73727833503737
2022-05-28,42.72966069360254
2022-05-29,41.971713952618146
2022-05-30,43.462103609614694
2022-05-31,47.19949516212271
2022-06-01,47.190153644836364
2022-06-02,47.18081212755002
2022-06-03,44.17645660326281
2022-06-04,41.92189252709096
2022-06-05,41.16513201052388
2022-06-06,46.3951373908109
2022-06-07,53.867548046992326
2022-06-08,56.10090836170469
2022-06-09,48.61114917342005
2022-06-10,43.36750221233391
2022-06-11,44.85403663997418
2022-06-12,47.834815953967286
2022-06-13,50.81440904354307
2022-06-14,47.06871392011386
2022-06-15,48.553320733076
2022-06-16,50.03733443382949
2022-06-17,41.81394610511539
2022-06-18,43.2987011961297
2022-06-19,41.79733896327299
2022-06-20,47.01266481639578
2022-06-21,49.987661286354474
2022-06-22,46.993981781823074
2022-06-23,44.74727644241593
2022-06-24,43.24710043397654
2022-06-25,39.511043383938
2022-06-26,43.229900179925494
2022-06-27,49.92805350938445
2022-06-28,43.95774647632055
2022-06-29,55.12247215715206
2022-06-30,46.17449964919052
2022-07-01,42.442297828508245
2022-07-02,41.68939254129743
2022-07-03,42.42539413056152
2022-07-04,41.67278539945503
2022-07-05,46.87254205710057
