Time,weather today
2022-08-29,29
2022-08-30,31
2022-08-31,24
2022-09-01,23
2022-09-02,23
2022-09-03,37
2022-09-04,48
2022-09-05,44
2022-09-06,42
2022-09-07,34
2022-09-08,31
2022-09-09,35
2022-09-10,45
2022-09-11,44
2022-09-12,37
2022-09-13,30
2022-09-14,25
2022-09-15,23
2022-09-16,24
2022-09-17,29
2022-09-18,32
2022-09-19,37
2022-09-20,26
2022-09-21,26
2022-09-22,39
2022-09-23,30
2022-09-24,35
2022-09-25,43
2022-09-26,35
2022-09-27,34
2022-09-28,39
2022-09-29,36
2022-09-30,36
2022-10-01,36
2022-10-02,30
2022-10-03,28
2022-10-04,27
2022-10-05,26
2022-10-06,26
2022-10-07,25
2022-10-08,31
2022-10-09,27
2022-10-10,26
2022-10-11,25
2022-10-12,35
2022-10-13,39
2022-10-14,29
2022-10-15,33
2022-10-16,33
2022-10-17,39
2022-10-18,32
2022-10-19,31
2022-10-20,27
2022-10-21,24
2022-10-22,31
2022-10-23,39
2022-10-24,39
2022-10-25,36
2022-10-26,33
2022-10-27,25
2022-10-28,29
2022-10-29,32
2022-10-30,28
2022-10-31,34
2022-11-01,31
2022-11-02,29
2022-11-03,29
2022-11-04,39
2022-11-05,43
2022-11-06,34
2022-11-07,35
2022-11-08,35
2022-11-09,32
2022-11-10,36
2022-11-11,39
2022-11-12,36
2022-11-13,30
2022-11-14,29
2022-11-15,31
2022-11-16,27
2022-11-17,26
2022-11-18,29
2022-11-19,29
2022-11-20,28
2022-11-21,24
2022-11-22,20
2022-11-23,20
2022-11-24,22
2022-11-25,26
2022-11-26,24
2022-11-27,28
2022-11-28,21
2022-11-29,29
2022-11-30,33
2022-12-01,28
2022-12-02,24
2022-12-03,29
2022-12-04,25
2022-12-05,23
2022-12-06,26
2022-12-07,24
2022-12-08,22
2022-12-09,23
2022-12-10,27
2022-12-11,38
2022-12-12,33
2022-12-13,33
2022-12-14,32
2022-12-15,42
2022-12-16,31
2022-12-17,27
2022-12-18,26
2022-12-19,31
2022-12-20,32
2022-12-21,37
2022-12-22,70
2022-12-23,100
2022-12-24,73
2022-12-25,50
2022-12-26,49
2022-12-27,40
2022-12-28,33
2022-12-29,30
2022-12-30,32
2022-12-31,34
2023-01-01,35
2023-01-02,40
2023-01-03,39
2023-01-04,42
2023-01-05,39
2023-01-06,27
2023-01-07,26
2023-01-08,31
2023-01-09,32
2023-01-10,35
2023-01-11,29
2023-01-12,38
2023-01-13,36
2023-01-14,38
2023-01-15,39
2023-01-16,40
2023-01-17,32
2023-01-18,30
2023-01-19,33
2023-01-20,29
2023-01-21,32
2023-01-22,40
2023-01-23,36
2023-01-24,38
2023-01-25,50
2023-01-26,30
2023-01-27,25
2023-01-28,27
2023-01-29,40
2023-01-30,47
2023-01-31,47
2023-02-01,39
2023-02-02,34
2023-02-03,39
2023-02-04,38
2023-02-05,31
2023-02-06,24
2023-02-07,24
2023-02-08,27
2023-02-09,28
2023-02-10,27
2023-02-11,30
2023-02-12,27
2023-02-13,25
2023-02-14,33
2023-02-15,36
2023-02-16,42
2023-02-17,37
2023-02-18,30
2023-02-19,27
2023-02-20,29
2023-02-21,38
2023-02-22,54
2023-02-23,52
2023-02-24,44
2023-02-25,48
2023-02-26,43
2023-02-27,52
2023-02-28,43
2023-03-01,41
2023-03-02,46
2023-03-03,55
2023-03-04,42
2023-03-05,29
2023-03-06,30
2023-03-07,28
2023-03-08,31
2023-03-09,35
2023-03-10,44
2023-03-11,41
2023-03-12,39
2023-03-13,43
2023-03-14,50
2023-03-15,41
2023-03-16,42
2023-03-17,38
2023-03-18,38
2023-03-19,40
2023-03-20,35
2023-03-21,39
2023-03-22,40
2023-03-23,42
2023-03-24,41
2023-03-25,46
2023-03-26,40
2023-03-27,42
2023-03-28,38
2023-03-29,39
2023-03-30,41
2023-03-31,59
2023-04-01,65
2023-04-02,42
2023-04-03,41
2023-04-04,69
2023-04-05,64
2023-04-06,50
2023-04-07,46
2023-04-08,44
2023-04-09,38
2023-04-10,38
2023-04-11,37
2023-04-12,37
2023-04-13,44
2023-04-14,44
2023-04-15,52
2023-04-16,52
2023-04-17,47
2023-04-18,39
2023-04-19,38
2023-04-20,43
2023-04-21,43
2023-04-22,55
2023-04-23,47
2023-04-24,39
2023-04-25,38
2023-04-26,45
2023-04-27,46
2023-04-28,48
2023-04-29,53
2023-04-30,54
2023-05-01,43
2023-05-02,37
2023-05-03,35
2023-05-04,43
2023-05-05,41
2023-05-06,50
2023-05-07,44
2023-05-08,43
2023-05-09,44
2023-05-10,38
2023-05-11,36
2023-05-12,42
2023-05-13,50
2023-05-14,39
2023-05-15,39
2023-05-16,39
2023-05-17,36
2023-05-18,38
2023-05-19,42
2023-05-20,51
2023-05-21,40
2023-05-22,31
2023-05-23,30
2023-05-24,35
2023-05-25,30
