Time,bing
2024-08-18,59
2024-08-19,59
2024-08-20,62
2024-08-21,64
2024-08-22,61
2024-08-23,59
2024-08-24,58
2024-08-25,57
2024-08-26,67
2024-08-27,61
2024-08-28,75
2024-08-29,65
2024-08-30,62
2024-08-31,56
2024-09-01,59
2024-09-02,57
2024-09-03,61
2024-09-04,65
2024-09-05,65
2024-09-06,61
2024-09-07,56
2024-09-08,55
2024-09-09,64
2024-09-10,63
2024-09-11,62
2024-09-12,65
2024-09-13,64
2024-09-14,55
2024-09-15,54
2024-09-16,63
2024-09-17,60
2024-09-18,68
2024-09-19,61
2024-09-20,62
2024-09-21,65
2024-09-22,66
2024-09-23,65
2024-09-24,64
2024-09-25,64
2024-09-26,64
2024-09-27,68
2024-09-28,65
2024-09-29,57
2024-09-30,72
2024-10-01,60
2024-10-02,64
2024-10-03,60
2024-10-04,63
2024-10-05,60
2024-10-06,57
2024-10-07,63
2024-10-08,59
2024-10-09,66
2024-10-10,66
2024-10-11,62
2024-10-12,60
2024-10-13,55
2024-10-14,63
2024-10-15,62
2024-10-16,64
2024-10-17,64
2024-10-18,65
2024-10-19,59
2024-10-20,57
2024-10-21,63
2024-10-22,65
2024-10-23,64
2024-10-24,70
2024-10-25,65
2024-10-26,55
2024-10-27,61
2024-10-28,61
2024-10-29,62
2024-10-30,65
2024-10-31,63
2024-11-01,62
2024-11-02,54
2024-11-03,55
2024-11-04,63
2024-11-05,57
2024-11-06,49
2024-11-07,63
2024-11-08,66
2024-11-09,76
2024-11-10,58
2024-11-11,61
2024-11-12,61
2024-11-13,60
2024-11-14,62
2024-11-15,67
2024-11-16,53
2024-11-17,58
2024-11-18,61
2024-11-19,66
2024-11-20,62
2024-11-21,64
2024-11-22,67
2024-11-23,58
2024-11-24,63
2024-11-25,64
2024-11-26,64
2024-11-27,64
2024-11-28,58
2024-11-29,61
2024-11-30,65
2024-12-01,65
2024-12-02,65
2024-12-03,67
2024-12-04,65
2024-12-05,67
2024-12-06,65
2024-12-07,68
2024-12-08,66
2024-12-09,64
2024-12-10,68
2024-12-11,71
2024-12-12,68
2024-12-13,65
2024-12-14,67
2024-12-15,70
2024-12-16,70
2024-12-17,69
2024-12-18,76
2024-12-19,68
2024-12-20,74
2024-12-21,75
2024-12-22,72
2024-12-23,71
2024-12-24,81
2024-12-25,100
2024-12-26,76
2024-12-27,85
2024-12-28,61
2024-12-29,58
2024-12-30,63
2024-12-31,59
2025-01-01,59
2025-01-02,59
2025-01-03,61
2025-01-04,59
2025-01-05,55
2025-01-06,59
2025-01-07,62
2025-01-08,60
2025-01-09,65
2025-01-10,60
2025-01-11,58
2025-01-12,56
2025-01-13,60
2025-01-14,60
2025-01-15,63
2025-01-16,61
2025-01-17,63
2025-01-18,56
2025-01-19,53
2025-01-20,57
2025-01-21,60
2025-01-22,58
2025-01-23,60
2025-01-24,58
2025-01-25,54
2025-01-26,53
2025-01-27,56
2025-01-28,60
2025-01-29,64
2025-01-30,64
2025-01-31,61
2025-02-01,55
2025-02-02,54
2025-02-03,66
2025-02-04,63
2025-02-05,60
2025-02-06,60
2025-02-07,61
2025-02-08,57
2025-02-09,55
2025-02-10,64
2025-02-11,70
2025-02-12,68
2025-02-13,63
2025-02-14,65
2025-02-15,59
2025-02-16,57
2025-02-17,57
2025-02-18,58
2025-02-19,65
2025-02-20,61
2025-02-21,63
2025-02-22,57
2025-02-23,55
2025-02-24,61
2025-02-25,60
2025-02-26,58
2025-02-27,60
2025-02-28,63
2025-03-01,54
2025-03-02,54
2025-03-03,57
2025-03-04,62
2025-03-05,60
2025-03-06,61
2025-03-07,64
2025-03-08,57
2025-03-09,56
2025-03-10,61
2025-03-11,61
2025-03-12,65
2025-03-13,60
2025-03-14,61
2025-03-15,54
2025-03-16,55
2025-03-17,60
2025-03-18,61
2025-03-19,57
2025-03-20,57
2025-03-21,58
2025-03-22,51
2025-03-23,54
2025-03-24,56
2025-03-25,59
2025-03-26,61
2025-03-27,64
2025-03-28,58
2025-03-29,53
2025-03-30,53
2025-03-31,57
2025-04-01,56
2025-04-02,56
2025-04-03,69
2025-04-04,62
2025-04-05,55
2025-04-06,54
2025-04-07,58
2025-04-08,62
2025-04-09,58
2025-04-10,58
2025-04-11,60
2025-04-12,53
2025-04-13,50
2025-04-14,58
2025-04-15,56
2025-04-16,58
2025-04-17,57
2025-04-18,55
2025-04-19,51
2025-04-20,54
2025-04-21,61
2025-04-22,55
2025-04-23,59
2025-04-24,57
2025-04-25,59
2025-04-26,51
2025-04-27,52
2025-04-28,60
2025-04-29,57
2025-04-30,59
2025-05-01,56
2025-05-02,65
2025-05-03,52
2025-05-04,55
2025-05-05,59
2025-05-06,64
2025-05-07,56
2025-05-08,60
2025-05-09,58
2025-05-10,51
2025-05-11,48
2025-05-12,57
2025-05-13,61
2025-05-14,57
