Time,victoria secret
2022-01-01,85
2022-01-02,100
2022-01-03,83
2022-01-04,85
2022-01-05,81
2022-01-06,68
2022-01-07,78
2022-01-08,79
2022-01-09,81
2022-01-10,63
2022-01-11,64
2022-01-12,64
2022-01-13,70
2022-01-14,68
2022-01-15,76
2022-01-16,69
2022-01-17,65
2022-01-18,57
2022-01-19,62
2022-01-20,62
2022-01-21,62
2022-01-22,76
2022-01-23,73
2022-01-24,76
2022-01-25,50
2022-01-26,52
2022-01-27,56
2022-01-28,61
2022-01-29,68
2022-01-30,69
2022-01-31,62
2022-02-01,64
2022-02-02,61
2022-02-03,62
2022-02-04,67
2022-02-05,80
2022-02-06,75
2022-02-07,67
2022-02-08,65
2022-02-09,61
2022-02-10,59
2022-02-11,72
2022-02-12,76
2022-02-13,71
2022-02-14,62
2022-02-15,64
2022-02-16,59
2022-02-17,76
2022-02-18,80
2022-02-19,80
2022-02-20,76
2022-02-21,67
2022-02-22,63
2022-02-23,65
2022-02-24,61
2022-02-25,64
2022-02-26,65
2022-02-27,66
2022-02-28,63
2022-03-01,58
2022-03-02,60
2022-03-03,59
2022-03-04,65
2022-03-05,68
2022-03-06,68
2022-03-07,63
2022-03-08,63
2022-03-09,62
2022-03-10,59
2022-03-11,58
2022-03-12,61
2022-03-13,63
2022-03-14,55
2022-03-15,55
2022-03-16,54
2022-03-17,62
2022-03-18,63
2022-03-19,67
2022-03-20,65
2022-03-21,53
2022-03-22,48
2022-03-23,55
2022-03-24,52
2022-03-25,61
2022-03-26,69
2022-03-27,70
2022-03-28,52
2022-03-29,48
2022-03-30,57
2022-03-31,53
2022-04-01,56
2022-04-02,65
2022-04-03,64
2022-04-04,49
2022-04-05,46
2022-04-06,47
2022-04-07,46
2022-04-08,52
2022-04-09,57
2022-04-10,60
2022-04-11,52
2022-04-12,48
2022-04-13,49
2022-04-14,46
2022-04-15,52
2022-04-16,55
2022-04-17,60
2022-04-18,50
2022-04-19,51
2022-04-20,48
2022-04-21,50
2022-04-22,49
2022-04-23,60
2022-04-24,63
2022-04-25,53
2022-04-26,49
2022-04-27,47
2022-04-28,48
2022-04-29,52
2022-04-30,53
2022-05-01,62
2022-05-02,53
2022-05-03,50
2022-05-04,46
2022-05-05,51
2022-05-06,56
2022-05-07,64
2022-05-08,66
2022-05-09,50
2022-05-10,52
2022-05-11,49
2022-05-12,56
2022-05-13,61
2022-05-14,60
2022-05-15,62
2022-05-16,51
2022-05-17,58
2022-05-18,50
2022-05-19,53
2022-05-20,54
2022-05-21,67
2022-05-22,73
2022-05-23,56
2022-05-24,63
2022-05-25,53
2022-05-26,54
2022-05-27,67
2022-05-28,70
2022-05-29,74
2022-05-30,69
2022-05-31,57
2022-06-01,52
2022-06-02,50
2022-06-03,53
2022-06-04,59
2022-06-05,60
2022-06-06,51
2022-06-07,53
2022-06-08,63
2022-06-09,55
2022-06-10,55
2022-06-11,63
2022-06-12,61
2022-06-13,58
2022-06-14,86
2022-06-15,79
2022-06-16,77
2022-06-17,70
2022-06-18,78
2022-06-19,75
2022-06-20,70
2022-06-21,58
2022-06-22,61
2022-06-23,62
2022-06-24,65
2022-06-25,70
2022-06-26,73
2022-06-27,66
2022-06-28,71
2022-06-29,74
2022-06-30,77
2022-07-01,85
2022-07-02,79
2022-07-03,76
2022-07-04,73
2022-07-05,69
2022-07-06,63
2022-07-07,62
2022-07-08,61
2022-07-09,66
2022-07-10,64
2022-07-11,62
2022-07-12,60
2022-07-13,60
2022-07-14,64
2022-07-15,72
2022-07-16,79
2022-07-17,80
2022-07-18,71
2022-07-19,62
2022-07-20,65
2022-07-21,66
2022-07-22,83
2022-07-23,89
2022-07-24,96
2022-07-25,73
2022-07-26,72
2022-07-27,66
2022-07-28,71
2022-07-29,66
2022-07-30,67
2022-07-31,71
2022-08-01,68
2022-08-02,68
2022-08-03,66
2022-08-04,66
2022-08-05,69
2022-08-06,74
2022-08-07,76
2022-08-08,69
2022-08-09,57
2022-08-10,60
2022-08-11,59
2022-08-12,64
2022-08-13,74
2022-08-14,66
2022-08-15,58
2022-08-16,56
2022-08-17,59
2022-08-18,55
2022-08-19,57
2022-08-20,66
2022-08-21,70
2022-08-22,66
2022-08-23,57
2022-08-24,52
2022-08-25,56
2022-08-26,57
2022-08-27,65
2022-08-28,63
2022-08-29,48
2022-08-30,49
2022-08-31,53
2022-09-01,55
2022-09-02,59
2022-09-03,64
2022-09-04,71
2022-09-05,76
2022-09-06,56
2022-09-07,50
2022-09-08,50
2022-09-09,58
2022-09-10,62
2022-09-11,61
2022-09-12,53
2022-09-13,52
2022-09-14,53
2022-09-15,54
2022-09-16,59
2022-09-17,61
2022-09-18,63
2022-09-19,55
2022-09-20,55
2022-09-21,58
2022-09-22,57
2022-09-23,55
2022-09-24,62
2022-09-25,62
2022-09-26,57
2022-09-27,53
