query,left_file,right_file,left_start,left_end,right_start,right_end,overlap_start,overlap_end,overlap_days,valid_ratio_days,overlap_corr,median_ratio_right_over_left,mean_ratio_right_over_left,ratio_std,ratio_cv,mean_abs_pct_diff,median_abs_pct_diff,abnormal_flag,flag_reason
2022_election_results,gt_2022_election_results_2023-04-26_2024-01-20.csv,gt_2022_election_results_2023-12-22_2024-09-16.csv,2023-04-26,2024-01-20,2023-12-22,2024-09-16,2023-12-22,2024-01-20,30,7,0.9947825163932843,12.0,11.407142857142857,0.92305135800984,0.0809187164191469,167.5920963821405,169.23076923076923,1,large_scale_shift;large_average_difference
2022_election_results,gt_2022_election_results_2023-12-22_2024-09-16.csv,gt_2022_election_results_2024-08-18_2025-05-14.csv,2023-12-22,2024-09-16,2024-08-18,2025-05-14,2024-08-18,2024-09-16,30,20,0.9601767885366658,0.05643879173290938,0.05671451680928883,0.011077470981590365,0.19531985115627526,178.57131101555782,178.63247863247864,1,large_scale_shift;large_average_difference
2022_election_results,gt_2022_election_results_2024-08-18_2025-05-14.csv,gt_2022_election_results_2025-04-15_2026-01-09.csv,2024-08-18,2025-05-14,2025-04-15,2026-01-09,2025-04-15,2025-05-14,30,5,0.9732186045307051,6.0,5.2,1.1510864433221337,0.22136277756194878,133.3910533910534,142.85714285714286,1,large_scale_shift;large_average_difference
2022_election_results,gt_2022_election_results_2025-04-15_2026-01-09.csv,gt_2022_election_results_2025-12-11_2026-05-31.csv,2025-04-15,2026-01-09,2025-12-11,2026-05-31,2025-12-11,2026-01-09,30,22,0.998261584936868,1.9,1.9128663003663002,0.07465008798334108,0.03902525125203268,62.592156669348334,62.06896551724138,1,large_scale_shift;large_average_difference
2024_election,gt_2024_election_2022-01-01_2022-09-27.csv,gt_2024_election_2022-08-29_2023-05-25.csv,2022-01-01,2022-09-27,2022-08-29,2023-05-25,2022-08-29,2022-09-27,30,30,0.9795902818811159,0.16271373414230555,0.16347303637483865,0.008975514610865582,0.0549051685214007,143.81801099785292,144.02284781721744,1,large_scale_shift;large_average_difference
2024_election,gt_2024_election_2022-08-29_2023-05-25.csv,gt_2024_election_2023-04-26_2024-01-20.csv,2022-08-29,2023-05-25,2023-04-26,2024-01-20,2023-04-26,2023-05-25,30,30,0.9940885066870414,0.42105263157894735,0.4225086806619517,0.01490746521492844,0.03528321641006915,81.2231205672876,81.48148148148148,1,large_scale_shift;large_average_difference
2024_election,gt_2024_election_2023-04-26_2024-01-20.csv,gt_2024_election_2023-12-22_2024-09-16.csv,2023-04-26,2024-01-20,2023-12-22,2024-09-16,2023-12-22,2024-01-20,30,30,0.9930396036119972,0.11396103896103896,0.1133283210099716,0.01080956430947972,0.09538272704603645,159.31601576116424,159.07901622187336,1,large_scale_shift;large_average_difference
2024_election,gt_2024_election_2023-12-22_2024-09-16.csv,gt_2024_election_2024-08-18_2025-05-14.csv,2023-12-22,2024-09-16,2024-08-18,2025-05-14,2024-08-18,2024-09-16,30,1,0.8126847865152848,0.038461538461538464,0.038461538461538464,,,185.1851851851852,185.1851851851852,1,low_overlap_correlation;large_scale_shift;large_average_difference
2024_election,gt_2024_election_2025-04-15_2026-01-09.csv,gt_2024_election_2025-12-11_2026-05-31.csv,2025-04-15,2026-01-09,2025-12-11,2026-05-31,2025-12-11,2026-01-09,30,30,0.9969905200395223,2.0,1.9936268823768823,0.052568577782795965,0.02636831307176275,66.34285054058604,66.66666666666666,1,large_scale_shift;large_average_difference
2024_election_results,gt_2024_election_results_2022-08-29_2023-05-25.csv,gt_2024_election_results_2023-04-26_2024-01-20.csv,2022-08-29,2023-05-25,2023-04-26,2024-01-20,2023-04-26,2023-05-25,30,2,0.9792364931869323,0.8333333333333333,0.8333333333333333,0.23570226039551587,0.28284271247461906,20.0,20.0,1,unstable_ratio
2024_election_results,gt_2024_election_results_2023-04-26_2024-01-20.csv,gt_2024_election_results_2023-12-22_2024-09-16.csv,2023-04-26,2024-01-20,2023-12-22,2024-09-16,2023-12-22,2024-01-20,30,4,0.8665055944215994,0.08712121212121213,0.09043560606060605,0.02598564911744743,0.2873386960002564,166.9808949220714,167.94871794871796,1,unstable_ratio;large_scale_shift;large_average_difference
2024_election_results,gt_2024_election_results_2025-04-15_2026-01-09.csv,gt_2024_election_results_2025-12-11_2026-05-31.csv,2025-04-15,2026-01-09,2025-12-11,2026-05-31,2025-12-11,2026-01-09,30,30,0.9841603575031567,5.0,5.066771284271284,0.31184607086963767,0.06154729577743081,133.90159000873308,133.33333333333331,1,large_scale_shift;large_average_difference
2024_presidential_election,gt_2024_presidential_election_2022-01-01_2022-09-27.csv,gt_2024_presidential_election_2022-08-29_2023-05-25.csv,2022-01-01,2022-09-27,2022-08-29,2023-05-25,2022-08-29,2022-09-27,30,30,0.9909036487980228,0.2620137299771167,0.260015255032081,0.013343953895296185,0.05131988849519537,117.4909838847909,116.95402298850574,1,large_scale_shift;large_average_difference
2024_presidential_election,gt_2024_presidential_election_2022-08-29_2023-05-25.csv,gt_2024_presidential_election_2023-04-26_2024-01-20.csv,2022-08-29,2023-05-25,2023-04-26,2024-01-20,2023-04-26,2023-05-25,30,30,0.9984228709939529,0.5,0.492364648281099,0.016092823632585716,0.03268476664351836,68.06099977298307,66.66666666666666,1,large_scale_shift;large_average_difference
2024_presidential_election,gt_2024_presidential_election_2023-04-26_2024-01-20.csv,gt_2024_presidential_election_2023-12-22_2024-09-16.csv,2023-04-26,2024-01-20,2023-12-22,2024-09-16,2023-12-22,2024-01-20,30,30,0.9988029887459343,0.46875,0.46996095238347074,0.016266392425622306,0.03461222117098259,72.14821412938105,72.3404255319149,1,large_scale_shift;large_average_difference
2024_presidential_election,gt_2024_presidential_election_2023-12-22_2024-09-16.csv,gt_2024_presidential_election_2024-08-18_2025-05-14.csv,2023-12-22,2024-09-16,2024-08-18,2025-05-14,2024-08-18,2024-09-16,30,4,0.7902621402405653,0.020869565217391306,0.019733563096500532,0.005436197860371932,0.2754797921585669,192.26771244445408,191.82311222361284,1,low_overlap_correlation;unstable_ratio;large_scale_shift;large_average_difference
2024_presidential_election,gt_2024_presidential_election_2025-04-15_2026-01-09.csv,gt_2024_presidential_election_2025-12-11_2026-05-31.csv,2025-04-15,2026-01-09,2025-12-11,2026-05-31,2025-12-11,2026-01-09,30,30,0.9984337056188936,1.6547619047619047,1.648606528118138,0.03930570493686945,0.023841774411591334,48.9449057525628,49.32432432432432,1,large_scale_shift;large_average_difference
2024_united_states_elections_results,gt_2024_united_states_elections_results_2022-01-01_2022-09-27.csv,gt_2024_united_states_elections_results_2022-08-29_2023-05-25.csv,2022-01-01,2022-09-27,2022-08-29,2023-05-25,,,0,0,,,,,,,,1,short_overlap
