Time,nearpod
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,19.0
2022-01-04,41.0
2022-01-05,43.0
2022-01-06,35.0
2022-01-07,26.0
2022-01-08,2.0
2022-01-09,2.0
2022-01-10,46.0
2022-01-11,52.0
2022-01-12,39.0
2022-01-13,40.0
2022-01-14,24.0
2022-01-15,2.0
2022-01-16,1.0
2022-01-17,4.0
2022-01-18,37.0
2022-01-19,42.0
2022-01-20,37.0
2022-01-21,28.0
2022-01-22,3.0
2022-01-23,2.0
2022-01-24,41.0
2022-01-25,36.0
2022-01-26,35.0
2022-01-27,38.0
2022-01-28,31.0
2022-01-29,2.0
2022-01-30,3.0
2022-01-31,45.0
2022-02-01,40.0
2022-02-02,40.0
2022-02-03,35.0
2022-02-04,24.0
2022-02-05,2.0
2022-02-06,2.0
2022-02-07,42.0
2022-02-08,42.0
2022-02-09,38.0
2022-02-10,32.0
2022-02-11,27.0
2022-02-12,2.0
2022-02-13,2.0
2022-02-14,31.0
2022-02-15,37.0
2022-02-16,33.0
2022-02-17,31.0
2022-02-18,19.0
2022-02-19,1.0
2022-02-20,1.0
2022-02-21,7.0
2022-02-22,28.0
2022-02-23,29.0
2022-02-24,24.0
2022-02-25,20.0
2022-02-26,3.0
2022-02-27,2.0
2022-02-28,35.0
2022-03-01,33.0
2022-03-02,29.0
2022-03-03,28.0
2022-03-04,23.0
2022-03-05,2.0
2022-03-06,2.0
2022-03-07,29.0
2022-03-08,28.0
2022-03-09,27.0
2022-03-10,25.0
2022-03-11,16.0
2022-03-12,2.0
2022-03-13,2.0
2022-03-14,19.0
2022-03-15,23.0
2022-03-16,20.0
2022-03-17,19.0
2022-03-18,12.0
2022-03-19,2.0
2022-03-20,2.0
2022-03-21,28.0
2022-03-22,34.0
2022-03-23,27.0
2022-03-24,26.0
2022-03-25,59.0
2022-03-26,2.0
2022-03-27,2.0
2022-03-28,78.0
2022-03-29,77.0
2022-03-30,26.0
2022-03-31,66.0
2022-04-01,54.0
2022-04-02,3.0
2022-04-03,3.0
2022-04-04,75.0
2022-04-05,64.0
2022-04-06,68.0
2022-04-07,64.0
2022-04-08,49.0
2022-04-09,2.0
2022-04-10,2.0
2022-04-11,79.0
2022-04-12,72.0
2022-04-13,61.0
2022-04-14,48.0
2022-04-15,16.0
2022-04-16,2.0
2022-04-17,1.0
2022-04-18,50.0
2022-04-19,68.0
2022-04-20,64.0
2022-04-21,61.0
2022-04-22,48.0
2022-04-23,2.0
2022-04-24,2.0
2022-04-25,80.0
2022-04-26,71.0
2022-04-27,67.0
2022-04-28,61.0
2022-04-29,50.0
2022-04-30,3.0
2022-05-01,3.0
2022-05-02,56.0
2022-05-03,56.0
2022-05-04,53.0
2022-05-05,55.0
2022-05-06,45.0
2022-05-07,2.0
2022-05-08,1.0
2022-05-09,56.0
2022-05-10,50.0
2022-05-11,45.0
2022-05-12,52.0
2022-05-13,36.0
2022-05-14,2.0
2022-05-15,3.0
2022-05-16,52.0
2022-05-17,43.0
2022-05-18,40.0
2022-05-19,36.0
2022-05-20,29.0
2022-05-21,2.0
2022-05-22,2.0
2022-05-23,36.0
2022-05-24,31.0
2022-05-25,25.0
2022-05-26,26.0
2022-05-27,16.0
2022-05-28,1.0
2022-05-29,1.0
2022-05-30,2.0
2022-05-31,23.0
2022-06-01,20.0
2022-06-02,19.0
2022-06-03,15.0
2022-06-04,1.0
2022-06-05,2.0
2022-06-06,18.0
2022-06-07,18.0
2022-06-08,16.0
2022-06-09,13.0
2022-06-10,10.0
2022-06-11,1.0
2022-06-12,1.0
2022-06-13,13.0
2022-06-14,13.0
2022-06-15,10.0
2022-06-16,9.0
2022-06-17,6.0
2022-06-18,1.0
2022-06-19,1.0
2022-06-20,5.0
2022-06-21,7.0
2022-06-22,8.0
2022-06-23,6.0
2022-06-24,4.0
2022-06-25,1.0
2022-06-26,1.0
2022-06-27,7.0
2022-06-28,5.0
2022-06-29,6.0
2022-06-30,4.0
2022-07-01,2.0
2022-07-02,1.0
2022-07-03,1.0
2022-07-04,1.0
2022-07-05,4.0
2022-07-06,4.0
2022-07-07,4.0
2022-07-08,3.0
2022-07-09,1.0
2022-07-10,1.0
