Time,how to vote in the us
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,13
2022-01-11,0
2022-01-12,15
2022-01-13,10
2022-01-14,12
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,16
2022-01-20,19
2022-01-21,17
2022-01-22,16
2022-01-23,0
2022-01-24,16
2022-01-25,10
2022-01-26,11
2022-01-27,0
2022-01-28,10
2022-01-29,0
2022-01-30,0
2022-01-31,12
2022-02-01,20
2022-02-02,14
2022-02-03,13
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,21
2022-02-08,21
2022-02-09,15
2022-02-10,11
2022-02-11,16
2022-02-12,0
2022-02-13,0
2022-02-14,14
2022-02-15,13
2022-02-16,14
2022-02-17,12
2022-02-18,11
2022-02-19,0
2022-02-20,0
2022-02-21,12
2022-02-22,12
2022-02-23,12
2022-02-24,18
2022-02-25,12
2022-02-26,8
2022-02-27,0
2022-02-28,12
2022-03-01,12
2022-03-02,10
2022-03-03,14
2022-03-04,14
2022-03-05,0
2022-03-06,0
2022-03-07,16
2022-03-08,13
2022-03-09,11
2022-03-10,19
2022-03-11,11
2022-03-12,10
2022-03-13,0
2022-03-14,12
2022-03-15,9
2022-03-16,9
2022-03-17,14
2022-03-18,9
2022-03-19,0
2022-03-20,0
2022-03-21,18
2022-03-22,15
2022-03-23,13
2022-03-24,14
2022-03-25,24
2022-03-26,8
2022-03-27,9
2022-03-28,24
2022-03-29,21
2022-03-30,18
2022-03-31,23
2022-04-01,18
2022-04-02,9
2022-04-03,8
2022-04-04,21
2022-04-05,20
2022-04-06,21
2022-04-07,22
2022-04-08,21
2022-04-09,0
2022-04-10,11
2022-04-11,28
2022-04-12,18
2022-04-13,18
2022-04-14,21
2022-04-15,9
2022-04-16,8
2022-04-17,0
2022-04-18,20
2022-04-19,24
2022-04-20,20
2022-04-21,22
2022-04-22,16
2022-04-23,8
2022-04-24,0
2022-04-25,25
2022-04-26,23
2022-04-27,27
2022-04-28,21
2022-04-29,20
2022-04-30,0
2022-05-01,10
2022-05-02,24
2022-05-03,25
2022-05-04,21
2022-05-05,15
2022-05-06,17
2022-05-07,10
2022-05-08,10
2022-05-09,26
2022-05-10,23
2022-05-11,34
2022-05-12,21
2022-05-13,21
2022-05-14,10
2022-05-15,0
2022-05-16,22
2022-05-17,27
2022-05-18,26
2022-05-19,32
2022-05-20,21
2022-05-21,0
2022-05-22,0
2022-05-23,22
2022-05-24,21
2022-05-25,17
2022-05-26,15
2022-05-27,11
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,10
2022-06-01,12
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,14
2022-06-07,16
2022-06-08,15
2022-06-09,0
2022-06-10,10
2022-06-11,0
2022-06-12,0
2022-06-13,15
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,9
2022-06-18,0
2022-06-19,0
2022-06-20,0
2022-06-21,10
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,10
2022-06-26,10
2022-06-27,15
2022-06-28,11
2022-06-29,10
2022-06-30,11
2022-07-01,0
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,0
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,12
2022-07-20,11
2022-07-21,0
2022-07-22,0
2022-07-23,0
2022-07-24,0
2022-07-25,9
2022-07-26,0
2022-07-27,0
2022-07-28,9
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,0
2022-08-08,0
2022-08-09,10
2022-08-10,0
2022-08-11,0
2022-08-12,0
2022-08-13,0
2022-08-14,0
2022-08-15,0
2022-08-16,9
2022-08-17,10
2022-08-18,11
2022-08-19,11
2022-08-20,0
2022-08-21,0
2022-08-22,12
2022-08-23,13
2022-08-24,10
2022-08-25,16
2022-08-26,0
2022-08-27,0
2022-08-28,0
2022-08-29,12
2022-08-30,0
2022-08-31,14
2022-09-01,13
2022-09-02,11
2022-09-03,0
2022-09-04,0
2022-09-05,10
2022-09-06,15
2022-09-07,18
2022-09-08,17
2022-09-09,16
2022-09-10,0
2022-09-11,0
2022-09-12,19
2022-09-13,17
2022-09-14,13
2022-09-15,14
2022-09-16,22
2022-09-17,0
2022-09-18,12
2022-09-19,19
2022-09-20,100
2022-09-21,34
2022-09-22,21
2022-09-23,22
2022-09-24,0
2022-09-25,10
2022-09-26,19
2022-09-27,16
