Time,jay north
2022-01-01,0
2022-01-02,14
2022-01-03,17
2022-01-04,40
2022-01-05,25
2022-01-06,21
2022-01-07,17
2022-01-08,17
2022-01-09,25
2022-01-10,20
2022-01-11,13
2022-01-12,27
2022-01-13,17
2022-01-14,16
2022-01-15,15
2022-01-16,17
2022-01-17,17
2022-01-18,12
2022-01-19,16
2022-01-20,23
2022-01-21,17
2022-01-22,13
2022-01-23,20
2022-01-24,21
2022-01-25,16
2022-01-26,19
2022-01-27,20
2022-01-28,17
2022-01-29,16
2022-01-30,18
2022-01-31,19
2022-02-01,14
2022-02-02,17
2022-02-03,12
2022-02-04,16
2022-02-05,0
2022-02-06,24
2022-02-07,18
2022-02-08,23
2022-02-09,16
2022-02-10,13
2022-02-11,17
2022-02-12,16
2022-02-13,23
2022-02-14,21
2022-02-15,28
2022-02-16,16
2022-02-17,17
2022-02-18,21
2022-02-19,20
2022-02-20,20
2022-02-21,20
2022-02-22,23
2022-02-23,17
2022-02-24,14
2022-02-25,16
2022-02-26,22
2022-02-27,16
2022-02-28,18
2022-03-01,18
2022-03-02,13
2022-03-03,19
2022-03-04,17
2022-03-05,18
2022-03-06,36
2022-03-07,19
2022-03-08,22
2022-03-09,22
2022-03-10,22
2022-03-11,12
2022-03-12,11
2022-03-13,16
2022-03-14,16
2022-03-15,15
2022-03-16,19
2022-03-17,17
2022-03-18,13
2022-03-19,17
2022-03-20,23
2022-03-21,10
2022-03-22,13
2022-03-23,16
2022-03-24,15
2022-03-25,15
2022-03-26,20
2022-03-27,20
2022-03-28,24
2022-03-29,18
2022-03-30,23
2022-03-31,29
2022-04-01,24
2022-04-02,19
2022-04-03,26
2022-04-04,17
2022-04-05,29
2022-04-06,17
2022-04-07,14
2022-04-08,14
2022-04-09,21
2022-04-10,19
2022-04-11,19
2022-04-12,21
2022-04-13,18
2022-04-14,16
2022-04-15,26
2022-04-16,22
2022-04-17,18
2022-04-18,13
2022-04-19,18
2022-04-20,19
2022-04-21,24
2022-04-22,21
2022-04-23,24
2022-04-24,20
2022-04-25,16
2022-04-26,27
2022-04-27,15
2022-04-28,22
2022-04-29,18
2022-04-30,10
2022-05-01,15
2022-05-02,19
2022-05-03,20
2022-05-04,26
2022-05-05,14
2022-05-06,16
2022-05-07,28
2022-05-08,17
2022-05-09,19
2022-05-10,11
2022-05-11,15
2022-05-12,15
2022-05-13,14
2022-05-14,26
2022-05-15,22
2022-05-16,16
2022-05-17,15
2022-05-18,24
2022-05-19,18
2022-05-20,16
2022-05-21,29
2022-05-22,17
2022-05-23,18
2022-05-24,14
2022-05-25,13
2022-05-26,15
2022-05-27,21
2022-05-28,15
2022-05-29,0
2022-05-30,19
2022-05-31,19
2022-06-01,19
2022-06-02,15
2022-06-03,24
2022-06-04,16
2022-06-05,21
2022-06-06,18
2022-06-07,22
2022-06-08,20
2022-06-09,25
2022-06-10,20
2022-06-11,14
2022-06-12,12
2022-06-13,21
2022-06-14,19
2022-06-15,17
2022-06-16,17
2022-06-17,15
2022-06-18,22
2022-06-19,16
2022-06-20,20
2022-06-21,33
2022-06-22,16
2022-06-23,15
2022-06-24,18
2022-06-25,13
2022-06-26,0
2022-06-27,15
2022-06-28,18
2022-06-29,14
2022-06-30,10
2022-07-01,18
2022-07-02,20
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,24
2022-07-07,20
2022-07-08,17
2022-07-09,23
2022-07-10,30
2022-07-11,23
2022-07-12,22
2022-07-13,19
2022-07-14,16
2022-07-15,20
2022-07-16,16
2022-07-17,19
2022-07-18,25
2022-07-19,14
2022-07-20,0
2022-07-21,21
2022-07-22,18
2022-07-23,19
2022-07-24,20
2022-07-25,19
2022-07-26,26
2022-07-27,16
2022-07-28,21
2022-07-29,16
2022-07-30,25
2022-07-31,24
2022-08-01,16
2022-08-02,16
2022-08-03,44
2022-08-04,100
2022-08-05,82
2022-08-06,33
2022-08-07,33
2022-08-08,21
2022-08-09,18
2022-08-10,23
2022-08-11,17
2022-08-12,0
2022-08-13,18
2022-08-14,24
2022-08-15,14
2022-08-16,18
2022-08-17,21
2022-08-18,15
2022-08-19,24
2022-08-20,13
2022-08-21,0
2022-08-22,18
2022-08-23,23
2022-08-24,15
2022-08-25,20
2022-08-26,19
2022-08-27,18
2022-08-28,17
2022-08-29,19
2022-08-30,21
2022-08-31,20
2022-09-01,16
2022-09-02,18
2022-09-03,19
2022-09-04,12
2022-09-05,15
2022-09-06,15
2022-09-07,16
2022-09-08,13
2022-09-09,20
2022-09-10,20
2022-09-11,19
2022-09-12,12
2022-09-13,25
2022-09-14,17
2022-09-15,17
2022-09-16,0
2022-09-17,16
2022-09-18,15
2022-09-19,13
2022-09-20,19
2022-09-21,24
2022-09-22,32
2022-09-23,12
2022-09-24,22
2022-09-25,16
2022-09-26,14
2022-09-27,9
