Time,pittsburgh_steelers
2022-01-01,6.0
2022-01-02,16.0
2022-01-03,18.0
2022-01-04,83.0
2022-01-05,10.0
2022-01-06,6.0
2022-01-07,6.0
2022-01-08,8.0
2022-01-09,84.0
2022-01-10,35.0
2022-01-11,10.0
2022-01-12,8.0
2022-01-13,9.0
2022-01-14,7.0
2022-01-15,13.0
2022-01-16,28.0
2022-01-17,100.0
2022-01-18,8.0
2022-01-19,5.0
2022-01-20,4.0
2022-01-21,4.0
2022-01-22,5.0
2022-01-23,8.0
2022-01-24,6.0
2022-01-25,4.0
2022-01-26,3.0
2022-01-27,5.0
2022-01-28,6.0
2022-01-29,5.0
2022-01-30,6.0
2022-01-31,6.0
2022-02-01,4.0
2022-02-02,5.0
2022-02-03,5.0
2022-02-04,5.0
2022-02-05,4.0
2022-02-06,5.0
2022-02-07,4.0
2022-02-08,4.0
2022-02-09,4.0
2022-02-10,3.0
2022-02-11,4.0
2022-02-12,4.0
2022-02-13,5.0
2022-02-14,4.0
2022-02-15,4.0
2022-02-16,4.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,5.0
2022-02-20,5.0
2022-02-21,4.0
2022-02-22,4.0
2022-02-23,3.0
2022-02-24,3.0
2022-02-25,3.0
2022-02-26,3.0
2022-02-27,3.0
2022-02-28,3.0
2022-03-01,3.0
2022-03-02,3.0
2022-03-03,3.0
2022-03-04,3.0
2022-03-05,3.0
2022-03-06,4.0
2022-03-07,4.0
2022-03-08,5.0
2022-03-09,5.0
2022-03-10,5.0
2022-03-11,5.0
2022-03-12,6.0
2022-03-13,5.0
2022-03-14,11.0
2022-03-15,10.0
2022-03-16,9.0
2022-03-17,10.0
2022-03-18,9.0
2022-03-19,9.0
2022-03-20,7.0
2022-03-21,7.0
2022-03-22,7.0
2022-03-23,7.0
2022-03-24,6.0
2022-03-25,6.0
2022-03-26,5.0
2022-03-27,5.0
2022-03-28,4.0
2022-03-29,4.0
2022-03-30,5.0
2022-03-31,4.0
2022-04-01,4.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,4.0
2022-04-05,4.0
2022-04-06,4.0
2022-04-07,4.0
2022-04-08,4.0
2022-04-09,24.0
2022-04-10,16.0
2022-04-11,8.0
2022-04-12,5.0
2022-04-13,4.0
2022-04-14,4.0
2022-04-15,4.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,4.0
2022-04-19,4.0
2022-04-20,4.0
2022-04-21,4.0
2022-04-22,4.0
2022-04-23,4.0
2022-04-24,4.0
2022-04-25,4.0
2022-04-26,4.0
2022-04-27,4.0
2022-04-28,5.0
2022-04-29,17.0
2022-04-30,23.0
2022-05-01,11.0
2022-05-02,6.0
2022-05-03,5.0
2022-05-04,4.0
2022-05-05,4.0
2022-05-06,4.0
2022-05-07,4.0
2022-05-08,4.0
2022-05-09,3.0
2022-05-10,4.0
2022-05-11,3.0
2022-05-12,5.0
2022-05-13,10.0
2022-05-14,5.0
2022-05-15,5.0
2022-05-16,4.0
2022-05-17,4.0
2022-05-18,4.0
2022-05-19,3.0
2022-05-20,3.0
2022-05-21,3.0
2022-05-22,4.0
2022-05-23,4.0
2022-05-24,3.0
2022-05-25,4.0
2022-05-26,4.0
2022-05-27,4.0
2022-05-28,3.0
2022-05-29,3.0
2022-05-30,3.0
2022-05-31,3.0
2022-06-01,4.0
2022-06-02,3.0
2022-06-03,3.0
2022-06-04,3.0
2022-06-05,4.0
2022-06-06,3.0
2022-06-07,3.0
2022-06-08,3.0
2022-06-09,3.0
2022-06-10,3.0
2022-06-11,3.0
2022-06-12,3.0
2022-06-13,3.0
2022-06-14,3.0
2022-06-15,3.0
2022-06-16,3.0
2022-06-17,3.0
2022-06-18,3.0
2022-06-19,3.0
2022-06-20,3.0
2022-06-21,4.0
2022-06-22,4.0
2022-06-23,3.0
2022-06-24,3.0
2022-06-25,3.0
2022-06-26,4.0
2022-06-27,3.0
2022-06-28,3.0
2022-06-29,3.0
2022-06-30,3.0
2022-07-01,3.0
2022-07-02,3.0
2022-07-03,3.0
2022-07-04,3.0
2022-07-05,3.0
2022-07-06,4.0
2022-07-07,3.0
2022-07-08,3.0
2022-07-09,4.0
2022-07-10,3.0
2022-07-11,5.0
2022-07-12,6.0
2022-07-13,4.0
2022-07-14,4.0
2022-07-15,3.0
2022-07-16,3.0
2022-07-17,4.0
2022-07-18,5.0
2022-07-19,4.0
2022-07-20,4.0
2022-07-21,4.0
2022-07-22,4.0
2022-07-23,4.0
2022-07-24,5.0
2022-07-25,4.0
2022-07-26,4.0
2022-07-27,5.0
2022-07-28,4.0
2022-07-29,4.0
2022-07-30,5.0
2022-07-31,9.0
2022-08-01,5.0
2022-08-02,5.0
2022-08-03,5.0
2022-08-04,6.0
2022-08-05,7.0
2022-08-06,6.0
2022-08-07,8.0
2022-08-08,5.0
2022-08-09,6.0
2022-08-10,6.0
2022-08-11,7.0
2022-08-12,7.0
2022-08-13,17.0
2022-08-14,29.0
2022-08-15,9.0
2022-08-16,7.0
2022-08-17,7.0
2022-08-18,7.0
2022-08-19,7.0
2022-08-20,16.0
2022-08-21,24.0
2022-08-22,8.0
2022-08-23,8.0
2022-08-24,7.0
2022-08-25,8.0
2022-08-26,7.0
2022-08-27,10.0
2022-08-28,31.0
2022-08-29,16.347280334728033
2022-08-30,12.150627615062762
2022-08-31,9.332635983263598
2022-09-01,8.393305439330543
2022-09-02,7.45397489539749
2022-09-03,7.95397489539749
2022-09-04,13.089958158995817
2022-09-05,9.332635983263598
2022-09-06,9.832635983263598
2022-09-07,8.893305439330543
2022-09-08,7.95397489539749
2022-09-09,8.893305439330543
2022-09-10,8.893305439330543
2022-09-11,86.93305439330544
2022-09-12,21.48326359832636
2022-09-13,10.771966527196653
2022-09-14,9.832635983263598
2022-09-15,8.893305439330543
2022-09-16,7.95397489539749
2022-09-17,8.893305439330543
2022-09-18,62.63179916317992
2022-09-19,14.02928870292887
2022-09-20,9.332635983263598
2022-09-21,7.95397489539749
2022-09-22,22.422594142259413
2022-09-23,78.97907949790795
2022-09-24,7.95397489539749
2022-09-25,14.968619246861925
2022-09-26,7.95397489539749
2022-09-27,7.014644351464435
2022-09-28,6.150627615062762
2022-09-29,5.271966527196653
2022-09-30,6.150627615062762
2022-10-01,8.786610878661088
2022-10-02,62.38493723849373
2022-10-03,15.81589958158996
2022-10-04,9.665271966527197
2022-10-05,7.029288702928871
2022-10-06,6.150627615062762
2022-10-07,7.029288702928871
2022-10-08,7.029288702928871
2022-10-09,57.99163179916319
2022-10-10,14.058577405857742
2022-10-11,8.786610878661088
2022-10-12,7.029288702928871
2022-10-13,6.150627615062762
2022-10-14,6.150627615062762
2022-10-15,7.90794979079498
2022-10-16,60.627615062761514
2022-10-17,14.93723849372385
2022-10-18,7.029288702928871
2022-10-19,6.150627615062762
2022-10-20,6.150627615062762
2022-10-21,7.029288702928871
2022-10-22,7.029288702928871
2022-10-23,24.602510460251047
2022-10-24,50.08368200836821
2022-10-25,7.029288702928871
2022-10-26,5.271966527196653
2022-10-27,5.271966527196653
2022-10-28,6.150627615062762
2022-10-29,7.029288702928871
2022-10-30,43.05439330543933
2022-10-31,12.301255230125523
2022-11-01,10.543933054393307
2022-11-02,7.029288702928871
2022-11-03,5.271966527196653
2022-11-04,5.271966527196653
2022-11-05,5.271966527196653
2022-11-06,19.330543933054393
2022-11-07,8.786610878661088
2022-11-08,7.029288702928871
2022-11-09,4.393305439330544
2022-11-10,6.150627615062762
2022-11-11,5.271966527196653
2022-11-12,7.029288702928871
2022-11-13,38.66108786610879
2022-11-14,11.422594142259415
2022-11-15,6.150627615062762
2022-11-16,5.271966527196653
2022-11-17,4.393305439330544
2022-11-18,5.271966527196653
2022-11-19,6.150627615062762
2022-11-20,33.38912133891213
2022-11-21,20.209205020920503
2022-11-22,5.271966527196653
2022-11-23,4.393305439330544
2022-11-24,6.150627615062762
2022-11-25,5.271966527196653
2022-11-26,4.393305439330544
2022-11-27,13.179916317991633
2022-11-28,12.301255230125523
2022-11-29,42.17573221757323
2022-11-30,6.150627615062762
2022-12-01,5.271966527196653
2022-12-02,5.271966527196653
2022-12-03,6.150627615062762
2022-12-04,33.38912133891213
2022-12-05,11.422594142259415
2022-12-06,7.029288702928871
2022-12-07,6.150627615062762
2022-12-08,5.271966527196653
2022-12-09,5.271966527196653
2022-12-10,6.150627615062762
2022-12-11,36.903765690376574
2022-12-12,8.786610878661088
2022-12-13,5.271966527196653
2022-12-14,6.150627615062762
2022-12-15,4.393305439330544
2022-12-16,5.271966527196653
2022-12-17,7.90794979079498
2022-12-18,30.75313807531381
2022-12-19,13.179916317991633
2022-12-20,6.150627615062762
2022-12-21,10.543933054393307
2022-12-22,7.90794979079498
2022-12-23,7.90794979079498
2022-12-24,20.209205020920503
2022-12-25,79.95815899581591
2022-12-26,9.665271966527197
2022-12-27,7.029288702928871
2022-12-28,7.029288702928871
2022-12-29,5.271966527196653
2022-12-30,6.150627615062762
2022-12-31,6.150627615062762
2023-01-01,19.330543933054393
2023-01-02,62.38493723849373
2023-01-03,12.301255230125523
2023-01-04,5.271966527196653
2023-01-05,5.271966527196653
2023-01-06,6.150627615062762
2023-01-07,8.786610878661088
2023-01-08,59.7489539748954
2023-01-09,22.84518828451883
2023-01-10,7.90794979079498
2023-01-11,5.271966527196653
2023-01-12,5.271966527196653
2023-01-13,4.393305439330544
2023-01-14,6.150627615062762
2023-01-15,7.90794979079498
2023-01-16,5.271966527196653
2023-01-17,5.271966527196653
2023-01-18,5.271966527196653
2023-01-19,5.271966527196653
2023-01-20,4.393305439330544
2023-01-21,4.393305439330544
2023-01-22,5.271966527196653
2023-01-23,4.393305439330544
2023-01-24,3.5146443514644354
2023-01-25,4.393305439330544
2023-01-26,2.6359832635983267
2023-01-27,3.5146443514644354
2023-01-28,2.6359832635983267
2023-01-29,4.393305439330544
2023-01-30,4.393305439330544
2023-01-31,3.5146443514644354
2023-02-01,3.5146443514644354
2023-02-02,3.5146443514644354
2023-02-03,4.393305439330544
2023-02-04,3.5146443514644354
2023-02-05,4.393305439330544
2023-02-06,3.5146443514644354
2023-02-07,3.5146443514644354
2023-02-08,3.5146443514644354
2023-02-09,3.5146443514644354
2023-02-10,3.5146443514644354
2023-02-11,3.5146443514644354
2023-02-12,4.393305439330544
2023-02-13,4.393305439330544
2023-02-14,2.6359832635983267
2023-02-15,2.6359832635983267
