Time,spy_stock
2022-01-01,5.0
2022-01-02,5.0
2022-01-03,22.0
2022-01-04,32.0
2022-01-05,33.0
2022-01-06,26.0
2022-01-07,27.0
2022-01-08,7.0
2022-01-09,4.0
2022-01-10,29.0
2022-01-11,31.0
2022-01-12,26.0
2022-01-13,32.0
2022-01-14,27.0
2022-01-15,7.0
2022-01-16,5.0
2022-01-17,6.0
2022-01-18,32.0
2022-01-19,28.0
2022-01-20,31.0
2022-01-21,45.0
2022-01-22,15.0
2022-01-23,8.0
2022-01-24,100.0
2022-01-25,51.0
2022-01-26,48.0
2022-01-27,46.0
2022-01-28,45.0
2022-01-29,9.0
2022-01-30,5.0
2022-01-31,34.0
2022-02-01,31.0
2022-02-02,32.0
2022-02-03,36.0
2022-02-04,33.0
2022-02-05,5.0
2022-02-06,4.0
2022-02-07,30.0
2022-02-08,32.0
2022-02-09,24.0
2022-02-10,28.0
2022-02-11,36.0
2022-02-12,9.0
2022-02-13,5.0
2022-02-14,41.0
2022-02-15,31.0
2022-02-16,33.0
2022-02-17,36.0
2022-02-18,41.0
2022-02-19,10.0
2022-02-20,5.0
2022-02-21,12.0
2022-02-22,56.0
2022-02-23,46.0
2022-02-24,75.0
2022-02-25,43.0
2022-02-26,9.0
2022-02-27,7.0
2022-02-28,51.0
2022-03-01,38.0
2022-03-02,34.0
2022-03-03,33.0
2022-03-04,40.0
2022-03-05,7.0
2022-03-06,5.0
2022-03-07,50.0
2022-03-08,45.0
2022-03-09,39.0
2022-03-10,39.0
2022-03-11,35.0
2022-03-12,7.0
2022-03-13,5.0
2022-03-14,42.0
2022-03-15,34.0
2022-03-16,44.0
2022-03-17,37.0
2022-03-18,39.0
2022-03-19,7.0
2022-03-20,4.0
2022-03-21,34.0
2022-03-22,29.0
2022-03-23,25.0
2022-03-24,26.0
2022-03-25,28.0
2022-03-26,6.0
2022-03-27,4.0
2022-03-28,28.0
2022-03-29,27.0
2022-03-30,32.0
2022-03-31,28.0
2022-04-01,26.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,25.0
2022-04-05,22.0
2022-04-06,32.0
2022-04-07,25.0
2022-04-08,23.0
2022-04-09,5.0
2022-04-10,3.0
2022-04-11,27.0
2022-04-12,27.0
2022-04-13,25.0
2022-04-14,23.0
2022-04-15,9.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,25.0
2022-04-19,23.0
2022-04-20,28.0
2022-04-21,27.0
2022-04-22,34.0
2022-04-23,8.0
2022-04-24,6.0
2022-04-25,39.0
2022-04-26,38.0
2022-04-27,33.0
2022-04-28,35.0
2022-04-29,36.0
2022-04-30,12.0
2022-05-01,6.0
2022-05-02,47.0
2022-05-03,32.0
2022-05-04,37.0
2022-05-05,50.0
2022-05-06,49.0
2022-05-07,9.0
2022-05-08,6.0
2022-05-09,70.0
2022-05-10,52.0
2022-05-11,62.0
2022-05-12,55.0
2022-05-13,44.0
2022-05-14,8.0
2022-05-15,5.0
2022-05-16,38.0
2022-05-17,37.0
2022-05-18,50.0
2022-05-19,53.0
2022-05-20,50.0
2022-05-21,9.0
2022-05-22,6.0
2022-05-23,44.0
2022-05-24,47.0
2022-05-25,40.0
2022-05-26,38.0
2022-05-27,39.0
2022-05-28,8.0
2022-05-29,5.0
2022-05-30,5.0
2022-05-31,41.0
2022-06-01,40.0
2022-06-02,33.0
2022-06-03,36.0
2022-06-04,6.0
2022-06-05,5.0
2022-06-06,31.0
2022-06-07,34.0
2022-06-08,29.0
2022-06-09,34.0
2022-06-10,47.0
2022-06-11,8.0
2022-06-12,6.0
2022-06-13,70.0
2022-06-14,54.0
2022-06-15,55.0
2022-06-16,61.0
2022-06-17,46.0
2022-06-18,9.0
2022-06-19,5.0
2022-06-20,13.0
2022-06-21,45.0
2022-06-22,43.0
2022-06-23,36.0
2022-06-24,36.0
2022-06-25,7.0
2022-06-26,5.0
2022-06-27,36.0
2022-06-28,36.0
2022-06-29,35.0
2022-06-30,40.0
2022-07-01,32.0
2022-07-02,7.0
2022-07-03,4.0
2022-07-04,5.0
2022-07-05,38.0
2022-07-06,36.0
2022-07-07,33.0
2022-07-08,33.0
2022-07-09,6.0
2022-07-10,4.0
2022-07-11,38.0
2022-07-12,31.0
2022-07-13,41.0
2022-07-14,39.0
2022-07-15,31.0
2022-07-16,7.0
2022-07-17,5.0
2022-07-18,32.0
2022-07-19,38.0
2022-07-20,38.0
2022-07-21,35.0
2022-07-22,33.0
2022-07-23,6.0
2022-07-24,4.0
2022-07-25,33.0
2022-07-26,36.0
2022-07-27,41.0
2022-07-28,44.0
2022-07-29,33.0
2022-07-30,8.0
2022-07-31,4.0
2022-08-01,35.0
2022-08-02,32.0
2022-08-03,31.0
2022-08-04,30.0
2022-08-05,31.0
2022-08-06,6.0
2022-08-07,4.0
2022-08-08,33.0
2022-08-09,28.0
2022-08-10,37.0
2022-08-11,35.0
2022-08-12,32.0
2022-08-13,7.0
2022-08-14,5.0
2022-08-15,32.0
2022-08-16,32.0
2022-08-17,33.0
2022-08-18,30.0
2022-08-19,31.0
2022-08-20,5.0
2022-08-21,4.0
2022-08-22,41.0
2022-08-23,35.0
2022-08-24,30.0
2022-08-25,28.0
2022-08-26,42.0
2022-08-27,10.0
2022-08-28,6.0
2022-08-29,38.76267281105991
2022-08-30,40.0882159315339
2022-08-31,36.16194865042792
2022-09-01,41.1385780118499
2022-09-02,36.937129690585905
2022-09-03,6.802172481895984
2022-09-04,4.976629361421988
2022-09-05,4.976629361421988
2022-09-06,36.16194865042792
2022-09-07,35.11158657011191
2022-09-08,33.01086240947992
2022-09-09,27.759052007899932
2022-09-10,6.802172481895984
2022-09-11,4.201448321263989
2022-09-12,32.235681369321924
2022-09-13,50.04147465437788
2022-09-14,42.964121132323896
2022-09-15,41.9137590520079
2022-09-16,42.964121132323896
2022-09-17,9.178077682685977
2022-09-18,4.201448321263989
2022-09-19,37.98749177090191
2022-09-20,38.26267281105991
2022-09-21,51.09183673469387
2022-09-22,44.78966425279789
2022-09-23,52.91737985516787
2022-09-24,10.228439763001974
2022-09-25,5.751810401579986
2022-09-26,47.94075049374588
2022-09-27,46.115207373271886
2022-09-28,45.12969058591178
2022-09-29,51.73403554970375
2022-09-30,45.68005266622778
2022-10-01,8.805793285055957
2022-10-02,6.05398288347597
2022-10-03,42.92824226464779
2022-10-04,46.78077682685977
2022-10-05,41.277156023699796
2022-10-06,40.176431863067805
2022-10-07,45.12969058591178
2022-10-08,7.705069124423963
2022-10-09,4.953258722843976
2022-10-10,40.726793943383804
2022-10-11,42.92824226464779
2022-10-12,40.176431863067805
2022-10-13,55.036208031599735
2022-10-14,44.57932850559578
2022-10-15,8.25543120473996
2022-10-16,4.953258722843976
2022-10-17,39.07570770243581
2022-10-18,43.478604344963784
2022-10-19,40.726793943383804
2022-10-20,40.176431863067805
2022-10-21,36.87425938117182
2022-10-22,7.154707044107965
2022-10-23,4.4028966425279785
2022-10-24,36.87425938117182
2022-10-25,38.525345622119815
2022-10-26,40.176431863067805
2022-10-27,41.277156023699796
2022-10-28,37.974983541803816
2022-10-29,8.25543120473996
2022-10-30,4.4028966425279785
2022-10-31,35.77353522053983
2022-11-01,34.67281105990783
2022-11-02,44.57932850559578
2022-11-03,40.176431863067805
2022-11-04,34.67281105990783
2022-11-05,5.503620803159973
2022-11-06,4.4028966425279785
2022-11-07,31.370638578011846
2022-11-08,34.67281105990783
2022-11-09,33.02172481895984
2022-11-10,49.53258722843976
2022-11-11,39.626069782751806
2022-11-12,7.154707044107965
2022-11-13,5.503620803159973
2022-11-14,34.67281105990783
2022-11-15,40.726793943383804
2022-11-16,34.67281105990783
2022-11-17,36.323897300855826
2022-11-18,30.82027649769585
2022-11-19,6.604344963791968
2022-11-20,3.8525345622119813
2022-11-21,30.82027649769585
2022-11-22,29.719552337063856
2022-11-23,30.82027649769585
2022-11-24,7.154707044107965
2022-11-25,19.813034891375903
2022-11-26,4.953258722843976
2022-11-27,3.302172481895984
2022-11-28,27.518104015799867
2022-11-29,27.518104015799867
2022-11-30,34.12244897959183
2022-12-01,35.77353522053983
2022-12-02,30.26991441737985
2022-12-03,6.05398288347597
2022-12-04,3.8525345622119813
2022-12-05,33.02172481895984
2022-12-06,34.67281105990783
2022-12-07,33.02172481895984
2022-12-08,33.02172481895984
2022-12-09,30.26991441737985
2022-12-10,7.154707044107965
2022-12-11,4.4028966425279785
2022-12-12,28.61882817643186
2022-12-13,40.176431863067805
2022-12-14,40.726793943383804
2022-12-15,40.176431863067805
2022-12-16,41.827518104015795
2022-12-17,7.705069124423963
2022-12-18,4.4028966425279785
2022-12-19,36.323897300855826
2022-12-20,35.77353522053983
2022-12-21,33.57208689927584
2022-12-22,40.176431863067805
2022-12-23,30.26991441737985
2022-12-24,7.705069124423963
2022-12-25,3.8525345622119813
2022-12-26,8.25543120473996
2022-12-27,34.12244897959183
2022-12-28,35.22317314022383
2022-12-29,32.47136273864384
2022-12-30,30.82027649769585
2022-12-31,7.154707044107965
2023-01-01,3.8525345622119813
2023-01-02,8.25543120473996
2023-01-03,31.921000658327845
2023-01-04,32.47136273864384
2023-01-05,30.82027649769585
2023-01-06,34.67281105990783
2023-01-07,5.503620803159973
2023-01-08,4.4028966425279785
2023-01-09,32.47136273864384
2023-01-10,34.12244897959183
2023-01-11,33.02172481895984
2023-01-12,39.07570770243581
2023-01-13,35.22317314022383
2023-01-14,7.154707044107965
2023-01-15,3.8525345622119813
2023-01-16,7.705069124423963
2023-01-17,28.61882817643186
2023-01-18,37.974983541803816
2023-01-19,37.974983541803816
2023-01-20,33.02172481895984
2023-01-21,7.154707044107965
2023-01-22,4.953258722843976
2023-01-23,35.77353522053983
2023-01-24,37.974983541803816
2023-01-25,35.77353522053983
2023-01-26,36.87425938117182
2023-01-27,35.22317314022383
2023-01-28,6.604344963791968
2023-01-29,4.4028966425279785
2023-01-30,35.22317314022383
2023-01-31,33.02172481895984
2023-02-01,48.43186306780776
2023-02-02,47.88150098749177
2023-02-03,44.57932850559578
2023-02-04,9.906517445687951
2023-02-05,6.604344963791968
2023-02-06,36.323897300855826
2023-02-07,39.626069782751806
2023-02-08,36.323897300855826
2023-02-09,37.42462146148782
2023-02-10,33.57208689927584
2023-02-11,6.05398288347597
2023-02-12,3.8525345622119813
2023-02-13,31.370638578011846
2023-02-14,36.87425938117182
2023-02-15,34.12244897959183
2023-02-16,36.323897300855826
2023-02-17,34.67281105990783
2023-02-18,5.503620803159973
2023-02-19,3.8525345622119813
2023-02-20,7.705069124423963
2023-02-21,34.12244897959183
2023-02-22,36.323897300855826
2023-02-23,35.22317314022383
2023-02-24,37.974983541803816
2023-02-25,7.705069124423963
2023-02-26,4.4028966425279785
2023-02-27,32.47136273864384
2023-02-28,29.169190256747857
2023-03-01,30.26991441737985
2023-03-02,32.47136273864384
2023-03-03,27.518104015799867
2023-03-04,7.154707044107965
2023-03-05,4.4028966425279785
2023-03-06,28.61882817643186
2023-03-07,34.67281105990783
2023-03-08,34.12244897959183
2023-03-09,37.42462146148782
2023-03-10,45.12969058591178
2023-03-11,9.906517445687951
2023-03-12,6.05398288347597
2023-03-13,51.73403554970375
2023-03-14,42.377880184331794
2023-03-15,46.78077682685977
2023-03-16,39.07570770243581
2023-03-17,36.87425938117182
2023-03-18,7.705069124423963
2023-03-19,4.4028966425279785
2023-03-20,36.87425938117182
2023-03-21,33.02172481895984
2023-03-22,43.478604344963784
2023-03-23,40.726793943383804
2023-03-24,36.87425938117182
2023-03-25,6.05398288347597
2023-03-26,4.4028966425279785
2023-03-27,34.12244897959183
2023-03-28,29.719552337063856
2023-03-29,30.82027649769585
2023-03-30,33.57208689927584
2023-03-31,33.57208689927584
2023-04-01,7.154707044107965
2023-04-02,6.05398288347597
2023-04-03,33.02172481895984
2023-04-04,33.02172481895984
2023-04-05,30.26991441737985
2023-04-06,29.169190256747857
2023-04-07,11.557603686635943
2023-04-08,4.4028966425279785
2023-04-09,3.8525345622119813
2023-04-10,30.82027649769585
2023-04-11,31.921000658327845
2023-04-12,36.87425938117182
2023-04-13,33.57208689927584
2023-04-14,28.61882817643186
2023-04-15,4.953258722843976
2023-04-16,3.8525345622119813
2023-04-17,26.96774193548387
2023-04-18,31.921000658327845
2023-04-19,29.169190256747857
2023-04-20,28.61882817643186
2023-04-21,26.417379855167873
2023-04-22,5.503620803159973
2023-04-23,4.4028966425279785
2023-04-24,26.96774193548387
2023-04-25,34.12244897959183
2023-04-26,30.528417818740397
2023-04-27,30.31160851437349
2023-04-28,28.61882817643186
2023-04-29,5.84551239850779
2023-04-30,3.877551020408163
2023-05-01,29.327627825323674
2023-05-02,33.697169190256744
2023-05-03,37.84990125082291
2023-05-04,35.17314022383147
2023-05-05,29.11081852095677
2023-05-06,6.554312047399605
2023-05-07,3.660741716041255
2023-05-08,26.434057493965327
2023-05-09,24.7412771560237
2023-05-10,29.602808865481677
2023-05-11,27.14285714285714
2023-05-12,28.126837831906954
2023-05-13,4.861531709457976
2023-05-14,3.3855606758832564
2023-05-15,26.650866798332235
2023-05-16,27.634847487382046
2023-05-17,28.61882817643186
2023-05-18,32.22119815668203
2023-05-19,31.295589203423305
2023-05-20,5.353522053982883
2023-05-21,3.660741716041255
2023-05-22,29.11081852095677
2023-05-23,28.61882817643186
2023-05-24,36.37393021724819
2023-05-25,34.68114987930656
2023-05-26,33.82225148123766
2023-05-27,5.637041913539609
2023-05-28,4.769804696071977
2023-05-29,4.769804696071977
2023-05-30,30.353302611367127
2023-05-31,31.654158437568572
2023-06-01,35.556725916172915
2023-06-02,36.42396313364055
2023-06-03,6.504279131007241
2023-06-04,3.902567478604345
2023-06-05,35.1231073074391
