Time,where_s_my_refund
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,4.0
2022-01-04,4.0
2022-01-05,3.0
2022-01-06,3.0
2022-01-07,2.0
2022-01-08,2.0
2022-01-09,1.0
2022-01-10,2.0
2022-01-11,3.0
2022-01-12,2.0
2022-01-13,3.0
2022-01-14,2.0
2022-01-15,2.0
2022-01-16,1.0
2022-01-17,2.0
2022-01-18,2.0
2022-01-19,3.0
2022-01-20,4.0
2022-01-21,5.0
2022-01-22,5.0
2022-01-23,4.0
2022-01-24,13.0
2022-01-25,14.0
2022-01-26,18.0
2022-01-27,20.0
2022-01-28,22.0
2022-01-29,20.0
2022-01-30,17.0
2022-01-31,25.0
2022-02-01,30.0
2022-02-02,33.0
2022-02-03,31.0
2022-02-04,41.0
2022-02-05,37.0
2022-02-06,29.0
2022-02-07,52.0
2022-02-08,51.0
2022-02-09,53.0
2022-02-10,51.0
2022-02-11,61.0
2022-02-12,59.0
2022-02-13,42.0
2022-02-14,64.0
2022-02-15,86.0
2022-02-16,100.0
2022-02-17,97.0
2022-02-18,90.0
2022-02-19,78.0
2022-02-20,47.0
2022-02-21,64.0
2022-02-22,79.0
2022-02-23,84.0
2022-02-24,73.0
2022-02-25,53.0
2022-02-26,46.0
2022-02-27,38.0
2022-02-28,63.0
2022-03-01,72.0
2022-03-02,69.0
2022-03-03,59.0
2022-03-04,59.0
2022-03-05,50.0
2022-03-06,36.0
2022-03-07,57.0
2022-03-08,59.0
2022-03-09,56.0
2022-03-10,50.0
2022-03-11,49.0
2022-03-12,39.0
2022-03-13,29.0
2022-03-14,47.0
2022-03-15,50.0
2022-03-16,44.0
2022-03-17,41.0
2022-03-18,41.0
2022-03-19,31.0
2022-03-20,22.0
2022-03-21,41.0
2022-03-22,39.0
2022-03-23,39.0
2022-03-24,35.0
2022-03-25,33.0
2022-03-26,25.0
2022-03-27,18.0
2022-03-28,30.0
2022-03-29,32.0
2022-03-30,31.0
2022-03-31,29.0
2022-04-01,27.0
2022-04-02,22.0
2022-04-03,17.0
2022-04-04,35.0
2022-04-05,31.0
2022-04-06,29.0
2022-04-07,27.0
2022-04-08,26.0
2022-04-09,22.0
2022-04-10,17.0
2022-04-11,29.0
2022-04-12,31.0
2022-04-13,30.0
2022-04-14,27.0
2022-04-15,28.0
2022-04-16,18.0
2022-04-17,17.0
2022-04-18,33.0
2022-04-19,32.0
2022-04-20,30.0
2022-04-21,30.0
2022-04-22,30.0
2022-04-23,21.0
2022-04-24,16.0
2022-04-25,31.0
2022-04-26,31.0
2022-04-27,27.0
2022-04-28,24.0
2022-04-29,21.0
2022-04-30,17.0
2022-05-01,14.0
2022-05-02,23.0
2022-05-03,21.0
2022-05-04,20.0
2022-05-05,16.0
2022-05-06,19.0
2022-05-07,14.0
2022-05-08,10.0
2022-05-09,18.0
2022-05-10,18.0
2022-05-11,15.0
2022-05-12,16.0
2022-05-13,16.0
2022-05-14,13.0
2022-05-15,10.0
2022-05-16,16.0
2022-05-17,16.0
2022-05-18,15.0
2022-05-19,14.0
2022-05-20,13.0
2022-05-21,11.0
2022-05-22,9.0
2022-05-23,15.0
2022-05-24,15.0
2022-05-25,13.0
2022-05-26,13.0
2022-05-27,12.0
2022-05-28,9.0
2022-05-29,7.0
2022-05-30,8.0
2022-05-31,13.0
2022-06-01,13.0
2022-06-02,12.0
2022-06-03,11.0
2022-06-04,8.0
2022-06-05,6.0
2022-06-06,12.0
2022-06-07,12.0
2022-06-08,11.0
2022-06-09,11.0
2022-06-10,10.0
2022-06-11,7.0
2022-06-12,6.0
2022-06-13,11.0
2022-06-14,10.0
2022-06-15,11.0
2022-06-16,9.0
2022-06-17,9.0
2022-06-18,7.0
2022-06-19,5.0
2022-06-20,9.0
2022-06-21,10.0
2022-06-22,11.0
2022-06-23,10.0
2022-06-24,9.0
2022-06-25,7.0
2022-06-26,6.0
2022-06-27,10.0
2022-06-28,10.0
2022-06-29,10.0
2022-06-30,9.0
2022-07-01,8.0
2022-07-02,7.0
2022-07-03,5.0
2022-07-04,5.0
2022-07-05,9.0
2022-07-06,10.0
2022-07-07,10.0
2022-07-08,8.0
2022-07-09,7.0
