Time,senate
2022-01-01,9.0
2022-01-02,6.0
2022-01-03,8.0
2022-01-04,12.0
2022-01-05,11.0
2022-01-06,10.0
2022-01-07,11.0
2022-01-08,8.0
2022-01-09,8.0
2022-01-10,13.0
2022-01-11,18.0
2022-01-12,18.0
2022-01-13,21.0
2022-01-14,14.0
2022-01-15,9.0
2022-01-16,8.0
2022-01-17,8.0
2022-01-18,18.0
2022-01-19,21.0
2022-01-20,27.0
2022-01-21,17.0
2022-01-22,13.0
2022-01-23,11.0
2022-01-24,19.0
2022-01-25,16.0
2022-01-26,17.0
2022-01-27,16.0
2022-01-28,14.0
2022-01-29,8.0
2022-01-30,8.0
2022-01-31,12.0
2022-02-01,14.0
2022-02-02,14.0
2022-02-03,14.0
2022-02-04,12.0
2022-02-05,8.0
2022-02-06,7.0
2022-02-07,13.0
2022-02-08,17.0
2022-02-09,16.0
2022-02-10,13.0
2022-02-11,14.0
2022-02-12,8.0
2022-02-13,8.0
2022-02-14,13.0
2022-02-15,16.0
2022-02-16,17.0
2022-02-17,15.0
2022-02-18,15.0
2022-02-19,8.0
2022-02-20,8.0
2022-02-21,10.0
2022-02-22,14.0
2022-02-23,14.0
2022-02-24,14.0
2022-02-25,13.0
2022-02-26,9.0
2022-02-27,8.0
2022-02-28,14.0
2022-03-01,17.0
2022-03-02,20.0
2022-03-03,20.0
2022-03-04,14.0
2022-03-05,10.0
2022-03-06,8.0
2022-03-07,13.0
2022-03-08,17.0
2022-03-09,16.0
2022-03-10,16.0
2022-03-11,16.0
2022-03-12,9.0
2022-03-13,7.0
2022-03-14,13.0
2022-03-15,27.0
2022-03-16,40.0
2022-03-17,28.0
2022-03-18,17.0
2022-03-19,11.0
2022-03-20,10.0
2022-03-21,17.0
2022-03-22,20.0
2022-03-23,23.0
2022-03-24,22.0
2022-03-25,19.0
2022-03-26,12.0
2022-03-27,11.0
2022-03-28,16.0
2022-03-29,17.0
2022-03-30,16.0
2022-03-31,18.0
2022-04-01,21.0
2022-04-02,16.0
2022-04-03,13.0
2022-04-04,29.0
2022-04-05,21.0
2022-04-06,21.0
2022-04-07,34.0
2022-04-08,19.0
2022-04-09,12.0
2022-04-10,14.0
2022-04-11,19.0
2022-04-12,17.0
2022-04-13,15.0
2022-04-14,17.0
2022-04-15,13.0
2022-04-16,11.0
2022-04-17,9.0
2022-04-18,16.0
2022-04-19,17.0
2022-04-20,19.0
2022-04-21,19.0
2022-04-22,17.0
2022-04-23,11.0
2022-04-24,12.0
2022-04-25,19.0
2022-04-26,20.0
2022-04-27,17.0
2022-04-28,19.0
2022-04-29,16.0
2022-04-30,13.0
2022-05-01,14.0
2022-05-02,20.0
2022-05-03,37.0
2022-05-04,39.0
2022-05-05,22.0
2022-05-06,19.0
2022-05-07,15.0
2022-05-08,16.0
2022-05-09,19.0
2022-05-10,20.0
2022-05-11,36.0
2022-05-12,29.0
2022-05-13,21.0
2022-05-14,16.0
2022-05-15,16.0
2022-05-16,23.0
2022-05-17,46.0
2022-05-18,100.0
2022-05-19,47.0
2022-05-20,34.0
2022-05-21,22.0
2022-05-22,18.0
2022-05-23,20.0
2022-05-24,26.0
2022-05-25,42.0
2022-05-26,22.0
2022-05-27,16.0
2022-05-28,12.0
2022-05-29,11.0
2022-05-30,11.0
2022-05-31,15.0
2022-06-01,15.0
2022-06-02,15.0
2022-06-03,17.0
2022-06-04,20.0
2022-06-05,12.0
2022-06-06,17.0
2022-06-07,21.0
2022-06-08,20.0
2022-06-09,22.0
2022-06-10,17.0
2022-06-11,10.0
2022-06-12,14.0
2022-06-13,20.0
2022-06-14,17.0
2022-06-15,17.0
2022-06-16,17.0
2022-06-17,12.0
2022-06-18,9.0
2022-06-19,8.0
2022-06-20,13.0
2022-06-21,18.0
2022-06-22,27.0
2022-06-23,20.0
2022-06-24,29.0
2022-06-25,20.0
2022-06-26,17.0
2022-06-27,18.0
2022-06-28,27.0
2022-06-29,21.0
2022-06-30,18.0
2022-07-01,15.0
2022-07-02,11.0
2022-07-03,10.0
2022-07-04,10.0
2022-07-05,12.0
2022-07-06,13.0
2022-07-07,14.0
2022-07-08,14.0
2022-07-09,10.0
2022-07-10,11.0
2022-07-11,14.0
2022-07-12,15.0
2022-07-13,13.0
2022-07-14,15.0
2022-07-15,15.0
2022-07-16,12.0
2022-07-17,11.0
2022-07-18,15.0
2022-07-19,18.0
2022-07-20,20.0
2022-07-21,19.0
2022-07-22,16.0
2022-07-23,11.0
2022-07-24,12.0
2022-07-25,15.0
2022-07-26,17.0
2022-07-27,18.0
2022-07-28,24.0
2022-07-29,22.0
2022-07-30,20.0
2022-07-31,17.0
2022-08-01,22.0
2022-08-02,29.0
2022-08-03,36.0
2022-08-04,22.0
2022-08-05,18.0
2022-08-06,18.0
2022-08-07,30.0
2022-08-08,26.0
2022-08-09,19.0
2022-08-10,19.0
2022-08-11,14.0
2022-08-12,13.0
2022-08-13,10.0
2022-08-14,12.0
2022-08-15,14.0
2022-08-16,16.0
2022-08-17,22.0
2022-08-18,16.0
2022-08-19,21.0
2022-08-20,15.0
2022-08-21,14.0
2022-08-22,15.0
2022-08-23,20.0
2022-08-24,22.0
2022-08-25,15.0
2022-08-26,13.0
2022-08-27,10.0
2022-08-28,11.0
2022-08-29,15.0
2022-08-30,16.0
2022-08-31,16.5
2022-09-01,17.0
2022-09-02,14.5
2022-09-03,13.0
