Time,nba_finals
2022-01-01,0.0
2022-01-02,1.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,1.0
2022-01-09,1.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,1.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,1.0
2022-01-21,0.0
2022-01-22,1.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,1.0
2022-01-31,0.0
2022-02-01,1.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,1.0
2022-02-07,0.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-12,1.0
2022-02-13,1.0
2022-02-14,1.0
2022-02-15,1.0
2022-02-16,1.0
2022-02-17,1.0
2022-02-18,1.0
2022-02-19,1.0
2022-02-20,1.0
2022-02-21,1.0
2022-02-22,1.0
2022-02-23,1.0
2022-02-24,1.0
2022-02-25,1.0
2022-02-26,1.0
2022-02-27,1.0
2022-02-28,1.0
2022-03-01,1.0
2022-03-02,1.0
2022-03-03,1.0
2022-03-04,1.0
2022-03-05,1.0
2022-03-06,1.0
2022-03-07,1.0
2022-03-08,1.0
2022-03-09,1.0
2022-03-10,1.0
2022-03-11,1.0
2022-03-12,1.0
2022-03-13,1.0
2022-03-14,1.0
2022-03-15,1.0
2022-03-16,1.0
2022-03-17,1.0
2022-03-18,0.0
2022-03-19,1.0
2022-03-20,1.0
2022-03-21,0.0
2022-03-22,1.0
2022-03-23,1.0
2022-03-24,1.0
2022-03-25,1.0
2022-03-26,1.0
2022-03-27,1.0
2022-03-28,1.0
2022-03-29,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,1.0
2022-04-02,1.0
2022-04-03,1.0
2022-04-04,1.0
2022-04-05,1.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-08,1.0
2022-04-09,1.0
2022-04-10,1.0
2022-04-11,1.0
2022-04-12,1.0
2022-04-13,1.0
2022-04-14,1.0
2022-04-15,1.0
2022-04-16,2.0
2022-04-17,2.0
2022-04-18,2.0
2022-04-19,1.0
2022-04-20,1.0
2022-04-21,2.0
2022-04-22,1.0
2022-04-23,2.0
2022-04-24,2.0
2022-04-25,2.0
2022-04-26,2.0
2022-04-27,2.0
2022-04-28,2.0
2022-04-29,1.0
2022-04-30,1.0
2022-05-01,2.0
2022-05-02,2.0
2022-05-03,2.0
2022-05-04,1.0
2022-05-05,1.0
2022-05-06,1.0
2022-05-07,2.0
2022-05-08,2.0
2022-05-09,3.0
2022-05-10,3.0
2022-05-11,2.0
2022-05-12,2.0
2022-05-13,3.0
2022-05-14,4.0
2022-05-15,5.0
