Time,nhl standings
2025-04-15,77
2025-04-16,100
2025-04-17,60
2025-04-18,51
2025-04-19,34
2025-04-20,36
2025-04-21,23
2025-04-22,25
2025-04-23,23
2025-04-24,19
2025-04-25,19
2025-04-26,21
2025-04-27,26
2025-04-28,21
2025-04-29,19
2025-04-30,22
2025-05-01,23
2025-05-02,24
2025-05-03,21
2025-05-04,29
2025-05-05,26
2025-05-06,15
2025-05-07,14
2025-05-08,14
2025-05-09,13
2025-05-10,16
2025-05-11,19
2025-05-12,14
2025-05-13,15
2025-05-14,14
2025-05-15,16
2025-05-16,17
2025-05-17,16
2025-05-18,24
2025-05-19,22
2025-05-20,10
2025-05-21,12
2025-05-22,10
2025-05-23,11
2025-05-24,10
2025-05-25,14
2025-05-26,11
2025-05-27,12
2025-05-28,10
2025-05-29,14
2025-05-30,12
2025-05-31,7
2025-06-01,6
2025-06-02,5
2025-06-03,6
2025-06-04,6
2025-06-05,9
2025-06-06,5
2025-06-07,10
2025-06-08,7
2025-06-09,7
2025-06-10,7
2025-06-11,6
2025-06-12,6
2025-06-13,9
2025-06-14,6
2025-06-15,11
2025-06-16,6
2025-06-17,5
2025-06-18,11
2025-06-19,4
2025-06-20,2
2025-06-21,2
2025-06-22,2
2025-06-23,3
2025-06-24,2
2025-06-25,2
2025-06-26,2
2025-06-27,2
2025-06-28,4
2025-06-29,2
2025-06-30,2
2025-07-01,2
2025-07-02,2
2025-07-03,1
2025-07-04,1
2025-07-05,0
2025-07-06,2
2025-07-07,1
2025-07-08,1
2025-07-09,1
2025-07-10,0
2025-07-11,1
2025-07-12,0
2025-07-13,1
2025-07-14,2
2025-07-15,1
2025-07-16,1
2025-07-17,3
2025-07-18,0
2025-07-19,2
2025-07-20,1
2025-07-21,1
2025-07-22,1
2025-07-23,2
2025-07-24,2
2025-07-25,2
2025-07-26,1
2025-07-27,1
2025-07-28,2
2025-07-29,3
2025-07-30,5
2025-07-31,6
2025-08-01,2
2025-08-02,2
2025-08-03,1
2025-08-04,1
2025-08-05,1
2025-08-06,2
2025-08-07,1
2025-08-08,0
2025-08-09,1
2025-08-10,1
2025-08-11,0
2025-08-12,0
2025-08-13,1
2025-08-14,1
2025-08-15,1
2025-08-16,0
2025-08-17,1
2025-08-18,1
2025-08-19,1
2025-08-20,1
2025-08-21,1
2025-08-22,0
2025-08-23,0
2025-08-24,0
2025-08-25,0
2025-08-26,0
2025-08-27,1
2025-08-28,0
2025-08-29,1
2025-08-30,0
2025-08-31,1
2025-09-01,1
2025-09-02,1
2025-09-03,0
2025-09-04,2
2025-09-05,1
2025-09-06,1
2025-09-07,2
2025-09-08,2
2025-09-09,1
2025-09-10,1
2025-09-11,1
2025-09-12,1
2025-09-13,2
2025-09-14,2
2025-09-15,2
2025-09-16,1
2025-09-17,1
2025-09-18,2
2025-09-19,2
2025-09-20,2
2025-09-21,2
2025-09-22,3
2025-09-23,2
2025-09-24,4
2025-09-25,3
2025-09-26,3
2025-09-27,4
2025-09-28,5
2025-09-29,3
2025-09-30,4
2025-10-01,4
2025-10-02,4
2025-10-03,5
2025-10-04,4
2025-10-05,5
2025-10-06,5
2025-10-07,8
2025-10-08,14
2025-10-09,13
2025-10-10,21
2025-10-11,14
2025-10-12,30
2025-10-13,25
2025-10-14,27
2025-10-15,32
2025-10-16,29
2025-10-17,30
2025-10-18,34
2025-10-19,44
2025-10-20,31
2025-10-21,31
2025-10-22,42
2025-10-23,33
2025-10-24,45
2025-10-25,40
2025-10-26,44
2025-10-27,35
2025-10-28,34
2025-10-29,51
2025-10-30,31
2025-10-31,53
2025-11-01,38
2025-11-02,49
2025-11-03,39
2025-11-04,31
2025-11-05,48
2025-11-06,36
2025-11-07,47
2025-11-08,47
2025-11-09,64
2025-11-10,42
2025-11-11,38
2025-11-12,52
2025-11-13,39
2025-11-14,44
2025-11-15,37
2025-11-16,65
2025-11-17,41
2025-11-18,39
2025-11-19,54
2025-11-20,41
2025-11-21,58
2025-11-22,49
2025-11-23,64
2025-11-24,52
2025-11-25,38
2025-11-26,37
2025-11-27,67
2025-11-28,42
2025-11-29,64
2025-11-30,63
2025-12-01,31
2025-12-02,38
2025-12-03,51
2025-12-04,47
2025-12-05,53
2025-12-06,44
2025-12-07,56
2025-12-08,46
2025-12-09,37
2025-12-10,55
2025-12-11,46
2025-12-12,65
2025-12-13,53
2025-12-14,70
2025-12-15,46
2025-12-16,40
2025-12-17,66
2025-12-18,43
2025-12-19,51
2025-12-20,61
2025-12-21,68
2025-12-22,56
2025-12-23,43
2025-12-24,83
2025-12-25,27
2025-12-26,26
2025-12-27,29
2025-12-28,82
2025-12-29,48
2025-12-30,69
2025-12-31,57
2026-01-01,68
2026-01-02,57
2026-01-03,73
2026-01-04,71
2026-01-05,42
2026-01-06,47
2026-01-07,70
2026-01-08,51
2026-01-09,74
