Time,top gun 2
2022-01-01,3
2022-01-02,2
2022-01-03,2
2022-01-04,2
2022-01-05,2
2022-01-06,1
2022-01-07,2
2022-01-08,2
2022-01-09,2
2022-01-10,1
2022-01-11,1
2022-01-12,1
2022-01-13,1
2022-01-14,1
2022-01-15,5
2022-01-16,3
2022-01-17,1
2022-01-18,1
2022-01-19,1
2022-01-20,1
2022-01-21,1
2022-01-22,6
2022-01-23,2
2022-01-24,2
2022-01-25,1
2022-01-26,1
2022-01-27,1
2022-01-28,2
2022-01-29,2
2022-01-30,6
2022-01-31,2
2022-02-01,1
2022-02-02,1
2022-02-03,2
2022-02-04,1
2022-02-05,2
2022-02-06,2
2022-02-07,2
2022-02-08,2
2022-02-09,1
2022-02-10,2
2022-02-11,2
2022-02-12,2
2022-02-13,4
2022-02-14,2
2022-02-15,4
2022-02-16,2
2022-02-17,2
2022-02-18,2
2022-02-19,2
2022-02-20,2
2022-02-21,2
2022-02-22,1
2022-02-23,1
2022-02-24,1
2022-02-25,1
2022-02-26,2
2022-02-27,2
2022-02-28,1
2022-03-01,2
2022-03-02,1
2022-03-03,1
2022-03-04,2
2022-03-05,3
2022-03-06,4
2022-03-07,3
2022-03-08,3
2022-03-09,3
2022-03-10,4
2022-03-11,3
2022-03-12,4
2022-03-13,4
2022-03-14,2
2022-03-15,2
2022-03-16,2
2022-03-17,2
2022-03-18,3
2022-03-19,3
2022-03-20,3
2022-03-21,2
2022-03-22,2
2022-03-23,1
2022-03-24,2
2022-03-25,2
2022-03-26,3
2022-03-27,3
2022-03-28,2
2022-03-29,8
2022-03-30,9
2022-03-31,5
2022-04-01,4
2022-04-02,5
2022-04-03,5
2022-04-04,3
2022-04-05,2
2022-04-06,2
2022-04-07,2
2022-04-08,2
2022-04-09,4
2022-04-10,5
2022-04-11,3
2022-04-12,2
2022-04-13,2
2022-04-14,2
2022-04-15,3
2022-04-16,4
2022-04-17,5
2022-04-18,4
2022-04-19,3
2022-04-20,3
2022-04-21,3
2022-04-22,3
2022-04-23,3
2022-04-24,3
2022-04-25,2
2022-04-26,2
2022-04-27,2
2022-04-28,3
2022-04-29,4
2022-04-30,4
2022-05-01,5
2022-05-02,3
2022-05-03,5
2022-05-04,5
2022-05-05,7
2022-05-06,6
2022-05-07,8
2022-05-08,7
2022-05-09,5
2022-05-10,4
2022-05-11,5
2022-05-12,6
2022-05-13,6
2022-05-14,8
2022-05-15,11
2022-05-16,5
2022-05-17,5
2022-05-18,6
2022-05-19,9
2022-05-20,10
2022-05-21,12
2022-05-22,14
2022-05-23,12
2022-05-24,17
2022-05-25,17
2022-05-26,26
2022-05-27,59
2022-05-28,89
2022-05-29,100
2022-05-30,95
2022-05-31,64
2022-06-01,41
2022-06-02,35
2022-06-03,38
2022-06-04,68
2022-06-05,72
2022-06-06,36
2022-06-07,31
2022-06-08,27
2022-06-09,25
2022-06-10,27
2022-06-11,41
2022-06-12,42
2022-06-13,23
2022-06-14,18
2022-06-15,17
2022-06-16,19
2022-06-17,20
2022-06-18,31
2022-06-19,34
2022-06-20,21
2022-06-21,17
2022-06-22,16
2022-06-23,15
2022-06-24,15
2022-06-25,21
2022-06-26,24
2022-06-27,13
2022-06-28,11
2022-06-29,11
2022-06-30,11
2022-07-01,13
2022-07-02,21
2022-07-03,21
2022-07-04,21
2022-07-05,11
2022-07-06,10
2022-07-07,11
2022-07-08,15
2022-07-09,23
2022-07-10,18
2022-07-11,11
2022-07-12,10
2022-07-13,9
2022-07-14,9
2022-07-15,11
2022-07-16,18
2022-07-17,19
2022-07-18,10
2022-07-19,9
2022-07-20,8
2022-07-21,8
2022-07-22,10
2022-07-23,14
2022-07-24,14
2022-07-25,9
2022-07-26,8
2022-07-27,6
2022-07-28,6
2022-07-29,7
2022-07-30,11
2022-07-31,12
2022-08-01,7
2022-08-02,6
2022-08-03,6
2022-08-04,6
2022-08-05,8
2022-08-06,12
2022-08-07,12
2022-08-08,7
2022-08-09,6
2022-08-10,6
2022-08-11,6
2022-08-12,7
2022-08-13,12
2022-08-14,12
2022-08-15,6
2022-08-16,7
2022-08-17,8
2022-08-18,8
2022-08-19,9
2022-08-20,14
2022-08-21,13
2022-08-22,8
2022-08-23,10
2022-08-24,10
2022-08-25,8
2022-08-26,11
2022-08-27,17
2022-08-28,15
2022-08-29,8
2022-08-30,7
2022-08-31,6
2022-09-01,6
2022-09-02,9
2022-09-03,19
2022-09-04,16
2022-09-05,14
2022-09-06,7
2022-09-07,5
2022-09-08,5
2022-09-09,5
2022-09-10,10
2022-09-11,8
2022-09-12,4
2022-09-13,3
2022-09-14,3
2022-09-15,3
2022-09-16,4
2022-09-17,7
2022-09-18,7
2022-09-19,3
2022-09-20,3
2022-09-21,4
2022-09-22,4
2022-09-23,4
2022-09-24,7
2022-09-25,7
2022-09-26,3
2022-09-27,3
