Time,adam sandler
2022-08-29,13
2022-08-30,13
2022-08-31,13
2022-09-01,19
2022-09-02,15
2022-09-03,14
2022-09-04,19
2022-09-05,17
2022-09-06,15
2022-09-07,16
2022-09-08,14
2022-09-09,17
2022-09-10,18
2022-09-11,20
2022-09-12,37
2022-09-13,37
2022-09-14,31
2022-09-15,29
2022-09-16,26
2022-09-17,24
2022-09-18,26
2022-09-19,33
2022-09-20,31
2022-09-21,29
2022-09-22,25
2022-09-23,19
2022-09-24,20
2022-09-25,26
2022-09-26,34
2022-09-27,29
2022-09-28,26
2022-09-29,21
2022-09-30,19
2022-10-01,19
2022-10-02,25
2022-10-03,29
2022-10-04,29
2022-10-05,26
2022-10-06,23
2022-10-07,16
2022-10-08,18
2022-10-09,24
2022-10-10,28
2022-10-11,26
2022-10-12,24
2022-10-13,22
2022-10-14,22
2022-10-15,26
2022-10-16,25
2022-10-17,26
2022-10-18,25
2022-10-19,25
2022-10-20,24
2022-10-21,24
2022-10-22,26
2022-10-23,30
2022-10-24,30
2022-10-25,29
2022-10-26,26
2022-10-27,24
2022-10-28,22
2022-10-29,25
2022-10-30,29
2022-10-31,24
2022-11-01,18
2022-11-02,18
2022-11-03,15
2022-11-04,16
2022-11-05,19
2022-11-06,19
2022-11-07,17
2022-11-08,15
2022-11-09,15
2022-11-10,16
2022-11-11,19
2022-11-12,18
2022-11-13,33
2022-11-14,20
2022-11-15,16
2022-11-16,18
2022-11-17,14
2022-11-18,15
2022-11-19,16
2022-11-20,17
2022-11-21,13
2022-11-22,14
2022-11-23,16
2022-11-24,32
2022-11-25,18
2022-11-26,16
2022-11-27,17
2022-11-28,11
2022-11-29,22
2022-11-30,21
2022-12-01,16
2022-12-02,18
2022-12-03,18
2022-12-04,20
2022-12-05,18
2022-12-06,19
2022-12-07,22
2022-12-08,19
2022-12-09,15
2022-12-10,18
2022-12-11,22
2022-12-12,17
2022-12-13,15
2022-12-14,25
2022-12-15,39
2022-12-16,27
2022-12-17,25
2022-12-18,22
2022-12-19,23
2022-12-20,20
2022-12-21,18
2022-12-22,18
2022-12-23,24
2022-12-24,24
2022-12-25,30
2022-12-26,22
2022-12-27,17
2022-12-28,17
2022-12-29,15
2022-12-30,16
2022-12-31,17
2023-01-01,21
2023-01-02,18
2023-01-03,14
2023-01-04,14
2023-01-05,14
2023-01-06,14
2023-01-07,18
2023-01-08,22
2023-01-09,15
2023-01-10,14
2023-01-11,15
2023-01-12,15
2023-01-13,15
2023-01-14,18
2023-01-15,22
2023-01-16,17
2023-01-17,14
2023-01-18,15
2023-01-19,17
2023-01-20,15
2023-01-21,18
2023-01-22,22
2023-01-23,16
2023-01-24,16
2023-01-25,14
2023-01-26,15
2023-01-27,16
2023-01-28,20
2023-01-29,23
2023-01-30,23
2023-01-31,20
2023-02-01,17
2023-02-02,17
2023-02-03,16
2023-02-04,22
2023-02-05,29
2023-02-06,23
2023-02-07,21
2023-02-08,19
2023-02-09,19
2023-02-10,18
2023-02-11,22
2023-02-12,28
2023-02-13,15
2023-02-14,18
2023-02-15,19
2023-02-16,18
2023-02-17,16
2023-02-18,21
2023-02-19,24
2023-02-20,16
2023-02-21,12
2023-02-22,13
2023-02-23,12
2023-02-24,13
2023-02-25,16
2023-02-26,22
2023-02-27,15
2023-02-28,13
2023-03-01,14
2023-03-02,23
2023-03-03,19
2023-03-04,21
2023-03-05,26
2023-03-06,15
2023-03-07,14
2023-03-08,16
2023-03-09,19
2023-03-10,15
2023-03-11,18
2023-03-12,21
2023-03-13,14
2023-03-14,13
2023-03-15,13
2023-03-16,14
2023-03-17,16
2023-03-18,22
2023-03-19,25
2023-03-20,25
2023-03-21,21
2023-03-22,24
2023-03-23,22
2023-03-24,27
2023-03-25,30
2023-03-26,34
2023-03-27,100
2023-03-28,56
2023-03-29,40
2023-03-30,39
2023-03-31,42
2023-04-01,59
2023-04-02,70
2023-04-03,40
2023-04-04,30
2023-04-05,27
2023-04-06,26
2023-04-07,27
2023-04-08,36
2023-04-09,41
2023-04-10,26
2023-04-11,21
2023-04-12,23
2023-04-13,24
2023-04-14,24
2023-04-15,28
2023-04-16,31
2023-04-17,24
2023-04-18,22
2023-04-19,19
2023-04-20,18
2023-04-21,17
2023-04-22,25
2023-04-23,24
2023-04-24,17
2023-04-25,18
2023-04-26,16
2023-04-27,15
2023-04-28,15
2023-04-29,16
2023-04-30,21
2023-05-01,14
2023-05-02,13
2023-05-03,12
2023-05-04,13
2023-05-05,12
2023-05-06,16
2023-05-07,19
2023-05-08,13
2023-05-09,13
2023-05-10,13
2023-05-11,12
2023-05-12,13
2023-05-13,16
2023-05-14,22
2023-05-15,15
2023-05-16,13
2023-05-17,13
2023-05-18,13
2023-05-19,13
2023-05-20,16
2023-05-21,26
2023-05-22,15
2023-05-23,15
2023-05-24,14
2023-05-25,13
