Time,credit one
2025-12-11,83
2025-12-12,89
2025-12-13,74
2025-12-14,64
2025-12-15,83
2025-12-16,86
2025-12-17,94
2025-12-18,85
2025-12-19,83
2025-12-20,81
2025-12-21,66
2025-12-22,78
2025-12-23,77
2025-12-24,71
2025-12-25,49
2025-12-26,75
2025-12-27,77
2025-12-28,69
2025-12-29,82
2025-12-30,89
2025-12-31,84
2026-01-01,71
2026-01-02,85
2026-01-03,81
2026-01-04,69
2026-01-05,83
2026-01-06,82
2026-01-07,79
2026-01-08,81
2026-01-09,82
2026-01-10,80
2026-01-11,67
2026-01-12,90
2026-01-13,85
2026-01-14,88
2026-01-15,79
2026-01-16,85
2026-01-17,84
2026-01-18,69
2026-01-19,76
2026-01-20,78
2026-01-21,85
2026-01-22,88
2026-01-23,81
2026-01-24,70
2026-01-25,62
2026-01-26,72
2026-01-27,77
2026-01-28,79
2026-01-29,88
2026-01-30,80
2026-01-31,75
2026-02-01,76
2026-02-02,81
2026-02-03,85
2026-02-04,82
2026-02-05,81
2026-02-06,95
2026-02-07,73
2026-02-08,63
2026-02-09,74
2026-02-10,74
2026-02-11,77
2026-02-12,79
2026-02-13,89
2026-02-14,74
2026-02-15,68
2026-02-16,77
2026-02-17,74
2026-02-18,82
2026-02-19,79
2026-02-20,81
2026-02-21,81
2026-02-22,73
2026-02-23,81
2026-02-24,91
2026-02-25,84
2026-02-26,87
2026-02-27,99
2026-02-28,92
2026-03-01,78
2026-03-02,89
2026-03-03,95
2026-03-04,92
2026-03-05,93
2026-03-06,93
2026-03-07,84
2026-03-08,75
2026-03-09,90
2026-03-10,86
2026-03-11,88
2026-03-12,90
2026-03-13,89
2026-03-14,86
2026-03-15,75
2026-03-16,82
2026-03-17,89
2026-03-18,96
2026-03-19,87
2026-03-20,88
2026-03-21,93
2026-03-22,76
2026-03-23,84
2026-03-24,90
2026-03-25,91
2026-03-26,96
2026-03-27,93
2026-03-28,87
2026-03-29,83
2026-03-30,92
2026-03-31,93
2026-04-01,96
2026-04-02,94
2026-04-03,98
2026-04-04,80
2026-04-05,76
2026-04-06,94
2026-04-07,89
2026-04-08,100
2026-04-09,97
2026-04-10,89
2026-04-11,84
2026-04-12,73
2026-04-13,87
2026-04-14,93
2026-04-15,92
2026-04-16,94
2026-04-17,96
2026-04-18,80
2026-04-19,74
2026-04-20,89
2026-04-21,91
2026-04-22,90
2026-04-23,85
2026-04-24,88
2026-04-25,79
2026-04-26,84
2026-04-27,98
2026-04-28,91
2026-04-29,87
2026-04-30,89
2026-05-01,92
2026-05-02,86
2026-05-03,80
2026-05-04,90
2026-05-05,86
2026-05-06,90
2026-05-07,90
2026-05-08,93
2026-05-09,86
2026-05-10,66
2026-05-11,87
2026-05-12,85
2026-05-13,89
2026-05-14,95
2026-05-15,90
2026-05-16,83
2026-05-17,74
2026-05-18,83
2026-05-19,88
2026-05-20,87
2026-05-21,88
2026-05-22,91
2026-05-23,80
2026-05-24,73
2026-05-25,73
2026-05-26,86
2026-05-27,88
2026-05-28,96
2026-05-29,91
2026-05-30,89
2026-05-31,87
