Time,bed_bath_and_beyond
2022-04-26,19.0
2022-04-27,17.0
2022-04-28,20.0
2022-04-29,18.0
2022-04-30,25.0
2022-05-01,27.0
2022-05-02,19.0
2022-05-03,18.0
2022-05-04,19.0
2022-05-05,20.0
2022-05-06,21.0
2022-05-07,30.0
2022-05-08,26.0
2022-05-09,18.0
2022-05-10,18.0
2022-05-11,18.0
2022-05-12,19.0
2022-05-13,19.0
2022-05-14,26.0
2022-05-15,25.0
2022-05-16,20.0
2022-05-17,18.0
2022-05-18,19.0
2022-05-19,18.0
2022-05-20,20.0
2022-05-21,26.0
2022-05-22,26.0
2022-05-23,20.0
2022-05-24,19.0
2022-05-25,18.0
2022-05-26,19.0
2022-05-27,21.0
2022-05-28,27.0
2022-05-29,29.0
2022-05-30,29.0
2022-05-31,22.0
2022-06-01,22.0
2022-06-02,19.0
2022-06-03,21.0
2022-06-04,27.0
2022-06-05,27.0
2022-06-06,20.0
2022-06-07,20.0
2022-06-08,19.0
2022-06-09,19.0
2022-06-10,19.0
2022-06-11,29.0
2022-06-12,28.0
2022-06-13,20.0
2022-06-14,21.0
2022-06-15,21.0
2022-06-16,20.0
2022-06-17,21.0
2022-06-18,28.0
2022-06-19,26.0
2022-06-20,23.0
2022-06-21,21.0
2022-06-22,21.0
2022-06-23,21.0
2022-06-24,21.0
2022-06-25,28.0
2022-06-26,27.0
2022-06-27,24.0
2022-06-28,21.0
2022-06-29,24.0
2022-06-30,24.0
2022-07-01,23.0
2022-07-02,31.0
2022-07-03,30.0
2022-07-04,30.0
2022-07-05,22.0
2022-07-06,22.0
2022-07-07,27.0
2022-07-08,24.0
2022-07-09,29.0
2022-07-10,30.0
2022-07-11,23.0
2022-07-12,25.0
2022-07-13,28.0
2022-07-14,24.0
2022-07-15,25.0
2022-07-16,26.0
2022-07-17,27.0
2022-07-18,23.0
2022-07-19,23.0
2022-07-20,21.0
2022-07-21,22.0
2022-07-22,22.0
2022-07-23,27.0
2022-07-24,29.0
2022-07-25,24.0
2022-07-26,24.0
2022-07-27,22.0
2022-07-28,23.0
2022-07-29,32.0
2022-07-30,35.0
2022-07-31,36.0
2022-08-01,32.0
2022-08-02,24.0
2022-08-03,24.0
2022-08-04,23.0
2022-08-05,24.0
2022-08-06,29.0
2022-08-07,30.0
2022-08-08,26.0
2022-08-09,25.0
2022-08-10,22.0
2022-08-11,23.0
2022-08-12,25.0
2022-08-13,28.0
2022-08-14,32.0
2022-08-15,26.0
2022-08-16,30.0
2022-08-17,30.0
2022-08-18,32.0
2022-08-19,34.0
2022-08-20,35.0
2022-08-21,35.0
2022-08-22,24.0
2022-08-23,24.0
2022-08-24,22.0
2022-08-25,23.0
2022-08-26,22.0
2022-08-27,32.0
2022-08-28,32.0
2022-08-29,21.237463126843657
2022-08-30,19.97050147492625
2022-08-31,27.805309734513273
2022-09-01,26.038348082595867
2022-09-02,24.271386430678465
2022-09-03,32.10619469026548
2022-09-04,97.31858407079645
2022-09-05,99.85250737463127
2022-09-06,54.34365781710915
2022-09-07,30.83923303834808
2022-09-08,23.504424778761063
2022-09-09,21.237463126843657
2022-09-10,26.038348082595867
2022-09-11,27.305309734513273
2022-09-12,19.97050147492625
2022-09-13,19.97050147492625
2022-09-14,19.47050147492625
2022-09-15,21.737463126843657
2022-09-16,27.305309734513273
2022-09-17,30.83923303834808
2022-09-18,29.57227138643068
2022-09-19,21.237463126843657
2022-09-20,19.97050147492625
2022-09-21,19.97050147492625
2022-09-22,19.47050147492625
2022-09-23,19.97050147492625
2022-09-24,24.271386430678465
2022-09-25,27.305309734513273
2022-09-26,16.936578171091444
2022-09-27,18.20353982300885
2022-09-28,16.873156342182888
2022-09-29,18.4070796460177
2022-09-30,19.941002949852507
2022-10-01,26.076696165191738
2022-10-02,24.54277286135693
2022-10-03,19.941002949852507
2022-10-04,16.873156342182888
2022-10-05,16.873156342182888
2022-10-06,16.873156342182888
2022-10-07,18.4070796460177
2022-10-08,23.008849557522122
2022-10-09,24.54277286135693
2022-10-10,19.941002949852507
2022-10-11,18.4070796460177
2022-10-12,16.873156342182888
2022-10-13,19.941002949852507
2022-10-14,18.4070796460177
2022-10-15,21.474926253687315
2022-10-16,23.008849557522122
2022-10-17,18.4070796460177
2022-10-18,18.4070796460177
2022-10-19,16.873156342182888
2022-10-20,16.873156342182888
2022-10-21,18.4070796460177
2022-10-22,21.474926253687315
2022-10-23,23.008849557522122
2022-10-24,16.873156342182888
2022-10-25,15.33923303834808
2022-10-26,16.873156342182888
2022-10-27,16.873156342182888
2022-10-28,18.4070796460177
2022-10-29,23.008849557522122
2022-10-30,24.54277286135693
2022-10-31,16.873156342182888
2022-11-01,16.873156342182888
2022-11-02,19.941002949852507
2022-11-03,18.4070796460177
2022-11-04,21.474926253687315
2022-11-05,29.144542772861353
2022-11-06,27.610619469026545
2022-11-07,19.941002949852507
2022-11-08,19.941002949852507
2022-11-09,18.4070796460177
2022-11-10,21.474926253687315
2022-11-11,26.076696165191738
2022-11-12,29.144542772861353
2022-11-13,30.67846607669616
2022-11-14,23.008849557522122
2022-11-15,24.54277286135693
2022-11-16,21.474926253687315
2022-11-17,24.54277286135693
2022-11-18,26.076696165191738
2022-11-19,36.8141592920354
2022-11-20,42.94985250737463
2022-11-21,30.67846607669616
2022-11-22,32.21238938053097
2022-11-23,38.3480825958702
2022-11-24,27.610619469026545
2022-11-25,72.09439528023599
2022-11-26,53.68731563421829
2022-11-27,44.48377581120943
2022-11-28,39.882005899705014
2022-11-29,30.67846607669616
2022-11-30,24.54277286135693
2022-12-01,26.076696165191738
2022-12-02,27.610619469026545
2022-12-03,32.21238938053097
2022-12-04,33.746312684365776
2022-12-05,26.076696165191738
2022-12-06,23.008849557522122
2022-12-07,26.076696165191738
2022-12-08,26.076696165191738
2022-12-09,27.610619469026545
2022-12-10,36.8141592920354
2022-12-11,36.8141592920354
2022-12-12,29.144542772861353
2022-12-13,26.076696165191738
2022-12-14,27.610619469026545
2022-12-15,29.144542772861353
2022-12-16,30.67846607669616
2022-12-17,46.017699115044245
2022-12-18,41.41592920353982
2022-12-19,35.28023598820059
2022-12-20,35.28023598820059
2022-12-21,38.3480825958702
2022-12-22,36.8141592920354
2022-12-23,39.882005899705014
2022-12-24,35.28023598820059
2022-12-25,18.4070796460177
2022-12-26,33.746312684365776
2022-12-27,29.144542772861353
2022-12-28,26.076696165191738
2022-12-29,24.54277286135693
2022-12-30,27.610619469026545
2022-12-31,26.076696165191738
2023-01-01,23.008849557522122
2023-01-02,27.610619469026545
2023-01-03,18.4070796460177
2023-01-04,18.4070796460177
2023-01-05,24.54277286135693
2023-01-06,27.610619469026545
2023-01-07,32.21238938053097
2023-01-08,32.21238938053097
2023-01-09,23.008849557522122
2023-01-10,21.474926253687315
2023-01-11,24.54277286135693
2023-01-12,23.008849557522122
2023-01-13,23.008849557522122
2023-01-14,27.610619469026545
2023-01-15,29.144542772861353
2023-01-16,23.008849557522122
2023-01-17,18.4070796460177
2023-01-18,18.4070796460177
2023-01-19,16.873156342182888
2023-01-20,16.873156342182888
2023-01-21,23.008849557522122
2023-01-22,21.474926253687315
2023-01-23,16.873156342182888
2023-01-24,15.33923303834808
2023-01-25,13.805309734513273
2023-01-26,16.873156342182888
2023-01-27,23.008849557522122
2023-01-28,24.54277286135693
2023-01-29,23.008849557522122
2023-01-30,19.941002949852507
2023-01-31,24.54277286135693
2023-02-01,24.54277286135693
2023-02-02,21.474926253687315
2023-02-03,21.474926253687315
2023-02-04,26.076696165191738
2023-02-05,26.076696165191738
2023-02-06,19.941002949852507
2023-02-07,21.474926253687315
2023-02-08,21.474926253687315
2023-02-09,23.008849557522122
2023-02-10,21.474926253687315
2023-02-11,26.076696165191738
2023-02-12,23.008849557522122
2023-02-13,15.33923303834808
2023-02-14,13.805309734513273
2023-02-15,13.805309734513273
2023-02-16,15.33923303834808
2023-02-17,16.873156342182888
2023-02-18,23.008849557522122
2023-02-19,24.54277286135693
2023-02-20,19.941002949852507
2023-02-21,16.873156342182888
2023-02-22,13.805309734513273
2023-02-23,15.33923303834808
2023-02-24,16.873156342182888
2023-02-25,21.474926253687315
2023-02-26,27.610619469026545
2023-02-27,16.873156342182888
2023-02-28,13.805309734513273
2023-03-01,13.805309734513273
2023-03-02,13.805309734513273
2023-03-03,13.805309734513273
2023-03-04,19.941002949852507
2023-03-05,21.474926253687315
2023-03-06,15.33923303834808
2023-03-07,12.271386430678465
2023-03-08,13.805309734513273
2023-03-09,12.271386430678465
2023-03-10,13.805309734513273
2023-03-11,18.4070796460177
2023-03-12,19.941002949852507
2023-03-13,12.271386430678465
2023-03-14,13.805309734513273
2023-03-15,12.271386430678465
2023-03-16,13.805309734513273
2023-03-17,13.805309734513273
2023-03-18,18.4070796460177
2023-03-19,19.941002949852507
2023-03-20,13.805309734513273
2023-03-21,15.33923303834808
2023-03-22,13.805309734513273
2023-03-23,13.805309734513273
2023-03-24,13.805309734513273
2023-03-25,18.4070796460177
2023-03-26,18.4070796460177
2023-03-27,13.805309734513273
2023-03-28,12.271386430678465
2023-03-29,12.271386430678465
2023-03-30,12.271386430678465
2023-03-31,13.805309734513273
2023-04-01,16.873156342182888
2023-04-02,18.4070796460177
2023-04-03,13.805309734513273
2023-04-04,10.737463126843657
2023-04-05,12.271386430678465
2023-04-06,10.737463126843657
2023-04-07,12.271386430678465
2023-04-08,15.33923303834808
2023-04-09,15.33923303834808
2023-04-10,13.805309734513273
2023-04-11,10.737463126843657
2023-04-12,10.737463126843657
2023-04-13,10.737463126843657
2023-04-14,12.271386430678465
2023-04-15,13.805309734513273
2023-04-16,16.873156342182888
2023-04-17,12.271386430678465
2023-04-18,10.737463126843657
2023-04-19,10.737463126843657
2023-04-20,13.805309734513273
2023-04-21,12.271386430678465
2023-04-22,16.873156342182888
2023-04-23,90.50147492625368
2023-04-24,153.3923303834808
2023-04-25,107.37463126843657
2023-04-26,105.66270253822552
2023-04-27,61.26902823913245
2023-04-28,46.215482922128956
2023-04-29,80.73315245412513
2023-04-30,55.03664071810736
2023-05-01,30.634514119566226
2023-05-02,36.86690164059132
2023-05-03,26.99089687349443
2023-05-04,26.22393522157703
2023-05-05,21.285932838028586
2023-05-06,35.04509301755542
2023-05-07,28.812705496530327
2023-05-08,21.813356323587833
2023-05-09,19.991547700551934
2023-05-10,15.580968802562735
2023-05-11,15.580968802562735
2023-05-12,15.05354531700349
2023-05-13,23.107741461064478
2023-05-14,21.285932838028586
2023-05-15,15.05354531700349
2023-05-16,15.580968802562735
2023-05-17,12.464775042050189
2023-05-18,13.75916017952684
2023-05-19,12.464775042050189
2023-05-20,21.285932838028586
2023-05-21,19.991547700551934
2023-05-22,15.580968802562735
2023-05-23,13.75916017952684
2023-05-24,11.937351556490942
2023-05-25,12.464775042050189
2023-05-26,11.603316682303419
2023-05-27,17.932398509014376
2023-05-28,16.877551537895883
2023-05-29,15.82270456677739
2023-05-30,12.658163653421912
2023-05-31,10.548469711184927
2023-06-01,11.603316682303419
2023-06-02,10.548469711184927
2023-06-03,18.98724548013287
2023-06-04,17.932398509014376
2023-06-05,11.603316682303419
2023-06-06,12.658163653421912
2023-06-07,11.603316682303419
2023-06-08,12.658163653421912
2023-06-09,11.603316682303419
2023-06-10,17.932398509014376
2023-06-11,20.04209245125136
2023-06-12,15.82270456677739
2023-06-13,13.713010624540406
2023-06-14,13.713010624540406
2023-06-15,16.877551537895883
2023-06-16,18.98724548013287
2023-06-17,28.4808682201993
2023-06-18,30.59056216243629
2023-06-19,21.096939422369854
2023-06-20,20.04209245125136
2023-06-21,15.82270456677739
2023-06-22,16.877551537895883
2023-06-23,17.932398509014376
2023-06-24,22.151786393488347
2023-06-25,22.151786393488347
2023-06-26,17.932398509014376
2023-06-27,17.932398509014376
2023-06-28,20.04209245125136
2023-06-29,21.096939422369854
2023-06-30,21.096939422369854
2023-07-01,27.42602124908081
2023-07-02,35.86479701802875
2023-07-03,30.59056216243629
2023-07-04,32.70025610467327
2023-07-05,23.206633364606837
2023-07-06,22.151786393488347
2023-07-07,22.151786393488347
2023-07-08,27.42602124908081
2023-07-09,27.42602124908081
2023-07-10,18.98724548013287
2023-07-11,17.932398509014376
2023-07-12,15.82270456677739
2023-07-13,16.877551537895883
2023-07-14,16.877551537895883
2023-07-15,24.26148033572533
2023-07-16,24.26148033572533
2023-07-17,17.932398509014376
2023-07-18,15.82270456677739
2023-07-19,17.932398509014376
2023-07-20,21.096939422369854
2023-07-21,18.98724548013287
2023-07-22,23.206633364606837
2023-07-23,26.371174277962318
2023-07-24,22.151786393488347
2023-07-25,18.98724548013287
2023-07-26,16.877551537895883
2023-07-27,16.877551537895883
2023-07-28,17.932398509014376
2023-07-29,22.151786393488347
2023-07-30,24.26148033572533
2023-07-31,16.877551537895883
2023-08-01,24.26148033572533
2023-08-02,24.26148033572533
2023-08-03,20.04209245125136
2023-08-04,15.82270456677739
2023-08-05,18.98724548013287
2023-08-06,21.096939422369854
2023-08-07,17.932398509014376
2023-08-08,16.877551537895883
2023-08-09,11.603316682303419
2023-08-10,13.713010624540406
2023-08-11,12.658163653421912
2023-08-12,15.82270456677739
2023-08-13,14.767857595658898
2023-08-14,11.603316682303419
2023-08-15,11.603316682303419
2023-08-16,10.548469711184927
2023-08-17,11.603316682303419
2023-08-18,10.548469711184927
2023-08-19,12.658163653421912
2023-08-20,13.713010624540406
2023-08-21,10.548469711184927
2023-08-22,9.493622740066435
2023-08-23,9.493622740066435
2023-08-24,9.493622740066435
2023-08-25,9.493622740066435
2023-08-26,11.603316682303419
2023-08-27,12.658163653421912
2023-08-28,8.438775768947941
2023-08-29,8.438775768947941
2023-08-30,7.383928797829449
2023-08-31,8.438775768947941
2023-09-01,9.493622740066435
2023-09-02,10.548469711184927
2023-09-03,12.658163653421912
2023-09-04,14.767857595658898
2023-09-05,9.493622740066435
2023-09-06,8.438775768947941
2023-09-07,8.438775768947941
2023-09-08,8.438775768947941
2023-09-09,11.603316682303419
2023-09-10,11.603316682303419
2023-09-11,8.438775768947941
2023-09-12,7.383928797829449
2023-09-13,7.383928797829449
2023-09-14,8.438775768947941
2023-09-15,7.383928797829449
2023-09-16,9.493622740066435
2023-09-17,10.548469711184927
2023-09-18,7.383928797829449
2023-09-19,7.383928797829449
2023-09-20,7.383928797829449
2023-09-21,7.383928797829449
2023-09-22,6.329081826710956
2023-09-23,8.438775768947941
2023-09-24,9.493622740066435
2023-09-25,7.383928797829449
2023-09-26,6.329081826710956
2023-09-27,7.383928797829449
2023-09-28,7.383928797829449
2023-09-29,6.329081826710956
2023-09-30,9.493622740066435
2023-10-01,9.493622740066435
2023-10-02,7.383928797829449
2023-10-03,7.383928797829449
2023-10-04,7.383928797829449
2023-10-05,5.274234855592463
2023-10-06,6.329081826710956
2023-10-07,8.438775768947941
2023-10-08,8.438775768947941
2023-10-09,6.329081826710956
2023-10-10,7.383928797829449
2023-10-11,6.329081826710956
2023-10-12,6.329081826710956
2023-10-13,5.274234855592463
2023-10-14,8.438775768947941
2023-10-15,8.438775768947941
2023-10-16,7.383928797829449
2023-10-17,6.329081826710956
2023-10-18,6.329081826710956
2023-10-19,6.329081826710956
2023-10-20,6.329081826710956
2023-10-21,7.383928797829449
2023-10-22,8.438775768947941
2023-10-23,5.274234855592463
2023-10-24,5.274234855592463
2023-10-25,6.329081826710956
2023-10-26,6.329081826710956
2023-10-27,6.329081826710956
2023-10-28,8.438775768947941
2023-10-29,8.438775768947941
2023-10-30,7.383928797829449
2023-10-31,6.329081826710956
2023-11-01,7.383928797829449
2023-11-02,7.383928797829449
2023-11-03,7.383928797829449
2023-11-04,10.548469711184927
2023-11-05,10.548469711184927
2023-11-06,8.438775768947941
2023-11-07,8.438775768947941
2023-11-08,8.438775768947941
2023-11-09,8.438775768947941
2023-11-10,9.493622740066435
2023-11-11,10.548469711184927
2023-11-12,11.603316682303419
2023-11-13,10.548469711184927
2023-11-14,9.493622740066435
2023-11-15,9.493622740066435
2023-11-16,9.493622740066435
2023-11-17,9.493622740066435
2023-11-18,13.713010624540406
2023-11-19,13.713010624540406
2023-11-20,11.603316682303419
2023-11-21,14.767857595658898
2023-11-22,12.658163653421912
2023-11-23,14.767857595658898
2023-11-24,24.26148033572533
2023-11-25,20.04209245125136
2023-11-26,17.932398509014376
2023-11-27,16.877551537895883
2023-11-28,13.713010624540406
2023-11-29,10.548469711184927
2023-11-30,9.493622740066435
2023-12-01,12.658163653421912
2023-12-02,13.713010624540406
2023-12-03,13.713010624540406
2023-12-04,10.548469711184927
2023-12-05,10.548469711184927
2023-12-06,8.438775768947941
2023-12-07,8.438775768947941
2023-12-08,9.493622740066435
2023-12-09,11.603316682303419
2023-12-10,13.713010624540406
2023-12-11,9.493622740066435
2023-12-12,8.438775768947941
2023-12-13,9.493622740066435
2023-12-14,8.438775768947941
2023-12-15,9.493622740066435
2023-12-16,12.658163653421912
2023-12-17,12.658163653421912
2023-12-18,9.493622740066435
2023-12-19,9.493622740066435
2023-12-20,9.493622740066435
2023-12-21,9.493622740066435
2023-12-22,11.372958026721893
2023-12-23,12.73287456874565
2023-12-24,9.677731781399931
2023-12-25,6.558551066633866
2023-12-26,10.653420758901607
2023-12-27,9.613693853979585
2023-12-28,9.485617999138892
2023-12-29,9.29350421687785
2023-12-30,9.613693853979585
2023-12-31,9.357542144298197
2024-01-01,8.25377731195583
2024-01-02,8.317815239376175
2024-01-03,7.3421262618745
2024-01-04,7.278088334454154
2024-01-05,7.278088334454154
2024-01-06,8.573966949057564
2024-01-07,9.421580071718545
2024-01-08,6.558551066633866
2024-01-09,6.494513139213519
2024-01-10,6.046247647271091
2024-01-11,5.454786234291497
2024-01-12,6.366437284372825
2024-01-13,8.445891094216869
2024-01-14,8.445891094216869
2024-01-15,8.381853166796521
2024-01-16,6.046247647271091
2024-01-17,6.238361429532132
2024-01-18,6.110285574691438
2024-01-19,6.494513139213519
2024-01-20,8.702042803898257
2024-01-21,9.733764967892736
2024-01-22,7.1722478710788575
2024-01-23,6.403792742034694
2024-01-24,5.635337612990531
2024-01-25,6.403792742034694
2024-01-26,6.5318685968753885
2024-01-27,8.837233984007879
2024-01-28,9.093385693689266
2024-01-29,7.55647543560094
2024-01-30,6.275716887194001
2024-01-31,6.659944451716083
2024-02-01,6.5318685968753885
2024-02-02,6.147641032353307
2024-02-03,8.58108227432649
2024-02-04,9.22146154852996
2024-02-05,6.788020306556776
2024-02-06,6.659944451716083
2024-02-07,6.5318685968753885
2024-02-08,5.763413467831225
2024-02-09,6.147641032353307
2024-02-10,7.55647543560094
2024-02-11,8.453006419485797
2024-02-12,5.891489322671919
2024-02-13,6.91609616139747
2024-02-14,5.891489322671919
2024-02-15,5.891489322671919
2024-02-16,7.1722478710788575
2024-02-17,9.733764967892736
2024-02-18,11.782978645343839
2024-02-19,12.039130355025225
2024-02-20,7.684551290441633
2024-02-21,6.659944451716083
2024-02-22,6.403792742034694
2024-02-23,6.91609616139747
2024-02-24,9.477613258211347
2024-02-25,9.093385693689266
2024-02-26,6.147641032353307
2024-02-27,5.635337612990531
2024-02-28,5.635337612990531
2024-02-29,6.019565177512613
2024-03-01,5.763413467831225
2024-03-02,7.8126271452823275
2024-03-03,8.837233984007879
2024-03-04,6.275716887194001
2024-03-05,6.019565177512613
2024-03-06,5.763413467831225
2024-03-07,5.891489322671919
2024-03-08,6.147641032353307
2024-03-09,8.58108227432649
2024-03-10,9.22146154852996
2024-03-11,6.91609616139747
2024-03-12,6.019565177512613
2024-03-13,5.891489322671919
2024-03-14,6.019565177512613
2024-03-15,6.403792742034694
2024-03-16,8.324930564645102
2024-03-17,8.709158129167184
2024-03-18,6.019565177512613
2024-03-19,5.635337612990531
2024-03-20,5.635337612990531
2024-03-21,5.507261758149838
2024-03-22,6.019565177512613
2024-03-23,8.709158129167184
2024-03-24,8.453006419485797
2024-03-25,5.891489322671919
2024-03-26,6.147641032353307
2024-03-27,5.763413467831225
2024-03-28,5.763413467831225
2024-03-29,6.147641032353307
2024-03-30,7.300323725919552
2024-03-31,6.788020306556776
2024-04-01,6.019565177512613
2024-04-02,6.147641032353307
2024-04-03,5.891489322671919
2024-04-04,5.891489322671919
2024-04-05,6.403792742034694
2024-04-06,8.324930564645102
2024-04-07,8.837233984007879
2024-04-08,5.891489322671919
2024-04-09,6.019565177512613
2024-04-10,5.507261758149838
2024-04-11,5.635337612990531
2024-04-12,6.019565177512613
2024-04-13,6.788020306556776
2024-04-14,8.324930564645102
2024-04-15,5.891489322671919
2024-04-16,5.635337612990531
2024-04-17,5.763413467831225
2024-04-18,5.763413467831225
2024-04-19,5.763413467831225
2024-04-20,8.068778854963716
2024-04-21,8.324930564645102
2024-04-22,5.763413467831225
2024-04-23,6.275716887194001
2024-04-24,6.019565177512613
2024-04-25,5.507261758149838
2024-04-26,6.019565177512613
2024-04-27,7.55647543560094
2024-04-28,8.58108227432649
2024-04-29,5.891489322671919
2024-04-30,5.507261758149838
2024-05-01,5.251110048468449
2024-05-02,5.507261758149838
2024-05-03,5.763413467831225
2024-05-04,6.5318685968753885
2024-05-05,7.940703000123022
2024-05-06,5.635337612990531
2024-05-07,5.507261758149838
2024-05-08,5.379185903309144
2024-05-09,5.507261758149838
2024-05-10,6.403792742034694
2024-05-11,7.55647543560094
2024-05-12,7.1722478710788575
2024-05-13,5.763413467831225
2024-05-14,5.635337612990531
2024-05-15,5.123034193627756
2024-05-16,5.507261758149838
2024-05-17,5.379185903309144
2024-05-18,7.044172016238164
2024-05-19,7.044172016238164
2024-05-20,5.891489322671919
2024-05-21,6.147641032353307
2024-05-22,6.788020306556776
2024-05-23,6.019565177512613
2024-05-24,6.019565177512613
2024-05-25,7.044172016238164
2024-05-26,7.428399580760246
2024-05-27,10.502220096936899
2024-05-28,6.275716887194001
2024-05-29,5.763413467831225
2024-05-30,5.251110048468449
2024-05-31,5.891489322671919
2024-06-01,7.1722478710788575
2024-06-02,8.324930564645102
2024-06-03,6.275716887194001
2024-06-04,6.147641032353307
2024-06-05,5.379185903309144
2024-06-06,5.379185903309144
2024-06-07,5.507261758149838
2024-06-08,6.5318685968753885
2024-06-09,6.788020306556776
2024-06-10,6.147641032353307
2024-06-11,5.763413467831225
2024-06-12,5.379185903309144
2024-06-13,5.379185903309144
2024-06-14,5.251110048468449
2024-06-15,6.403792742034694
2024-06-16,5.891489322671919
2024-06-17,5.507261758149838
2024-06-18,5.379185903309144
2024-06-19,6.275716887194001
2024-06-20,5.635337612990531
2024-06-21,5.891489322671919
2024-06-22,6.5318685968753885
2024-06-23,7.684551290441633
2024-06-24,6.019565177512613
2024-06-25,5.379185903309144
2024-06-26,4.866882483946368
2024-06-27,5.763413467831225
2024-06-28,4.994958338787062
2024-06-29,6.659944451716083
2024-06-30,6.659944451716083
2024-07-01,5.891489322671919
2024-07-02,5.507261758149838
2024-07-03,5.507261758149838
2024-07-04,6.275716887194001
2024-07-05,5.635337612990531
2024-07-06,6.5318685968753885
2024-07-07,6.91609616139747
2024-07-08,5.123034193627756
2024-07-09,4.738806629105674
2024-07-10,4.994958338787062
2024-07-11,4.866882483946368
2024-07-12,4.866882483946368
2024-07-13,5.763413467831225
2024-07-14,5.763413467831225
2024-07-15,4.738806629105674
2024-07-16,4.994958338787062
2024-07-17,4.738806629105674
2024-07-18,5.123034193627756
2024-07-19,4.738806629105674
2024-07-20,6.019565177512613
2024-07-21,6.019565177512613
2024-07-22,5.251110048468449
2024-07-23,4.994958338787062
2024-07-24,5.379185903309144
2024-07-25,5.379185903309144
2024-07-26,4.994958338787062
2024-07-27,5.379185903309144
2024-07-28,5.635337612990531
2024-07-29,4.61073077426498
2024-07-30,4.738806629105674
2024-07-31,4.738806629105674
2024-08-01,4.61073077426498
2024-08-02,4.866882483946368
2024-08-03,5.251110048468449
2024-08-04,6.275716887194001
2024-08-05,4.994958338787062
2024-08-06,5.379185903309144
2024-08-07,4.994958338787062
2024-08-08,4.61073077426498
2024-08-09,4.994958338787062
2024-08-10,6.147641032353307
2024-08-11,6.659944451716083
2024-08-12,5.379185903309144
2024-08-13,5.379185903309144
2024-08-14,4.866882483946368
2024-08-15,5.251110048468449
2024-08-16,5.379185903309144
2024-08-17,6.5318685968753885
2024-08-18,7.295397731502602
2024-08-19,5.612349639044766
2024-08-20,4.863598487668401
2024-08-21,4.988390346231128
2024-08-22,5.237974063356583
2024-08-23,4.738806629105674
2024-08-24,6.297062863000782
2024-08-25,6.42185472156351
2024-08-26,4.988390346231128
2024-08-27,4.239639194854764
2024-08-28,4.863598487668401
2024-08-29,4.738806629105674
2024-08-30,4.863598487668401
2024-08-31,6.297062863000782
2024-09-01,6.796230297251692
2024-09-02,8.044148882878966
2024-09-03,4.738806629105674
2024-09-04,4.489222911980219
2024-09-05,4.178885263712385
2024-09-06,4.489222911980219
2024-09-07,5.237974063356583
2024-09-08,5.9226872873126
2024-09-09,4.3644310534174915
2024-09-10,4.114847336292037
2024-09-11,4.054093405149656
2024-09-12,4.054093405149656
2024-09-13,4.3644310534174915
2024-09-14,5.797895428749873
2024-09-15,5.737141497607492
2024-09-16,4.3644310534174915
2024-09-17,4.495790904536152
2024-09-18,4.1312673176818695
2024-09-19,3.8882515931123476
2024-09-20,4.009759455397108
