Time,senate
2022-01-01,9
2022-01-02,6
2022-01-03,8
2022-01-04,12
2022-01-05,11
2022-01-06,10
2022-01-07,11
2022-01-08,8
2022-01-09,8
2022-01-10,13
2022-01-11,18
2022-01-12,18
2022-01-13,21
2022-01-14,14
2022-01-15,9
2022-01-16,8
2022-01-17,8
2022-01-18,18
2022-01-19,21
2022-01-20,27
2022-01-21,17
2022-01-22,13
2022-01-23,11
2022-01-24,19
2022-01-25,16
2022-01-26,17
2022-01-27,16
2022-01-28,14
2022-01-29,8
2022-01-30,8
2022-01-31,12
2022-02-01,14
2022-02-02,14
2022-02-03,14
2022-02-04,12
2022-02-05,8
2022-02-06,7
2022-02-07,13
2022-02-08,17
2022-02-09,16
2022-02-10,13
2022-02-11,14
2022-02-12,8
2022-02-13,8
2022-02-14,13
2022-02-15,16
2022-02-16,17
2022-02-17,15
2022-02-18,15
2022-02-19,8
2022-02-20,8
2022-02-21,10
2022-02-22,14
2022-02-23,14
2022-02-24,14
2022-02-25,13
2022-02-26,9
2022-02-27,8
2022-02-28,14
2022-03-01,17
2022-03-02,20
2022-03-03,20
2022-03-04,14
2022-03-05,10
2022-03-06,8
2022-03-07,13
2022-03-08,17
2022-03-09,16
2022-03-10,16
2022-03-11,16
2022-03-12,9
2022-03-13,7
2022-03-14,13
2022-03-15,27
2022-03-16,40
2022-03-17,28
2022-03-18,17
2022-03-19,11
2022-03-20,10
2022-03-21,17
2022-03-22,20
2022-03-23,23
2022-03-24,22
2022-03-25,19
2022-03-26,12
2022-03-27,11
2022-03-28,16
2022-03-29,17
2022-03-30,16
2022-03-31,18
2022-04-01,21
2022-04-02,16
2022-04-03,13
2022-04-04,29
2022-04-05,21
2022-04-06,21
2022-04-07,34
2022-04-08,19
2022-04-09,12
2022-04-10,14
2022-04-11,19
2022-04-12,17
2022-04-13,15
2022-04-14,17
2022-04-15,13
2022-04-16,11
2022-04-17,9
2022-04-18,16
2022-04-19,17
2022-04-20,19
2022-04-21,19
2022-04-22,17
2022-04-23,11
2022-04-24,12
2022-04-25,19
2022-04-26,20
2022-04-27,17
2022-04-28,19
2022-04-29,16
2022-04-30,13
2022-05-01,14
2022-05-02,20
2022-05-03,37
2022-05-04,39
2022-05-05,22
2022-05-06,19
2022-05-07,15
2022-05-08,16
2022-05-09,19
2022-05-10,20
2022-05-11,36
2022-05-12,29
2022-05-13,21
2022-05-14,16
2022-05-15,16
2022-05-16,23
2022-05-17,46
2022-05-18,100
2022-05-19,47
2022-05-20,34
2022-05-21,22
2022-05-22,18
2022-05-23,20
2022-05-24,26
2022-05-25,42
2022-05-26,22
2022-05-27,16
2022-05-28,12
2022-05-29,11
2022-05-30,11
2022-05-31,15
2022-06-01,15
2022-06-02,15
2022-06-03,17
2022-06-04,20
2022-06-05,12
2022-06-06,17
2022-06-07,21
2022-06-08,20
2022-06-09,22
2022-06-10,17
2022-06-11,10
2022-06-12,14
2022-06-13,20
2022-06-14,17
2022-06-15,17
2022-06-16,17
2022-06-17,12
2022-06-18,9
2022-06-19,8
2022-06-20,13
2022-06-21,18
2022-06-22,27
2022-06-23,20
2022-06-24,29
2022-06-25,20
2022-06-26,17
2022-06-27,18
2022-06-28,27
2022-06-29,21
2022-06-30,18
2022-07-01,15
2022-07-02,11
2022-07-03,10
2022-07-04,10
2022-07-05,12
2022-07-06,13
2022-07-07,14
2022-07-08,14
2022-07-09,10
2022-07-10,11
2022-07-11,14
2022-07-12,15
2022-07-13,13
2022-07-14,15
2022-07-15,15
2022-07-16,12
2022-07-17,11
2022-07-18,15
2022-07-19,18
2022-07-20,20
2022-07-21,19
2022-07-22,16
2022-07-23,11
2022-07-24,12
2022-07-25,15
2022-07-26,17
2022-07-27,18
2022-07-28,24
2022-07-29,22
2022-07-30,20
2022-07-31,17
2022-08-01,22
2022-08-02,29
2022-08-03,36
2022-08-04,22
2022-08-05,18
2022-08-06,18
2022-08-07,30
2022-08-08,26
2022-08-09,19
2022-08-10,19
2022-08-11,14
2022-08-12,13
2022-08-13,10
2022-08-14,12
2022-08-15,14
2022-08-16,16
2022-08-17,22
2022-08-18,16
2022-08-19,21
2022-08-20,15
2022-08-21,14
2022-08-22,15
2022-08-23,20
2022-08-24,22
2022-08-25,15
2022-08-26,13
2022-08-27,10
2022-08-28,11
2022-08-29,14
2022-08-30,16
2022-08-31,17
2022-09-01,18
2022-09-02,13
2022-09-03,10
2022-09-04,11
2022-09-05,11
2022-09-06,15
2022-09-07,17
2022-09-08,17
2022-09-09,16
2022-09-10,12
2022-09-11,11
2022-09-12,16
2022-09-13,18
2022-09-14,22
2022-09-15,19
2022-09-16,17
2022-09-17,11
2022-09-18,11
2022-09-19,18
2022-09-20,20
2022-09-21,19
2022-09-22,18
2022-09-23,17
2022-09-24,12
2022-09-25,11
2022-09-26,17
2022-09-27,19
