Time,calculator
2022-01-01,39.0
2022-01-02,41.0
2022-01-03,55.0
2022-01-04,72.0
2022-01-05,70.0
2022-01-06,58.0
2022-01-07,65.0
2022-01-08,49.0
2022-01-09,46.0
2022-01-10,65.0
2022-01-11,70.0
2022-01-12,72.0
2022-01-13,71.0
2022-01-14,59.0
2022-01-15,47.0
2022-01-16,42.0
2022-01-17,48.0
2022-01-18,62.0
2022-01-19,73.0
2022-01-20,71.0
2022-01-21,66.0
2022-01-22,53.0
2022-01-23,53.0
2022-01-24,87.0
2022-01-25,69.0
2022-01-26,66.0
2022-01-27,68.0
2022-01-28,75.0
2022-01-29,53.0
2022-01-30,51.0
2022-01-31,73.0
2022-02-01,78.0
2022-02-02,77.0
2022-02-03,76.0
2022-02-04,69.0
2022-02-05,52.0
2022-02-06,53.0
2022-02-07,76.0
2022-02-08,80.0
2022-02-09,78.0
2022-02-10,66.0
2022-02-11,70.0
2022-02-12,52.0
2022-02-13,48.0
2022-02-14,61.0
2022-02-15,79.0
2022-02-16,77.0
2022-02-17,78.0
2022-02-18,71.0
2022-02-19,50.0
2022-02-20,49.0
2022-02-21,63.0
2022-02-22,67.0
2022-02-23,72.0
2022-02-24,67.0
2022-02-25,66.0
2022-02-26,51.0
2022-02-27,51.0
2022-02-28,74.0
2022-03-01,75.0
2022-03-02,74.0
2022-03-03,74.0
2022-03-04,67.0
2022-03-05,50.0
2022-03-06,50.0
2022-03-07,72.0
2022-03-08,72.0
2022-03-09,75.0
2022-03-10,73.0
2022-03-11,67.0
2022-03-12,51.0
2022-03-13,47.0
2022-03-14,63.0
2022-03-15,68.0
2022-03-16,69.0
2022-03-17,66.0
2022-03-18,62.0
2022-03-19,48.0
2022-03-20,49.0
2022-03-21,69.0
2022-03-22,72.0
2022-03-23,71.0
2022-03-24,71.0
2022-03-25,86.0
2022-03-26,50.0
2022-03-27,54.0
2022-03-28,85.0
2022-03-29,94.0
2022-03-30,79.0
2022-03-31,90.0
2022-04-01,85.0
2022-04-02,54.0
2022-04-03,54.0
2022-04-04,90.0
2022-04-05,88.0
2022-04-06,91.0
2022-04-07,86.0
2022-04-08,86.0
2022-04-09,53.0
2022-04-10,52.0
2022-04-11,91.0
2022-04-12,92.0
2022-04-13,88.0
2022-04-14,85.0
2022-04-15,70.0
2022-04-16,49.0
2022-04-17,49.0
2022-04-18,83.0
2022-04-19,91.0
2022-04-20,89.0
2022-04-21,91.0
2022-04-22,83.0
2022-04-23,52.0
2022-04-24,53.0
2022-04-25,95.0
2022-04-26,99.0
2022-04-27,95.0
2022-04-28,98.0
2022-04-29,86.0
2022-04-30,55.0
2022-05-01,53.0
2022-05-02,91.0
2022-05-03,100.0
2022-05-04,96.0
2022-05-05,94.0
2022-05-06,90.0
2022-05-07,55.0
2022-05-08,51.0
2022-05-09,96.0
2022-05-10,96.0
2022-05-11,95.0
2022-05-12,89.0
2022-05-13,84.0
2022-05-14,48.0
2022-05-15,47.0
2022-05-16,83.0
2022-05-17,86.0
2022-05-18,85.0
2022-05-19,86.0
2022-05-20,80.0
2022-05-21,47.0
2022-05-22,46.0
2022-05-23,79.0
2022-05-24,79.0
2022-05-25,72.0
2022-05-26,75.0
2022-05-27,65.0
2022-05-28,43.0
2022-05-29,42.0
2022-05-30,43.0
2022-05-31,67.0
2022-06-01,70.0
2022-06-02,67.0
2022-06-03,63.0
2022-06-04,46.0
2022-06-05,45.0
2022-06-06,64.0
2022-06-07,65.0
2022-06-08,60.0
2022-06-09,64.0
2022-06-10,58.0
2022-06-11,43.0
2022-06-12,44.0
2022-06-13,61.0
2022-06-14,61.0
2022-06-15,62.0
2022-06-16,61.0
2022-06-17,53.0
2022-06-18,43.0
2022-06-19,44.0
2022-06-20,54.0
2022-06-21,61.0
2022-06-22,60.0
2022-06-23,56.0
2022-06-24,52.0
2022-06-25,42.0
2022-06-26,43.0
2022-06-27,55.0
2022-06-28,55.0
2022-06-29,58.0
2022-06-30,57.0
2022-07-01,53.0
2022-07-02,40.0
2022-07-03,39.0
2022-07-04,41.0
2022-07-05,52.0
2022-07-06,57.0
2022-07-07,56.0
2022-07-08,53.0
2022-07-09,45.0
2022-07-10,42.0
2022-07-11,54.0
2022-07-12,57.0
2022-07-13,56.0
2022-07-14,56.0
2022-07-15,54.0
2022-07-16,45.0
2022-07-17,41.0
2022-07-18,55.0
2022-07-19,58.0
2022-07-20,57.0
2022-07-21,56.0
2022-07-22,53.0
2022-07-23,41.0
2022-07-24,43.0
2022-07-25,57.0
2022-07-26,57.0
2022-07-27,58.0
2022-07-28,57.0
2022-07-29,57.0
2022-07-30,44.0
2022-07-31,43.0
2022-08-01,56.0
2022-08-02,56.0
2022-08-03,56.0
2022-08-04,55.0
2022-08-05,53.0
2022-08-06,44.0
2022-08-07,42.0
2022-08-08,53.0
2022-08-09,58.0
2022-08-10,60.0
2022-08-11,61.0
2022-08-12,57.0
2022-08-13,43.0
2022-08-14,43.0
2022-08-15,60.0
2022-08-16,64.0
2022-08-17,66.0
2022-08-18,69.0
2022-08-19,67.0
2022-08-20,45.0
2022-08-21,45.0
2022-08-22,66.0
2022-08-23,76.0
2022-08-24,76.0
2022-08-25,77.0
2022-08-26,72.0
2022-08-27,46.0
2022-08-28,48.0
2022-08-29,76.84280069152877
2022-08-30,80.88775006174365
2022-08-31,81.89898740429736
2022-09-01,83.9214620894048
2022-09-02,74.32032600642134
2022-09-03,43.98320572980983
2022-09-04,41.9607310447024
2022-09-05,51.06186712768585
2022-09-06,81.89898740429736
2022-09-07,85.44393677451222
2022-09-08,88.47764880217338
2022-09-09,80.88775006174365
2022-09-10,47.01691775747098
2022-09-11,48.0281551000247
2022-09-12,84.93269943195851
2022-09-13,86.95517411706595
2022-09-14,93.53383551494196
2022-09-15,95.04507285749568
2022-09-16,83.9214620894048
2022-09-17,49.03939244257842
2022-09-18,47.01691775747098
2022-09-19,87.46641145961966
2022-09-20,94.54507285749568
2022-09-21,92.01136082983453
2022-09-22,89.9888861447271
2022-09-23,85.94393677451222
2022-09-24,48.0281551000247
2022-09-25,48.0281551000247
2022-09-26,79.87651271918992
2022-09-27,85.94393677451222
2022-09-28,88.95529760434675
2022-09-29,85.88787354902446
2022-09-30,80.77550012348729
2022-10-01,47.03383551494196
2022-10-02,47.03383551494196
2022-10-03,84.86539886391702
2022-10-04,91.00024697456162
2022-10-05,87.93282291923933
2022-10-06,87.93282291923933
2022-10-07,82.82044949370216
2022-10-08,47.03383551494196
2022-10-09,47.03383551494196
2022-10-10,76.68560138305754
2022-10-11,87.93282291923933
2022-10-12,88.95529760434675
2022-10-13,91.00024697456162
2022-10-14,76.68560138305754
2022-10-15,47.03383551494196
2022-10-16,49.078784885156836
2022-10-17,85.88787354902446
2022-10-18,94.06767102988393
2022-10-19,92.02272165966906
2022-10-20,92.02272165966906
2022-10-21,78.73055075327242
2022-10-22,44.9888861447271
2022-10-23,46.01136082983453
2022-10-24,86.91034823413189
2022-10-25,88.95529760434675
2022-10-26,88.95529760434675
2022-10-27,92.02272165966906
2022-10-28,80.77550012348729
2022-10-29,46.01136082983453
2022-10-30,47.03383551494196
2022-10-31,77.70807606816498
2022-11-01,92.02272165966906
2022-11-02,95.09014571499137
2022-11-03,92.02272165966906
2022-11-04,83.84292417880958
2022-11-05,50.10125957026427
2022-11-06,47.03383551494196
2022-11-07,84.86539886391702
2022-11-08,77.70807606816498
2022-11-09,81.79797480859472
2022-11-10,80.77550012348729
2022-11-11,64.41590516176834
2022-11-12,47.03383551494196
2022-11-13,46.01136082983453
2022-11-14,83.84292417880958
2022-11-15,93.0451963447765
2022-11-16,92.02272165966906
2022-11-17,92.02272165966906
2022-11-18,82.82044949370216
2022-11-19,48.056310200049396
2022-11-20,42.94393677451223
2022-11-21,69.52827858730551
2022-11-22,69.52827858730551
2022-11-23,53.16868362558657
2022-11-24,35.78661397876019
2022-11-25,39.876512719189925
2022-11-26,39.876512719189925
2022-11-27,43.966411459619664
2022-11-28,72.59570264262781
2022-11-29,87.93282291923933
2022-11-30,85.88787354902446
2022-12-01,91.00024697456162
2022-12-02,85.88787354902446
2022-12-03,48.056310200049396
2022-12-04,48.056310200049396
2022-12-05,89.9777722894542
2022-12-06,96.11262040009879
2022-12-07,96.11262040009879
2022-12-08,97.13509508520623
2022-12-09,85.88787354902446
2022-12-10,49.078784885156836
2022-12-11,50.10125957026427
2022-12-12,95.09014571499137
2022-12-13,92.02272165966906
2022-12-14,95.09014571499137
2022-12-15,97.13509508520623
2022-12-16,80.77550012348729
2022-12-17,46.01136082983453
2022-12-18,42.94393677451223
2022-12-19,71.57322795752037
2022-12-20,71.57322795752037
2022-12-21,65.43837984687578
2022-12-22,55.21363299580143
2022-12-23,43.966411459619664
2022-12-24,33.74166460854532
2022-12-25,28.629291183008153
2022-12-26,37.83156334897506
2022-12-27,48.056310200049396
2022-12-28,52.146208940479134
2022-12-29,52.146208940479134
