Time,staples
2025-12-11,82
2025-12-12,83
2025-12-13,85
2025-12-14,78
2025-12-15,84
2025-12-16,84
2025-12-17,78
2025-12-18,83
2025-12-19,81
2025-12-20,84
2025-12-21,88
2025-12-22,84
2025-12-23,78
2025-12-24,91
2025-12-25,35
2025-12-26,70
2025-12-27,65
2025-12-28,66
2025-12-29,76
2025-12-30,83
2025-12-31,79
2026-01-01,72
2026-01-02,75
2026-01-03,75
2026-01-04,81
2026-01-05,81
2026-01-06,84
2026-01-07,75
2026-01-08,76
2026-01-09,70
2026-01-10,76
2026-01-11,69
2026-01-12,73
2026-01-13,75
2026-01-14,76
2026-01-15,74
2026-01-16,70
2026-01-17,67
2026-01-18,64
2026-01-19,75
2026-01-20,68
2026-01-21,76
2026-01-22,73
2026-01-23,72
2026-01-24,69
2026-01-25,55
2026-01-26,61
2026-01-27,65
2026-01-28,76
2026-01-29,76
2026-01-30,71
2026-01-31,76
2026-02-01,75
2026-02-02,70
2026-02-03,67
2026-02-04,73
2026-02-05,70
2026-02-06,69
2026-02-07,70
2026-02-08,61
2026-02-09,62
2026-02-10,72
2026-02-11,77
2026-02-12,82
2026-02-13,70
2026-02-14,67
2026-02-15,84
2026-02-16,76
2026-02-17,67
2026-02-18,71
2026-02-19,71
2026-02-20,70
2026-02-21,70
2026-02-22,72
2026-02-23,73
2026-02-24,76
2026-02-25,76
2026-02-26,76
2026-02-27,85
2026-02-28,83
2026-03-01,81
2026-03-02,84
2026-03-03,80
2026-03-04,78
2026-03-05,77
2026-03-06,83
2026-03-07,78
2026-03-08,77
2026-03-09,79
2026-03-10,82
2026-03-11,79
2026-03-12,73
2026-03-13,79
2026-03-14,81
2026-03-15,80
2026-03-16,76
2026-03-17,83
2026-03-18,88
2026-03-19,83
2026-03-20,86
2026-03-21,82
2026-03-22,87
2026-03-23,87
2026-03-24,95
2026-03-25,88
2026-03-26,79
2026-03-27,82
2026-03-28,86
2026-03-29,81
2026-03-30,82
2026-03-31,84
2026-04-01,100
2026-04-02,89
2026-04-03,87
2026-04-04,84
2026-04-05,81
2026-04-06,89
2026-04-07,85
2026-04-08,92
2026-04-09,89
2026-04-10,85
2026-04-11,86
2026-04-12,93
2026-04-13,83
2026-04-14,87
2026-04-15,86
2026-04-16,87
2026-04-17,84
2026-04-18,85
2026-04-19,85
2026-04-20,88
2026-04-21,87
2026-04-22,84
2026-04-23,83
2026-04-24,82
2026-04-25,82
2026-04-26,90
2026-04-27,84
2026-04-28,77
2026-04-29,87
2026-04-30,82
2026-05-01,76
2026-05-02,83
2026-05-03,89
2026-05-04,95
2026-05-05,84
2026-05-06,85
2026-05-07,84
2026-05-08,83
2026-05-09,84
2026-05-10,78
2026-05-11,80
2026-05-12,83
2026-05-13,90
2026-05-14,83
2026-05-15,87
2026-05-16,81
2026-05-17,82
2026-05-18,83
2026-05-19,78
2026-05-20,77
2026-05-21,78
2026-05-22,92
2026-05-23,79
2026-05-24,79
2026-05-25,86
2026-05-26,82
2026-05-27,80
2026-05-28,85
2026-05-29,82
2026-05-30,81
2026-05-31,86
