Time,calculator
2024-08-18,48
2024-08-19,71
2024-08-20,75
2024-08-21,76
2024-08-22,79
2024-08-23,77
2024-08-24,52
2024-08-25,53
2024-08-26,82
2024-08-27,84
2024-08-28,87
2024-08-29,88
2024-08-30,80
2024-08-31,48
2024-09-01,48
2024-09-02,55
2024-09-03,79
2024-09-04,90
2024-09-05,90
2024-09-06,85
2024-09-07,51
2024-09-08,49
2024-09-09,87
2024-09-10,94
2024-09-11,86
2024-09-12,91
2024-09-13,84
2024-09-14,51
2024-09-15,52
2024-09-16,89
2024-09-17,92
2024-09-18,100
2024-09-19,93
2024-09-20,89
2024-09-21,54
2024-09-22,51
2024-09-23,89
2024-09-24,93
2024-09-25,92
2024-09-26,91
2024-09-27,82
2024-09-28,50
2024-09-29,51
2024-09-30,86
2024-10-01,90
2024-10-02,92
2024-10-03,90
2024-10-04,83
2024-10-05,52
2024-10-06,48
2024-10-07,84
2024-10-08,84
2024-10-09,86
2024-10-10,84
2024-10-11,76
2024-10-12,49
2024-10-13,47
2024-10-14,74
2024-10-15,87
2024-10-16,86
2024-10-17,86
2024-10-18,81
2024-10-19,49
2024-10-20,47
2024-10-21,91
2024-10-22,95
2024-10-23,94
2024-10-24,86
2024-10-25,81
2024-10-26,49
2024-10-27,47
2024-10-28,87
2024-10-29,90
2024-10-30,93
2024-10-31,78
2024-11-01,82
2024-11-02,49
2024-11-03,49
2024-11-04,81
2024-11-05,72
2024-11-06,67
2024-11-07,88
2024-11-08,85
2024-11-09,50
2024-11-10,48
2024-11-11,74
2024-11-12,90
2024-11-13,91
2024-11-14,91
2024-11-15,87
2024-11-16,47
2024-11-17,49
2024-11-18,89
2024-11-19,91
2024-11-20,95
2024-11-21,87
2024-11-22,83
2024-11-23,48
2024-11-24,45
2024-11-25,70
2024-11-26,70
2024-11-27,56
2024-11-28,40
2024-11-29,42
2024-11-30,47
2024-12-01,46
2024-12-02,76
2024-12-03,89
2024-12-04,96
2024-12-05,92
2024-12-06,90
2024-12-07,53
2024-12-08,51
2024-12-09,91
2024-12-10,100
2024-12-11,95
2024-12-12,100
2024-12-13,90
2024-12-14,56
2024-12-15,51
2024-12-16,96
2024-12-17,96
2024-12-18,96
2024-12-19,94
2024-12-20,74
2024-12-21,45
2024-12-22,40
2024-12-23,49
2024-12-24,44
2024-12-25,34
2024-12-26,47
2024-12-27,52
2024-12-28,45
2024-12-29,43
2024-12-30,53
2024-12-31,53
2025-01-01,42
2025-01-02,60
2025-01-03,62
2025-01-04,51
2025-01-05,50
2025-01-06,66
2025-01-07,75
2025-01-08,81
2025-01-09,80
2025-01-10,75
2025-01-11,50
2025-01-12,51
2025-01-13,84
2025-01-14,89
2025-01-15,91
2025-01-16,96
2025-01-17,83
2025-01-18,51
2025-01-19,47
2025-01-20,56
2025-01-21,75
2025-01-22,82
2025-01-23,87
2025-01-24,83
2025-01-25,54
2025-01-26,49
2025-01-27,81
2025-01-28,89
2025-01-29,87
2025-01-30,89
2025-01-31,84
2025-02-01,53
2025-02-02,53
2025-02-03,84
2025-02-04,94
2025-02-05,93
2025-02-06,87
2025-02-07,81
2025-02-08,52
2025-02-09,47
2025-02-10,76
2025-02-11,89
2025-02-12,87
2025-02-13,84
2025-02-14,73
2025-02-15,49
2025-02-16,48
2025-02-17,63
2025-02-18,81
2025-02-19,82
2025-02-20,83
2025-02-21,81
2025-02-22,49
2025-02-23,49
2025-02-24,86
2025-02-25,88
2025-02-26,87
2025-02-27,93
2025-02-28,84
2025-03-01,52
2025-03-02,50
2025-03-03,84
2025-03-04,85
2025-03-05,84
2025-03-06,84
2025-03-07,77
2025-03-08,51
2025-03-09,50
2025-03-10,77
2025-03-11,79
2025-03-12,82
2025-03-13,83
2025-03-14,75
2025-03-15,49
2025-03-16,48
2025-03-17,74
2025-03-18,81
2025-03-19,82
2025-03-20,76
2025-03-21,70
2025-03-22,47
2025-03-23,48
2025-03-24,73
2025-03-25,83
2025-03-26,80
2025-03-27,77
2025-03-28,74
2025-03-29,48
2025-03-30,48
2025-03-31,73
2025-04-01,78
2025-04-02,80
2025-04-03,82
2025-04-04,73
2025-04-05,50
2025-04-06,48
2025-04-07,78
2025-04-08,78
2025-04-09,81
2025-04-10,80
2025-04-11,79
2025-04-12,48
2025-04-13,46
2025-04-14,78
2025-04-15,80
2025-04-16,79
2025-04-17,80
2025-04-18,61
2025-04-19,43
2025-04-20,43
2025-04-21,71
2025-04-22,78
2025-04-23,77
2025-04-24,74
2025-04-25,71
2025-04-26,45
2025-04-27,47
2025-04-28,84
2025-04-29,89
2025-04-30,83
2025-05-01,86
2025-05-02,78
2025-05-03,50
2025-05-04,51
2025-05-05,87
2025-05-06,87
2025-05-07,88
2025-05-08,90
2025-05-09,78
2025-05-10,47
2025-05-11,46
2025-05-12,86
2025-05-13,85
2025-05-14,87
