Time,yankees
2022-01-01,4
2022-01-02,4
2022-01-03,4
2022-01-04,4
2022-01-05,3
2022-01-06,3
2022-01-07,4
2022-01-08,4
2022-01-09,4
2022-01-10,4
2022-01-11,4
2022-01-12,4
2022-01-13,3
2022-01-14,3
2022-01-15,4
2022-01-16,3
2022-01-17,3
2022-01-18,3
2022-01-19,3
2022-01-20,3
2022-01-21,3
2022-01-22,4
2022-01-23,4
2022-01-24,4
2022-01-25,3
2022-01-26,3
2022-01-27,3
2022-01-28,3
2022-01-29,3
2022-01-30,3
2022-01-31,3
2022-02-01,3
2022-02-02,3
2022-02-03,3
2022-02-04,3
2022-02-05,4
2022-02-06,4
2022-02-07,3
2022-02-08,4
2022-02-09,4
2022-02-10,3
2022-02-11,3
2022-02-12,4
2022-02-13,3
2022-02-14,3
2022-02-15,3
2022-02-16,3
2022-02-17,3
2022-02-18,3
2022-02-19,3
2022-02-20,3
2022-02-21,3
2022-02-22,5
2022-02-23,4
2022-02-24,3
2022-02-25,3
2022-02-26,3
2022-02-27,3
2022-02-28,3
2022-03-01,3
2022-03-02,3
2022-03-03,3
2022-03-04,3
2022-03-05,3
2022-03-06,3
2022-03-07,3
2022-03-08,3
2022-03-09,3
2022-03-10,5
2022-03-11,10
2022-03-12,11
2022-03-13,12
2022-03-14,22
2022-03-15,13
2022-03-16,14
2022-03-17,12
2022-03-18,11
2022-03-19,12
2022-03-20,13
2022-03-21,11
2022-03-22,11
2022-03-23,9
2022-03-24,10
2022-03-25,8
2022-03-26,9
2022-03-27,9
2022-03-28,8
2022-03-29,8
2022-03-30,9
2022-03-31,9
2022-04-01,9
2022-04-02,10
2022-04-03,11
2022-04-04,10
2022-04-05,10
2022-04-06,11
2022-04-07,14
2022-04-08,53
2022-04-09,41
2022-04-10,33
2022-04-11,36
2022-04-12,24
2022-04-13,23
2022-04-14,27
2022-04-15,31
2022-04-16,35
2022-04-17,44
2022-04-18,13
2022-04-19,14
2022-04-20,24
2022-04-21,27
2022-04-22,19
2022-04-23,41
2022-04-24,33
2022-04-25,17
2022-04-26,15
2022-04-27,25
2022-04-28,29
2022-04-29,15
2022-04-30,40
2022-05-01,39
2022-05-02,18
2022-05-03,24
2022-05-04,26
2022-05-05,22
2022-05-06,18
2022-05-07,21
2022-05-08,49
2022-05-09,27
2022-05-10,17
2022-05-11,39
2022-05-12,19
2022-05-13,33
2022-05-14,45
2022-05-15,43
2022-05-16,19
2022-05-17,26
2022-05-18,28
2022-05-19,38
2022-05-20,21
2022-05-21,38
2022-05-22,52
2022-05-23,31
2022-05-24,27
2022-05-25,30
2022-05-26,29
2022-05-27,29
2022-05-28,44
2022-05-29,30
2022-05-30,19
2022-05-31,17
2022-06-01,29
2022-06-02,40
2022-06-03,37
2022-06-04,54
2022-06-05,50
2022-06-06,18
2022-06-07,20
2022-06-08,32
2022-06-09,28
2022-06-10,40
2022-06-11,51
2022-06-12,58
2022-06-13,20
2022-06-14,20
2022-06-15,33
2022-06-16,35
2022-06-17,34
2022-06-18,52
2022-06-19,47
2022-06-20,22
2022-06-21,36
2022-06-22,28
2022-06-23,40
2022-06-24,51
2022-06-25,65
2022-06-26,55
2022-06-27,26
2022-06-28,38
2022-06-29,46
2022-06-30,27
2022-07-01,34
2022-07-02,57
2022-07-03,48
2022-07-04,22
2022-07-05,21
2022-07-06,30
2022-07-07,41
2022-07-08,43
2022-07-09,60
2022-07-10,61
2022-07-11,46
2022-07-12,24
2022-07-13,39
2022-07-14,43
2022-07-15,43
2022-07-16,63
2022-07-17,73
2022-07-18,23
2022-07-19,16
2022-07-20,18
2022-07-21,37
2022-07-22,39
2022-07-23,52
2022-07-24,56
2022-07-25,24
2022-07-26,29
2022-07-27,47
2022-07-28,59
2022-07-29,48
2022-07-30,77
2022-07-31,54
2022-08-01,35
2022-08-02,53
2022-08-03,54
2022-08-04,22
2022-08-05,25
2022-08-06,54
2022-08-07,72
2022-08-08,23
2022-08-09,38
2022-08-10,53
2022-08-11,24
2022-08-12,21
2022-08-13,43
2022-08-14,51
2022-08-15,34
2022-08-16,38
2022-08-17,42
2022-08-18,51
2022-08-19,35
2022-08-20,57
2022-08-21,46
2022-08-22,27
2022-08-23,42
2022-08-24,45
2022-08-25,21
2022-08-26,36
2022-08-27,47
2022-08-28,54
2022-08-29,19
2022-08-30,32
2022-08-31,36
2022-09-01,33
2022-09-02,22
2022-09-03,41
2022-09-04,52
2022-09-05,39
2022-09-06,22
2022-09-07,48
2022-09-08,41
2022-09-09,34
2022-09-10,54
2022-09-11,45
2022-09-12,18
2022-09-13,19
2022-09-14,41
2022-09-15,35
2022-09-16,20
2022-09-17,48
2022-09-18,52
2022-09-19,21
2022-09-20,24
2022-09-21,57
2022-09-22,54
2022-09-23,70
2022-09-24,100
2022-09-25,42
2022-09-26,60
2022-09-27,45
