Time,pollution
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,53.05769230769231
2022-05-02,100.0
2022-05-03,100.0
2022-05-04,100.0
2022-05-05,100.0
2022-05-06,100.0
2022-05-07,43.13609547252445
2022-05-08,39.96851519327404
2022-05-09,100.0
2022-05-10,100.0
2022-05-11,100.0
2022-05-12,100.0
2022-05-13,100.0
2022-05-14,36.41532145608451
2022-05-15,36.33553936133849
2022-05-16,100.0
2022-05-17,100.0
2022-05-18,100.0
2022-05-19,100.0
2022-05-20,92.83629129298832
2022-05-21,32.868776226790494
2022-05-22,35.777064698116334
2022-05-23,98.16752715926836
2022-05-24,86.07562622917537
2022-05-25,79.9598664312261
2022-05-26,81.25777073134473
2022-05-27,58.96359037397704
2022-05-28,22.061482581025125
2022-05-29,24.94650127471671
2022-05-30,30.746456947629635
2022-05-31,65.73567346012901
2022-06-01,65.5860820324802
2022-06-02,68.34477907615725
2022-06-03,55.13115930517644
2022-06-04,21.71243591651128
2022-06-05,25.995086528754015
2022-06-06,56.19304157500475
2022-06-07,51.750826773269964
2022-06-08,51.63115363115093
2022-06-09,48.649731572974574
2022-06-10,38.54385551018464
2022-06-11,22.78761520213059
2022-06-12,24.155328835151984
2022-06-13,39.69216838265448
2022-06-14,36.770582895537636
2022-06-15,35.27322335855395
2022-06-16,32.37490764907136
2022-06-17,29.48988895537978
2022-06-18,22.415298759982484
2022-06-19,22.36211069681847
2022-06-20,27.886153292068066
2022-06-21,26.428684802457397
2022-06-22,27.75318313415803
2022-06-23,27.68669805520301
2022-06-24,26.239202327435592
2022-06-25,22.04298231783438
2022-06-26,20.615432113753467
2022-06-27,24.678681965444643
2022-06-28,24.618845394385126
2022-06-29,25.923398202399255
2022-06-30,31.304497877895564
2022-07-01,29.87029916591915
2022-07-02,21.670665875686275
2022-07-03,17.564200722674336
2022-07-04,21.564289749358245
2022-07-05,29.577764818517068
2022-07-06,24.14015282590899
2022-07-07,22.74252090735784
2022-07-08,21.351537496702186
