Time,french open
2022-08-29,13
2022-08-30,15
2022-08-31,19
2022-09-01,16
2022-09-02,20
2022-09-03,26
2022-09-04,27
2022-09-05,30
2022-09-06,22
2022-09-07,19
2022-09-08,16
2022-09-09,21
2022-09-10,32
2022-09-11,32
2022-09-12,21
2022-09-13,9
2022-09-14,7
2022-09-15,10
2022-09-16,8
2022-09-17,8
2022-09-18,6
2022-09-19,7
2022-09-20,6
2022-09-21,7
2022-09-22,7
2022-09-23,11
2022-09-24,8
2022-09-25,9
2022-09-26,5
2022-09-27,8
2022-09-28,7
2022-09-29,7
2022-09-30,7
2022-10-01,6
2022-10-02,9
2022-10-03,7
2022-10-04,7
2022-10-05,7
2022-10-06,7
2022-10-07,8
2022-10-08,6
2022-10-09,8
2022-10-10,7
2022-10-11,5
2022-10-12,6
2022-10-13,5
2022-10-14,7
2022-10-15,6
2022-10-16,8
2022-10-17,6
2022-10-18,6
2022-10-19,7
2022-10-20,6
2022-10-21,7
2022-10-22,8
2022-10-23,7
2022-10-24,8
2022-10-25,6
2022-10-26,9
2022-10-27,9
2022-10-28,10
2022-10-29,9
2022-10-30,12
2022-10-31,7
2022-11-01,8
2022-11-02,8
2022-11-03,7
2022-11-04,6
2022-11-05,6
2022-11-06,9
2022-11-07,8
2022-11-08,8
2022-11-09,5
2022-11-10,6
2022-11-11,7
2022-11-12,8
2022-11-13,6
2022-11-14,6
2022-11-15,6
2022-11-16,6
2022-11-17,6
2022-11-18,7
2022-11-19,12
2022-11-20,8
2022-11-21,9
2022-11-22,7
2022-11-23,7
2022-11-24,14
2022-11-25,10
2022-11-26,6
2022-11-27,6
2022-11-28,6
2022-11-29,5
2022-11-30,9
2022-12-01,8
2022-12-02,7
2022-12-03,5
2022-12-04,6
2022-12-05,6
2022-12-06,7
2022-12-07,6
2022-12-08,8
2022-12-09,6
2022-12-10,9
2022-12-11,5
2022-12-12,6
2022-12-13,7
2022-12-14,9
2022-12-15,8
2022-12-16,7
2022-12-17,5
2022-12-18,8
2022-12-19,8
2022-12-20,6
2022-12-21,7
2022-12-22,6
2022-12-23,7
2022-12-24,10
2022-12-25,34
2022-12-26,15
2022-12-27,8
2022-12-28,9
2022-12-29,8
2022-12-30,13
2022-12-31,11
2023-01-01,12
2023-01-02,9
2023-01-03,7
2023-01-04,8
2023-01-05,6
2023-01-06,7
2023-01-07,8
2023-01-08,8
2023-01-09,8
2023-01-10,8
2023-01-11,6
2023-01-12,8
2023-01-13,6
2023-01-14,11
2023-01-15,12
2023-01-16,18
2023-01-17,13
2023-01-18,14
2023-01-19,16
2023-01-20,18
2023-01-21,16
2023-01-22,17
2023-01-23,12
2023-01-24,15
2023-01-25,11
2023-01-26,12
2023-01-27,13
2023-01-28,14
2023-01-29,23
2023-01-30,17
2023-01-31,13
2023-02-01,12
2023-02-02,11
2023-02-03,10
2023-02-04,12
2023-02-05,12
2023-02-06,9
2023-02-07,8
2023-02-08,11
2023-02-09,8
2023-02-10,10
2023-02-11,8
2023-02-12,9
2023-02-13,7
2023-02-14,9
2023-02-15,8
2023-02-16,8
2023-02-17,10
2023-02-18,8
2023-02-19,11
2023-02-20,11
2023-02-21,8
2023-02-22,9
2023-02-23,9
2023-02-24,10
2023-02-25,10
2023-02-26,10
2023-02-27,8
2023-02-28,10
2023-03-01,8
2023-03-02,9
2023-03-03,9
2023-03-04,34
2023-03-05,16
2023-03-06,12
2023-03-07,8
2023-03-08,9
2023-03-09,8
2023-03-10,8
2023-03-11,8
2023-03-12,11
2023-03-13,10
2023-03-14,13
2023-03-15,20
2023-03-16,12
2023-03-17,11
2023-03-18,10
2023-03-19,13
2023-03-20,13
2023-03-21,9
2023-03-22,8
2023-03-23,9
2023-03-24,9
2023-03-25,8
2023-03-26,13
2023-03-27,11
2023-03-28,10
2023-03-29,11
2023-03-30,9
2023-03-31,9
2023-04-01,10
2023-04-02,12
2023-04-03,11
2023-04-04,10
2023-04-05,9
2023-04-06,11
2023-04-07,11
2023-04-08,15
2023-04-09,18
2023-04-10,15
2023-04-11,12
2023-04-12,12
2023-04-13,13
2023-04-14,12
2023-04-15,13
2023-04-16,16
2023-04-17,11
2023-04-18,12
2023-04-19,11
2023-04-20,9
2023-04-21,12
2023-04-22,16
2023-04-23,16
2023-04-24,13
2023-04-25,13
2023-04-26,13
2023-04-27,12
2023-04-28,12
2023-04-29,13
2023-04-30,16
2023-05-01,17
2023-05-02,17
2023-05-03,13
2023-05-04,13
2023-05-05,17
2023-05-06,18
2023-05-07,20
2023-05-08,18
2023-05-09,15
2023-05-10,18
2023-05-11,17
2023-05-12,16
2023-05-13,24
2023-05-14,35
2023-05-15,24
2023-05-16,23
2023-05-17,26
2023-05-18,44
2023-05-19,32
2023-05-20,40
2023-05-21,60
2023-05-22,87
2023-05-23,82
2023-05-24,84
2023-05-25,100
