Time,trump
2022-01-01,10
2022-01-02,10
2022-01-03,11
2022-01-04,13
2022-01-05,13
2022-01-06,14
2022-01-07,15
2022-01-08,12
2022-01-09,10
2022-01-10,10
2022-01-11,10
2022-01-12,13
2022-01-13,15
2022-01-14,10
2022-01-15,14
2022-01-16,19
2022-01-17,12
2022-01-18,11
2022-01-19,13
2022-01-20,14
2022-01-21,13
2022-01-22,12
2022-01-23,11
2022-01-24,13
2022-01-25,10
2022-01-26,10
2022-01-27,10
2022-01-28,11
2022-01-29,13
2022-01-30,17
2022-01-31,12
2022-02-01,12
2022-02-02,12
2022-02-03,11
2022-02-04,11
2022-02-05,12
2022-02-06,11
2022-02-07,10
2022-02-08,11
2022-02-09,10
2022-02-10,10
2022-02-11,12
2022-02-12,11
2022-02-13,11
2022-02-14,12
2022-02-15,15
2022-02-16,12
2022-02-17,13
2022-02-18,14
2022-02-19,12
2022-02-20,12
2022-02-21,14
2022-02-22,15
2022-02-23,19
2022-02-24,38
2022-02-25,32
2022-02-26,28
2022-02-27,30
2022-02-28,21
2022-03-01,18
2022-03-02,18
2022-03-03,17
2022-03-04,15
2022-03-05,16
2022-03-06,16
2022-03-07,14
2022-03-08,15
2022-03-09,15
2022-03-10,18
2022-03-11,17
2022-03-12,17
2022-03-13,16
2022-03-14,12
2022-03-15,12
2022-03-16,12
2022-03-17,12
2022-03-18,11
2022-03-19,11
2022-03-20,11
2022-03-21,10
2022-03-22,10
2022-03-23,10
2022-03-24,12
2022-03-25,12
2022-03-26,13
2022-03-27,14
2022-03-28,11
2022-03-29,13
2022-03-30,13
2022-03-31,11
2022-04-01,11
2022-04-02,13
2022-04-03,13
2022-04-04,10
2022-04-05,12
2022-04-06,11
2022-04-07,10
2022-04-08,10
2022-04-09,12
2022-04-10,13
2022-04-11,10
2022-04-12,10
2022-04-13,9
2022-04-14,11
2022-04-15,10
2022-04-16,10
2022-04-17,10
2022-04-18,10
2022-04-19,9
2022-04-20,9
2022-04-21,11
2022-04-22,10
2022-04-23,11
2022-04-24,13
2022-04-25,16
2022-04-26,16
2022-04-27,12
2022-04-28,11
2022-04-29,11
2022-04-30,10
2022-05-01,11
2022-05-02,10
2022-05-03,11
2022-05-04,10
2022-05-05,9
2022-05-06,10
2022-05-07,13
2022-05-08,11
2022-05-09,9
2022-05-10,10
2022-05-11,11
2022-05-12,10
2022-05-13,9
2022-05-14,11
2022-05-15,11
2022-05-16,9
2022-05-17,10
2022-05-18,11
2022-05-19,10
2022-05-20,9
2022-05-21,9
2022-05-22,9
2022-05-23,10
2022-05-24,10
2022-05-25,11
2022-05-26,9
2022-05-27,10
2022-05-28,12
2022-05-29,11
2022-05-30,9
2022-05-31,8
2022-06-01,9
2022-06-02,9
2022-06-03,9
2022-06-04,9
2022-06-05,8
2022-06-06,8
2022-06-07,9
2022-06-08,9
2022-06-09,10
2022-06-10,22
2022-06-11,15
2022-06-12,13
2022-06-13,15
2022-06-14,18
2022-06-15,14
2022-06-16,14
2022-06-17,15
2022-06-18,14
2022-06-19,13
2022-06-20,14
2022-06-21,16
2022-06-22,15
2022-06-23,14
2022-06-24,18
2022-06-25,17
2022-06-26,18
2022-06-27,12
2022-06-28,23
2022-06-29,28
2022-06-30,17
2022-07-01,14
2022-07-02,13
2022-07-03,12
2022-07-04,14
2022-07-05,14
2022-07-06,12
2022-07-07,12
2022-07-08,13
2022-07-09,13
2022-07-10,16
2022-07-11,13
2022-07-12,17
2022-07-13,18
2022-07-14,100
2022-07-15,98
2022-07-16,56
2022-07-17,31
2022-07-18,22
2022-07-19,20
2022-07-20,30
2022-07-21,42
2022-07-22,34
2022-07-23,26
2022-07-24,22
2022-07-25,16
2022-07-26,16
2022-07-27,17
2022-07-28,15
2022-07-29,15
2022-07-30,17
2022-07-31,19
2022-08-01,18
2022-08-02,18
2022-08-03,15
2022-08-04,12
2022-08-05,13
2022-08-06,13
2022-08-07,12
2022-08-08,20
2022-08-09,75
2022-08-10,43
2022-08-11,34
2022-08-12,52
2022-08-13,39
2022-08-14,29
2022-08-15,27
2022-08-16,26
2022-08-17,23
2022-08-18,21
2022-08-19,19
2022-08-20,18
2022-08-21,15
2022-08-22,14
2022-08-23,18
2022-08-24,16
2022-08-25,15
2022-08-26,22
2022-08-27,22
2022-08-28,17
2022-08-29,16
2022-08-30,17
2022-08-31,21
2022-09-01,19
2022-09-02,20
2022-09-03,20
2022-09-04,22
2022-09-05,18
2022-09-06,15
2022-09-07,17
2022-09-08,16
2022-09-09,16
2022-09-10,15
2022-09-11,15
2022-09-12,24
2022-09-13,16
2022-09-14,14
2022-09-15,13
2022-09-16,13
2022-09-17,13
2022-09-18,15
2022-09-19,16
2022-09-20,16
2022-09-21,23
2022-09-22,24
2022-09-23,20
2022-09-24,16
2022-09-25,14
2022-09-26,13
2022-09-27,11
