Time,sports
2022-01-01,55.0
2022-01-02,65.0
2022-01-03,50.0
2022-01-04,53.0
2022-01-05,47.0
2022-01-06,38.0
2022-01-07,48.0
2022-01-08,62.0
2022-01-09,64.0
2022-01-10,55.0
2022-01-11,53.0
2022-01-12,48.0
2022-01-13,46.0
2022-01-14,39.0
2022-01-15,64.0
2022-01-16,61.0
2022-01-17,50.0
2022-01-18,41.0
2022-01-19,40.0
2022-01-20,42.0
2022-01-21,45.0
2022-01-22,63.0
2022-01-23,76.0
2022-01-24,64.0
2022-01-25,40.0
2022-01-26,41.0
2022-01-27,42.0
2022-01-28,47.0
2022-01-29,60.0
2022-01-30,74.0
2022-01-31,56.0
2022-02-01,45.0
2022-02-02,50.0
2022-02-03,47.0
2022-02-04,48.0
2022-02-05,59.0
2022-02-06,59.0
2022-02-07,48.0
2022-02-08,50.0
2022-02-09,51.0
2022-02-10,49.0
2022-02-11,59.0
2022-02-12,65.0
2022-02-13,80.0
2022-02-14,65.0
2022-02-15,47.0
2022-02-16,48.0
2022-02-17,49.0
2022-02-18,49.0
2022-02-19,61.0
2022-02-20,56.0
2022-02-21,47.0
2022-02-22,44.0
2022-02-23,47.0
2022-02-24,45.0
2022-02-25,43.0
2022-02-26,57.0
2022-02-27,52.0
2022-02-28,45.0
2022-03-01,45.0
2022-03-02,47.0
2022-03-03,46.0
2022-03-04,48.0
2022-03-05,62.0
2022-03-06,58.0
2022-03-07,48.0
2022-03-08,46.0
2022-03-09,48.0
2022-03-10,52.0
2022-03-11,50.0
2022-03-12,62.0
2022-03-13,58.0
2022-03-14,53.0
2022-03-15,51.0
2022-03-16,53.0
2022-03-17,64.0
2022-03-18,64.0
2022-03-19,71.0
2022-03-20,68.0
2022-03-21,54.0
2022-03-22,49.0
2022-03-23,46.0
2022-03-24,51.0
2022-03-25,58.0
2022-03-26,70.0
2022-03-27,69.0
2022-03-28,46.0
2022-03-29,46.0
2022-03-30,50.0
2022-03-31,48.0
2022-04-01,49.0
2022-04-02,63.0
2022-04-03,62.0
2022-04-04,49.0
2022-04-05,49.0
2022-04-06,47.0
2022-04-07,50.0
2022-04-08,53.0
2022-04-09,61.0
2022-04-10,56.0
2022-04-11,45.0
2022-04-12,45.0
2022-04-13,45.0
2022-04-14,46.0
2022-04-15,48.0
2022-04-16,57.0
2022-04-17,54.0
2022-04-18,45.0
2022-04-19,48.0
2022-04-20,49.0
2022-04-21,50.0
2022-04-22,45.0
2022-04-23,58.0
2022-04-24,58.0
2022-04-25,45.0
2022-04-26,49.0
2022-04-27,52.0
2022-04-28,51.0
2022-04-29,54.0
2022-04-30,63.0
2022-05-01,56.0
2022-05-02,47.0
2022-05-03,46.0
2022-05-04,51.0
2022-05-05,45.0
2022-05-06,44.0
2022-05-07,58.0
2022-05-08,56.0
2022-05-09,45.0
2022-05-10,47.0
2022-05-11,49.0
2022-05-12,49.0
2022-05-13,49.0
2022-05-14,60.0
2022-05-15,55.0
2022-05-16,49.0
2022-05-17,51.0
2022-05-18,50.0
2022-05-19,50.0
2022-05-20,48.0
2022-05-21,58.0
2022-05-22,57.0
2022-05-23,46.0
2022-05-24,44.0
2022-05-25,46.0
2022-05-26,46.0
2022-05-27,47.0
2022-05-28,59.0
2022-05-29,54.0
2022-05-30,49.0
2022-05-31,46.0
2022-06-01,45.0
2022-06-02,45.0
2022-06-03,49.0
2022-06-04,51.0
2022-06-05,52.0
2022-06-06,47.0
2022-06-07,44.0
2022-06-08,45.0
2022-06-09,50.0
2022-06-10,45.0
2022-06-11,54.0
2022-06-12,51.0
2022-06-13,44.0
2022-06-14,46.0
2022-06-15,45.0
2022-06-16,45.0
2022-06-17,50.0
2022-06-18,50.0
2022-06-19,51.0
2022-06-20,43.0
2022-06-21,41.0
2022-06-22,43.0
2022-06-23,44.0
2022-06-24,43.0
2022-06-25,49.0
2022-06-26,46.0
2022-06-27,44.0
2022-06-28,41.0
2022-06-29,40.0
2022-06-30,42.0
2022-07-01,43.0
2022-07-02,44.0
2022-07-03,46.0
2022-07-04,42.0
2022-07-05,40.0
2022-07-06,40.0
2022-07-07,40.0
2022-07-08,43.0
2022-07-09,46.0
2022-07-10,46.0
2022-07-11,41.0
2022-07-12,38.0
2022-07-13,43.0
2022-07-14,43.0
2022-07-15,43.0
2022-07-16,48.0
2022-07-17,47.0
2022-07-18,43.0
2022-07-19,41.0
2022-07-20,42.0
2022-07-21,41.0
2022-07-22,42.0
2022-07-23,49.0
2022-07-24,47.0
2022-07-25,43.0
2022-07-26,43.0
2022-07-27,43.0
2022-07-28,42.0
2022-07-29,45.0
2022-07-30,50.0
2022-07-31,53.0
2022-08-01,45.0
2022-08-02,47.0
2022-08-03,46.0
2022-08-04,45.0
2022-08-05,48.0
2022-08-06,53.0
2022-08-07,50.0
2022-08-08,43.0
2022-08-09,45.0
2022-08-10,48.0
2022-08-11,47.0
2022-08-12,48.0
2022-08-13,55.0
2022-08-14,55.0
2022-08-15,48.0
2022-08-16,48.0
2022-08-17,46.0
2022-08-18,46.0
2022-08-19,51.0
2022-08-20,59.0
2022-08-21,56.0
2022-08-22,47.0
2022-08-23,47.0
2022-08-24,47.0
2022-08-25,47.0
2022-08-26,49.0
2022-08-27,70.0
2022-08-28,61.0
2022-08-29,47.0
2022-08-30,45.0
2022-08-31,49.0
2022-09-01,51.5
2022-09-02,53.0
2022-09-03,77.5
2022-09-04,65.0
2022-09-05,55.5
2022-09-06,47.5
2022-09-07,51.0
2022-09-08,53.0
2022-09-09,57.0
2022-09-10,84.5
2022-09-11,99.5
2022-09-12,59.0
2022-09-13,49.0
2022-09-14,47.5
2022-09-15,49.0
2022-09-16,51.5
2022-09-17,79.0
2022-09-18,80.5
2022-09-19,52.5
2022-09-20,46.5
2022-09-21,46.0
2022-09-22,48.0
2022-09-23,50.0
2022-09-24,76.0
2022-09-25,81.0
2022-09-26,48.0
2022-09-27,48.0
2022-09-28,43.0
2022-09-29,44.0
2022-09-30,49.0
2022-10-01,72.0
2022-10-02,78.0
2022-10-03,50.0
2022-10-04,45.0
2022-10-05,47.0
2022-10-06,47.0
2022-10-07,53.0
2022-10-08,73.0
2022-10-09,74.0
2022-10-10,51.0
2022-10-11,51.0
2022-10-12,50.0
2022-10-13,49.0
2022-10-14,52.0
2022-10-15,78.0
2022-10-16,81.0
2022-10-17,53.0
2022-10-18,50.0
2022-10-19,53.0
2022-10-20,49.0
2022-10-21,52.0
2022-10-22,73.0
2022-10-23,79.0
2022-10-24,53.0
2022-10-25,50.0
2022-10-26,49.0
2022-10-27,48.0
