Time,btc
2022-01-01,20
2022-01-02,20
2022-01-03,22
2022-01-04,26
2022-01-05,29
2022-01-06,36
2022-01-07,42
2022-01-08,32
2022-01-09,28
2022-01-10,35
2022-01-11,30
2022-01-12,27
2022-01-13,24
2022-01-14,18
2022-01-15,19
2022-01-16,16
2022-01-17,19
2022-01-18,23
2022-01-19,21
2022-01-20,21
2022-01-21,51
2022-01-22,61
2022-01-23,50
2022-01-24,76
2022-01-25,40
2022-01-26,36
2022-01-27,33
2022-01-28,31
2022-01-29,24
2022-01-30,23
2022-01-31,27
2022-02-01,26
2022-02-02,26
2022-02-03,25
2022-02-04,29
2022-02-05,27
2022-02-06,21
2022-02-07,33
2022-02-08,30
2022-02-09,26
2022-02-10,23
2022-02-11,23
2022-02-12,19
2022-02-13,19
2022-02-14,24
2022-02-15,25
2022-02-16,23
2022-02-17,23
2022-02-18,24
2022-02-19,19
2022-02-20,20
2022-02-21,26
2022-02-22,31
2022-02-23,24
2022-02-24,44
2022-02-25,29
2022-02-26,21
2022-02-27,23
2022-02-28,32
2022-03-01,33
2022-03-02,28
2022-03-03,24
2022-03-04,23
2022-03-05,20
2022-03-06,18
2022-03-07,26
2022-03-08,24
2022-03-09,30
2022-03-10,25
2022-03-11,21
2022-03-12,17
2022-03-13,17
2022-03-14,22
2022-03-15,20
2022-03-16,24
2022-03-17,20
2022-03-18,18
2022-03-19,16
2022-03-20,15
2022-03-21,18
2022-03-22,21
2022-03-23,17
2022-03-24,22
2022-03-25,21
2022-03-26,17
2022-03-27,20
2022-03-28,30
2022-03-29,24
2022-03-30,21
2022-03-31,20
2022-04-01,20
2022-04-02,16
2022-04-03,17
2022-04-04,19
2022-04-05,17
2022-04-06,20
2022-04-07,19
2022-04-08,17
2022-04-09,16
2022-04-10,16
2022-04-11,22
2022-04-12,22
2022-04-13,18
2022-04-14,18
2022-04-15,17
2022-04-16,15
2022-04-17,14
2022-04-18,19
2022-04-19,16
2022-04-20,17
2022-04-21,16
2022-04-22,16
2022-04-23,15
2022-04-24,15
2022-04-25,19
2022-04-26,20
2022-04-27,18
2022-04-28,17
2022-04-29,17
2022-04-30,16
2022-05-01,19
2022-05-02,18
2022-05-03,16
2022-05-04,18
2022-05-05,24
2022-05-06,24
2022-05-07,20
2022-05-08,26
2022-05-09,48
2022-05-10,46
2022-05-11,61
2022-05-12,82
2022-05-13,52
2022-05-14,36
2022-05-15,33
2022-05-16,34
2022-05-17,31
2022-05-18,33
2022-05-19,34
2022-05-20,28
2022-05-21,22
2022-05-22,21
2022-05-23,26
2022-05-24,27
2022-05-25,22
2022-05-26,24
2022-05-27,24
2022-05-28,19
2022-05-29,18
2022-05-30,22
2022-05-31,27
2022-06-01,21
2022-06-02,21
2022-06-03,20
2022-06-04,15
2022-06-05,15
2022-06-06,22
2022-06-07,24
2022-06-08,19
2022-06-09,17
2022-06-10,20
2022-06-11,19
2022-06-12,30
2022-06-13,100
2022-06-14,85
2022-06-15,77
2022-06-16,56
2022-06-17,50
2022-06-18,88
2022-06-19,90
2022-06-20,64
2022-06-21,47
2022-06-22,39
2022-06-23,35
2022-06-24,32
2022-06-25,25
2022-06-26,25
2022-06-27,33
2022-06-28,29
2022-06-29,31
2022-06-30,40
2022-07-01,35
2022-07-02,29
2022-07-03,26
2022-07-04,28
2022-07-05,33
2022-07-06,28
2022-07-07,27
2022-07-08,27
2022-07-09,20
2022-07-10,21
2022-07-11,25
2022-07-12,26
2022-07-13,27
2022-07-14,27
2022-07-15,23
2022-07-16,19
2022-07-17,20
2022-07-18,25
2022-07-19,28
2022-07-20,31
2022-07-21,28
2022-07-22,22
2022-07-23,17
2022-07-24,16
2022-07-25,24
2022-07-26,23
2022-07-27,22
2022-07-28,24
2022-07-29,21
2022-07-30,18
2022-07-31,17
2022-08-01,21
2022-08-02,20
2022-08-03,19
2022-08-04,20
2022-08-05,18
2022-08-06,14
2022-08-07,14
2022-08-08,19
2022-08-09,19
2022-08-10,19
2022-08-11,20
2022-08-12,18
2022-08-13,15
2022-08-14,16
2022-08-15,17
2022-08-16,16
2022-08-17,17
2022-08-18,15
2022-08-19,22
2022-08-20,17
2022-08-21,16
2022-08-22,18
2022-08-23,16
2022-08-24,15
2022-08-25,14
2022-08-26,18
2022-08-27,18
2022-08-28,18
2022-08-29,21
2022-08-30,18
2022-08-31,17
2022-09-01,17
2022-09-02,15
2022-09-03,13
2022-09-04,14
2022-09-05,15
2022-09-06,22
2022-09-07,22
2022-09-08,16
2022-09-09,19
2022-09-10,14
2022-09-11,13
2022-09-12,18
2022-09-13,22
2022-09-14,19
2022-09-15,19
2022-09-16,17
2022-09-17,14
2022-09-18,14
2022-09-19,25
2022-09-20,19
2022-09-21,20
2022-09-22,20
2022-09-23,19
2022-09-24,15
2022-09-25,14
2022-09-26,18
2022-09-27,19
