Time,gold price
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,6.930629744356828
2022-05-02,8.576784183435123
2022-05-03,8.066433763450663
2022-05-04,7.808708010095232
2022-05-05,8.809906467061847
2022-05-06,9.055061093156729
2022-05-07,7.952988126694755
2022-05-08,6.8862597561668215
2022-05-09,9.286385377952909
2022-05-10,9.279654377061545
2022-05-11,8.771686196183
2022-05-12,10.768825247697068
2022-05-13,9.259473561727097
2022-05-14,7.901931169728385
2022-05-15,6.8420304977102715
2022-05-16,8.240466592007284
2022-05-17,7.7354167999265755
2022-05-18,9.225879493968476
2022-05-19,9.219166774086572
2022-05-20,9.461441385034101
2022-05-21,7.32763415367545
2022-05-22,6.53648266248767
2022-05-23,7.9501286112792995
2022-05-24,7.944331799373971
2022-05-25,7.194298924433319
2022-05-26,7.189048747723841
2022-05-27,7.183800163054225
2022-05-28,5.980233371171862
2022-05-29,5.455149137305707
2022-05-30,5.9321908645113535
2022-05-31,7.40981559804247
2022-06-01,7.404394262383537
2022-06-02,7.398974573662392
2022-06-03,6.900652763087101
2022-06-04,6.4581121513328
2022-06-05,6.452102981482076
2022-06-06,7.131401878550517
2022-06-07,7.126170806319391
2022-06-08,7.12094132612813
2022-06-09,7.361082866872479
2022-06-10,8.826811624384376
2022-06-11,7.186038670047733
2022-06-12,6.92292540588089
2022-06-13,11.743146712998223
2022-06-14,10.756631262895784
2022-06-15,10.748713787718618
2022-06-16,10.74079872805021
2022-06-17,9.025381479635245
2022-06-18,7.904051494882469
2022-06-19,7.132456316923933
2022-06-20,7.5450918631452
2022-06-21,7.782734299883298
2022-06-22,8.263050210331928
2022-06-23,8.014095708462424
2022-06-24,7.522830033626471
2022-06-25,6.332499514687881
2022-06-26,7.085734138402288
2022-06-27,8.716821132498314
2022-06-28,8.952323581894516
2022-06-29,7.495041038031658
2022-06-30,7.731084742626934
2022-07-01,8.44960668846874
2022-07-02,6.794171211501766
2022-07-03,5.782170030160675
2022-07-04,6.744653176555888
