Time,qqq
2025-12-11,69
2025-12-12,71
2025-12-13,29
2025-12-14,21
2025-12-15,64
2025-12-16,65
2025-12-17,75
2025-12-18,73
2025-12-19,65
2025-12-20,26
2025-12-21,21
2025-12-22,66
2025-12-23,60
2025-12-24,49
2025-12-25,20
2025-12-26,53
2025-12-27,26
2025-12-28,23
2025-12-29,57
2025-12-30,57
2025-12-31,54
2026-01-01,26
2026-01-02,65
2026-01-03,29
2026-01-04,25
2026-01-05,63
2026-01-06,65
2026-01-07,67
2026-01-08,54
2026-01-09,59
2026-01-10,24
2026-01-11,21
2026-01-12,64
2026-01-13,58
2026-01-14,64
2026-01-15,62
2026-01-16,54
2026-01-17,23
2026-01-18,22
2026-01-19,30
2026-01-20,75
2026-01-21,72
2026-01-22,60
2026-01-23,57
2026-01-24,23
2026-01-25,20
2026-01-26,56
2026-01-27,60
2026-01-28,70
2026-01-29,75
2026-01-30,67
2026-01-31,26
2026-02-01,27
2026-02-02,66
2026-02-03,75
2026-02-04,86
2026-02-05,100
2026-02-06,93
2026-02-07,30
2026-02-08,23
2026-02-09,61
2026-02-10,60
2026-02-11,61
2026-02-12,72
2026-02-13,69
2026-02-14,22
2026-02-15,20
2026-02-16,30
2026-02-17,65
2026-02-18,58
2026-02-19,59
2026-02-20,62
2026-02-21,28
2026-02-22,19
2026-02-23,64
2026-02-24,61
2026-02-25,69
2026-02-26,65
2026-02-27,64
2026-02-28,25
2026-03-01,24
2026-03-02,80
2026-03-03,86
2026-03-04,69
2026-03-05,70
2026-03-06,73
2026-03-07,26
2026-03-08,24
2026-03-09,86
2026-03-10,77
2026-03-11,64
2026-03-12,73
2026-03-13,72
2026-03-14,28
2026-03-15,24
2026-03-16,65
2026-03-17,64
2026-03-18,71
2026-03-19,69
2026-03-20,83
2026-03-21,32
2026-03-22,27
2026-03-23,81
2026-03-24,71
2026-03-25,66
2026-03-26,81
2026-03-27,99
2026-03-28,33
2026-03-29,29
2026-03-30,88
2026-03-31,91
2026-04-01,83
2026-04-02,79
2026-04-03,37
2026-04-04,22
2026-04-05,20
2026-04-06,69
2026-04-07,75
2026-04-08,97
2026-04-09,71
2026-04-10,64
2026-04-11,23
2026-04-12,25
2026-04-13,74
2026-04-14,74
2026-04-15,79
2026-04-16,82
2026-04-17,96
2026-04-18,32
2026-04-19,24
2026-04-20,72
2026-04-21,76
2026-04-22,72
2026-04-23,75
2026-04-24,69
2026-04-25,29
2026-04-26,27
2026-04-27,67
2026-04-28,66
2026-04-29,69
2026-04-30,69
2026-05-01,69
2026-05-02,26
2026-05-03,24
2026-05-04,60
2026-05-05,70
2026-05-06,81
2026-05-07,80
2026-05-08,87
2026-05-09,38
2026-05-10,28
2026-05-11,81
2026-05-12,83
2026-05-13,81
2026-05-14,83
2026-05-15,76
2026-05-16,30
2026-05-17,28
2026-05-18,69
2026-05-19,73
2026-05-20,70
2026-05-21,74
2026-05-22,77
2026-05-23,37
2026-05-24,28
2026-05-25,29
2026-05-26,81
2026-05-27,83
2026-05-28,84
2026-05-29,82
2026-05-30,36
2026-05-31,36
