Time,you_tube
2022-01-01,87.0
2022-01-02,85.0
2022-01-03,78.0
2022-01-04,86.0
2022-01-05,92.0
2022-01-06,76.0
2022-01-07,91.0
2022-01-08,88.0
2022-01-09,84.0
2022-01-10,84.0
2022-01-11,92.0
2022-01-12,86.0
2022-01-13,100.0
2022-01-14,72.0
2022-01-15,84.0
2022-01-16,77.0
2022-01-17,79.0
2022-01-18,80.0
2022-01-19,83.0
2022-01-20,86.0
2022-01-21,89.0
2022-01-22,90.0
2022-01-23,83.0
2022-01-24,96.0
2022-01-25,78.0
2022-01-26,78.0
2022-01-27,93.0
2022-01-28,93.0
2022-01-29,92.0
2022-01-30,90.0
2022-01-31,85.0
2022-02-01,90.0
2022-02-02,88.0
2022-02-03,89.0
2022-02-04,89.0
2022-02-05,88.0
2022-02-06,90.0
2022-02-07,86.0
2022-02-08,87.0
2022-02-09,87.0
2022-02-10,80.0
2022-02-11,93.0
2022-02-12,88.0
2022-02-13,81.0
2022-02-14,84.0
2022-02-15,85.0
2022-02-16,83.0
2022-02-17,82.0
2022-02-18,84.0
2022-02-19,82.0
2022-02-20,83.0
2022-02-21,82.0
2022-02-22,82.0
2022-02-23,82.0
2022-02-24,80.0
2022-02-25,82.0
2022-02-26,76.0
2022-02-27,73.0
2022-02-28,73.0
2022-03-01,72.0
2022-03-02,73.0
2022-03-03,73.0
2022-03-04,72.0
2022-03-05,69.0
2022-03-06,70.0
2022-03-07,73.0
2022-03-08,74.0
2022-03-09,72.0
2022-03-10,74.0
2022-03-11,71.0
2022-03-12,68.0
2022-03-13,67.0
2022-03-14,69.0
2022-03-15,70.0
2022-03-16,67.0
2022-03-17,68.0
2022-03-18,66.0
2022-03-19,68.0
2022-03-20,69.0
2022-03-21,69.0
2022-03-22,71.0
2022-03-23,71.0
2022-03-24,73.0
2022-03-25,71.0
2022-03-26,67.0
2022-03-27,65.0
2022-03-28,80.0
2022-03-29,74.0
2022-03-30,70.0
2022-03-31,70.0
2022-04-01,73.0
2022-04-02,63.0
2022-04-03,68.0
2022-04-04,68.0
2022-04-05,71.0
2022-04-06,75.0
2022-04-07,76.0
2022-04-08,72.0
2022-04-09,65.0
2022-04-10,68.0
2022-04-11,69.0
2022-04-12,74.0
2022-04-13,69.0
2022-04-14,75.0
2022-04-15,69.0
2022-04-16,65.0
2022-04-17,69.0
2022-04-18,70.0
2022-04-19,70.0
2022-04-20,68.0
2022-04-21,69.0
2022-04-22,71.0
2022-04-23,66.0
2022-04-24,66.0
2022-04-25,69.0
2022-04-26,74.0
2022-04-27,74.0
2022-04-28,72.0
2022-04-29,70.0
2022-04-30,64.0
2022-05-01,67.0
2022-05-02,72.0
2022-05-03,70.0
2022-05-04,68.0
2022-05-05,72.0
2022-05-06,74.0
2022-05-07,64.0
2022-05-08,63.0
2022-05-09,68.0
2022-05-10,71.0
2022-05-11,72.0
2022-05-12,71.0
2022-05-13,67.0
2022-05-14,60.0
2022-05-15,61.0
2022-05-16,71.0
2022-05-17,73.0
2022-05-18,73.0
2022-05-19,72.0
2022-05-20,72.0
2022-05-21,64.0
2022-05-22,59.0
2022-05-23,73.0
2022-05-24,77.0
2022-05-25,70.0
2022-05-26,70.0
2022-05-27,71.0
2022-05-28,62.0
2022-05-29,58.0
2022-05-30,57.0
2022-05-31,61.0
2022-06-01,66.0
2022-06-02,64.0
2022-06-03,61.0
2022-06-04,59.0
2022-06-05,64.0
2022-06-06,62.0
2022-06-07,64.0
2022-06-08,68.0
2022-06-09,65.0
2022-06-10,65.0
2022-06-11,55.0
2022-06-12,57.0
2022-06-13,63.0
2022-06-14,64.0
2022-06-15,68.0
2022-06-16,61.0
2022-06-17,58.0
2022-06-18,55.0
2022-06-19,56.0
2022-06-20,56.0
2022-06-21,60.0
2022-06-22,59.0
2022-06-23,62.0
2022-06-24,61.0
2022-06-25,56.0
2022-06-26,58.0
2022-06-27,63.0
2022-06-28,59.0
2022-06-29,59.0
2022-06-30,61.0
2022-07-01,62.0
2022-07-02,56.0
2022-07-03,55.0
2022-07-04,57.0
2022-07-05,56.0
2022-07-06,58.0
2022-07-07,60.0
2022-07-08,56.0
2022-07-09,52.0
2022-07-10,58.0
2022-07-11,62.0
2022-07-12,63.0
2022-07-13,63.0
2022-07-14,65.0
2022-07-15,59.0
2022-07-16,55.0
2022-07-17,57.0
2022-07-18,58.0
2022-07-19,62.0
2022-07-20,60.0
2022-07-21,64.0
2022-07-22,62.0
2022-07-23,57.0
2022-07-24,56.0
2022-07-25,62.0
2022-07-26,59.0
2022-07-27,58.0
2022-07-28,61.0
2022-07-29,59.0
2022-07-30,51.0
2022-07-31,61.0
2022-08-01,58.0
2022-08-02,59.0
2022-08-03,61.0
2022-08-04,59.0
2022-08-05,58.0
2022-08-06,53.0
2022-08-07,56.0
2022-08-08,58.0
2022-08-09,64.0
2022-08-10,63.0
2022-08-11,61.0
2022-08-12,61.0
2022-08-13,53.0
2022-08-14,52.0
2022-08-15,60.0
2022-08-16,64.0
2022-08-17,62.0
2022-08-18,63.0
2022-08-19,65.0
2022-08-20,56.0
2022-08-21,55.0
2022-08-22,58.0
2022-08-23,67.0
2022-08-24,64.0
2022-08-25,68.0
2022-08-26,64.0
2022-08-27,59.0
2022-08-28,57.0
2022-08-29,65.88235294117646
2022-08-30,62.35294117647059
2022-08-31,66.76470588235294
2022-09-01,64.11764705882354
2022-09-02,64.11764705882354
2022-09-03,55.029411764705884
2022-09-04,57.17647058823529
2022-09-05,56.794117647058826
2022-09-06,65.0
2022-09-07,60.205882352941174
2022-09-08,63.73529411764706
2022-09-09,64.11764705882354
2022-09-10,54.147058823529406
2022-09-11,55.029411764705884
2022-09-12,65.88235294117646
2022-09-13,65.38235294117646
2022-09-14,62.85294117647059
2022-09-15,63.73529411764706
2022-09-16,63.23529411764706
2022-09-17,55.029411764705884
2022-09-18,55.029411764705884
2022-09-19,62.85294117647059
2022-09-20,68.91176470588235
2022-09-21,65.0
2022-09-22,63.73529411764706
2022-09-23,66.76470588235294
2022-09-24,56.794117647058826
2022-09-25,55.029411764705884
2022-09-26,59.8235294117647
2022-09-27,65.0
2022-09-28,65.76470588235294
2022-09-29,65.76470588235294
2022-09-30,63.470588235294116
2022-10-01,52.0
2022-10-02,57.35294117647059
2022-10-03,60.41176470588235
2022-10-04,58.882352941176464
2022-10-05,60.41176470588235
2022-10-06,63.470588235294116
2022-10-07,62.705882352941174
2022-10-08,52.0
2022-10-09,51.23529411764706
2022-10-10,59.647058823529406
2022-10-11,64.23529411764706
2022-10-12,63.470588235294116
2022-10-13,66.52941176470588
2022-10-14,64.23529411764706
2022-10-15,52.0
2022-10-16,52.0
2022-10-17,62.705882352941174
2022-10-18,68.05882352941175
2022-10-19,66.52941176470588
2022-10-20,67.29411764705881
2022-10-21,65.76470588235294
2022-10-22,50.470588235294116
2022-10-23,53.52941176470588
2022-10-24,63.470588235294116
2022-10-25,65.0
2022-10-26,69.58823529411764
2022-10-27,65.0
2022-10-28,65.76470588235294
2022-10-29,53.52941176470588
2022-10-30,51.23529411764706
2022-10-31,65.76470588235294
2022-11-01,59.647058823529406
2022-11-02,65.76470588235294
2022-11-03,65.0
2022-11-04,65.76470588235294
2022-11-05,55.05882352941176
2022-11-06,52.764705882352935
2022-11-07,63.470588235294116
2022-11-08,61.17647058823529
2022-11-09,60.41176470588235
2022-11-10,62.705882352941174
2022-11-11,59.647058823529406
2022-11-12,52.764705882352935
2022-11-13,55.05882352941176
2022-11-14,62.705882352941174
2022-11-15,64.23529411764706
2022-11-16,65.76470588235294
2022-11-17,66.52941176470588
2022-11-18,65.0
2022-11-19,52.764705882352935
2022-11-20,56.588235294117645
2022-11-21,60.41176470588235
2022-11-22,63.470588235294116
2022-11-23,58.11764705882352
2022-11-24,52.0
2022-11-25,48.94117647058823
2022-11-26,45.882352941176464
2022-11-27,52.764705882352935
2022-11-28,57.35294117647059
2022-11-29,63.470588235294116
2022-11-30,65.0
2022-12-01,63.470588235294116
2022-12-02,64.23529411764706
2022-12-03,56.588235294117645
2022-12-04,53.52941176470588
2022-12-05,63.470588235294116
2022-12-06,63.470588235294116
2022-12-07,63.470588235294116
2022-12-08,63.470588235294116
2022-12-09,71.88235294117646
2022-12-10,52.0
2022-12-11,55.05882352941176
2022-12-12,64.23529411764706
2022-12-13,61.94117647058823
2022-12-14,64.23529411764706
2022-12-15,70.35294117647058
2022-12-16,67.29411764705881
2022-12-17,54.29411764705882
2022-12-18,52.764705882352935
2022-12-19,60.41176470588235
2022-12-20,62.705882352941174
2022-12-21,65.0
2022-12-22,62.705882352941174
2022-12-23,57.35294117647059
2022-12-24,52.0
2022-12-25,53.52941176470588
2022-12-26,50.470588235294116
2022-12-27,53.52941176470588
2022-12-28,52.764705882352935
2022-12-29,52.764705882352935
2022-12-30,55.8235294117647
2022-12-31,48.94117647058823
2023-01-01,55.05882352941176
2023-01-02,50.470588235294116
2023-01-03,64.23529411764706
2023-01-04,62.705882352941174
2023-01-05,63.470588235294116
2023-01-06,62.705882352941174
2023-01-07,51.23529411764706
2023-01-08,55.8235294117647
2023-01-09,61.17647058823529
2023-01-10,64.23529411764706
2023-01-11,68.8235294117647
2023-01-12,68.05882352941175
2023-01-13,66.52941176470588
2023-01-14,54.29411764705882
2023-01-15,55.05882352941176
2023-01-16,58.882352941176464
2023-01-17,68.05882352941175
2023-01-18,67.29411764705881
2023-01-19,68.05882352941175
2023-01-20,66.52941176470588
2023-01-21,54.29411764705882
2023-01-22,58.882352941176464
2023-01-23,67.29411764705881
2023-01-24,67.29411764705881
2023-01-25,65.76470588235294
2023-01-26,65.76470588235294
2023-01-27,69.58823529411764
2023-01-28,60.41176470588235
2023-01-29,59.647058823529406
2023-01-30,61.94117647058823
2023-01-31,65.76470588235294
2023-02-01,65.76470588235294
2023-02-02,67.29411764705881
2023-02-03,66.52941176470588
2023-02-04,55.8235294117647
2023-02-05,57.35294117647059
2023-02-06,68.05882352941175
2023-02-07,68.05882352941175
2023-02-08,65.76470588235294
2023-02-09,68.05882352941175
2023-02-10,65.76470588235294
2023-02-11,56.588235294117645
2023-02-12,58.882352941176464
2023-02-13,65.0
2023-02-14,70.35294117647058
2023-02-15,65.76470588235294
2023-02-16,65.0
2023-02-17,68.05882352941175
2023-02-18,56.588235294117645
2023-02-19,54.29411764705882
2023-02-20,58.11764705882352
2023-02-21,65.0
2023-02-22,65.0
2023-02-23,63.470588235294116
2023-02-24,65.0
2023-02-25,58.11764705882352
2023-02-26,60.41176470588235
2023-02-27,65.76470588235294
2023-02-28,65.76470588235294
2023-03-01,66.52941176470588
2023-03-02,67.29411764705881
2023-03-03,65.0
2023-03-04,55.8235294117647
2023-03-05,55.05882352941176
2023-03-06,61.17647058823529
2023-03-07,64.23529411764706
2023-03-08,61.94117647058823
2023-03-09,63.470588235294116
2023-03-10,62.705882352941174
2023-03-11,53.52941176470588
2023-03-12,53.52941176470588
2023-03-13,61.94117647058823
2023-03-14,76.47058823529412
2023-03-15,61.17647058823529
2023-03-16,64.23529411764706
2023-03-17,64.23529411764706
2023-03-18,53.52941176470588
2023-03-19,49.705882352941174
2023-03-20,62.705882352941174
2023-03-21,65.0
2023-03-22,64.23529411764706
2023-03-23,64.23529411764706
2023-03-24,62.705882352941174
2023-03-25,52.764705882352935
2023-03-26,54.29411764705882
2023-03-27,64.23529411764706
2023-03-28,65.76470588235294
2023-03-29,63.470588235294116
2023-03-30,63.470588235294116
2023-03-31,63.470588235294116
2023-04-01,49.705882352941174
2023-04-02,52.0
2023-04-03,62.705882352941174
2023-04-04,61.94117647058823
2023-04-05,58.882352941176464
2023-04-06,62.705882352941174
2023-04-07,54.29411764705882
2023-04-08,49.705882352941174
2023-04-09,52.0
2023-04-10,55.05882352941176
2023-04-11,67.29411764705881
2023-04-12,59.647058823529406
2023-04-13,62.705882352941174
2023-04-14,64.23529411764706
2023-04-15,52.0
2023-04-16,53.52941176470588
2023-04-17,60.41176470588235
2023-04-18,61.94117647058823
2023-04-19,61.17647058823529
2023-04-20,61.17647058823529
2023-04-21,61.94117647058823
2023-04-22,52.0
2023-04-23,54.29411764705882
2023-04-24,63.470588235294116
2023-04-25,64.23529411764706
2023-04-26,63.40540280378738
2023-04-27,65.53194952482629
2023-04-28,62.69655389677442
2023-04-29,52.11967726691986
2023-04-30,49.66663458004445
2023-05-01,61.66120902392495
2023-05-02,61.278856082748476
2023-05-03,61.278856082748476
2023-05-04,59.15230936170957
2023-05-05,59.53466230288604
2023-05-06,46.504742986156074
2023-05-07,49.34013861420795
2023-05-08,58.82581339587307
2023-05-09,61.98770498976145
2023-05-10,54.95507289497173
2023-05-11,57.408115581847134
2023-05-12,60.24351120989901
2023-05-13,46.831238951992574
2023-05-14,48.63128970719498
2023-05-15,57.408115581847134
2023-05-16,58.82581339587307
2023-05-17,56.69926667483416
2023-05-18,59.53466230288604
