Time,jamie lee curtis
2022-01-01,24
2022-01-02,19
2022-01-03,16
2022-01-04,16
2022-01-05,18
2022-01-06,9
2022-01-07,16
2022-01-08,16
2022-01-09,16
2022-01-10,13
2022-01-11,14
2022-01-12,14
2022-01-13,16
2022-01-14,10
2022-01-15,20
2022-01-16,22
2022-01-17,15
2022-01-18,10
2022-01-19,15
2022-01-20,15
2022-01-21,18
2022-01-22,20
2022-01-23,20
2022-01-24,20
2022-01-25,11
2022-01-26,15
2022-01-27,19
2022-01-28,21
2022-01-29,20
2022-01-30,23
2022-01-31,13
2022-02-01,9
2022-02-02,9
2022-02-03,12
2022-02-04,15
2022-02-05,19
2022-02-06,17
2022-02-07,13
2022-02-08,14
2022-02-09,10
2022-02-10,11
2022-02-11,15
2022-02-12,19
2022-02-13,18
2022-02-14,13
2022-02-15,13
2022-02-16,10
2022-02-17,11
2022-02-18,14
2022-02-19,21
2022-02-20,18
2022-02-21,12
2022-02-22,13
2022-02-23,17
2022-02-24,19
2022-02-25,17
2022-02-26,25
2022-02-27,22
2022-02-28,17
2022-03-01,14
2022-03-02,14
2022-03-03,17
2022-03-04,14
2022-03-05,21
2022-03-06,27
2022-03-07,15
2022-03-08,25
2022-03-09,17
2022-03-10,18
2022-03-11,43
2022-03-12,87
2022-03-13,100
2022-03-14,41
2022-03-15,29
2022-03-16,25
2022-03-17,15
2022-03-18,19
2022-03-19,24
2022-03-20,31
2022-03-21,19
2022-03-22,19
2022-03-23,74
2022-03-24,43
2022-03-25,30
2022-03-26,29
2022-03-27,50
2022-03-28,63
2022-03-29,38
2022-03-30,31
2022-03-31,28
2022-04-01,31
2022-04-02,37
2022-04-03,32
2022-04-04,18
2022-04-05,19
2022-04-06,29
2022-04-07,24
2022-04-08,29
2022-04-09,34
2022-04-10,27
2022-04-11,38
2022-04-12,17
2022-04-13,18
2022-04-14,18
2022-04-15,17
2022-04-16,23
2022-04-17,27
2022-04-18,18
2022-04-19,14
2022-04-20,16
2022-04-21,45
2022-04-22,25
2022-04-23,30
2022-04-24,28
2022-04-25,18
2022-04-26,14
2022-04-27,16
2022-04-28,27
2022-04-29,26
2022-04-30,32
2022-05-01,31
2022-05-02,18
2022-05-03,18
2022-05-04,19
2022-05-05,17
2022-05-06,17
2022-05-07,23
2022-05-08,25
2022-05-09,16
2022-05-10,14
2022-05-11,16
2022-05-12,15
2022-05-13,14
2022-05-14,24
2022-05-15,29
2022-05-16,20
2022-05-17,17
2022-05-18,15
2022-05-19,17
2022-05-20,15
2022-05-21,30
2022-05-22,23
2022-05-23,15
2022-05-24,19
2022-05-25,17
2022-05-26,18
2022-05-27,20
2022-05-28,19
2022-05-29,23
2022-05-30,47
2022-05-31,81
2022-06-01,43
2022-06-02,29
2022-06-03,19
2022-06-04,21
2022-06-05,23
2022-06-06,18
2022-06-07,17
2022-06-08,18
2022-06-09,16
2022-06-10,17
2022-06-11,23
2022-06-12,25
2022-06-13,18
2022-06-14,15
2022-06-15,12
2022-06-16,12
2022-06-17,13
2022-06-18,19
2022-06-19,23
2022-06-20,18
2022-06-21,17
2022-06-22,14
2022-06-23,19
2022-06-24,16
2022-06-25,22
2022-06-26,24
2022-06-27,15
2022-06-28,14
2022-06-29,15
2022-06-30,13
2022-07-01,13
2022-07-02,17
2022-07-03,19
2022-07-04,18
2022-07-05,11
2022-07-06,16
2022-07-07,15
2022-07-08,14
2022-07-09,18
2022-07-10,17
2022-07-11,17
2022-07-12,11
2022-07-13,20
2022-07-14,22
2022-07-15,19
2022-07-16,22
2022-07-17,25
2022-07-18,15
2022-07-19,22
2022-07-20,26
2022-07-21,63
2022-07-22,42
2022-07-23,30
2022-07-24,31
2022-07-25,24
2022-07-26,19
2022-07-27,20
2022-07-28,21
2022-07-29,16
2022-07-30,26
2022-07-31,30
2022-08-01,19
2022-08-02,22
2022-08-03,16
2022-08-04,17
2022-08-05,15
2022-08-06,20
2022-08-07,21
2022-08-08,17
2022-08-09,22
2022-08-10,15
2022-08-11,19
2022-08-12,16
2022-08-13,20
2022-08-14,21
2022-08-15,16
2022-08-16,15
2022-08-17,14
2022-08-18,13
2022-08-19,15
2022-08-20,21
2022-08-21,25
2022-08-22,17
2022-08-23,22
2022-08-24,23
2022-08-25,18
2022-08-26,17
2022-08-27,23
2022-08-28,22
2022-08-29,14
2022-08-30,40
2022-08-31,17
2022-09-01,23
2022-09-02,20
2022-09-03,22
2022-09-04,25
2022-09-05,26
2022-09-06,15
2022-09-07,13
2022-09-08,13
2022-09-09,26
2022-09-10,24
2022-09-11,27
2022-09-12,19
2022-09-13,14
2022-09-14,15
2022-09-15,17
2022-09-16,18
2022-09-17,25
2022-09-18,42
2022-09-19,26
2022-09-20,22
2022-09-21,25
2022-09-22,24
2022-09-23,23
2022-09-24,26
2022-09-25,40
2022-09-26,25
2022-09-27,31
