Time,easter 2023
2022-01-01,4
2022-01-02,4
2022-01-03,5
2022-01-04,5
2022-01-05,6
2022-01-06,3
2022-01-07,4
2022-01-08,4
2022-01-09,5
2022-01-10,5
2022-01-11,4
2022-01-12,3
2022-01-13,4
2022-01-14,3
2022-01-15,2
2022-01-16,3
2022-01-17,4
2022-01-18,4
2022-01-19,4
2022-01-20,4
2022-01-21,3
2022-01-22,3
2022-01-23,4
2022-01-24,5
2022-01-25,4
2022-01-26,3
2022-01-27,4
2022-01-28,5
2022-01-29,4
2022-01-30,4
2022-01-31,5
2022-02-01,5
2022-02-02,4
2022-02-03,4
2022-02-04,5
2022-02-05,4
2022-02-06,5
2022-02-07,6
2022-02-08,5
2022-02-09,5
2022-02-10,5
2022-02-11,5
2022-02-12,4
2022-02-13,4
2022-02-14,5
2022-02-15,7
2022-02-16,6
2022-02-17,6
2022-02-18,6
2022-02-19,5
2022-02-20,6
2022-02-21,7
2022-02-22,7
2022-02-23,7
2022-02-24,6
2022-02-25,7
2022-02-26,7
2022-02-27,7
2022-02-28,8
2022-03-01,9
2022-03-02,9
2022-03-03,8
2022-03-04,7
2022-03-05,7
2022-03-06,8
2022-03-07,7
2022-03-08,7
2022-03-09,8
2022-03-10,8
2022-03-11,7
2022-03-12,7
2022-03-13,8
2022-03-14,8
2022-03-15,10
2022-03-16,9
2022-03-17,8
2022-03-18,10
2022-03-19,7
2022-03-20,11
2022-03-21,11
2022-03-22,10
2022-03-23,10
2022-03-24,10
2022-03-25,8
2022-03-26,9
2022-03-27,14
2022-03-28,12
2022-03-29,12
2022-03-30,11
2022-03-31,11
2022-04-01,13
2022-04-02,14
2022-04-03,16
2022-04-04,16
2022-04-05,12
2022-04-06,15
2022-04-07,13
2022-04-08,15
2022-04-09,18
2022-04-10,24
2022-04-11,23
2022-04-12,18
2022-04-13,21
2022-04-14,22
2022-04-15,29
2022-04-16,40
2022-04-17,100
2022-04-18,53
2022-04-19,28
2022-04-20,21
2022-04-21,16
2022-04-22,16
2022-04-23,15
2022-04-24,19
2022-04-25,16
2022-04-26,15
2022-04-27,12
2022-04-28,10
2022-04-29,10
2022-04-30,9
2022-05-01,9
2022-05-02,10
2022-05-03,8
2022-05-04,10
2022-05-05,9
2022-05-06,8
2022-05-07,8
2022-05-08,7
2022-05-09,10
2022-05-10,9
2022-05-11,8
2022-05-12,8
2022-05-13,7
2022-05-14,7
2022-05-15,6
2022-05-16,9
2022-05-17,9
2022-05-18,9
2022-05-19,8
2022-05-20,7
2022-05-21,6
2022-05-22,7
2022-05-23,9
2022-05-24,10
2022-05-25,9
2022-05-26,8
2022-05-27,9
2022-05-28,6
2022-05-29,8
2022-05-30,7
2022-05-31,9
2022-06-01,9
2022-06-02,9
2022-06-03,9
2022-06-04,6
2022-06-05,7
2022-06-06,10
2022-06-07,9
2022-06-08,9
2022-06-09,9
2022-06-10,8
2022-06-11,6
2022-06-12,6
2022-06-13,9
2022-06-14,11
2022-06-15,9
2022-06-16,9
2022-06-17,8
2022-06-18,6
2022-06-19,8
2022-06-20,9
2022-06-21,10
2022-06-22,11
2022-06-23,10
2022-06-24,9
2022-06-25,5
2022-06-26,7
2022-06-27,10
2022-06-28,11
2022-06-29,10
2022-06-30,10
2022-07-01,9
2022-07-02,8
2022-07-03,8
2022-07-04,10
2022-07-05,12
2022-07-06,12
2022-07-07,12
2022-07-08,11
2022-07-09,8
2022-07-10,11
2022-07-11,13
2022-07-12,14
2022-07-13,12
2022-07-14,13
2022-07-15,10
2022-07-16,10
2022-07-17,10
2022-07-18,14
2022-07-19,14
2022-07-20,14
2022-07-21,12
2022-07-22,10
2022-07-23,9
2022-07-24,12
2022-07-25,14
2022-07-26,15
2022-07-27,13
2022-07-28,12
2022-07-29,12
2022-07-30,11
2022-07-31,12
2022-08-01,15
2022-08-02,16
2022-08-03,14
2022-08-04,15
2022-08-05,12
2022-08-06,12
2022-08-07,13
2022-08-08,18
2022-08-09,16
2022-08-10,16
2022-08-11,15
2022-08-12,14
2022-08-13,11
2022-08-14,15
2022-08-15,17
2022-08-16,18
2022-08-17,18
2022-08-18,19
2022-08-19,15
2022-08-20,14
2022-08-21,14
2022-08-22,17
2022-08-23,17
2022-08-24,21
2022-08-25,17
2022-08-26,15
2022-08-27,14
2022-08-28,16
2022-08-29,19
2022-08-30,20
2022-08-31,18
2022-09-01,17
2022-09-02,17
2022-09-03,14
2022-09-04,17
2022-09-05,18
2022-09-06,19
2022-09-07,21
2022-09-08,20
2022-09-09,17
2022-09-10,15
2022-09-11,18
2022-09-12,21
2022-09-13,22
2022-09-14,19
2022-09-15,19
2022-09-16,19
2022-09-17,16
2022-09-18,18
2022-09-19,20
2022-09-20,21
2022-09-21,22
2022-09-22,21
2022-09-23,17
2022-09-24,14
2022-09-25,18
2022-09-26,21
2022-09-27,21
