Time,ncaa basketball
2022-01-01,2
2022-01-02,2
2022-01-03,2
2022-01-04,2
2022-01-05,3
2022-01-06,2
2022-01-07,3
2022-01-08,4
2022-01-09,3
2022-01-10,3
2022-01-11,2
2022-01-12,4
2022-01-13,3
2022-01-14,3
2022-01-15,4
2022-01-16,3
2022-01-17,3
2022-01-18,2
2022-01-19,3
2022-01-20,3
2022-01-21,3
2022-01-22,5
2022-01-23,4
2022-01-24,4
2022-01-25,3
2022-01-26,3
2022-01-27,3
2022-01-28,3
2022-01-29,5
2022-01-30,5
2022-01-31,3
2022-02-01,3
2022-02-02,3
2022-02-03,3
2022-02-04,3
2022-02-05,5
2022-02-06,6
2022-02-07,4
2022-02-08,4
2022-02-09,5
2022-02-10,3
2022-02-11,3
2022-02-12,5
2022-02-13,4
2022-02-14,3
2022-02-15,3
2022-02-16,4
2022-02-17,3
2022-02-18,3
2022-02-19,6
2022-02-20,6
2022-02-21,4
2022-02-22,4
2022-02-23,4
2022-02-24,4
2022-02-25,4
2022-02-26,6
2022-02-27,9
2022-02-28,6
2022-03-01,5
2022-03-02,5
2022-03-03,4
2022-03-04,5
2022-03-05,9
2022-03-06,11
2022-03-07,7
2022-03-08,6
2022-03-09,7
2022-03-10,10
2022-03-11,12
2022-03-12,18
2022-03-13,34
2022-03-14,28
2022-03-15,16
2022-03-16,20
2022-03-17,41
2022-03-18,52
2022-03-19,59
2022-03-20,55
2022-03-21,33
2022-03-22,12
2022-03-23,7
2022-03-24,16
2022-03-25,41
2022-03-26,84
2022-03-27,100
2022-03-28,22
2022-03-29,12
2022-03-30,7
2022-03-31,7
2022-04-01,11
2022-04-02,44
2022-04-03,56
2022-04-04,30
2022-04-05,51
2022-04-06,3
2022-04-07,2
2022-04-08,1
2022-04-09,1
2022-04-10,1
2022-04-11,1
2022-04-12,1
2022-04-13,1
2022-04-14,1
2022-04-15,1
2022-04-16,1
2022-04-17,1
2022-04-18,1
2022-04-19,1
2022-04-20,1
2022-04-21,1
2022-04-22,1
2022-04-23,1
2022-04-24,1
2022-04-25,1
2022-04-26,0
2022-04-27,1
2022-04-28,1
2022-04-29,0
2022-04-30,0
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,0
2022-05-10,0
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,1
2022-05-31,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,1
2022-06-25,0
2022-06-26,0
2022-06-27,0
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,0
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,0
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,0
2022-07-23,0
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,0
2022-07-28,0
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,0
2022-08-08,0
2022-08-09,0
2022-08-10,0
2022-08-11,0
2022-08-12,0
2022-08-13,0
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,0
2022-08-22,0
2022-08-23,0
2022-08-24,0
2022-08-25,0
2022-08-26,0
2022-08-27,0
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,0
2022-09-08,0
2022-09-09,0
2022-09-10,0
2022-09-11,0
2022-09-12,0
2022-09-13,0
2022-09-14,0
2022-09-15,0
2022-09-16,0
2022-09-17,0
2022-09-18,0
2022-09-19,0
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,0
2022-09-27,0
