Time,blooket
2025-12-11,84
2025-12-12,100
2025-12-13,9
2025-12-14,7
2025-12-15,85
2025-12-16,94
2025-12-17,95
2025-12-18,99
2025-12-19,94
2025-12-20,8
2025-12-21,6
2025-12-22,19
2025-12-23,17
2025-12-24,5
2025-12-25,3
2025-12-26,3
2025-12-27,2
2025-12-28,2
2025-12-29,2
2025-12-30,2
2025-12-31,2
2026-01-01,2
2026-01-02,2
2026-01-03,2
2026-01-04,2
2026-01-05,25
2026-01-06,40
2026-01-07,46
2026-01-08,57
2026-01-09,77
2026-01-10,5
2026-01-11,3
2026-01-12,49
2026-01-13,55
2026-01-14,56
2026-01-15,62
2026-01-16,79
2026-01-17,6
2026-01-18,4
2026-01-19,6
2026-01-20,48
2026-01-21,58
2026-01-22,66
2026-01-23,80
2026-01-24,8
2026-01-25,5
2026-01-26,26
2026-01-27,38
2026-01-28,46
2026-01-29,58
2026-01-30,75
2026-01-31,6
2026-02-01,4
2026-02-02,42
2026-02-03,50
2026-02-04,55
2026-02-05,60
2026-02-06,76
2026-02-07,7
2026-02-08,5
2026-02-09,41
2026-02-10,51
2026-02-11,62
2026-02-12,68
2026-02-13,68
2026-02-14,7
2026-02-15,5
2026-02-16,12
2026-02-17,39
2026-02-18,50
2026-02-19,58
2026-02-20,70
2026-02-21,6
2026-02-22,5
2026-02-23,43
2026-02-24,52
2026-02-25,55
2026-02-26,65
2026-02-27,74
2026-02-28,6
2026-03-01,5
2026-03-02,47
2026-03-03,54
2026-03-04,59
2026-03-05,69
2026-03-06,80
2026-03-07,7
2026-03-08,5
2026-03-09,50
2026-03-10,54
2026-03-11,56
2026-03-12,62
2026-03-13,66
2026-03-14,7
2026-03-15,5
2026-03-16,36
2026-03-17,48
2026-03-18,49
2026-03-19,52
2026-03-20,54
2026-03-21,5
2026-03-22,4
2026-03-23,41
2026-03-24,53
2026-03-25,55
2026-03-26,59
2026-03-27,73
2026-03-28,5
2026-03-29,4
2026-03-30,41
2026-03-31,47
2026-04-01,53
2026-04-02,56
2026-04-03,24
2026-04-04,4
2026-04-05,3
2026-04-06,29
2026-04-07,47
2026-04-08,51
2026-04-09,53
2026-04-10,67
2026-04-11,6
2026-04-12,4
2026-04-13,60
2026-04-14,60
2026-04-15,61
2026-04-16,71
2026-04-17,84
2026-04-18,6
2026-04-19,5
2026-04-20,58
2026-04-21,65
2026-04-22,62
2026-04-23,73
2026-04-24,77
2026-04-25,6
2026-04-26,5
2026-04-27,61
2026-04-28,64
2026-04-29,68
2026-04-30,76
2026-05-01,80
2026-05-02,7
2026-05-03,5
2026-05-04,63
2026-05-05,65
2026-05-06,66
2026-05-07,75
2026-05-08,81
2026-05-09,7
2026-05-10,5
2026-05-11,65
2026-05-12,68
2026-05-13,70
2026-05-14,73
2026-05-15,79
2026-05-16,7
2026-05-17,5
2026-05-18,64
2026-05-19,62
2026-05-20,61
2026-05-21,64
2026-05-22,55
2026-05-23,6
2026-05-24,5
2026-05-25,4
2026-05-26,41
2026-05-27,37
2026-05-28,35
2026-05-29,36
2026-05-30,4
2026-05-31,3
