Time,rangers
2022-01-01,12
2022-01-02,14
2022-01-03,10
2022-01-04,14
2022-01-05,9
2022-01-06,8
2022-01-07,11
2022-01-08,10
2022-01-09,13
2022-01-10,8
2022-01-11,12
2022-01-12,8
2022-01-13,10
2022-01-14,10
2022-01-15,10
2022-01-16,13
2022-01-17,8
2022-01-18,8
2022-01-19,10
2022-01-20,15
2022-01-21,10
2022-01-22,16
2022-01-23,13
2022-01-24,12
2022-01-25,12
2022-01-26,8
2022-01-27,9
2022-01-28,14
2022-01-29,20
2022-01-30,14
2022-01-31,9
2022-02-01,10
2022-02-02,17
2022-02-03,8
2022-02-04,8
2022-02-05,9
2022-02-06,9
2022-02-07,7
2022-02-08,8
2022-02-09,8
2022-02-10,7
2022-02-11,7
2022-02-12,9
2022-02-13,8
2022-02-14,7
2022-02-15,10
2022-02-16,15
2022-02-17,12
2022-02-18,13
2022-02-19,10
2022-02-20,13
2022-02-21,10
2022-02-22,8
2022-02-23,9
2022-02-24,11
2022-02-25,13
2022-02-26,12
2022-02-27,12
2022-02-28,12
2022-03-01,9
2022-03-02,9
2022-03-03,13
2022-03-04,10
2022-03-05,14
2022-03-06,11
2022-03-07,11
2022-03-08,9
2022-03-09,11
2022-03-10,10
2022-03-11,14
2022-03-12,13
2022-03-13,16
2022-03-14,12
2022-03-15,12
2022-03-16,14
2022-03-17,13
2022-03-18,13
2022-03-19,14
2022-03-20,20
2022-03-21,18
2022-03-22,14
2022-03-23,13
2022-03-24,12
2022-03-25,11
2022-03-26,15
2022-03-27,16
2022-03-28,11
2022-03-29,11
2022-03-30,16
2022-03-31,15
2022-04-01,11
2022-04-02,15
2022-04-03,18
2022-04-04,13
2022-04-05,10
2022-04-06,13
2022-04-07,16
2022-04-08,22
2022-04-09,27
2022-04-10,23
2022-04-11,21
2022-04-12,18
2022-04-13,18
2022-04-14,17
2022-04-15,17
2022-04-16,26
2022-04-17,23
2022-04-18,11
2022-04-19,12
2022-04-20,15
2022-04-21,13
2022-04-22,19
2022-04-23,23
2022-04-24,15
2022-04-25,12
2022-04-26,15
2022-04-27,21
2022-04-28,21
2022-04-29,12
2022-04-30,25
2022-05-01,20
2022-05-02,12
2022-05-03,19
2022-05-04,50
2022-05-05,24
2022-05-06,32
2022-05-07,26
2022-05-08,42
2022-05-09,24
2022-05-10,28
2022-05-11,22
2022-05-12,38
2022-05-13,26
2022-05-14,60
2022-05-15,52
2022-05-16,82
2022-05-17,24
2022-05-18,42
2022-05-19,47
2022-05-20,45
2022-05-21,74
2022-05-22,69
2022-05-23,32
2022-05-24,33
2022-05-25,45
2022-05-26,34
2022-05-27,48
2022-05-28,41
2022-05-29,80
2022-05-30,45
2022-05-31,100
2022-06-01,38
2022-06-02,82
2022-06-03,35
2022-06-04,93
2022-06-05,90
2022-06-06,33
2022-06-07,40
2022-06-08,77
2022-06-09,35
2022-06-10,93
2022-06-11,50
2022-06-12,99
2022-06-13,20
2022-06-14,19
2022-06-15,17
2022-06-16,13
2022-06-17,13
2022-06-18,16
2022-06-19,16
2022-06-20,12
2022-06-21,12
2022-06-22,16
2022-06-23,12
2022-06-24,11
2022-06-25,17
2022-06-26,16
2022-06-27,12
2022-06-28,12
2022-06-29,13
2022-06-30,10
2022-07-01,11
2022-07-02,17
2022-07-03,15
2022-07-04,15
2022-07-05,11
2022-07-06,13
2022-07-07,13
2022-07-08,14
2022-07-09,19
2022-07-10,18
2022-07-11,13
2022-07-12,14
2022-07-13,19
2022-07-14,15
2022-07-15,15
2022-07-16,17
2022-07-17,18
2022-07-18,12
2022-07-19,11
2022-07-20,11
2022-07-21,12
2022-07-22,11
2022-07-23,16
2022-07-24,17
2022-07-25,10
2022-07-26,12
2022-07-27,12
2022-07-28,10
2022-07-29,13
2022-07-30,14
2022-07-31,15
2022-08-01,12
2022-08-02,13
2022-08-03,13
2022-08-04,12
2022-08-05,13
2022-08-06,13
2022-08-07,16
2022-08-08,10
2022-08-09,12
2022-08-10,12
2022-08-11,15
2022-08-12,11
2022-08-13,15
2022-08-14,15
2022-08-15,12
2022-08-16,14
2022-08-17,14
2022-08-18,12
2022-08-19,10
2022-08-20,13
2022-08-21,14
2022-08-22,10
2022-08-23,11
2022-08-24,14
2022-08-25,11
2022-08-26,11
2022-08-27,15
2022-08-28,16
2022-08-29,9
2022-08-30,9
2022-08-31,13
2022-09-01,9
2022-09-02,10
2022-09-03,13
2022-09-04,13
2022-09-05,10
2022-09-06,10
2022-09-07,12
2022-09-08,10
2022-09-09,9
2022-09-10,12
2022-09-11,13
2022-09-12,11
2022-09-13,9
2022-09-14,12
2022-09-15,10
2022-09-16,9
2022-09-17,11
2022-09-18,11
2022-09-19,8
2022-09-20,9
2022-09-21,10
2022-09-22,12
2022-09-23,11
2022-09-24,14
2022-09-25,13
2022-09-26,11
2022-09-27,11
