Time,backward
2022-01-01,38.0
2022-01-02,36.0
2022-01-03,40.0
2022-01-04,41.0
2022-01-05,49.0
2022-01-06,46.0
2022-01-07,41.0
2022-01-08,31.0
2022-01-09,42.0
2022-01-10,43.0
2022-01-11,47.0
2022-01-12,48.0
2022-01-13,66.0
2022-01-14,36.0
2022-01-15,37.0
2022-01-16,41.0
2022-01-17,47.0
2022-01-18,42.0
2022-01-19,54.0
2022-01-20,48.0
2022-01-21,52.0
2022-01-22,37.0
2022-01-23,59.0
2022-01-24,78.0
2022-01-25,53.0
2022-01-26,56.0
2022-01-27,53.0
2022-01-28,53.0
2022-01-29,57.0
2022-01-30,47.0
2022-01-31,66.0
2022-02-01,61.0
2022-02-02,65.0
2022-02-03,60.0
2022-02-04,55.0
2022-02-05,50.0
2022-02-06,60.0
2022-02-07,59.0
2022-02-08,79.0
2022-02-09,59.0
2022-02-10,52.0
2022-02-11,63.0
2022-02-12,54.0
2022-02-13,64.0
2022-02-14,75.0
2022-02-15,74.0
2022-02-16,71.0
2022-02-17,66.0
2022-02-18,66.0
2022-02-19,57.0
2022-02-20,57.0
2022-02-21,66.0
2022-02-22,81.0
2022-02-23,68.0
2022-02-24,63.0
2022-02-25,67.0
2022-02-26,56.0
2022-02-27,65.0
2022-02-28,70.0
2022-03-01,69.0
2022-03-02,74.0
2022-03-03,64.0
2022-03-04,60.0
2022-03-05,62.0
2022-03-06,58.0
2022-03-07,68.0
2022-03-08,62.0
2022-03-09,72.0
2022-03-10,64.0
2022-03-11,59.0
2022-03-12,59.0
2022-03-13,100.0
2022-03-14,63.0
2022-03-15,56.0
2022-03-16,56.0
2022-03-17,60.0
2022-03-18,52.0
2022-03-19,44.0
2022-03-20,50.0
2022-03-21,60.0
2022-03-22,65.0
2022-03-23,70.0
2022-03-24,64.0
2022-03-25,62.0
2022-03-26,52.0
2022-03-27,59.0
2022-03-28,60.0
2022-03-29,70.0
2022-03-30,65.0
2022-03-31,63.0
2022-04-01,63.0
2022-04-02,55.0
2022-04-03,50.0
2022-04-04,67.0
2022-04-05,66.0
2022-04-06,72.0
2022-04-07,65.0
2022-04-08,63.0
2022-04-09,53.0
2022-04-10,54.0
2022-04-11,66.0
2022-04-12,62.0
2022-04-13,60.0
2022-04-14,74.0
2022-04-15,66.0
2022-04-16,47.0
2022-04-17,48.0
2022-04-18,70.0
2022-04-19,69.0
2022-04-20,79.0
2022-04-21,72.0
2022-04-22,70.0
2022-04-23,55.0
2022-04-24,58.0
2022-04-25,67.0
2022-04-26,66.0
2022-04-27,61.0
2022-04-28,76.0
2022-04-29,63.0
2022-04-30,52.0
2022-05-01,59.0
2022-05-02,61.0
2022-05-03,62.0
2022-05-04,61.0
2022-05-05,67.0
2022-05-06,59.0
2022-05-07,48.0
2022-05-08,61.0
2022-05-09,65.0
2022-05-10,62.0
2022-05-11,66.0
2022-05-12,57.0
2022-05-13,60.0
2022-05-14,49.0
2022-05-15,53.0
2022-05-16,52.0
2022-05-17,66.0
2022-05-18,58.0
2022-05-19,47.0
2022-05-20,49.0
2022-05-21,42.0
2022-05-22,51.0
2022-05-23,57.0
2022-05-24,48.0
2022-05-25,51.0
2022-05-26,48.0
2022-05-27,49.0
2022-05-28,43.0
2022-05-29,36.0
2022-05-30,51.0
2022-05-31,41.0
2022-06-01,48.0
2022-06-02,45.0
2022-06-03,46.0
2022-06-04,47.0
2022-06-05,49.0
2022-06-06,54.0
2022-06-07,49.0
2022-06-08,44.0
2022-06-09,52.0
2022-06-10,46.0
2022-06-11,48.0
2022-06-12,36.0
2022-06-13,39.0
2022-06-14,50.0
2022-06-15,58.0
2022-06-16,59.0
2022-06-17,45.0
2022-06-18,45.0
2022-06-19,40.0
2022-06-20,54.0
2022-06-21,46.0
2022-06-22,55.0
2022-06-23,46.0
2022-06-24,54.0
2022-06-25,40.0
2022-06-26,51.0
2022-06-27,49.0
2022-06-28,43.0
2022-06-29,45.0
2022-06-30,50.0
2022-07-01,40.0
2022-07-02,39.0
2022-07-03,44.0
2022-07-04,36.0
2022-07-05,49.0
2022-07-06,53.0
2022-07-07,57.0
2022-07-08,53.0
2022-07-09,50.0
2022-07-10,58.0
2022-07-11,46.0
2022-07-12,54.0
2022-07-13,47.0
2022-07-14,49.0
2022-07-15,43.0
2022-07-16,40.0
2022-07-17,45.0
2022-07-18,52.0
2022-07-19,47.0
2022-07-20,47.0
2022-07-21,49.0
2022-07-22,47.0
2022-07-23,42.0
2022-07-24,44.0
2022-07-25,50.0
2022-07-26,45.0
2022-07-27,47.0
2022-07-28,43.0
2022-07-29,37.0
2022-07-30,44.0
2022-07-31,43.0
2022-08-01,47.0
2022-08-02,44.0
