Time,costly
2022-01-01,21.0
2022-01-02,30.0
2022-01-03,25.0
2022-01-04,27.0
2022-01-05,24.0
2022-01-06,26.0
2022-01-07,25.0
2022-01-08,32.0
2022-01-09,20.0
2022-01-10,30.0
2022-01-11,34.0
2022-01-12,25.0
2022-01-13,43.0
2022-01-14,24.0
2022-01-15,18.0
2022-01-16,26.0
2022-01-17,21.0
2022-01-18,17.0
2022-01-19,37.0
2022-01-20,34.0
2022-01-21,38.0
2022-01-22,21.0
2022-01-23,33.0
2022-01-24,50.0
2022-01-25,27.0
2022-01-26,12.0
2022-01-27,37.0
2022-01-28,40.0
2022-01-29,16.0
2022-01-30,35.0
2022-01-31,40.0
2022-02-01,35.0
2022-02-02,40.0
2022-02-03,51.0
2022-02-04,46.0
2022-02-05,22.0
2022-02-06,38.0
2022-02-07,53.0
2022-02-08,45.0
2022-02-09,37.0
2022-02-10,36.0
2022-02-11,36.0
2022-02-12,41.0
2022-02-13,34.0
2022-02-14,56.0
2022-02-15,62.0
2022-02-16,53.0
2022-02-17,60.0
2022-02-18,52.0
2022-02-19,39.0
2022-02-20,28.0
2022-02-21,53.0
2022-02-22,56.0
2022-02-23,65.0
2022-02-24,52.0
2022-02-25,58.0
2022-02-26,100.0
2022-02-27,64.0
2022-02-28,72.0
2022-03-01,56.0
2022-03-02,60.0
2022-03-03,60.0
2022-03-04,65.0
2022-03-05,28.0
2022-03-06,37.0
2022-03-07,53.0
2022-03-08,48.0
2022-03-09,42.0
2022-03-10,49.0
2022-03-11,37.0
2022-03-12,36.0
2022-03-13,49.0
2022-03-14,47.0
2022-03-15,53.0
2022-03-16,35.0
2022-03-17,41.0
2022-03-18,36.0
2022-03-19,29.0
2022-03-20,31.0
2022-03-21,57.0
2022-03-22,43.0
2022-03-23,48.0
2022-03-24,56.0
2022-03-25,65.0
2022-03-26,38.0
2022-03-27,39.0
2022-03-28,87.0
2022-03-29,64.0
2022-03-30,52.0
2022-03-31,57.0
2022-04-01,55.0
2022-04-02,45.0
2022-04-03,49.0
2022-04-04,77.0
2022-04-05,58.0
2022-04-06,71.0
2022-04-07,54.0
2022-04-08,55.0
2022-04-09,35.0
2022-04-10,52.0
2022-04-11,62.0
2022-04-12,62.0
2022-04-13,58.0
2022-04-14,66.0
2022-04-15,49.0
2022-04-16,45.0
2022-04-17,37.0
2022-04-18,72.0
2022-04-19,73.0
2022-04-20,59.0
2022-04-21,67.0
2022-04-22,69.0
2022-04-23,38.0
2022-04-24,49.0
2022-04-25,72.0
2022-04-26,70.0
2022-04-27,60.0
2022-04-28,67.0
2022-04-29,55.0
2022-04-30,41.0
2022-05-01,42.0
2022-05-02,70.0
2022-05-03,63.0
2022-05-04,72.0
2022-05-05,58.0
2022-05-06,53.0
2022-05-07,31.0
2022-05-08,25.0
2022-05-09,71.0
2022-05-10,65.0
2022-05-11,77.0
2022-05-12,66.0
2022-05-13,37.0
2022-05-14,31.0
2022-05-15,36.0
2022-05-16,58.0
2022-05-17,49.0
2022-05-18,52.0
2022-05-19,52.0
2022-05-20,52.0
2022-05-21,34.0
2022-05-22,40.0
2022-05-23,46.0
2022-05-24,52.0
2022-05-25,39.0
2022-05-26,38.0
2022-05-27,47.0
2022-05-28,17.0
2022-05-29,32.0
2022-05-30,23.0
2022-05-31,46.0
2022-06-01,26.0
2022-06-02,28.0
2022-06-03,26.0
2022-06-04,27.0
2022-06-05,30.0
2022-06-06,38.0
2022-06-07,38.0
2022-06-08,39.0
2022-06-09,32.0
2022-06-10,32.0
2022-06-11,16.0
2022-06-12,31.0
2022-06-13,40.0
2022-06-14,30.0
2022-06-15,12.0
2022-06-16,32.0
2022-06-17,16.0
2022-06-18,25.0
2022-06-19,38.0
2022-06-20,32.0
2022-06-21,36.0
2022-06-22,38.0
2022-06-23,35.0
2022-06-24,25.0
2022-06-25,13.0
2022-06-26,23.0
2022-06-27,37.0
2022-06-28,30.0
2022-06-29,26.0
2022-06-30,35.0
2022-07-01,33.0
2022-07-02,15.0
2022-07-03,33.0
2022-07-04,19.0
2022-07-05,33.0
2022-07-06,22.0
2022-07-07,33.0
2022-07-08,25.0
