Time,blooket_join
2022-01-01,1.0
2022-01-02,0.0
2022-01-03,3.0
2022-01-04,5.0
2022-01-05,6.0
2022-01-06,6.0
2022-01-07,8.0
2022-01-08,1.0
2022-01-09,1.0
2022-01-10,7.0
2022-01-11,8.0
2022-01-12,8.0
2022-01-13,11.0
2022-01-14,9.0
2022-01-15,2.0
2022-01-16,1.0
2022-01-17,1.0
2022-01-18,6.0
2022-01-19,7.0
2022-01-20,10.0
2022-01-21,12.0
2022-01-22,2.0
2022-01-23,1.0
2022-01-24,8.0
2022-01-25,7.0
2022-01-26,9.0
2022-01-27,12.0
2022-01-28,14.0
2022-01-29,3.0
2022-01-30,1.0
2022-01-31,9.0
2022-02-01,10.0
2022-02-02,10.0
2022-02-03,11.0
2022-02-04,11.0
2022-02-05,3.0
2022-02-06,2.0
2022-02-07,9.0
2022-02-08,9.0
2022-02-09,11.0
2022-02-10,12.0
2022-02-11,15.0
2022-02-12,2.0
2022-02-13,1.0
2022-02-14,8.0
2022-02-15,9.0
2022-02-16,10.0
2022-02-17,13.0
2022-02-18,12.0
2022-02-19,2.0
2022-02-20,2.0
2022-02-21,3.0
2022-02-22,8.0
2022-02-23,8.0
2022-02-24,10.0
2022-02-25,12.0
2022-02-26,3.0
2022-02-27,1.0
2022-02-28,8.0
2022-03-01,10.0
2022-03-02,10.0
2022-03-03,12.0
2022-03-04,14.0
2022-03-05,3.0
2022-03-06,2.0
2022-03-07,9.0
2022-03-08,10.0
2022-03-09,11.0
2022-03-10,14.0
2022-03-11,12.0
2022-03-12,2.0
2022-03-13,2.0
2022-03-14,7.0
2022-03-15,8.0
2022-03-16,9.0
2022-03-17,10.0
2022-03-18,9.0
2022-03-19,2.0
2022-03-20,1.0
2022-03-21,7.0
2022-03-22,9.0
2022-03-23,10.0
2022-03-24,12.0
2022-03-25,52.0
2022-03-26,3.0
2022-03-27,2.0
2022-03-28,28.0
2022-03-29,32.0
2022-03-30,11.0
2022-03-31,44.0
2022-04-01,50.0
2022-04-02,3.0
2022-04-03,2.0
2022-04-04,29.0
2022-04-05,31.0
2022-04-06,37.0
2022-04-07,42.0
2022-04-08,54.0
2022-04-09,3.0
2022-04-10,2.0
2022-04-11,29.0
2022-04-12,34.0
2022-04-13,39.0
2022-04-14,43.0
2022-04-15,17.0
2022-04-16,2.0
2022-04-17,2.0
2022-04-18,21.0
2022-04-19,31.0
2022-04-20,34.0
2022-04-21,39.0
2022-04-22,47.0
2022-04-23,3.0
2022-04-24,2.0
2022-04-25,38.0
2022-04-26,41.0
2022-04-27,43.0
2022-04-28,48.0
2022-04-29,60.0
2022-04-30,4.0
2022-05-01,2.0
2022-05-02,39.0
2022-05-03,43.0
2022-05-04,46.0
2022-05-05,50.0
2022-05-06,60.0
2022-05-07,4.0
2022-05-08,2.0
2022-05-09,47.0
2022-05-10,44.0
2022-05-11,46.0
2022-05-12,54.0
2022-05-13,63.0
2022-05-14,4.0
2022-05-15,3.0
2022-05-16,43.0
2022-05-17,45.0
2022-05-18,51.0
2022-05-19,54.0
2022-05-20,53.0
2022-05-21,3.0
2022-05-22,2.0
2022-05-23,45.0
2022-05-24,46.0
2022-05-25,44.0
2022-05-26,40.0
2022-05-27,34.0
2022-05-28,3.0
2022-05-29,2.0
2022-05-30,1.0
2022-05-31,23.0
2022-06-01,21.0
2022-06-02,25.0
2022-06-03,25.0
2022-06-04,2.0
2022-06-05,1.0
2022-06-06,21.0
2022-06-07,20.0
2022-06-08,22.0
2022-06-09,19.0
2022-06-10,17.0
2022-06-11,2.0
2022-06-12,1.0
2022-06-13,16.0
2022-06-14,16.0
2022-06-15,15.0
2022-06-16,15.0
2022-06-17,11.0
2022-06-18,1.0
2022-06-19,1.0
2022-06-20,5.0
2022-06-21,9.0
2022-06-22,9.0
2022-06-23,9.0
2022-06-24,5.0
2022-06-25,1.0
2022-06-26,1.0
2022-06-27,5.0
2022-06-28,4.0
2022-06-29,5.0
2022-06-30,5.0
2022-07-01,2.0
2022-07-02,0.0
2022-07-03,1.0
2022-07-04,0.0
2022-07-05,2.0
2022-07-06,2.0
2022-07-07,3.0
2022-07-08,2.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,3.0
2022-07-12,2.0
2022-07-13,3.0
2022-07-14,3.0
2022-07-15,2.0
2022-07-16,1.0
2022-07-17,1.0
2022-07-18,2.0
2022-07-19,2.0
2022-07-20,3.0
2022-07-21,3.0
2022-07-22,1.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,2.0
2022-07-26,3.0
2022-07-27,2.0
2022-07-28,3.0
2022-07-29,2.0
2022-07-30,1.0
2022-07-31,0.0
2022-08-01,2.0
2022-08-02,2.0
2022-08-03,3.0
2022-08-04,4.0
2022-08-05,7.0
2022-08-06,1.0
2022-08-07,1.0
2022-08-08,5.0
2022-08-09,7.0
2022-08-10,9.0
2022-08-11,12.0
2022-08-12,18.0
2022-08-13,1.0
2022-08-14,1.0
2022-08-15,12.0
2022-08-16,16.0
2022-08-17,19.0
2022-08-18,25.0
2022-08-19,39.0
2022-08-20,2.0
2022-08-21,1.0
2022-08-22,22.0
2022-08-23,29.0
2022-08-24,33.0
2022-08-25,45.0
2022-08-26,58.0
2022-08-27,3.0
2022-08-28,1.0
2022-08-29,33.75443968156767
2022-08-30,40.1053276178812
2022-08-31,48.01469687691366
2022-09-01,61.71647274954073
2022-09-02,63.333435394978565
2022-09-03,3.6754439681567668
2022-09-04,2.1169626454378445
2022-09-05,1.0584813227189223
2022-09-06,40.1053276178812
2022-09-07,46.956215554194735
2022-09-08,60.1579914268218
2022-09-09,74.9182486221678
2022-09-10,3.6754439681567668
2022-09-11,2.1169626454378445
2022-09-12,45.89773423147581
2022-09-13,56.98254745866504
2022-09-14,63.333435394978565
2022-09-15,71.24280465401102
2022-09-16,100.263319044703
2022-09-17,4.733925290875689
2022-09-18,3.1754439681567668
2022-09-19,53.30710349050827
2022-09-20,70.6843233312921
2022-09-21,71.24280465401102
2022-09-22,70.6843233312921
2022-09-23,84.94458052663809
2022-09-24,5.292406613594611
2022-09-25,3.6754439681567668
2022-09-26,44.83925290875689
2022-09-27,55.92406613594611
2022-09-28,63.66687078995714
2022-09-29,55.848132271892226
2022-09-30,40.2106552357624
2022-10-01,3.3508879363135335
2022-10-02,3.3508879363135335
2022-10-03,37.97672994488671
2022-10-04,27.924066135946113
2022-10-05,23.456215554194735
2022-10-06,31.274954072259646
2022-10-07,29.041028781383957
2022-10-08,1.1169626454378445
2022-10-09,1.1169626454378445
2022-10-10,13.403551745254134
2022-10-11,20.1053276178812
2022-10-12,20.1053276178812
2022-10-13,27.924066135946113
2022-10-14,31.274954072259646
2022-10-15,2.233925290875689
2022-10-16,2.233925290875689
2022-10-17,39.09369259032456
2022-10-18,48.029393753827314
2022-10-19,59.19902020820576
2022-10-20,64.78383343539498
2022-10-21,72.60257195345989
2022-10-22,4.467850581751378
2022-10-23,3.3508879363135335
2022-10-24,49.14635639926516
2022-10-25,58.082057562767915
2022-10-26,67.01775872627067
2022-10-27,74.83649724433559
2022-10-28,87.12308634415187
2022-10-29,6.701775872627067
2022-10-30,3.3508879363135335
2022-10-31,72.60257195345989
2022-11-01,58.082057562767915
2022-11-02,60.315982853643604
2022-11-03,70.36864666258421
2022-11-04,81.53827311696264
2022-11-05,8.935701163502756
2022-11-06,4.467850581751378
2022-11-07,48.029393753827314
2022-11-08,40.2106552357624
2022-11-09,64.78383343539498
2022-11-10,82.6552357624005
2022-11-11,62.54990814451929
2022-11-12,6.701775872627067
2022-11-13,4.467850581751378
2022-11-14,58.082057562767915
2022-11-15,63.66687078995714
2022-11-16,73.71953459889774
2022-11-17,81.53827311696264
2022-11-18,97.17575015309248
2022-11-19,7.818738518064912
2022-11-20,5.584813227189223
2022-11-21,41.32761788120025
2022-11-22,54.73116962645438
2022-11-23,18.988364972443357
2022-11-24,4.467850581751378
2022-11-25,3.3508879363135335
2022-11-26,2.233925290875689
2022-11-27,2.233925290875689
2022-11-28,41.32761788120025
2022-11-29,46.91243110838947
2022-11-30,64.78383343539498
2022-12-01,64.78383343539498
2022-12-02,81.53827311696264
2022-12-03,5.584813227189223
2022-12-04,4.467850581751378
2022-12-05,54.73116962645438
2022-12-06,62.54990814451929
2022-12-07,79.30434782608697
2022-12-08,87.12308634415187
2022-12-09,93.82486221677894
2022-12-10,7.818738518064912
2022-12-11,4.467850581751378
2022-12-12,74.83649724433559
2022-12-13,75.95345988977343
2022-12-14,79.30434782608697
2022-12-15,98.29271279853032
2022-12-16,104.99448867115738
2022-12-17,8.935701163502756
2022-12-18,4.467850581751378
2022-12-19,55.848132271892226
2022-12-20,63.66687078995714
2022-12-21,59.19902020820576
2022-12-22,41.32761788120025
2022-12-23,17.871402327005512
2022-12-24,4.467850581751378
2022-12-25,3.3508879363135335
2022-12-26,2.233925290875689
2022-12-27,2.233925290875689
2022-12-28,2.233925290875689
2022-12-29,2.233925290875689
2022-12-30,2.233925290875689
2022-12-31,1.1169626454378445
2023-01-01,2.233925290875689
2023-01-02,4.467850581751378
2023-01-03,25.690140845070424
2023-01-04,37.97672994488671
2023-01-05,48.029393753827314
2023-01-06,69.25168401714636
2023-01-07,3.3508879363135335
2023-01-08,2.233925290875689
2023-01-09,52.49724433557869
2023-01-10,63.66687078995714
2023-01-11,65.90079608083283
2023-01-12,78.18738518064912
2023-01-13,92.7078995713411
2023-01-14,6.701775872627067
2023-01-15,4.467850581751378
2023-01-16,4.467850581751378
2023-01-17,60.315982853643604
2023-01-18,64.78383343539498
2023-01-19,74.83649724433559
2023-01-20,93.82486221677894
2023-01-21,7.818738518064912
2023-01-22,4.467850581751378
2023-01-23,59.19902020820576
2023-01-24,68.13472137170851
2023-01-25,69.25168401714636
2023-01-26,81.53827311696264
2023-01-27,91.59093692590325
2023-01-28,7.818738518064912
2023-01-29,4.467850581751378
2023-01-30,60.315982853643604
2023-01-31,63.66687078995714
2023-02-01,63.66687078995714
2023-02-02,78.18738518064912
2023-02-03,110.57930189834661
2023-02-04,8.935701163502756
2023-02-05,5.584813227189223
2023-02-06,69.25168401714636
2023-02-07,81.53827311696264
2023-02-08,86.00612369871402
2023-02-09,89.35701163502756
2023-02-10,104.99448867115738
2023-02-11,10.0526638089406
2023-02-12,6.701775872627067
2023-02-13,61.43294549908145
2023-02-14,83.77219840783835
2023-02-15,89.35701163502756
2023-02-16,89.35701163502756
2023-02-17,97.17575015309248
2023-02-18,10.0526638089406
2023-02-19,5.584813227189223
2023-02-20,13.403551745254134
2023-02-21,56.96509491733007
2023-02-22,64.78383343539498
2023-02-23,72.60257195345989
2023-02-24,89.35701163502756
2023-02-25,8.935701163502756
2023-02-26,5.584813227189223
2023-02-27,69.25168401714636
2023-02-28,71.48560930802205
2023-03-01,73.71953459889774
2023-03-02,84.88916105327618
2023-03-03,98.29271279853032
2023-03-04,10.0526638089406
2023-03-05,5.584813227189223
2023-03-06,71.48560930802205
2023-03-07,74.83649724433559
2023-03-08,77.07042253521126
2023-03-09,88.24004898958972
2023-03-10,100.526638089406
2023-03-11,8.935701163502756
2023-03-12,5.584813227189223
2023-03-13,46.91243110838947
2023-03-14,59.19902020820576
2023-03-15,62.54990814451929
2023-03-16,65.90079608083283
2023-03-17,71.48560930802205
2023-03-18,6.701775872627067
2023-03-19,4.467850581751378
2023-03-20,56.96509491733007
2023-03-21,69.25168401714636
2023-03-22,75.95345988977343
2023-03-23,80.4213104715248
2023-03-24,94.94182486221678
2023-03-25,7.818738518064912
2023-03-26,4.467850581751378
2023-03-27,56.96509491733007
2023-03-28,65.90079608083283
2023-03-29,73.71953459889774
2023-03-30,96.05878750765463
2023-03-31,88.24004898958972
2023-04-01,6.701775872627067
2023-04-02,3.3508879363135335
2023-04-03,52.49724433557869
2023-04-04,60.315982853643604
2023-04-05,68.13472137170851
2023-04-06,75.95345988977343
2023-04-07,24.57317819963258
2023-04-08,3.3508879363135335
2023-04-09,3.3508879363135335
2023-04-10,39.09369259032456
2023-04-11,59.19902020820576
2023-04-12,61.43294549908145
2023-04-13,73.71953459889774
2023-04-14,88.24004898958972
2023-04-15,6.701775872627067
2023-04-16,3.3508879363135335
2023-04-17,67.01775872627067
2023-04-18,81.53827311696264
2023-04-19,82.6552357624005
2023-04-20,88.24004898958972
2023-04-21,104.99448867115738
2023-04-22,6.701775872627067
2023-04-23,4.467850581751378
2023-04-24,78.18738518064912
2023-04-25,80.4213104715248
2023-04-26,87.99107127591887
2023-04-27,91.35386319719579
2023-04-28,106.7656675043014
2023-04-29,7.284065165272764
2023-04-30,4.7649472205559205
2023-05-01,84.06979803192303
2023-05-02,77.90269551208812
2023-05-03,82.66764273264403
2023-05-04,89.39322657519787
2023-05-05,98.07944703974962
2023-05-06,6.725583842553842
2023-05-07,4.7649472205559205
2023-05-08,79.86333213408602
2023-05-09,73.98142226809227
2023-05-10,84.62827935464195
2023-05-11,89.95170789791679
2023-05-12,111.53061472485732
2023-05-13,6.725583842553842
2023-05-14,5.323428543274843
2023-05-15,89.39322657519787
2023-05-16,86.03043465392093
2023-05-17,89.95170789791679
2023-05-18,90.79538187447687
2023-05-19,94.71665511847272
2023-05-20,6.725583842553842
2023-05-21,4.7649472205559205
2023-05-22,75.94205889009018
2023-05-23,77.34421418936918
2023-05-24,73.13774829153218
2023-05-25,67.25583842553843
2023-05-26,55.68248245296509
2023-05-27,5.062043859360463
2023-05-28,3.3746959062403086
2023-05-29,3.3746959062403086
2023-05-30,42.183698828003855
2023-05-31,38.80900292176355
2023-06-01,42.183698828003855
2023-06-02,40.4963508748837
2023-06-03,3.3746959062403086
2023-06-04,1.6873479531201543
2023-06-05,33.746959062403086
2023-06-06,33.746959062403086
2023-06-07,33.746959062403086
2023-06-08,32.05961110928293
2023-06-09,26.99756724992247
2023-06-10,1.6873479531201543
2023-06-11,1.6873479531201543
2023-06-12,21.935523390562004
2023-06-13,23.62287134368216
2023-06-14,18.5608274843217
2023-06-15,18.5608274843217
2023-06-16,11.81143567184108
2023-06-17,1.6873479531201543
2023-06-18,1.6873479531201543
2023-06-19,3.3746959062403086
2023-06-20,10.124087718720926
2023-06-21,11.81143567184108
2023-06-22,11.81143567184108
2023-06-23,6.749391812480617
2023-06-24,1.6873479531201543
2023-06-25,1.6873479531201543
2023-06-26,6.749391812480617
2023-06-27,6.749391812480617
2023-06-28,6.749391812480617
2023-06-29,5.062043859360463
2023-06-30,3.3746959062403086
2023-07-01,0.0
2023-07-02,1.6873479531201543
2023-07-03,1.6873479531201543
2023-07-04,1.6873479531201543
2023-07-05,3.3746959062403086
2023-07-06,3.3746959062403086
2023-07-07,3.3746959062403086
2023-07-08,1.6873479531201543
2023-07-09,0.0
2023-07-10,3.3746959062403086
2023-07-11,3.3746959062403086
2023-07-12,5.062043859360463
2023-07-13,5.062043859360463
2023-07-14,3.3746959062403086
2023-07-15,0.0
2023-07-16,1.6873479531201543
2023-07-17,3.3746959062403086
2023-07-18,3.3746959062403086
2023-07-19,5.062043859360463
2023-07-20,5.062043859360463
2023-07-21,1.6873479531201543
2023-07-22,1.6873479531201543
2023-07-23,0.0
2023-07-24,3.3746959062403086
2023-07-25,3.3746959062403086
2023-07-26,3.3746959062403086
2023-07-27,3.3746959062403086
2023-07-28,3.3746959062403086
2023-07-29,1.6873479531201543
2023-07-30,1.6873479531201543
2023-07-31,3.3746959062403086
2023-08-01,3.3746959062403086
2023-08-02,5.062043859360463
2023-08-03,6.749391812480617
2023-08-04,10.124087718720926
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,6.749391812480617
2023-08-08,10.124087718720926
2023-08-09,13.498783624961234
2023-08-10,21.935523390562004
2023-08-11,33.746959062403086
2023-08-12,1.6873479531201543
2023-08-13,1.6873479531201543
2023-08-14,20.24817543744185
2023-08-15,30.372263156162777
2023-08-16,35.43430701552324
2023-08-17,43.87104678112401
2023-08-18,65.80657017168602
2023-08-19,3.3746959062403086
2023-08-20,3.3746959062403086
2023-08-21,40.4963508748837
2023-08-22,47.24574268736432
2023-08-23,57.36983040608524
2023-08-24,72.55596198416663
2023-08-25,87.74209356224802
2023-08-26,5.062043859360463
2023-08-27,3.3746959062403086
2023-08-28,57.36983040608524
2023-08-29,69.18126607792632
2023-08-30,74.2433099372868
2023-08-31,87.74209356224802
2023-09-01,92.80413742160849
2023-09-02,5.062043859360463
2023-09-03,3.3746959062403086
2023-09-04,3.3746959062403086
2023-09-05,69.18126607792632
2023-09-06,80.9927017497674
2023-09-07,92.80413742160849
2023-09-08,134.98783624961234
2023-09-09,6.749391812480617
2023-09-10,3.3746959062403086
2023-09-11,75.93065789040695
2023-09-12,91.11678946848834
2023-09-13,99.5535292340891
2023-09-14,121.48905262465111
2023-09-15,155.2360116870542
2023-09-16,6.749391812480617
2023-09-17,6.749391812480617
2023-09-18,82.68004970288756
2023-09-19,102.92822514032942
2023-09-20,121.48905262465111
2023-09-21,131.61314034337204
2023-09-22,168.73479531201542
2023-09-23,6.749391812480617
2023-09-24,6.749391812480617
2023-09-25,80.9927017497674
2023-09-26,102.92822514032942
2023-09-27,107.99026899968987
2023-09-28,123.17640057777126
2023-09-29,167.04744735889528
2023-09-30,6.749391812480617
2023-10-01,5.062043859360463
2023-10-02,87.74209356224802
2023-10-03,96.17883332784879
2023-10-04,111.36496490593018
2023-10-05,113.05231285905033
2023-10-06,148.4866198745736
2023-10-07,8.436739765600771
2023-10-08,5.062043859360463
2023-10-09,57.36983040608524
2023-10-10,96.17883332784879
2023-10-11,94.49148537472864
2023-10-12,101.24087718720926
2023-10-13,119.80170467153096
2023-10-14,8.436739765600771
2023-10-15,5.062043859360463
2023-10-16,75.93065789040695
2023-10-17,92.80413742160849
2023-10-18,92.80413742160849
2023-10-19,109.67761695281003
2023-10-20,126.55109648401157
2023-10-21,8.436739765600771
2023-10-22,5.062043859360463
2023-10-23,79.30535379664725
2023-10-24,91.11678946848834
2023-10-25,89.42944151536818
2023-10-26,109.67761695281003
2023-10-27,128.23844443713173
2023-10-28,6.749391812480617
2023-10-29,5.062043859360463
2023-10-30,79.30535379664725
2023-10-31,119.80170467153096
2023-11-01,94.49148537472864
2023-11-02,86.05474560912786
2023-11-03,109.67761695281003
2023-11-04,8.436739765600771
2023-11-05,5.062043859360463
2023-11-06,69.18126607792632
2023-11-07,65.80657017168602
2023-11-08,84.36739765600771
2023-11-09,97.86618128096895
2023-11-10,79.30535379664725
2023-11-11,6.749391812480617
2023-11-12,5.062043859360463
2023-11-13,72.55596198416663
2023-11-14,86.05474560912786
2023-11-15,97.86618128096895
2023-11-16,97.86618128096895
2023-11-17,153.54866373393403
2023-11-18,6.749391812480617
2023-11-19,6.749391812480617
2023-11-20,57.36983040608524
2023-11-21,79.30535379664725
2023-11-22,20.24817543744185
2023-11-23,5.062043859360463
2023-11-24,3.3746959062403086
2023-11-25,1.6873479531201543
2023-11-26,1.6873479531201543
2023-11-27,64.11922221856587
2023-11-28,75.93065789040695
2023-11-29,84.36739765600771
2023-11-30,91.11678946848834
2023-12-01,111.36496490593018
2023-12-02,8.436739765600771
2023-12-03,5.062043859360463
2023-12-04,75.93065789040695
2023-12-05,84.36739765600771
2023-12-06,96.17883332784879
2023-12-07,102.92822514032942
2023-12-08,124.86374853089141
2023-12-09,10.124087718720926
2023-12-10,5.062043859360463
2023-12-11,86.05474560912786
2023-12-12,94.49148537472864
2023-12-13,121.48905262465111
2023-12-14,148.4866198745736
2023-12-15,167.04744735889528
2023-12-16,10.124087718720926
2023-12-17,6.749391812480617
2023-12-18,101.24087718720926
2023-12-19,119.80170467153096
2023-12-20,107.99026899968987
2023-12-21,97.86618128096895
2023-12-22,66.69278962836765
2023-12-23,6.2816809561783575
2023-12-24,4.469011962972265
2023-12-25,3.6253379864121875
2023-12-26,1.8126689932060938
2023-12-27,1.8126689932060938
2023-12-28,2.656342969766171
2023-12-29,2.656342969766171
2023-12-30,1.8126689932060938
2023-12-31,1.8126689932060938
2024-01-01,1.8126689932060938
2024-01-02,19.81403788518109
2024-01-03,42.409739780214295
2024-01-04,54.12942771601093
2024-01-05,73.94346560119203
2024-01-06,3.6253379864121875
2024-01-07,2.656342969766171
2024-01-08,65.84911565180758
2024-01-09,71.28712263142586
2024-01-10,82.03781555057648
2024-01-11,91.10116051660694
2024-01-12,119.9785433678185
2024-01-13,6.2816809561783575
2024-01-14,4.469011962972265
2024-01-15,6.2816809561783575
2024-01-16,52.316758722804835
2024-01-17,77.56880358760421
2024-01-18,91.10116051660694
2024-01-19,92.91382950981304
2024-01-20,7.250675972824375
2024-01-21,3.875980066584066
2024-01-22,79.45759136497335
2024-01-23,87.20955149814148
2024-01-24,94.96151163130962
2024-01-25,104.65146179776978
2024-01-26,122.09337209739807
2024-01-27,7.751960133168132
2024-01-28,5.813970099876099
2024-01-29,83.33357143155742
2024-01-30,89.14754153143352
2024-01-31,93.02352159801758
2024-02-01,100.77548173118572
2024-02-02,129.8453322305662
2024-02-03,7.751960133168132
2024-02-04,3.875980066584066
2024-02-05,75.58161129838929
2024-02-06,87.20955149814148
2024-02-07,87.20955149814148
2024-02-08,102.71347176447775
