Time,amc
2022-01-01,40.0
2022-01-02,36.0
2022-01-03,30.0
2022-01-04,30.0
2022-01-05,24.0
2022-01-06,21.0
2022-01-07,33.0
2022-01-08,36.0
2022-01-09,29.0
2022-01-10,20.0
2022-01-11,20.0
2022-01-12,20.0
2022-01-13,25.0
2022-01-14,27.0
2022-01-15,34.0
2022-01-16,28.0
2022-01-17,23.0
2022-01-18,24.0
2022-01-19,19.0
2022-01-20,20.0
2022-01-21,26.0
2022-01-22,32.0
2022-01-23,23.0
2022-01-24,29.0
2022-01-25,19.0
2022-01-26,18.0
2022-01-27,17.0
2022-01-28,25.0
2022-01-29,27.0
2022-01-30,21.0
2022-01-31,17.0
2022-02-01,21.0
2022-02-02,19.0
2022-02-03,18.0
2022-02-04,26.0
2022-02-05,32.0
2022-02-06,26.0
2022-02-07,19.0
2022-02-08,25.0
2022-02-09,23.0
2022-02-10,21.0
2022-02-11,30.0
2022-02-12,33.0
2022-02-13,22.0
2022-02-14,28.0
2022-02-15,28.0
2022-02-16,24.0
2022-02-17,25.0
2022-02-18,33.0
2022-02-19,40.0
2022-02-20,35.0
2022-02-21,28.0
2022-02-22,27.0
2022-02-23,23.0
2022-02-24,23.0
2022-02-25,28.0
2022-02-26,34.0
2022-02-27,29.0
2022-02-28,25.0
2022-03-01,29.0
2022-03-02,29.0
2022-03-03,30.0
2022-03-04,42.0
2022-03-05,51.0
2022-03-06,44.0
2022-03-07,31.0
2022-03-08,31.0
2022-03-09,26.0
2022-03-10,27.0
2022-03-11,34.0
2022-03-12,44.0
2022-03-13,38.0
2022-03-14,27.0
2022-03-15,29.0
2022-03-16,24.0
2022-03-17,27.0
2022-03-18,33.0
2022-03-19,40.0
2022-03-20,32.0
2022-03-21,23.0
2022-03-22,28.0
2022-03-23,31.0
2022-03-24,28.0
2022-03-25,31.0
2022-03-26,36.0
2022-03-27,31.0
2022-03-28,33.0
2022-03-29,38.0
2022-03-30,31.0
2022-03-31,27.0
2022-04-01,34.0
2022-04-02,34.0
2022-04-03,30.0
2022-04-04,24.0
2022-04-05,24.0
2022-04-06,32.0
2022-04-07,26.0
2022-04-08,34.0
2022-04-09,42.0
2022-04-10,35.0
2022-04-11,26.0
2022-04-12,25.0
2022-04-13,26.0
2022-04-14,27.0
2022-04-15,33.0
2022-04-16,35.0
2022-04-17,33.0
2022-04-18,29.0
2022-04-19,31.0
2022-04-20,23.0
2022-04-21,22.0
2022-04-22,29.0
2022-04-23,36.0
2022-04-24,31.0
2022-04-25,22.0
2022-04-26,22.0
2022-04-27,19.0
2022-04-28,21.0
2022-04-29,24.0
2022-04-30,32.0
2022-05-01,28.0
2022-05-02,23.0
2022-05-03,25.0
2022-05-04,24.0
2022-05-05,30.0
2022-05-06,45.0
2022-05-07,52.0
2022-05-08,42.0
2022-05-09,29.0
2022-05-10,28.0
2022-05-11,25.0
2022-05-12,28.0
2022-05-13,32.0
2022-05-14,36.0
2022-05-15,32.0
2022-05-16,21.0
2022-05-17,24.0
2022-05-18,23.0
2022-05-19,24.0
2022-05-20,29.0
2022-05-21,34.0
2022-05-22,29.0
2022-05-23,23.0
2022-05-24,27.0
2022-05-25,26.0
2022-05-26,30.0
2022-05-27,44.0
2022-05-28,47.0
2022-05-29,47.0
2022-05-30,42.0
2022-05-31,37.0
2022-06-01,31.0
2022-06-02,31.0
2022-06-03,38.0
2022-06-04,40.0
2022-06-05,38.0
2022-06-06,31.0
2022-06-07,34.0
2022-06-08,33.0
2022-06-09,35.0
2022-06-10,49.0
2022-06-11,58.0
2022-06-12,56.0
2022-06-13,37.0
2022-06-14,36.0
2022-06-15,33.0
2022-06-16,32.0
2022-06-17,41.0
2022-06-18,47.0
2022-06-19,48.0
2022-06-20,33.0
2022-06-21,33.0
2022-06-22,31.0
2022-06-23,29.0
2022-06-24,41.0
2022-06-25,47.0
2022-06-26,44.0
2022-06-27,38.0
2022-06-28,37.0
2022-06-29,36.0
2022-06-30,37.0
2022-07-01,52.0
2022-07-02,59.0
2022-07-03,48.0
2022-07-04,44.0
2022-07-05,41.0
2022-07-06,38.0
2022-07-07,48.0
2022-07-08,58.0
2022-07-09,62.0
2022-07-10,53.0
2022-07-11,37.0
2022-07-12,42.0
2022-07-13,33.0
2022-07-14,31.0
2022-07-15,39.0
2022-07-16,45.0
2022-07-17,41.0
2022-07-18,34.0
2022-07-19,38.0
2022-07-20,32.0
2022-07-21,32.0
2022-07-22,39.0
2022-07-23,42.0
2022-07-24,38.0
2022-07-25,34.0
2022-07-26,34.0
2022-07-27,28.0
2022-07-28,28.0
2022-07-29,34.0
2022-07-30,36.0
2022-07-31,33.0
2022-08-01,27.0
2022-08-02,31.0
2022-08-03,28.0
