Time,benevolent
2022-01-01,59.0
2022-01-02,48.0
2022-01-03,46.0
2022-01-04,61.0
2022-01-05,79.0
2022-01-06,59.0
2022-01-07,77.0
2022-01-08,42.0
2022-01-09,47.0
2022-01-10,48.0
2022-01-11,70.0
2022-01-12,68.0
2022-01-13,82.0
2022-01-14,52.0
2022-01-15,52.0
2022-01-16,39.0
2022-01-17,44.0
2022-01-18,58.0
2022-01-19,66.0
2022-01-20,70.0
2022-01-21,74.0
2022-01-22,62.0
2022-01-23,51.0
2022-01-24,82.0
2022-01-25,70.0
2022-01-26,53.0
2022-01-27,68.0
2022-01-28,73.0
2022-01-29,53.0
2022-01-30,66.0
2022-01-31,78.0
2022-02-01,85.0
2022-02-02,65.0
2022-02-03,69.0
2022-02-04,70.0
2022-02-05,53.0
2022-02-06,46.0
2022-02-07,84.0
2022-02-08,73.0
2022-02-09,75.0
2022-02-10,63.0
2022-02-11,58.0
2022-02-12,47.0
2022-02-13,42.0
2022-02-14,60.0
2022-02-15,71.0
2022-02-16,78.0
2022-02-17,60.0
2022-02-18,69.0
2022-02-19,56.0
2022-02-20,53.0
2022-02-21,66.0
2022-02-22,64.0
2022-02-23,75.0
2022-02-24,82.0
2022-02-25,60.0
2022-02-26,49.0
2022-02-27,57.0
2022-02-28,76.0
2022-03-01,71.0
2022-03-02,72.0
2022-03-03,62.0
2022-03-04,78.0
2022-03-05,38.0
2022-03-06,50.0
2022-03-07,70.0
2022-03-08,67.0
2022-03-09,96.0
2022-03-10,64.0
2022-03-11,55.0
2022-03-12,45.0
2022-03-13,44.0
2022-03-14,65.0
2022-03-15,61.0
2022-03-16,59.0
2022-03-17,74.0
2022-03-18,53.0
2022-03-19,49.0
2022-03-20,48.0
2022-03-21,80.0
2022-03-22,60.0
2022-03-23,64.0
2022-03-24,63.0
2022-03-25,72.0
2022-03-26,38.0
2022-03-27,55.0
2022-03-28,75.0
2022-03-29,74.0
2022-03-30,65.0
2022-03-31,83.0
2022-04-01,66.0
2022-04-02,41.0
2022-04-03,48.0
2022-04-04,80.0
2022-04-05,83.0
2022-04-06,64.0
2022-04-07,77.0
2022-04-08,63.0
2022-04-09,49.0
2022-04-10,44.0
2022-04-11,84.0
2022-04-12,69.0
2022-04-13,64.0
2022-04-14,79.0
2022-04-15,57.0
2022-04-16,52.0
2022-04-17,40.0
2022-04-18,66.0
2022-04-19,68.0
2022-04-20,75.0
2022-04-21,81.0
2022-04-22,76.0
2022-04-23,50.0
2022-04-24,56.0
2022-04-25,75.0
2022-04-26,99.0
2022-04-27,76.0
2022-04-28,86.0
2022-04-29,71.0
2022-04-30,50.0
2022-05-01,58.0
2022-05-02,87.0
2022-05-03,74.0
2022-05-04,71.0
2022-05-05,76.0
2022-05-06,65.0
2022-05-07,51.0
2022-05-08,48.0
2022-05-09,75.0
2022-05-10,69.0
2022-05-11,79.0
2022-05-12,71.0
2022-05-13,63.0
2022-05-14,52.0
2022-05-15,34.0
2022-05-16,53.0
2022-05-17,65.0
2022-05-18,71.0
2022-05-19,65.0
2022-05-20,59.0
2022-05-21,51.0
2022-05-22,57.0
2022-05-23,50.0
2022-05-24,55.0
2022-05-25,63.0
2022-05-26,62.0
2022-05-27,51.0
2022-05-28,36.0
2022-05-29,40.0
2022-05-30,44.0
2022-05-31,55.0
2022-06-01,53.0
2022-06-02,52.0
2022-06-03,57.0
2022-06-04,34.0
2022-06-05,53.0
2022-06-06,57.0
2022-06-07,52.0
2022-06-08,57.0
2022-06-09,69.0
2022-06-10,66.0
2022-06-11,52.0
2022-06-12,70.0
2022-06-13,62.0
2022-06-14,55.0
2022-06-15,66.0
2022-06-16,61.0
2022-06-17,45.0
2022-06-18,51.0
2022-06-19,49.0
2022-06-20,50.0
2022-06-21,63.0
2022-06-22,56.0
2022-06-23,57.0
2022-06-24,58.0
2022-06-25,55.0
2022-06-26,69.0
2022-06-27,74.0
2022-06-28,71.0
2022-06-29,65.0
2022-06-30,61.0
2022-07-01,48.0
2022-07-02,42.0
2022-07-03,46.0
2022-07-04,58.0
2022-07-05,42.0
2022-07-06,39.0
2022-07-07,51.0
2022-07-08,53.0
2022-07-09,53.0
2022-07-10,51.0
2022-07-11,47.0
2022-07-12,45.0
2022-07-13,50.0
2022-07-14,59.0
2022-07-15,42.0
2022-07-16,53.0
2022-07-17,49.0
2022-07-18,48.0
2022-07-19,55.0
2022-07-20,82.0
2022-07-21,51.0
2022-07-22,57.0
2022-07-23,41.0
2022-07-24,46.0
2022-07-25,44.0
2022-07-26,58.0
2022-07-27,57.0
2022-07-28,54.0
2022-07-29,54.0
2022-07-30,49.0
2022-07-31,52.0
2022-08-01,52.0
2022-08-02,53.0
2022-08-03,49.0
2022-08-04,46.0
2022-08-05,48.0
2022-08-06,40.0
2022-08-07,47.0
2022-08-08,49.0
2022-08-09,42.0
2022-08-10,49.0
2022-08-11,49.0
2022-08-12,54.0
2022-08-13,45.0
2022-08-14,44.0
2022-08-15,56.0
2022-08-16,44.0
2022-08-17,56.0
2022-08-18,60.0
2022-08-19,66.0
2022-08-20,48.0
2022-08-21,48.0
2022-08-22,68.0
2022-08-23,64.0
2022-08-24,70.0
2022-08-25,68.0
2022-08-26,63.0
2022-08-27,46.0
2022-08-28,55.0
2022-08-29,78.95205479452055
2022-08-30,77.9041095890411
2022-08-31,85.23972602739727
2022-09-01,86.2876712328767
2022-09-02,61.68493150684931
2022-09-03,39.226027397260275
2022-09-04,51.25342465753425
2022-09-05,43.917808219178085
2022-09-06,76.85616438356163
2022-09-07,82.0958904109589
2022-09-08,92.02739726027397
2022-09-09,80.0
2022-09-10,44.965753424657535
2022-09-11,46.013698630136986
2022-09-12,90.97945205479452
2022-09-13,97.26712328767124
2022-09-14,80.0
2022-09-15,90.97945205479452
2022-09-16,82.0958904109589
2022-09-17,47.06164383561644
2022-09-18,63.28082191780822
2022-09-19,99.86301369863014
2022-09-20,86.2876712328767
2022-09-21,83.64383561643835
2022-09-22,83.64383561643835
2022-09-23,76.35616438356163
2022-09-24,54.897260273972606
2022-09-25,48.10958904109589
2022-09-26,85.73972602739727
2022-09-27,84.3835616438356
2022-09-28,85.47945205479452
2022-09-29,75.61643835616438
2022-09-30,71.23287671232876
2022-10-01,30.684931506849313
2022-10-02,48.219178082191775
2022-10-03,81.0958904109589
2022-10-04,64.65753424657534
2022-10-05,84.3835616438356
2022-10-06,84.3835616438356
2022-10-07,77.80821917808218
2022-10-08,43.83561643835616
2022-10-09,41.64383561643835
2022-10-10,72.32876712328766
2022-10-11,75.61643835616438
2022-10-12,72.32876712328766
2022-10-13,88.76712328767123
2022-10-14,65.75342465753424
2022-10-15,39.45205479452055
2022-10-16,53.698630136986296
2022-10-17,87.67123287671232
2022-10-18,93.15068493150685
2022-10-19,88.76712328767123
2022-10-20,77.80821917808218
2022-10-21,77.80821917808218
2022-10-22,46.02739726027397
2022-10-23,47.12328767123287
2022-10-24,109.58904109589041
2022-10-25,101.91780821917807
2022-10-26,92.05479452054794
2022-10-27,78.9041095890411
2022-10-28,82.1917808219178
2022-10-29,48.219178082191775
2022-10-30,60.273972602739725
2022-10-31,104.10958904109589
2022-11-01,84.3835616438356
2022-11-02,85.47945205479452
2022-11-03,78.9041095890411
2022-11-04,83.2876712328767
2022-11-05,52.602739726027394
2022-11-06,54.794520547945204
2022-11-07,81.0958904109589
2022-11-08,73.42465753424658
2022-11-09,86.57534246575342
2022-11-10,83.2876712328767
2022-11-11,55.890410958904106
2022-11-12,48.219178082191775
2022-11-13,69.04109589041096
2022-11-14,100.82191780821917
2022-11-15,93.15068493150685
2022-11-16,75.61643835616438
2022-11-17,89.86301369863013
2022-11-18,81.0958904109589
2022-11-19,49.31506849315068
2022-11-20,47.12328767123287
2022-11-21,52.602739726027394
2022-11-22,61.36986301369863
2022-11-23,54.794520547945204
2022-11-24,39.45205479452055
2022-11-25,32.87671232876712
2022-11-26,36.16438356164383
2022-11-27,55.890410958904106
2022-11-28,81.0958904109589
2022-11-29,66.84931506849314
2022-11-30,86.57534246575342
2022-12-01,84.3835616438356
2022-12-02,64.65753424657534
2022-12-03,55.890410958904106
2022-12-04,46.02739726027397
2022-12-05,76.71232876712328
2022-12-06,80.0
2022-12-07,86.57534246575342
2022-12-08,86.57534246575342
2022-12-09,77.80821917808218
2022-12-10,50.410958904109584
2022-12-11,46.02739726027397
2022-12-12,80.0
2022-12-13,84.3835616438356
2022-12-14,94.24657534246575
2022-12-15,63.56164383561644
2022-12-16,82.1917808219178
2022-12-17,59.17808219178082
2022-12-18,52.602739726027394
2022-12-19,64.65753424657534
2022-12-20,63.56164383561644
2022-12-21,71.23287671232876
2022-12-22,40.54794520547945
2022-12-23,42.73972602739726
2022-12-24,48.219178082191775
2022-12-25,41.64383561643835
2022-12-26,51.50684931506849
2022-12-27,58.082191780821915
2022-12-28,39.45205479452055
2022-12-29,44.93150684931506
2022-12-30,51.50684931506849
2022-12-31,43.83561643835616
2023-01-01,39.45205479452055
2023-01-02,38.35616438356164
2023-01-03,52.602739726027394
2023-01-04,67.94520547945206
2023-01-05,67.94520547945206
2023-01-06,66.84931506849314
2023-01-07,46.02739726027397
2023-01-08,39.45205479452055
2023-01-09,77.80821917808218
2023-01-10,85.47945205479452
2023-01-11,98.63013698630137
2023-01-12,77.80821917808218
2023-01-13,78.9041095890411
2023-01-14,52.602739726027394
2023-01-15,46.02739726027397
2023-01-16,63.56164383561644
2023-01-17,93.15068493150685
2023-01-18,84.3835616438356
2023-01-19,87.67123287671232
2023-01-20,94.24657534246575
2023-01-21,53.698630136986296
2023-01-22,46.02739726027397
2023-01-23,82.1917808219178
2023-01-24,85.47945205479452
2023-01-25,78.9041095890411
2023-01-26,73.42465753424658
2023-01-27,73.42465753424658
2023-01-28,49.31506849315068
2023-01-29,50.410958904109584
2023-01-30,89.86301369863013
2023-01-31,78.9041095890411
2023-02-01,76.71232876712328
2023-02-02,66.84931506849314
2023-02-03,78.9041095890411
2023-02-04,54.794520547945204
2023-02-05,49.31506849315068
2023-02-06,76.71232876712328
2023-02-07,86.57534246575342
2023-02-08,84.3835616438356
2023-02-09,89.86301369863013
2023-02-10,72.32876712328766
2023-02-11,51.50684931506849
2023-02-12,50.410958904109584
2023-02-13,70.13698630136986
2023-02-14,66.84931506849314
2023-02-15,86.57534246575342
2023-02-16,77.80821917808218
2023-02-17,72.32876712328766
2023-02-18,41.64383561643835
2023-02-19,50.410958904109584
2023-02-20,53.698630136986296
2023-02-21,72.32876712328766
2023-02-22,74.52054794520548
2023-02-23,66.84931506849314
2023-02-24,65.75342465753424
2023-02-25,35.06849315068493
2023-02-26,46.02739726027397
2023-02-27,80.0
2023-02-28,73.42465753424658
2023-03-01,69.04109589041096
2023-03-02,80.0
2023-03-03,70.13698630136986
2023-03-04,46.02739726027397
2023-03-05,49.31506849315068
2023-03-06,67.94520547945206
2023-03-07,63.56164383561644
2023-03-08,78.9041095890411
2023-03-09,76.71232876712328
2023-03-10,64.65753424657534
2023-03-11,55.890410958904106
2023-03-12,43.83561643835616
2023-03-13,69.04109589041096
2023-03-14,60.273972602739725
2023-03-15,64.65753424657534
2023-03-16,71.23287671232876
2023-03-17,67.94520547945206
2023-03-18,40.54794520547945
2023-03-19,48.219178082191775
2023-03-20,76.71232876712328
2023-03-21,73.42465753424658
2023-03-22,70.13698630136986
2023-03-23,76.71232876712328
2023-03-24,69.04109589041096
2023-03-25,49.31506849315068
2023-03-26,51.50684931506849
2023-03-27,60.273972602739725
2023-03-28,71.23287671232876
2023-03-29,67.94520547945206
2023-03-30,64.65753424657534
2023-03-31,59.17808219178082
2023-04-01,47.12328767123287
2023-04-02,46.02739726027397
2023-04-03,73.42465753424658
2023-04-04,83.2876712328767
2023-04-05,70.13698630136986
2023-04-06,73.42465753424658
2023-04-07,55.890410958904106
2023-04-08,51.50684931506849
2023-04-09,42.73972602739726
2023-04-10,74.52054794520548
2023-04-11,77.80821917808218
2023-04-12,62.46575342465753
2023-04-13,61.36986301369863
2023-04-14,81.0958904109589
2023-04-15,48.219178082191775
2023-04-16,50.410958904109584
2023-04-17,85.47945205479452
2023-04-18,82.1917808219178
2023-04-19,78.9041095890411
2023-04-20,84.3835616438356
2023-04-21,75.61643835616438
2023-04-22,37.26027397260274
2023-04-23,40.54794520547945
2023-04-24,81.0958904109589
2023-04-25,83.2876712328767
2023-04-26,68.44671465056884
2023-04-27,72.421639192013
2023-04-28,92.93707917343858
2023-04-29,67.85233341072671
2023-04-30,44.457859298815876
2023-05-01,92.93707917343858
2023-05-02,79.82354306942187
2023-05-03,75.8486185279777
2023-05-04,73.56396563733458
2023-05-05,59.30810308799628
2023-05-06,49.62154631994427
2023-05-07,58.165776642674714
2023-05-08,70.13698630136986
2023-05-09,76.99094497329926
2023-05-10,70.13698630136986
2023-05-11,74.11191084281401
2023-05-12,60.45042953331785
2023-05-13,42.76758764801485
2023-05-14,46.19456698397957
2023-05-15,68.44671465056884
2023-05-16,68.99465985604829
2023-05-17,67.85233341072671
2023-05-18,54.738797306710005
2023-05-19,98.64871140004644
2023-05-20,70.13698630136986
2023-05-21,52.45414441606687
2023-05-22,74.11191084281401
2023-05-23,65.56768052008357
2023-05-24,59.30810308799628
2023-05-25,64.19317390294869
2023-05-26,52.305549106106334
2023-05-27,47.5504991873694
2023-05-28,46.36173670768516
2023-05-29,46.36173670768516
2023-05-30,45.172974228000925
2023-05-31,57.06059902484327
2023-06-01,51.1167866264221
2023-06-02,43.98421174831669
2023-06-03,49.92802414673786
2023-06-04,42.79544926863245
2023-06-05,45.172974228000925
2023-06-06,58.249361504527506
2023-06-07,58.249361504527506
2023-06-08,47.5504991873694
2023-06-09,61.815648943580214
2023-06-10,54.683074065474806
2023-06-11,53.49431158579057
2023-06-12,52.305549106106334
2023-06-13,57.06059902484327
2023-06-14,42.79544926863245
2023-06-15,48.73926166705363
2023-06-16,47.5504991873694
2023-06-17,51.1167866264221
2023-06-18,51.1167866264221
2023-06-19,42.79544926863245
2023-06-20,43.98421174831669
2023-06-21,46.36173670768516
2023-06-22,53.49431158579057
2023-06-23,46.36173670768516
2023-06-24,38.040399349895516
2023-06-25,54.683074065474806
2023-06-26,47.5504991873694
2023-06-27,43.98421174831669
2023-06-28,53.49431158579057
2023-06-29,53.49431158579057
2023-06-30,48.73926166705363
2023-07-01,42.79544926863245
2023-07-02,42.79544926863245
2023-07-03,45.172974228000925
2023-07-04,52.305549106106334
2023-07-05,49.92802414673786
2023-07-06,51.1167866264221
2023-07-07,52.305549106106334
2023-07-08,52.305549106106334
2023-07-09,39.22916182957975
2023-07-10,43.98421174831669
2023-07-11,51.1167866264221
2023-07-12,46.36173670768516
2023-07-13,43.98421174831669
2023-07-14,54.683074065474806
