Time,underworld
2022-01-01,38.0
2022-01-02,35.0
2022-01-03,30.0
2022-01-04,31.0
2022-01-05,31.0
2022-01-06,25.0
2022-01-07,35.0
2022-01-08,43.0
2022-01-09,38.0
2022-01-10,32.0
2022-01-11,33.0
2022-01-12,30.0
2022-01-13,33.0
2022-01-14,24.0
2022-01-15,37.0
2022-01-16,37.0
2022-01-17,28.0
2022-01-18,29.0
2022-01-19,25.0
2022-01-20,33.0
2022-01-21,31.0
2022-01-22,35.0
2022-01-23,44.0
2022-01-24,32.0
2022-01-25,31.0
2022-01-26,30.0
2022-01-27,36.0
2022-01-28,37.0
2022-01-29,33.0
2022-01-30,33.0
2022-01-31,27.0
2022-02-01,29.0
2022-02-02,28.0
2022-02-03,33.0
2022-02-04,31.0
2022-02-05,32.0
2022-02-06,42.0
2022-02-07,33.0
2022-02-08,38.0
2022-02-09,37.0
2022-02-10,29.0
2022-02-11,37.0
2022-02-12,38.0
2022-02-13,35.0
2022-02-14,32.0
2022-02-15,34.0
2022-02-16,32.0
2022-02-17,33.0
2022-02-18,38.0
2022-02-19,41.0
2022-02-20,39.0
2022-02-21,31.0
2022-02-22,34.0
2022-02-23,31.0
2022-02-24,26.0
2022-02-25,31.0
2022-02-26,32.0
2022-02-27,34.0
2022-02-28,30.0
2022-03-01,27.0
2022-03-02,29.0
2022-03-03,31.0
2022-03-04,35.0
2022-03-05,85.0
2022-03-06,81.0
2022-03-07,39.0
2022-03-08,38.0
2022-03-09,32.0
2022-03-10,35.0
2022-03-11,29.0
2022-03-12,36.0
2022-03-13,38.0
2022-03-14,35.0
2022-03-15,29.0
2022-03-16,36.0
2022-03-17,30.0
2022-03-18,32.0
2022-03-19,36.0
2022-03-20,40.0
2022-03-21,33.0
2022-03-22,51.0
2022-03-23,36.0
2022-03-24,29.0
2022-03-25,36.0
2022-03-26,33.0
2022-03-27,38.0
2022-03-28,31.0
2022-03-29,33.0
2022-03-30,48.0
2022-03-31,43.0
2022-04-01,33.0
2022-04-02,34.0
2022-04-03,93.0
2022-04-04,45.0
2022-04-05,35.0
2022-04-06,29.0
2022-04-07,30.0
2022-04-08,31.0
2022-04-09,36.0
2022-04-10,36.0
2022-04-11,31.0
2022-04-12,29.0
2022-04-13,30.0
2022-04-14,30.0
2022-04-15,100.0
2022-04-16,41.0
2022-04-17,34.0
2022-04-18,53.0
2022-04-19,48.0
2022-04-20,29.0
2022-04-21,31.0
2022-04-22,43.0
2022-04-23,38.0
2022-04-24,36.0
2022-04-25,32.0
2022-04-26,32.0
2022-04-27,31.0
2022-04-28,35.0
2022-04-29,37.0
2022-04-30,33.0
2022-05-01,40.0
2022-05-02,42.0
2022-05-03,40.0
2022-05-04,37.0
2022-05-05,38.0
2022-05-06,33.0
2022-05-07,38.0
2022-05-08,43.0
2022-05-09,34.0
2022-05-10,37.0
2022-05-11,36.0
2022-05-12,34.0
2022-05-13,40.0
2022-05-14,36.0
2022-05-15,40.0
2022-05-16,34.0
2022-05-17,34.0
2022-05-18,31.0
2022-05-19,34.0
2022-05-20,34.0
2022-05-21,41.0
2022-05-22,57.0
2022-05-23,41.0
2022-05-24,33.0
2022-05-25,30.0
2022-05-26,32.0
2022-05-27,39.0
2022-05-28,33.0
2022-05-29,43.0
2022-05-30,41.0
2022-05-31,30.0
2022-06-01,31.0
2022-06-02,32.0
2022-06-03,31.0
2022-06-04,34.0
2022-06-05,35.0
2022-06-06,35.0
2022-06-07,32.0
2022-06-08,29.0
2022-06-09,30.0
2022-06-10,29.0
2022-06-11,35.0
2022-06-12,34.0
2022-06-13,27.0
2022-06-14,30.0
2022-06-15,31.0
2022-06-16,27.0
2022-06-17,29.0
2022-06-18,32.0
2022-06-19,42.0
2022-06-20,30.0
2022-06-21,29.0
2022-06-22,29.0
2022-06-23,26.0
2022-06-24,26.0
2022-06-25,33.0
2022-06-26,38.0
2022-06-27,27.0
2022-06-28,28.0
2022-06-29,26.0
2022-06-30,25.0
2022-07-01,28.0
2022-07-02,31.0
2022-07-03,32.0
2022-07-04,31.0
2022-07-05,30.0
2022-07-06,25.0
2022-07-07,26.0
2022-07-08,26.0
2022-07-09,33.0
2022-07-10,35.0
2022-07-11,29.0
2022-07-12,24.0
2022-07-13,31.0
2022-07-14,29.0
2022-07-15,31.0
2022-07-16,33.0
2022-07-17,41.0
2022-07-18,35.0
2022-07-19,28.0
2022-07-20,32.0
2022-07-21,28.0
2022-07-22,32.0
2022-07-23,34.0
2022-07-24,33.0
2022-07-25,31.0
2022-07-26,30.0
2022-07-27,26.0
2022-07-28,27.0
2022-07-29,28.0
2022-07-30,30.0
2022-07-31,35.0
2022-08-01,31.0
2022-08-02,28.0
2022-08-03,30.0
2022-08-04,32.0
2022-08-05,31.0
2022-08-06,38.0
2022-08-07,37.0
2022-08-08,32.0
2022-08-09,28.0
2022-08-10,28.0
2022-08-11,28.0
2022-08-12,25.0
2022-08-13,27.0
2022-08-14,32.0
2022-08-15,29.0
2022-08-16,28.0
2022-08-17,28.0
2022-08-18,30.0
2022-08-19,28.0
2022-08-20,40.0
2022-08-21,39.0
2022-08-22,29.0
2022-08-23,29.0
2022-08-24,33.0
2022-08-25,31.0
2022-08-26,28.0
2022-08-27,35.0
2022-08-28,39.0
2022-08-29,28.785714285714285
2022-08-30,30.642857142857142
2022-08-31,30.142857142857142
2022-09-01,29.57142857142857
2022-09-02,28.0
2022-09-03,29.07142857142857
2022-09-04,31.714285714285715
2022-09-05,34.14285714285714
2022-09-06,28.0
2022-09-07,24.785714285714285
2022-09-08,28.0
2022-09-09,28.0
2022-09-10,29.07142857142857
2022-09-11,29.857142857142854
2022-09-12,40.785714285714285
2022-09-13,29.07142857142857
2022-09-14,28.0
2022-09-15,24.785714285714285
2022-09-16,29.857142857142854
2022-09-17,31.714285714285715
2022-09-18,34.92857142857143
2022-09-19,28.5
2022-09-20,25.07142857142857
2022-09-21,29.857142857142854
2022-09-22,28.0
2022-09-23,30.928571428571427
2022-09-24,31.214285714285715
2022-09-25,32.0
2022-09-26,28.0
2022-09-27,26.857142857142854
2022-09-28,28.57142857142857
2022-09-29,25.142857142857142
2022-09-30,31.428571428571427
2022-10-01,46.857142857142854
2022-10-02,32.0
2022-10-03,29.142857142857142
2022-10-04,26.857142857142854
2022-10-05,26.857142857142854
2022-10-06,32.0
2022-10-07,35.42857142857142
2022-10-08,35.42857142857142
2022-10-09,36.0
2022-10-10,33.14285714285714
2022-10-11,30.285714285714285
2022-10-12,30.857142857142854
2022-10-13,33.14285714285714
2022-10-14,33.14285714285714
2022-10-15,31.428571428571427
2022-10-16,38.285714285714285
2022-10-17,36.57142857142857
2022-10-18,28.57142857142857
2022-10-19,29.71428571428571
2022-10-20,31.428571428571427
2022-10-21,29.71428571428571
2022-10-22,34.285714285714285
2022-10-23,37.14285714285714
2022-10-24,29.71428571428571
2022-10-25,33.14285714285714
2022-10-26,34.285714285714285
2022-10-27,33.14285714285714
2022-10-28,47.42857142857142
2022-10-29,56.57142857142857
2022-10-30,40.57142857142857
2022-10-31,34.857142857142854
2022-11-01,32.0
2022-11-02,31.428571428571427
2022-11-03,32.57142857142857
2022-11-04,38.285714285714285
2022-11-05,40.0
2022-11-06,38.285714285714285
2022-11-07,36.57142857142857
2022-11-08,33.714285714285715
2022-11-09,30.857142857142854
2022-11-10,33.14285714285714
2022-11-11,32.0
2022-11-12,37.14285714285714
2022-11-13,45.71428571428571
2022-11-14,37.14285714285714
2022-11-15,30.285714285714285
2022-11-16,35.42857142857142
2022-11-17,32.57142857142857
2022-11-18,33.714285714285715
2022-11-19,31.428571428571427
2022-11-20,39.42857142857142
2022-11-21,42.285714285714285
2022-11-22,31.428571428571427
2022-11-23,30.857142857142854
2022-11-24,29.71428571428571
2022-11-25,30.285714285714285
2022-11-26,36.57142857142857
2022-11-27,34.857142857142854
2022-11-28,30.857142857142854
2022-11-29,30.285714285714285
2022-11-30,30.857142857142854
2022-12-01,36.0
2022-12-02,29.142857142857142
2022-12-03,32.0
2022-12-04,39.42857142857142
2022-12-05,31.428571428571427
2022-12-06,30.857142857142854
2022-12-07,32.57142857142857
2022-12-08,33.14285714285714
2022-12-09,33.714285714285715
2022-12-10,30.285714285714285
2022-12-11,36.0
2022-12-12,38.857142857142854
2022-12-13,32.0
2022-12-14,34.285714285714285
2022-12-15,30.857142857142854
2022-12-16,28.0
2022-12-17,31.428571428571427
2022-12-18,32.57142857142857
2022-12-19,26.285714285714285
2022-12-20,25.71428571428571
2022-12-21,28.57142857142857
2022-12-22,26.857142857142854
2022-12-23,24.57142857142857
2022-12-24,32.0
