Time,sam_s_club
2022-11-04,50.39999999999999
2022-11-05,65.69999999999999
2022-11-06,62.99999999999999
2022-11-07,45.9
2022-11-08,43.199999999999996
2022-11-09,39.599999999999994
2022-11-10,41.4
2022-11-11,53.099999999999994
2022-11-12,58.49999999999999
2022-11-13,62.099999999999994
2022-11-14,45.9
2022-11-15,51.3
2022-11-16,48.599999999999994
2022-11-17,51.3
2022-11-18,53.99999999999999
2022-11-19,66.6
2022-11-20,72.89999999999999
2022-11-21,57.599999999999994
2022-11-22,59.39999999999999
2022-11-23,69.3
2022-11-24,66.6
2022-11-25,75.6
2022-11-26,62.99999999999999
2022-11-27,64.8
2022-11-28,48.599999999999994
2022-11-29,43.199999999999996
2022-11-30,43.199999999999996
2022-12-01,44.99999999999999
2022-12-02,48.599999999999994
2022-12-03,62.099999999999994
2022-12-04,62.99999999999999
2022-12-05,45.9
2022-12-06,44.99999999999999
2022-12-07,46.8
2022-12-08,46.8
2022-12-09,48.599999999999994
2022-12-10,64.8
2022-12-11,67.5
2022-12-12,49.49999999999999
2022-12-13,46.8
2022-12-14,47.699999999999996
2022-12-15,49.49999999999999
2022-12-16,53.099999999999994
2022-12-17,68.39999999999999
2022-12-18,72.89999999999999
2022-12-19,59.39999999999999
2022-12-20,61.199999999999996
2022-12-21,64.8
2022-12-22,62.099999999999994
2022-12-23,62.99999999999999
2022-12-24,76.49999999999999
2022-12-25,33.3
2022-12-26,62.99999999999999
2022-12-27,55.8
2022-12-28,57.599999999999994
2022-12-29,53.99999999999999
2022-12-30,56.699999999999996
2022-12-31,71.1
2023-01-01,72.0
2023-01-02,60.3
2023-01-03,40.49999999999999
2023-01-04,41.4
2023-01-05,44.099999999999994
2023-01-06,44.99999999999999
2023-01-07,58.49999999999999
2023-01-08,61.199999999999996
2023-01-09,39.599999999999994
2023-01-10,39.599999999999994
2023-01-11,39.599999999999994
2023-01-12,42.3
2023-01-13,44.099999999999994
2023-01-14,59.39999999999999
2023-01-15,55.8
2023-01-16,53.99999999999999
2023-01-17,37.8
2023-01-18,38.699999999999996
2023-01-19,38.699999999999996
2023-01-20,41.4
2023-01-21,57.599999999999994
2023-01-22,57.599999999999994
2023-01-23,38.699999999999996
2023-01-24,38.699999999999996
2023-01-25,39.599999999999994
2023-01-26,36.9
2023-01-27,44.99999999999999
2023-01-28,57.599999999999994
2023-01-29,53.099999999999994
2023-01-30,37.8
2023-01-31,38.699999999999996
2023-02-01,40.49999999999999
2023-02-02,41.4
2023-02-03,45.9
2023-02-04,58.49999999999999
2023-02-05,67.5
2023-02-06,40.49999999999999
2023-02-07,37.8
2023-02-08,39.599999999999994
2023-02-09,40.49999999999999
2023-02-10,45.9
2023-02-11,68.39999999999999
2023-02-12,59.39999999999999
2023-02-13,33.3
2023-02-14,34.199999999999996
2023-02-15,37.8
2023-02-16,36.0
2023-02-17,41.4
2023-02-18,56.699999999999996
2023-02-19,60.3
2023-02-20,45.9
2023-02-21,37.8
2023-02-22,36.0
2023-02-23,36.0
2023-02-24,43.199999999999996
2023-02-25,59.39999999999999
2023-02-26,62.99999999999999
2023-02-27,40.49999999999999
2023-02-28,37.8
2023-03-01,40.49999999999999
2023-03-02,39.599999999999994
2023-03-03,40.49999999999999
2023-03-04,54.89999999999999
2023-03-05,62.099999999999994
2023-03-06,42.3
2023-03-07,39.599999999999994
2023-03-08,40.49999999999999
2023-03-09,40.49999999999999
2023-03-10,44.99999999999999
2023-03-11,57.599999999999994
2023-03-12,59.39999999999999
2023-03-13,39.599999999999994
2023-03-14,38.699999999999996
2023-03-15,44.099999999999994
2023-03-16,41.4
2023-03-17,42.3
2023-03-18,58.49999999999999
2023-03-19,61.199999999999996
2023-03-20,41.4
2023-03-21,40.49999999999999
2023-03-22,40.49999999999999
2023-03-23,42.3
2023-03-24,46.8
2023-03-25,55.8
2023-03-26,61.199999999999996
2023-03-27,39.599999999999994
2023-03-28,37.8
2023-03-29,40.49999999999999
2023-03-30,39.599999999999994
2023-03-31,40.49999999999999
2023-04-01,56.699999999999996
2023-04-02,59.39999999999999
2023-04-03,38.699999999999996
2023-04-04,39.599999999999994
2023-04-05,39.599999999999994
2023-04-06,45.9
2023-04-07,53.099999999999994
2023-04-08,62.099999999999994
2023-04-09,66.6
2023-04-10,42.3
2023-04-11,42.3
2023-04-12,49.49999999999999
2023-04-13,56.699999999999996
2023-04-14,69.3
2023-04-15,75.6
2023-04-16,74.69999999999999
2023-04-17,50.39999999999999
2023-04-18,48.599999999999994
2023-04-19,52.199999999999996
2023-04-20,44.099999999999994
2023-04-21,47.699999999999996
2023-04-22,61.199999999999996
2023-04-23,65.69999999999999
2023-04-24,45.9
2023-04-25,39.599999999999994
2023-04-26,39.78489425981873
2023-04-27,39.368542296072505
2023-04-28,44.11665407854984
2023-04-29,57.52828549848942
2023-04-30,59.26098942598186
2023-05-01,41.96759818731117
2023-05-02,42.38395015105739
2023-05-03,44.11665407854984
2023-05-04,41.96759818731117
2023-05-05,45.43300604229607
2023-05-06,57.52828549848942
2023-05-07,60.99369335347431
2023-05-08,42.833950151057394
2023-05-09,40.65124622356495
2023-05-10,43.25030211480362
2023-05-11,41.51759818731117
2023-05-12,47.132061933534736
2023-05-13,60.54369335347431
2023-05-14,53.196525679758295
2023-05-15,44.11665407854984
2023-05-16,41.96759818731117
2023-05-17,42.38395015105739
2023-05-18,44.98300604229607
2023-05-19,41.51759818731117
2023-05-20,56.6619335347432
2023-05-21,58.394637462235636
2023-05-22,43.25030211480362
2023-05-23,38.50219033232628
2023-05-24,41.10124622356495
2023-05-25,44.11665407854984
2023-05-26,52.46034743202416
2023-05-27,60.787386706948624
2023-05-28,68.28172205438065
2023-05-29,83.27039274924469
2023-05-30,40.8024924471299
2023-05-31,45.79871601208458
2023-06-01,45.79871601208458
2023-06-02,49.12953172205437
2023-06-03,63.28549848942597
2023-06-04,63.28549848942597
2023-06-05,44.133308157099684
2023-06-06,38.304380664652555
2023-06-07,41.635196374622346
2023-06-08,44.96601208459214
2023-06-09,46.63141993957703
2023-06-10,56.623867069486394
2023-06-11,60.787386706948624
2023-06-12,44.133308157099684
2023-06-13,42.46790030211479
2023-06-14,44.133308157099684
2023-06-15,38.304380664652555
2023-06-16,50.794939577039266
2023-06-17,59.95468277945618
2023-06-18,56.623867069486394
2023-06-19,46.63141993957703
2023-06-20,41.635196374622346
2023-06-21,38.304380664652555
2023-06-22,41.635196374622346
2023-06-23,46.63141993957703
2023-06-24,54.958459214501495
2023-06-25,52.46034743202416
2023-06-26,42.46790030211479
2023-06-27,42.46790030211479
2023-06-28,41.635196374622346
2023-06-29,45.79871601208458
2023-06-30,49.96223564954681
2023-07-01,60.787386706948624
2023-07-02,63.28549848942597
2023-07-03,60.787386706948624
2023-07-04,81.6049848942598
2023-07-05,39.13708459214501
2023-07-06,43.30060422960724
2023-07-07,45.79871601208458
2023-07-08,58.289274924471286
2023-07-09,54.958459214501495
2023-07-10,39.13708459214501
2023-07-11,41.635196374622346
2023-07-12,39.969788519637454
2023-07-13,41.635196374622346
2023-07-14,41.635196374622346
2023-07-15,50.794939577039266
2023-07-16,53.2930513595166
2023-07-17,42.46790030211479
2023-07-18,44.133308157099684
2023-07-19,42.46790030211479
2023-07-20,41.635196374622346
2023-07-21,44.133308157099684
2023-07-22,53.2930513595166
2023-07-23,56.623867069486394
2023-07-24,42.46790030211479
2023-07-25,40.8024924471299
2023-07-26,44.133308157099684
2023-07-27,41.635196374622346
2023-07-28,44.96601208459214
2023-07-29,57.45657099697884
2023-07-30,57.45657099697884
2023-07-31,42.46790030211479
2023-08-01,41.635196374622346
2023-08-02,41.635196374622346
2023-08-03,43.30060422960724
2023-08-04,47.464123867069475
2023-08-05,53.2930513595166
2023-08-06,58.289274924471286
2023-08-07,38.304380664652555
2023-08-08,39.969788519637454
2023-08-09,38.304380664652555
2023-08-10,37.47167673716011
2023-08-11,43.30060422960724
2023-08-12,55.79116314199394
2023-08-13,58.289274924471286
2023-08-14,40.8024924471299
2023-08-15,39.969788519637454
2023-08-16,39.969788519637454
2023-08-17,41.635196374622346
2023-08-18,43.30060422960724
2023-08-19,53.2930513595166
2023-08-20,57.45657099697884
2023-08-21,39.969788519637454
2023-08-22,37.47167673716011
2023-08-23,37.47167673716011
2023-08-24,38.304380664652555
2023-08-25,43.30060422960724
2023-08-26,45.79871601208458
2023-08-27,51.62764350453171
2023-08-28,37.47167673716011
2023-08-29,37.47167673716011
2023-08-30,37.47167673716011
2023-08-31,40.8024924471299
2023-09-01,43.30060422960724
2023-09-02,54.12575528700905
2023-09-03,64.11820241691841
2023-09-04,75.77605740181266
2023-09-05,37.47167673716011
2023-09-06,36.63897280966766
2023-09-07,39.13708459214501
2023-09-08,38.304380664652555
2023-09-09,49.96223564954681
2023-09-10,50.794939577039266
2023-09-11,34.97356495468277
2023-09-12,34.97356495468277
2023-09-13,34.97356495468277
2023-09-14,35.80626888217522
2023-09-15,40.8024924471299
2023-09-16,47.464123867069475
2023-09-17,49.96223564954681
2023-09-18,35.80626888217522
2023-09-19,36.63897280966766
2023-09-20,37.47167673716011
2023-09-21,37.47167673716011
2023-09-22,38.304380664652555
2023-09-23,45.79871601208458
2023-09-24,49.12953172205437
2023-09-25,36.63897280966766
2023-09-26,37.47167673716011
2023-09-27,34.140861027190326
2023-09-28,38.304380664652555
2023-09-29,37.47167673716011
2023-09-30,49.12953172205437
2023-10-01,43.30060422960724
2023-10-02,32.47545317220543
2023-10-03,33.30815709969788
2023-10-04,36.63897280966766
2023-10-05,37.47167673716011
2023-10-06,40.8024924471299
2023-10-07,54.12575528700905
2023-10-08,52.46034743202416
2023-10-09,40.8024924471299
2023-10-10,37.47167673716011
2023-10-11,39.13708459214501
2023-10-12,39.13708459214501
2023-10-13,39.969788519637454
2023-10-14,46.63141993957703
2023-10-15,51.62764350453171
2023-10-16,38.304380664652555
2023-10-17,35.80626888217522
2023-10-18,34.97356495468277
2023-10-19,36.63897280966766
2023-10-20,39.969788519637454
2023-10-21,49.12953172205437
2023-10-22,52.46034743202416
2023-10-23,38.304380664652555
2023-10-24,39.13708459214501
2023-10-25,39.13708459214501
2023-10-26,36.63897280966766
2023-10-27,39.13708459214501
2023-10-28,46.63141993957703
2023-10-29,45.79871601208458
2023-10-30,39.13708459214501
2023-10-31,39.13708459214501
2023-11-01,39.969788519637454
2023-11-02,39.969788519637454
2023-11-03,47.464123867069475
2023-11-04,56.623867069486394
2023-11-05,56.623867069486394
2023-11-06,40.8024924471299
2023-11-07,39.13708459214501
2023-11-08,38.304380664652555
2023-11-09,42.46790030211479
2023-11-10,48.29682779456192
2023-11-11,54.12575528700905
2023-11-12,55.79116314199394
2023-11-13,37.47167673716011
2023-11-14,40.8024924471299
2023-11-15,42.46790030211479
2023-11-16,40.8024924471299
2023-11-17,46.63141993957703
2023-11-18,56.623867069486394
2023-11-19,62.45279456193352
2023-11-20,47.464123867069475
2023-11-21,51.62764350453171
2023-11-22,62.45279456193352
2023-11-23,58.289274924471286
2023-11-24,69.94712990936554
2023-11-25,54.12575528700905
2023-11-26,55.79116314199394
2023-11-27,47.464123867069475
2023-11-28,41.635196374622346
2023-11-29,39.13708459214501
2023-11-30,40.8024924471299
2023-12-01,44.96601208459214
2023-12-02,54.958459214501495
2023-12-03,56.623867069486394
2023-12-04,43.30060422960724
2023-12-05,39.969788519637454
2023-12-06,39.969788519637454
2023-12-07,36.63897280966766
2023-12-08,42.46790030211479
2023-12-09,55.79116314199394
2023-12-10,58.289274924471286
2023-12-11,44.133308157099684
2023-12-12,41.635196374622346
2023-12-13,41.635196374622346
2023-12-14,36.63897280966766
2023-12-15,42.46790030211479
2023-12-16,55.79116314199394
2023-12-17,57.45657099697884
2023-12-18,40.8024924471299
2023-12-19,43.30060422960724
2023-12-20,46.63141993957703
2023-12-21,50.794939577039266
2023-12-22,56.6688780925941
2023-12-23,66.61631419939576
2023-12-24,66.61631419939576
2023-12-25,29.84230832040499
2023-12-26,41.5226688168531
2023-12-27,38.056820037560215
2023-12-28,41.5226688168531
2023-12-29,44.98851759614598
2023-12-30,54.06949150812443
2023-12-31,62.73411345635665
2024-01-01,59.268264677063755
2024-01-02,36.323895647913766
2024-01-03,35.04108148934432
2024-01-04,37.19035784273699
2024-01-05,39.37339246346043
2024-01-06,47.137793949538654
2024-01-07,47.58790418061565
2024-01-08,32.025342941128436
2024-01-09,31.575232710051438
2024-01-10,33.30815709969788
2024-01-11,35.457433453090545
2024-01-12,35.90754368416754
2024-01-13,44.12205540132276
2024-01-14,44.12205540132276
2024-01-15,38.056820037560215
2024-01-16,31.15888074630521
2024-01-17,35.457433453090545
2024-01-18,34.1746192945211
2024-01-19,38.506930268637205
2024-01-20,45.85497979096921
2024-01-21,45.91124356985384
2024-01-22,33.30815709969788
2024-01-23,32.407936637543884
2024-01-24,32.407936637543884
2024-01-25,33.30815709969788
2024-01-26,32.407936637543884
2024-01-27,42.31036172123785
2024-01-28,39.60970033477586
2024-01-29,29.707275251081892
2024-01-30,29.707275251081892
2024-01-31,34.208377561851876
2024-02-01,31.507716175389888
2024-02-02,35.10859802400587
2024-02-03,45.011023107699835
2024-02-04,44.11080264554584
2024-02-05,32.407936637543884
2024-02-06,31.507716175389888
2024-02-07,30.60749571323589
2024-02-08,33.30815709969788
2024-02-09,37.80925941046787
2024-02-10,50.41234588062382
2024-02-11,40.509920796929855
2024-02-12,29.707275251081892
2024-02-13,32.407936637543884
2024-02-14,31.507716175389888
2024-02-15,30.60749571323589
2024-02-16,32.407936637543884
2024-02-17,44.11080264554584
2024-02-18,45.91124356985384
2024-02-19,37.80925941046787
2024-02-20,31.507716175389888
2024-02-21,32.407936637543884
2024-02-22,32.407936637543884
2024-02-23,36.909038948313864
2024-02-24,45.011023107699835
2024-02-25,45.91124356985384
2024-02-26,30.60749571323589
2024-02-27,31.507716175389888
2024-02-28,30.60749571323589
2024-02-29,31.507716175389888
2024-03-01,33.30815709969788
2024-03-02,42.31036172123785
2024-03-03,48.611904956315826
2024-03-04,33.30815709969788
2024-03-05,32.407936637543884
2024-03-06,32.407936637543884
2024-03-07,31.507716175389888
2024-03-08,33.30815709969788
2024-03-09,44.11080264554584
2024-03-10,45.011023107699835
2024-03-11,29.707275251081892
2024-03-12,32.407936637543884
2024-03-13,33.30815709969788
2024-03-14,35.10859802400587
2024-03-15,36.00881848615987
2024-03-16,43.21058218339184
2024-03-17,46.811464032007834
2024-03-18,34.208377561851876
2024-03-19,32.407936637543884
2024-03-20,32.407936637543884
2024-03-21,32.407936637543884
2024-03-22,33.30815709969788
2024-03-23,43.21058218339184
2024-03-24,44.11080264554584
2024-03-25,34.208377561851876
2024-03-26,30.60749571323589
2024-03-27,33.30815709969788
2024-03-28,33.30815709969788
2024-03-29,38.70947987262186
2024-03-30,47.71168449416183
2024-03-31,55.8136686535478
2024-04-01,34.208377561851876
2024-04-02,30.60749571323589
2024-04-03,32.407936637543884
2024-04-04,32.407936637543884
2024-04-05,37.80925941046787
2024-04-06,43.21058218339184
2024-04-07,47.71168449416183
2024-04-08,28.807054788927896
2024-04-09,32.407936637543884
2024-04-10,32.407936637543884
2024-04-11,35.10859802400587
2024-04-12,38.70947987262186
2024-04-13,45.011023107699835
2024-04-14,51.312566342777814
2024-04-15,36.00881848615987
2024-04-16,36.909038948313864
2024-04-17,35.10859802400587
2024-04-18,36.00881848615987
2024-04-19,36.00881848615987
2024-04-20,45.91124356985384
2024-04-21,48.611904956315826
2024-04-22,35.10859802400587
2024-04-23,33.30815709969788
2024-04-24,36.00881848615987
2024-04-25,37.80925941046787
2024-04-26,36.00881848615987
2024-04-27,44.11080264554584
2024-04-28,52.21278680493181
2024-04-29,37.80925941046787
2024-04-30,35.10859802400587
2024-05-01,37.80925941046787
2024-05-02,39.60970033477586
2024-05-03,42.31036172123785
2024-05-04,47.71168449416183
2024-05-05,50.41234588062382
2024-05-06,37.80925941046787
2024-05-07,34.208377561851876
2024-05-08,34.208377561851876
2024-05-09,36.909038948313864
2024-05-10,36.909038948313864
2024-05-11,49.51212541846982
2024-05-12,43.21058218339184
2024-05-13,34.208377561851876
2024-05-14,35.10859802400587
2024-05-15,36.00881848615987
2024-05-16,36.00881848615987
2024-05-17,36.909038948313864
2024-05-18,46.811464032007834
2024-05-19,51.312566342777814
2024-05-20,35.10859802400587
2024-05-21,35.10859802400587
2024-05-22,36.00881848615987
2024-05-23,39.60970033477586
2024-05-24,42.31036172123785
2024-05-25,51.312566342777814
2024-05-26,57.61410957785579
2024-05-27,77.41895974524373
2024-05-28,36.00881848615987
2024-05-29,34.208377561851876
2024-05-30,36.909038948313864
2024-05-31,38.70947987262186
2024-06-01,49.51212541846982
2024-06-02,51.312566342777814
2024-06-03,38.70947987262186
2024-06-04,36.909038948313864
2024-06-05,35.10859802400587
2024-06-06,39.60970033477586
2024-06-07,42.31036172123785
2024-06-08,45.91124356985384
2024-06-09,51.312566342777814
2024-06-10,37.80925941046787
2024-06-11,37.80925941046787
2024-06-12,33.30815709969788
2024-06-13,41.41014125908385
2024-06-14,42.31036172123785
2024-06-15,45.011023107699835
2024-06-16,49.51212541846982
2024-06-17,40.509920796929855
2024-06-18,44.11080264554584
2024-06-19,41.41014125908385
2024-06-20,38.70947987262186
2024-06-21,40.509920796929855
2024-06-22,49.51212541846982
2024-06-23,47.71168449416183
2024-06-24,37.80925941046787
2024-06-25,36.909038948313864
2024-06-26,36.909038948313864
2024-06-27,36.909038948313864
2024-06-28,40.509920796929855
2024-06-29,49.51212541846982
2024-06-30,49.51212541846982
2024-07-01,41.41014125908385
2024-07-02,40.509920796929855
2024-07-03,56.7138891157018
2024-07-04,90.02204621539967
2024-07-05,45.011023107699835
2024-07-06,45.91124356985384
2024-07-07,49.51212541846982
2024-07-08,36.00881848615987
2024-07-09,38.70947987262186
2024-07-10,38.70947987262186
2024-07-11,38.70947987262186
2024-07-12,39.60970033477586
2024-07-13,45.011023107699835
2024-07-14,40.509920796929855
2024-07-15,34.208377561851876
2024-07-16,36.00881848615987
2024-07-17,33.30815709969788
2024-07-18,37.80925941046787
2024-07-19,40.509920796929855
2024-07-20,46.811464032007834
2024-07-21,47.71168449416183
2024-07-22,36.00881848615987
2024-07-23,34.208377561851876
2024-07-24,39.60970033477586
2024-07-25,36.00881848615987
2024-07-26,37.80925941046787
2024-07-27,43.21058218339184
2024-07-28,47.71168449416183
2024-07-29,36.909038948313864
2024-07-30,36.00881848615987
2024-07-31,36.909038948313864
2024-08-01,38.70947987262186
2024-08-02,40.509920796929855
2024-08-03,47.71168449416183
2024-08-04,46.811464032007834
2024-08-05,35.10859802400587
2024-08-06,33.30815709969788
2024-08-07,34.208377561851876
2024-08-08,32.407936637543884
2024-08-09,37.80925941046787
2024-08-10,45.91124356985384
2024-08-11,52.21278680493181
2024-08-12,35.10859802400587
2024-08-13,36.00881848615987
2024-08-14,36.909038948313864
2024-08-15,37.80925941046787
2024-08-16,34.208377561851876
2024-08-17,49.51212541846982
2024-08-18,51.224501297567095
2024-08-19,36.77204887798608
2024-08-20,35.10859802400587
2024-08-21,37.9853895008893
2024-08-22,36.77204887798608
2024-08-23,38.8171149278794
2024-08-24,48.729325016596775
2024-08-25,50.39277587057699
2024-08-26,35.10859802400587
2024-08-27,35.10859802400587
2024-08-28,35.10859802400587
2024-08-29,35.49021321991898
2024-08-30,39.648840354869506
2024-08-31,50.39277587057699
2024-09-01,63.63188766725479
2024-09-02,76.42088923285559
2024-09-03,34.27687259701577
2024-09-04,35.10859802400587
2024-09-05,34.72698282809276
2024-09-06,36.77204887798608
2024-09-07,44.18908268573314
2024-09-08,45.852533539713356
2024-09-09,33.06353197411255
2024-09-10,33.06353197411255
2024-09-11,32.61342174303556
2024-09-12,34.27687259701577
2024-09-13,36.77204887798608
2024-09-14,47.515984393693564
2024-09-15,45.020808112723245
2024-09-16,33.44514717002566
2024-09-17,35.10859802400587
2024-09-18,36.6350588076583
2024-09-19,34.34536763217965
2024-09-20,35.10859802400587
2024-09-21,45.03059311774666
2024-09-22,45.03059311774666
2024-09-23,32.81890684852723
2024-09-24,32.05567645670101
2024-09-25,28.23952449756994
2024-09-26,29.765985281222367
2024-09-27,33.58213724035344
2024-09-28,45.03059311774666
2024-09-29,45.793823509572874
2024-09-30,36.6350588076583
2024-10-01,35.871828415832084
2024-10-02,38.16151959131073
2024-10-03,41.214441158615585
2024-10-04,38.92474998313694
2024-10-05,44.26736272592044
2024-10-06,46.55705390139909
2024-10-07,34.34536763217965
2024-10-08,33.58213724035344
2024-10-09,35.10859802400587
2024-10-10,35.871828415832084
2024-10-11,38.92474998313694
2024-10-12,42.74090194226802
2024-10-13,44.26736272592044
2024-10-14,35.871828415832084
2024-10-15,33.58213724035344
2024-10-16,32.81890684852723
