Time,deficit
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,38.90604026845637
2022-05-02,53.32819734570537
2022-05-03,49.451951030966406
2022-05-04,70.6583405425041
2022-05-05,61.45753164537607
2022-05-06,42.43135761548368
2022-05-07,37.83353352697635
2022-05-08,35.51501074629175
2022-05-09,52.06784039209734
2022-05-10,54.257345169946774
2022-05-11,58.69828336700653
2022-05-12,57.866266182811266
2022-05-13,45.77914619060978
2022-05-14,39.72062010618016
2022-05-15,34.427021844471504
2022-05-16,52.31669620347764
2022-05-17,50.75174766126452
2022-05-18,46.209659349982
2022-05-19,44.65709653604105
2022-05-20,38.64914550872281
2022-05-21,31.173267477323503
2022-05-22,31.129917428370884
2022-05-23,41.44875650589102
2022-05-24,42.130080662774816
2022-05-25,35.42841975030061
2022-05-26,36.11593677132049
2022-05-27,34.5933061340373
2022-05-28,27.92983455040231
2022-05-29,30.09250358366203
2022-05-30,29.31725432071424
2022-05-31,34.39926305777321
2022-06-01,36.54335349862466
2022-06-02,35.032076445590974
2022-06-03,37.89774466021079
2022-06-04,29.110825516177968
2022-06-05,33.42997071856132
2022-06-06,33.38249209351798
2022-06-07,36.95838449765667
2022-06-08,38.35302927612736
2022-06-09,39.02093556071629
2022-06-10,35.357310914649695
2022-06-11,26.66018830059015
2022-06-12,30.21956640036593
2022-06-13,33.7686230599149
2022-06-14,40.89460426762523
2022-06-15,37.97010384371258
2022-06-16,36.48463039124592
2022-06-17,33.57457998365081
2022-06-18,30.67278672823714
2022-06-19,29.20382758013339
2022-06-20,32.00653500936964
2022-06-21,35.51120947594331
2022-06-22,35.45960227480924
2022-06-23,34.699835172201674
2022-06-24,31.113621327836174
2022-06-25,25.41944208341307
2022-06-26,26.79241183740746
2022-06-27,31.681409642225017
2022-06-28,34.44695988664474
2022-06-29,33.694417792195935
2022-06-30,30.140200412533563
2022-07-01,26.596304473098
2022-07-02,25.159341789697372
2022-07-03,24.42434614363415
2022-07-04,27.17544637173634
2022-07-05,29.918289447657074
