Time,bts
2022-01-01,50
2022-01-02,21
2022-01-03,19
2022-01-04,22
2022-01-05,19
2022-01-06,16
2022-01-07,19
2022-01-08,22
2022-01-09,22
2022-01-10,17
2022-01-11,17
2022-01-12,17
2022-01-13,20
2022-01-14,15
2022-01-15,22
2022-01-16,20
2022-01-17,17
2022-01-18,17
2022-01-19,16
2022-01-20,16
2022-01-21,16
2022-01-22,22
2022-01-23,21
2022-01-24,21
2022-01-25,14
2022-01-26,15
2022-01-27,16
2022-01-28,17
2022-01-29,19
2022-01-30,19
2022-01-31,18
2022-02-01,16
2022-02-02,16
2022-02-03,16
2022-02-04,16
2022-02-05,19
2022-02-06,19
2022-02-07,16
2022-02-08,15
2022-02-09,15
2022-02-10,13
2022-02-11,17
2022-02-12,18
2022-02-13,18
2022-02-14,16
2022-02-15,16
2022-02-16,18
2022-02-17,17
2022-02-18,16
2022-02-19,19
2022-02-20,20
2022-02-21,18
2022-02-22,20
2022-02-23,32
2022-02-24,19
2022-02-25,21
2022-02-26,22
2022-02-27,19
2022-02-28,18
2022-03-01,17
2022-03-02,21
2022-03-03,26
2022-03-04,19
2022-03-05,20
2022-03-06,20
2022-03-07,17
2022-03-08,18
2022-03-09,20
2022-03-10,21
2022-03-11,20
2022-03-12,25
2022-03-13,28
2022-03-14,19
2022-03-15,18
2022-03-16,17
2022-03-17,17
2022-03-18,18
2022-03-19,19
2022-03-20,19
2022-03-21,17
2022-03-22,18
2022-03-23,17
2022-03-24,19
2022-03-25,18
2022-03-26,20
2022-03-27,21
2022-03-28,21
2022-03-29,21
2022-03-30,18
2022-03-31,18
2022-04-01,20
2022-04-02,22
2022-04-03,37
2022-04-04,100
2022-04-05,35
2022-04-06,27
2022-04-07,27
2022-04-08,33
2022-04-09,42
2022-04-10,38
2022-04-11,26
2022-04-12,23
2022-04-13,21
2022-04-14,24
2022-04-15,26
2022-04-16,34
2022-04-17,41
2022-04-18,27
2022-04-19,23
2022-04-20,21
2022-04-21,19
2022-04-22,19
2022-04-23,22
2022-04-24,21
2022-04-25,18
2022-04-26,18
2022-04-27,18
2022-04-28,18
2022-04-29,18
2022-04-30,21
2022-05-01,20
2022-05-02,17
2022-05-03,17
2022-05-04,18
2022-05-05,21
2022-05-06,19
2022-05-07,18
2022-05-08,21
2022-05-09,20
2022-05-10,18
2022-05-11,17
2022-05-12,18
2022-05-13,17
2022-05-14,18
2022-05-15,20
2022-05-16,21
2022-05-17,18
2022-05-18,17
2022-05-19,17
2022-05-20,17
2022-05-21,17
2022-05-22,18
2022-05-23,17
2022-05-24,17
2022-05-25,16
2022-05-26,18
2022-05-27,18
2022-05-28,18
2022-05-29,21
2022-05-30,21
2022-05-31,30
2022-06-01,35
2022-06-02,22
2022-06-03,19
2022-06-04,23
2022-06-05,21
2022-06-06,19
2022-06-07,19
2022-06-08,19
2022-06-09,19
2022-06-10,50
2022-06-11,29
2022-06-12,27
2022-06-13,24
2022-06-14,54
2022-06-15,51
2022-06-16,30
2022-06-17,24
2022-06-18,22
2022-06-19,21
2022-06-20,20
2022-06-21,19
2022-06-22,18
2022-06-23,19
2022-06-24,20
2022-06-25,19
2022-06-26,19
2022-06-27,17
2022-06-28,17
2022-06-29,18
2022-06-30,16
2022-07-01,17
2022-07-02,17
2022-07-03,17
2022-07-04,17
2022-07-05,15
2022-07-06,15
2022-07-07,15
2022-07-08,39
2022-07-09,50
2022-07-10,24
2022-07-11,18
2022-07-12,17
2022-07-13,17
2022-07-14,16
2022-07-15,17
2022-07-16,16
2022-07-17,16
2022-07-18,14
2022-07-19,15
2022-07-20,14
2022-07-21,14
2022-07-22,15
2022-07-23,15
2022-07-24,15
2022-07-25,14
2022-07-26,16
2022-07-27,14
2022-07-28,15
2022-07-29,16
2022-07-30,16
2022-07-31,18
2022-08-01,18
2022-08-02,15
2022-08-03,15
2022-08-04,14
2022-08-05,17
2022-08-06,17
2022-08-07,18
2022-08-08,14
2022-08-09,15
2022-08-10,14
2022-08-11,14
2022-08-12,19
2022-08-13,16
2022-08-14,15
2022-08-15,14
2022-08-16,14
2022-08-17,13
2022-08-18,13
2022-08-19,14
2022-08-20,16
2022-08-21,15
2022-08-22,13
2022-08-23,14
2022-08-24,14
2022-08-25,15
2022-08-26,14
2022-08-27,15
2022-08-28,17
2022-08-29,19
2022-08-30,13
2022-08-31,13
2022-09-01,13
2022-09-02,14
2022-09-03,15
2022-09-04,14
2022-09-05,14
2022-09-06,12
2022-09-07,12
2022-09-08,13
2022-09-09,15
2022-09-10,15
2022-09-11,15
2022-09-12,13
2022-09-13,12
2022-09-14,12
2022-09-15,12
2022-09-16,13
2022-09-17,14
2022-09-18,14
2022-09-19,12
2022-09-20,12
2022-09-21,13
2022-09-22,12
2022-09-23,12
2022-09-24,14
2022-09-25,14
2022-09-26,12
2022-09-27,12
