Time,advantage
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,51.92610137375652
2022-05-02,95.80279249548721
2022-05-03,89.75813739753687
2022-05-04,91.69451587123346
2022-05-05,83.6678978460006
2022-05-06,73.66058312830708
2022-05-07,50.73378857344413
2022-05-08,45.73076433200828
2022-05-09,85.44219826250283
2022-05-10,79.43046526992009
2022-05-11,92.27903595706697
2022-05-12,81.31239564627795
2022-05-13,71.35066538217033
2022-05-14,48.52706896528662
2022-05-15,46.51661575451291
2022-05-16,73.1920762442296
2022-05-17,77.09902153181223
2022-05-18,72.11055899082743
2022-05-19,71.07715866065483
2022-05-20,74.97777277412831
2022-05-21,47.32399316898867
2022-05-22,40.39661968466362
2022-05-23,70.89482084631118
2022-05-24,70.84923639272526
2022-05-25,66.87011572029826
2022-05-26,68.79256561095472
2022-05-27,65.80189393252532
2022-05-28,47.11126571892106
2022-05-29,38.25321181759766
2022-05-30,50.97136031809594
2022-05-31,65.63221846639998
2022-06-01,64.61084736703476
2022-06-02,64.56906161791434
2022-06-03,64.52727586879392
2022-06-04,45.92148538825234
2022-06-05,42.96246958036872
2022-06-06,63.42613197565337
2022-06-07,65.3352864006806
2022-06-08,69.19094917797906
2022-06-09,66.22433596116446
2022-06-10,62.28826727267972
2022-06-11,46.68581081878584
2022-06-12,43.739457359120536
2022-06-13,67.99483767320119
2022-06-14,66.97979774794514
2022-06-15,64.02584687934885
2022-06-16,64.95351660189854
2022-06-17,60.066985964071144
2022-06-18,42.60032642132505
2022-06-19,41.60491313580739
2022-06-20,60.91614912766734
2022-06-21,65.7077121538574
2022-06-22,62.76768986830125
2022-06-23,66.58663183576662
2022-06-24,59.79221300773382
2022-06-25,43.36908367373496
2022-06-26,42.377469092682794
2022-06-27,63.524417889903766
2022-06-28,63.482632140783345
2022-06-29,64.40207133699116
2022-06-30,64.3596524704598
2022-07-01,61.43735747240928
2022-07-02,45.08830287548754
2022-07-03,41.223776454436255
2022-07-04,38.32237433094594
